team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,tie_reg,win_ot,lose_ot,win_pk,lose_pk
Russia,3.1,Iran,3.3,0.472,0.528,0.393,0.446,0.160,0.041,0.044,0.038,0.038
Russia,3.8,Italy,3.4,0.557,0.443,0.479,0.371,0.151,0.045,0.039,0.034,0.034
Russia,3.7,Japan,2.7,0.650,0.350,0.567,0.282,0.151,0.047,0.033,0.036,0.036
Russia,3.1,Portugal,4.0,0.371,0.629,0.304,0.550,0.146,0.034,0.047,0.033,0.033
Russia,5.1,Switzerland,4.5,0.583,0.417,0.515,0.357,0.128,0.044,0.036,0.024,0.024
Russia,5.2,Tahiti,3.9,0.678,0.322,0.610,0.268,0.122,0.045,0.030,0.023,0.023
Switzerland,4.5,Brazil,7.0,0.223,0.777,0.187,0.722,0.092,0.021,0.040,0.015,0.015
Switzerland,4.1,Iran,4.9,0.388,0.612,0.328,0.542,0.131,0.035,0.045,0.025,0.025
Switzerland,4.9,Italy,5.0,0.482,0.518,0.419,0.453,0.128,0.040,0.041,0.024,0.024
Switzerland,4.8,Japan,4.0,0.599,0.401,0.529,0.339,0.133,0.045,0.036,0.026,0.026
Switzerland,4.0,Portugal,5.9,0.274,0.726,0.228,0.662,0.109,0.026,0.044,0.020,0.020
Switzerland,4.5,Russia,5.1,0.417,0.583,0.357,0.515,0.128,0.036,0.044,0.024,0.024
Switzerland,6.8,Tahiti,5.8,0.620,0.380,0.561,0.330,0.109,0.042,0.033,0.017,0.017
Tahiti,3.9,Brazil,7.2,0.153,0.847,0.126,0.799,0.076,0.015,0.036,0.012,0.012
Tahiti,3.5,Iran,5.0,0.299,0.701,0.246,0.631,0.123,0.028,0.045,0.024,0.024
Tahiti,4.2,Italy,5.1,0.380,0.620,0.321,0.552,0.127,0.034,0.045,0.024,0.024
Tahiti,4.1,Japan,4.2,0.499,0.501,0.428,0.431,0.141,0.042,0.042,0.029,0.029
Tahiti,3.5,Portugal,6.0,0.199,0.801,0.162,0.743,0.095,0.020,0.041,0.017,0.017
Tahiti,3.9,Russia,5.2,0.322,0.678,0.268,0.610,0.122,0.030,0.045,0.023,0.023
Tahiti,5.8,Switzerland,6.8,0.380,0.620,0.330,0.561,0.109,0.033,0.042,0.017,0.017
