541945,2019,french+ligue+1,3335,1a1a1a,SC Amiens,7868,787878,Angers
541946,2019,french+ligue+1,180,0000bf,Strasbourg,3170,ef2f24,Dijon FCO
541947,2019,french+ligue+1,6997,ef2f24,Brest,166,ffe566,Lille
541948,2019,french+ligue+1,274,011F68,Montpellier,176,94cbf6,Marseille
541949,2019,french+ligue+1,179,6000bf,Toulouse,177,8C3140,Metz
541950,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,2502,C60000,Nice
541951,2019,french+ligue+1,165,ffff00,Nantes,7730,ef2f24,Nimes
541952,2019,french+ligue+1,174,E91514,AS Monaco,178,000099,Saint-Etienne
541953,2019,french+ligue+1,159,00003e,Bordeaux,169,ef2f24,Stade Rennes
541954,2019,french+ligue+1,167,0000bf,Lyon,3243,ef2f24,Stade de Reims
541955,2019,french+ligue+1,2502,C60000,Nice,174,1a1a1a,AS Monaco
541956,2019,french+ligue+1,178,C8142F,Saint-Etienne,159,00003e,Bordeaux
541957,2019,french+ligue+1,3243,ef2f24,Stade de Reims,6997,1a1a1a,Brest
541958,2019,french+ligue+1,166,ef2f24,Lille,167,0000bf,Lyon
541959,2019,french+ligue+1,169,ef2f24,Stade Rennes,274,011F68,Montpellier
541960,2019,french+ligue+1,7868,1a1a1a,Angers,165,ffff00,Nantes
541961,2019,french+ligue+1,177,8C3140,Metz,7730,ef2f24,Nimes
541962,2019,french+ligue+1,180,0000bf,Strasbourg,160,00003e,Paris Saint-Germain 
541963,2019,french+ligue+1,176,94cbf6,Marseille,3335,1a1a1a,SC Amiens
541964,2019,french+ligue+1,3170,ef2f24,Dijon FCO,179,6000bf,Toulouse
541965,2019,french+ligue+1,6997,ef2f24,Brest,7868,1a1a1a,Angers
541966,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,3170,ef2f24,Dijon FCO
541967,2019,french+ligue+1,165,ffff00,Nantes,166,ef2f24,Lille
541968,2019,french+ligue+1,7730,ef2f24,Nimes,176,94cbf6,Marseille
541969,2019,french+ligue+1,3335,1a1a1a,SC Amiens,177,8C3140,Metz
541970,2019,french+ligue+1,159,00003e,Bordeaux,2502,C60000,Nice
541971,2019,french+ligue+1,167,0000bf,Lyon,178,C8142F,Saint-Etienne
541972,2019,french+ligue+1,179,6000bf,Toulouse,169,ef2f24,Stade Rennes
541973,2019,french+ligue+1,174,E91514,AS Monaco,3243,2a2afe,Stade de Reims
541974,2019,french+ligue+1,274,011F68,Montpellier,180,0000bf,Strasbourg
541975,2019,french+ligue+1,3170,ef2f24,Dijon FCO,174,1a1a1a,AS Monaco
541976,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,159,000099,Bordeaux
541977,2019,french+ligue+1,2502,C60000,Nice,6997,1a1a1a,Brest
541978,2019,french+ligue+1,177,8C3140,Metz,167,0000bf,Lyon
541979,2019,french+ligue+1,7868,1a1a1a,Angers,274,011F68,Montpellier
541980,2019,french+ligue+1,176,94cbf6,Marseille,165,ffff00,Nantes
541981,2019,french+ligue+1,169,ef2f24,Stade Rennes,7730,000099,Nimes
541982,2019,french+ligue+1,180,0000bf,Strasbourg,3335,1a1a1a,SC Amiens
541983,2019,french+ligue+1,178,C8142F,Saint-Etienne,3243,2a2afe,Stade de Reims
541984,2019,french+ligue+1,166,ef2f24,Lille,179,6000bf,Toulouse
541985,2019,french+ligue+1,7730,ef2f24,Nimes,7868,1a1a1a,Angers
541986,2019,french+ligue+1,159,00003e,Bordeaux,3170,ef2f24,Dijon FCO
541987,2019,french+ligue+1,166,ef2f24,Lille,176,94cbf6,Marseille
541988,2019,french+ligue+1,165,ffff00,Nantes,177,8C3140,Metz
541989,2019,french+ligue+1,174,E91514,AS Monaco,274,011F68,Montpellier
541990,2019,french+ligue+1,179,6000bf,Toulouse,2502,C60000,Nice
541991,2019,french+ligue+1,3335,1a1a1a,SC Amiens,160,ef2f24,Paris Saint-Germain 
541992,2019,french+ligue+1,6997,ef2f24,Brest,178,000099,Saint-Etienne
541993,2019,french+ligue+1,3243,ef2f24,Stade de Reims,169,0000bf,Stade Rennes
541994,2019,french+ligue+1,167,0000bf,Lyon,180,ffffff,Strasbourg
541995,2019,french+ligue+1,3335,1a1a1a,SC Amiens,174,E91514,AS Monaco
541996,2019,french+ligue+1,177,8C3140,Metz,159,00003e,Bordeaux
541997,2019,french+ligue+1,169,ef2f24,Stade Rennes,6997,1a1a1a,Brest
541998,2019,french+ligue+1,7868,1a1a1a,Angers,166,ef2f24,Lille
541999,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,167,0000bf,Lyon
542000,2019,french+ligue+1,3170,ef2f24,Dijon FCO,165,ffff00,Nantes
542001,2019,french+ligue+1,2502,C60000,Nice,7730,ffffff,Nimes
542002,2019,french+ligue+1,274,011F68,Montpellier,178,C8142F,Saint-Etienne
542003,2019,french+ligue+1,180,0000bf,Strasbourg,3243,ef2f24,Stade de Reims
542004,2019,french+ligue+1,176,94cbf6,Marseille,179,6000bf,Toulouse
542005,2019,french+ligue+1,174,E91514,AS Monaco,7868,1a1a1a,Angers
542006,2019,french+ligue+1,6997,ef2f24,Brest,159,00003e,Bordeaux
542007,2019,french+ligue+1,7730,ef2f24,Nimes,3170,000099,Dijon FCO
542008,2019,french+ligue+1,178,C8142F,Saint-Etienne,176,94cbf6,Marseille
542009,2019,french+ligue+1,274,011F68,Montpellier,177,8C3140,Metz
542010,2019,french+ligue+1,3243,ef2f24,Stade de Reims,2502,e6e6e6,Nice
542011,2019,french+ligue+1,165,ffff00,Nantes,160,00003e,Paris Saint-Germain 
542012,2019,french+ligue+1,167,0000bf,Lyon,3335,1a1a1a,SC Amiens
542013,2019,french+ligue+1,166,ef2f24,Lille,169,0000bf,Stade Rennes
542014,2019,french+ligue+1,179,6000bf,Toulouse,180,0000bf,Strasbourg
542015,2019,french+ligue+1,7730,ef2f24,Nimes,174,1a1a1a,AS Monaco
542016,2019,french+ligue+1,3170,ef2f24,Dijon FCO,6997,1a1a1a,Brest
542017,2019,french+ligue+1,180,0000bf,Strasbourg,166,ef2f24,Lille
542018,2019,french+ligue+1,2502,C60000,Nice,167,0000bf,Lyon
542019,2019,french+ligue+1,159,00003e,Bordeaux,176,94cbf6,Marseille
542020,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,274,ffffff,Montpellier
542021,2019,french+ligue+1,169,ef2f24,Stade Rennes,165,ffff00,Nantes
542022,2019,french+ligue+1,177,8C3140,Metz,178,000099,Saint-Etienne
542023,2019,french+ligue+1,7868,1a1a1a,Angers,3243,ef2f24,Stade de Reims
542024,2019,french+ligue+1,3335,1a1a1a,SC Amiens,179,6000bf,Toulouse
542025,2019,french+ligue+1,176,94cbf6,Marseille,7868,1a1a1a,Angers
542026,2019,french+ligue+1,165,ffff00,Nantes,159,00003e,Bordeaux
542027,2019,french+ligue+1,274,011F68,Montpellier,3170,ef2f24,Dijon FCO
542028,2019,french+ligue+1,3243,ef2f24,Stade de Reims,177,8C3140,Metz
542029,2019,french+ligue+1,178,C8142F,Saint-Etienne,7730,ffffff,Nimes
542030,2019,french+ligue+1,166,ef2f24,Lille,160,00003e,Paris Saint-Germain 
542031,2019,french+ligue+1,6997,ef2f24,Brest,3335,1a1a1a,SC Amiens
542032,2019,french+ligue+1,2502,C60000,Nice,169,0000bf,Stade Rennes
542033,2019,french+ligue+1,174,E91514,AS Monaco,180,0000bf,Strasbourg
542034,2019,french+ligue+1,167,0000bf,Lyon,179,6000bf,Toulouse
542035,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,174,E91514,AS Monaco
