team_name,e_goals,opponent_name,e_goals,win,lose,tie
Cameroon,0.1,USA,4.1,0.003,0.973,0.024
Canada,1.5,Australia,0.8,0.529,0.203,0.268
Canada,0.7,Brazil,0.6,0.346,0.264,0.390
Canada,2.4,Cameroon,0.2,0.868,0.017,0.115
Canada,1.1,China PR,0.3,0.547,0.116,0.337
Canada,1.6,Colombia,0.3,0.704,0.066,0.230
Canada,3.1,Costa Rica,0.2,0.925,0.012,0.063
Canada,5.1,Cote d'Ivoire,0.3,0.984,0.003,0.014
Canada,3.7,Ecuador,0.1,0.961,0.004,0.035
Canada,0.9,England,0.8,0.380,0.280,0.340
Canada,0.6,France,1.0,0.222,0.433,0.346
Canada,0.6,Germany,1.3,0.181,0.526,0.293
Canada,0.7,Japan,0.9,0.290,0.356,0.353
Canada,1.2,Korea Republic,0.5,0.540,0.146,0.314
Canada,1.7,Mexico,0.4,0.690,0.085,0.225
Canada,1.2,Netherlands,0.6,0.503,0.191,0.306
Canada,1.2,New Zealand,0.4,0.565,0.129,0.306
Canada,2.2,Nigeria,0.3,0.826,0.034,0.140
Canada,1.2,Norway,0.6,0.500,0.192,0.308
Canada,1.2,Spain,0.5,0.531,0.156,0.313
Canada,1.0,Sweden,0.9,0.377,0.306,0.317
Canada,1.9,Switzerland,0.6,0.680,0.114,0.205
Canada,5.1,Thailand,0.2,0.988,0.002,0.011
Canada,0.6,USA,1.2,0.181,0.517,0.302
China PR,0.7,Australia,1.2,0.216,0.480,0.304
China PR,0.4,Brazil,0.9,0.139,0.485,0.376
China PR,1.1,Cameroon,0.2,0.594,0.080,0.326
China PR,0.3,Canada,1.1,0.116,0.547,0.337
China PR,0.8,Colombia,0.5,0.395,0.201,0.404
China PR,1.5,Costa Rica,0.3,0.673,0.080,0.247
China PR,2.5,Cote d'Ivoire,0.4,0.825,0.045,0.130
China PR,1.8,Ecuador,0.2,0.765,0.041,0.193
China PR,0.5,England,1.2,0.144,0.536,0.320
China PR,0.3,France,1.5,0.070,0.681,0.249
China PR,0.3,Germany,2.0,0.048,0.776,0.176
China PR,0.4,Japan,1.3,0.101,0.610,0.289
China PR,0.6,Korea Republic,0.7,0.256,0.342,0.403
China PR,0.8,Mexico,0.6,0.367,0.258,0.375
China PR,0.6,Netherlands,0.9,0.218,0.428,0.354
China PR,0.6,New Zealand,0.7,0.276,0.314,0.410
China PR,1.1,Nigeria,0.4,0.519,0.143,0.337
China PR,0.6,Norway,0.9,0.216,0.429,0.355
China PR,0.6,Spain,0.8,0.246,0.363,0.391
China PR,0.5,Sweden,1.3,0.135,0.582,0.283
China PR,0.9,Switzerland,1.0,0.330,0.352,0.318
China PR,2.5,Thailand,0.3,0.855,0.028,0.116
China PR,0.3,USA,1.9,0.049,0.766,0.185
Colombia,0.6,Australia,1.8,0.124,0.652,0.223
Colombia,0.3,Brazil,1.4,0.084,0.641,0.275
Colombia,1.0,Cameroon,0.4,0.510,0.132,0.358
Colombia,0.3,Canada,1.6,0.066,0.704,0.230
Colombia,0.5,China PR,0.8,0.201,0.395,0.404
Colombia,1.3,Costa Rica,0.5,0.576,0.139,0.285
Colombia,2.2,Cote d'Ivoire,0.6,0.733,0.091,0.176
Colombia,1.6,Ecuador,0.3,0.687,0.075,0.238
Colombia,0.4,England,1.7,0.081,0.698,0.221
Colombia,0.3,France,2.2,0.033,0.826,0.142
Colombia,0.3,Germany,2.9,0.018,0.899,0.082
Colombia,0.3,Japan,1.9,0.052,0.766,0.182
Colombia,0.5,Korea Republic,1.0,0.175,0.484,0.341
Colombia,0.7,Mexico,0.9,0.268,0.387,0.346
Colombia,0.5,Netherlands,1.4,0.136,0.588,0.276
Colombia,0.5,New Zealand,1.0,0.194,0.450,0.356
Colombia,0.9,Nigeria,0.6,0.419,0.231,0.351
Colombia,0.5,Norway,1.4,0.135,0.589,0.276
Colombia,0.5,Spain,1.1,0.165,0.511,0.324
Colombia,0.4,Sweden,2.0,0.070,0.746,0.184
Colombia,0.8,Switzerland,1.4,0.215,0.515,0.271
Colombia,2.2,Thailand,0.4,0.783,0.057,0.160
Colombia,0.3,USA,2.8,0.019,0.891,0.089
Costa Rica,0.5,Australia,3.5,0.022,0.913,0.065
Costa Rica,0.2,Brazil,2.7,0.019,0.888,0.093
Costa Rica,0.7,Cameroon,0.7,0.319,0.306,0.375
Costa Rica,0.2,Canada,3.1,0.012,0.925,0.063
Costa Rica,0.3,China PR,1.5,0.080,0.673,0.247
Costa Rica,0.5,Colombia,1.3,0.139,0.576,0.285
Costa Rica,1.6,Cote d'Ivoire,1.2,0.464,0.289,0.247
Costa Rica,1.2,Ecuador,0.7,0.477,0.210,0.312
Costa Rica,0.3,England,3.3,0.014,0.927,0.059
Costa Rica,0.2,France,4.3,0.003,0.975,0.022
Costa Rica,0.2,Germany,5.7,0.001,0.992,0.007
Costa Rica,0.2,Japan,3.8,0.007,0.955,0.038
Costa Rica,0.4,Korea Republic,2.0,0.056,0.774,0.170
Costa Rica,0.5,Mexico,1.8,0.100,0.687,0.213
Costa Rica,0.4,Netherlands,2.7,0.032,0.864,0.104
Costa Rica,0.4,New Zealand,1.9,0.067,0.741,0.192
Costa Rica,0.7,Nigeria,1.2,0.212,0.486,0.302
Costa Rica,0.4,Norway,2.7,0.032,0.864,0.104
Costa Rica,0.4,Spain,2.2,0.049,0.799,0.152
Costa Rica,0.3,Sweden,3.9,0.009,0.951,0.040
Costa Rica,0.6,Switzerland,2.8,0.054,0.828,0.118
Costa Rica,1.6,Thailand,0.8,0.561,0.189,0.250
Costa Rica,0.2,USA,5.4,0.001,0.991,0.008
Cote d'Ivoire,0.6,Australia,5.7,0.005,0.979,0.016
Cote d'Ivoire,0.3,Brazil,4.4,0.005,0.969,0.026
Cote d'Ivoire,0.9,Cameroon,1.2,0.285,0.416,0.299
Cote d'Ivoire,0.3,Canada,5.1,0.003,0.984,0.014
Cote d'Ivoire,0.4,China PR,2.5,0.045,0.825,0.130
Cote d'Ivoire,0.6,Colombia,2.2,0.091,0.733,0.176
Cote d'Ivoire,1.2,Costa Rica,1.6,0.289,0.464,0.247
Cote d'Ivoire,1.4,Ecuador,1.1,0.451,0.284,0.265
Cote d'Ivoire,0.4,England,5.4,0.003,0.984,0.013
Cote d'Ivoire,0.2,France,7.0,0.000,0.997,0.002
Cote d'Ivoire,0.2,Germany,9.2,0.000,1.000,0.000
Cote d'Ivoire,0.3,Japan,6.1,0.001,0.993,0.006
Cote d'Ivoire,0.5,Korea Republic,3.3,0.025,0.903,0.072
Cote d'Ivoire,0.6,Mexico,2.9,0.054,0.836,0.111
Cote d'Ivoire,0.5,Netherlands,4.4,0.010,0.957,0.032
Cote d'Ivoire,0.5,New Zealand,3.1,0.032,0.879,0.089
Cote d'Ivoire,0.9,Nigeria,2.0,0.155,0.635,0.209
Cote d'Ivoire,0.5,Norway,4.4,0.010,0.957,0.033
Cote d'Ivoire,0.5,Spain,3.6,0.020,0.920,0.060
Cote d'Ivoire,0.4,Sweden,6.3,0.002,0.992,0.007
Cote d'Ivoire,0.7,Switzerland,4.6,0.019,0.938,0.043
Cote d'Ivoire,2.0,Thailand,1.3,0.527,0.255,0.218
Cote d'Ivoire,0.2,USA,8.9,0.000,0.999,0.000
Ecuador,0.3,Australia,4.1,0.008,0.959,0.033
Ecuador,0.2,Brazil,3.2,0.008,0.936,0.057
Ecuador,0.5,Cameroon,0.8,0.203,0.412,0.385
Ecuador,0.1,Canada,3.7,0.004,0.961,0.035
Ecuador,0.2,China PR,1.8,0.041,0.765,0.193
Ecuador,0.3,Colombia,1.6,0.075,0.687,0.238
Ecuador,0.7,Costa Rica,1.2,0.210,0.477,0.312
Ecuador,1.1,Cote d'Ivoire,1.4,0.284,0.451,0.265
Ecuador,0.2,England,3.9,0.005,0.964,0.031
Ecuador,0.1,France,5.1,0.001,0.989,0.010
Ecuador,0.1,Germany,6.7,0.000,0.997,0.002
Ecuador,0.2,Japan,4.4,0.002,0.979,0.019
Ecuador,0.2,Korea Republic,2.4,0.026,0.855,0.119
Ecuador,0.4,Mexico,2.1,0.049,0.792,0.159
Ecuador,0.3,Netherlands,3.2,0.013,0.925,0.062
Ecuador,0.3,New Zealand,2.2,0.032,0.829,0.139
Ecuador,0.5,Nigeria,1.4,0.120,0.611,0.268
Ecuador,0.2,Norway,3.2,0.013,0.925,0.063
Ecuador,0.2,Spain,2.6,0.022,0.876,0.102
Ecuador,0.2,Sweden,4.6,0.003,0.978,0.019
Ecuador,0.4,Switzerland,3.3,0.022,0.908,0.070
Ecuador,1.1,Thailand,1.0,0.379,0.316,0.305
Ecuador,0.1,USA,6.4,0.000,0.997,0.003
England,1.5,Australia,1.0,0.491,0.254,0.255
England,0.8,Brazil,0.8,0.319,0.325,0.355
England,2.5,Cameroon,0.2,0.873,0.020,0.107
England,0.8,Canada,0.9,0.280,0.380,0.340
England,1.2,China PR,0.5,0.536,0.144,0.320
England,1.7,Colombia,0.4,0.698,0.081,0.221
England,3.3,Costa Rica,0.3,0.927,0.014,0.059
England,5.4,Cote d'Ivoire,0.4,0.984,0.003,0.013
England,3.9,Ecuador,0.2,0.964,0.005,0.031
England,0.6,France,1.3,0.188,0.519,0.293
England,0.7,Germany,1.7,0.143,0.620,0.236
England,0.8,Japan,1.1,0.255,0.433,0.312
England,1.3,Korea Republic,0.6,0.520,0.181,0.299
England,1.8,Mexico,0.5,0.676,0.106,0.218
England,1.3,Netherlands,0.8,0.474,0.237,0.290
England,1.3,New Zealand,0.6,0.548,0.160,0.291
England,2.4,Nigeria,0.4,0.824,0.042,0.135
England,1.3,Norway,0.8,0.470,0.238,0.292
England,1.3,Spain,0.7,0.508,0.194,0.297
England,1.1,Sweden,1.2,0.336,0.376,0.288
England,2.0,Switzerland,0.8,0.654,0.144,0.202
England,5.4,Thailand,0.2,0.989,0.002,0.010
England,0.6,USA,1.6,0.144,0.612,0.244
France,2.0,Australia,0.7,0.686,0.116,0.199
France,1.0,Brazil,0.5,0.471,0.185,0.344
France,3.2,Cameroon,0.1,0.942,0.006,0.052
France,1.0,Canada,0.6,0.433,0.222,0.346
France,1.5,China PR,0.3,0.681,0.070,0.249
France,2.2,Colombia,0.3,0.826,0.033,0.142
France,4.3,Costa Rica,0.2,0.975,0.003,0.022
France,7.0,Cote d'Ivoire,0.2,0.997,0.000,0.002
France,5.1,Ecuador,0.1,0.989,0.001,0.010
France,1.3,England,0.6,0.519,0.188,0.293
France,0.9,Germany,1.1,0.282,0.408,0.310
France,1.0,Japan,0.7,0.413,0.256,0.330
France,1.6,Korea Republic,0.4,0.680,0.086,0.233
France,2.3,Mexico,0.4,0.818,0.042,0.140
France,1.7,Netherlands,0.5,0.650,0.115,0.235
France,1.7,New Zealand,0.4,0.704,0.075,0.221
France,3.1,Nigeria,0.2,0.917,0.014,0.069
France,1.6,Norway,0.5,0.646,0.116,0.238
France,1.6,Spain,0.4,0.672,0.093,0.234
France,1.4,Sweden,0.8,0.522,0.202,0.275
France,2.6,Switzerland,0.5,0.820,0.054,0.126
France,7.0,Thailand,0.2,0.998,0.000,0.002
France,0.8,USA,1.1,0.280,0.403,0.317
Germany,2.6,Australia,0.7,0.786,0.075,0.139
Germany,1.3,Brazil,0.5,0.567,0.148,0.285
Germany,4.2,Cameroon,0.1,0.976,0.003,0.021
Germany,1.3,Canada,0.6,0.526,0.181,0.293
Germany,2.0,China PR,0.3,0.776,0.048,0.176
Germany,2.9,Colombia,0.3,0.899,0.018,0.082
Germany,5.7,Costa Rica,0.2,0.992,0.001,0.007
Germany,9.2,Cote d'Ivoire,0.2,1.000,0.000,0.000
Germany,6.7,Ecuador,0.1,0.997,0.000,0.002
Germany,1.7,England,0.7,0.620,0.143,0.236
Germany,1.1,France,0.9,0.408,0.282,0.310
Germany,1.3,Japan,0.7,0.506,0.210,0.284
Germany,2.1,Korea Republic,0.4,0.777,0.058,0.165
Germany,3.0,Mexico,0.4,0.894,0.024,0.082
Germany,2.2,Netherlands,0.5,0.750,0.079,0.171
Germany,2.2,New Zealand,0.4,0.798,0.050,0.152
Germany,4.0,Nigeria,0.2,0.962,0.006,0.032
Germany,2.1,Norway,0.5,0.747,0.080,0.173
Germany,2.1,Spain,0.4,0.770,0.063,0.167
Germany,1.8,Sweden,0.8,0.625,0.153,0.222
Germany,3.5,Switzerland,0.6,0.897,0.029,0.073
Germany,9.2,Thailand,0.2,1.000,0.000,0.000
Germany,1.1,USA,1.1,0.353,0.353,0.295
Japan,1.7,Australia,0.8,0.594,0.173,0.234
Japan,0.9,Brazil,0.6,0.395,0.245,0.360
Japan,2.8,Cameroon,0.2,0.911,0.011,0.077
Japan,0.9,Canada,0.7,0.356,0.290,0.353
Japan,1.3,China PR,0.4,0.610,0.101,0.289
Japan,1.9,Colombia,0.3,0.766,0.052,0.182
Japan,3.8,Costa Rica,0.2,0.955,0.007,0.038
Japan,6.1,Cote d'Ivoire,0.3,0.993,0.001,0.006
Japan,4.4,Ecuador,0.2,0.979,0.002,0.019
Japan,1.1,England,0.8,0.433,0.255,0.312
Japan,0.7,France,1.0,0.256,0.413,0.330
Japan,0.7,Germany,1.3,0.210,0.506,0.284
Japan,1.4,Korea Republic,0.5,0.603,0.125,0.272
Japan,2.0,Mexico,0.4,0.752,0.068,0.180
Japan,1.4,Netherlands,0.6,0.565,0.166,0.269
Japan,1.5,New Zealand,0.4,0.629,0.110,0.261
Japan,2.7,Nigeria,0.3,0.876,0.024,0.100
Japan,1.4,Norway,0.6,0.561,0.167,0.272
Japan,1.4,Spain,0.5,0.593,0.135,0.272
Japan,1.2,Sweden,0.9,0.431,0.277,0.292
Japan,2.3,Switzerland,0.7,0.745,0.090,0.166
Japan,6.1,Thailand,0.2,0.995,0.001,0.005
Japan,0.7,USA,1.3,0.209,0.498,0.292
Korea Republic,0.9,Australia,1.3,0.271,0.448,0.282
Korea Republic,0.5,Brazil,1.0,0.174,0.477,0.349
Korea Republic,1.5,Cameroon,0.3,0.698,0.061,0.241
Korea Republic,0.5,Canada,1.2,0.146,0.540,0.314
Korea Republic,0.7,China PR,0.6,0.342,0.256,0.403
Korea Republic,1.0,Colombia,0.5,0.484,0.175,0.341
Korea Republic,2.0,Costa Rica,0.4,0.774,0.056,0.170
Korea Republic,3.3,Cote d'Ivoire,0.5,0.903,0.025,0.072
Korea Republic,2.4,Ecuador,0.2,0.855,0.026,0.119
Korea Republic,0.6,England,1.3,0.181,0.520,0.299
Korea Republic,0.4,France,1.6,0.086,0.680,0.233
Korea Republic,0.4,Germany,2.1,0.058,0.777,0.165
Korea Republic,0.5,Japan,1.4,0.125,0.603,0.272
Korea Republic,1.1,Mexico,0.7,0.452,0.227,0.322
Korea Republic,0.8,Netherlands,1.0,0.272,0.403,0.324
Korea Republic,0.8,New Zealand,0.7,0.343,0.291,0.366
Korea Republic,1.5,Nigeria,0.5,0.621,0.115,0.264
Korea Republic,0.8,Norway,1.0,0.270,0.404,0.326
Korea Republic,0.8,Spain,0.8,0.307,0.340,0.353
Korea Republic,0.7,Sweden,1.5,0.169,0.565,0.267
Korea Republic,1.3,Switzerland,1.1,0.408,0.310,0.282
Korea Republic,3.3,Thailand,0.3,0.925,0.015,0.061
Korea Republic,0.4,USA,2.0,0.060,0.767,0.173
Mexico,0.8,Australia,1.9,0.164,0.614,0.222
Mexico,0.4,Brazil,1.4,0.109,0.624,0.267
Mexico,1.4,Cameroon,0.4,0.617,0.103,0.280
Mexico,0.4,Canada,1.7,0.085,0.690,0.225
Mexico,0.6,China PR,0.8,0.258,0.367,0.375
Mexico,0.9,Colombia,0.7,0.387,0.268,0.346
Mexico,1.8,Costa Rica,0.5,0.687,0.100,0.213
Mexico,2.9,Cote d'Ivoire,0.6,0.836,0.054,0.111
Mexico,2.1,Ecuador,0.4,0.792,0.049,0.159
Mexico,0.5,England,1.8,0.106,0.676,0.218
Mexico,0.4,France,2.3,0.042,0.818,0.140
Mexico,0.4,Germany,3.0,0.024,0.894,0.082
Mexico,0.4,Japan,2.0,0.068,0.752,0.180
Mexico,0.7,Korea Republic,1.1,0.227,0.452,0.322
Mexico,0.7,Netherlands,1.5,0.178,0.555,0.267
Mexico,0.7,New Zealand,1.0,0.250,0.417,0.333
Mexico,1.3,Nigeria,0.6,0.519,0.188,0.293
Mexico,0.7,Norway,1.5,0.176,0.556,0.268
Mexico,0.7,Spain,1.2,0.214,0.478,0.308
Mexico,0.6,Sweden,2.1,0.092,0.723,0.184
Mexico,1.1,Switzerland,1.5,0.281,0.462,0.258
Mexico,2.9,Thailand,0.4,0.875,0.032,0.093
Mexico,0.3,USA,2.9,0.025,0.886,0.089
Netherlands,1.3,Australia,1.3,0.352,0.384,0.264
Netherlands,0.6,Brazil,1.0,0.226,0.440,0.334
Netherlands,2.0,Cameroon,0.3,0.798,0.040,0.162
Netherlands,0.6,Canada,1.2,0.191,0.503,0.306
Netherlands,0.9,China PR,0.6,0.428,0.218,0.354
Netherlands,1.4,Colombia,0.5,0.588,0.136,0.276
Netherlands,2.7,Costa Rica,0.4,0.864,0.032,0.104
Netherlands,4.4,Cote d'Ivoire,0.5,0.957,0.010,0.032
Netherlands,3.2,Ecuador,0.3,0.925,0.013,0.062
Netherlands,0.8,England,1.3,0.237,0.474,0.290
Netherlands,0.5,France,1.7,0.115,0.650,0.235
Netherlands,0.5,Germany,2.2,0.079,0.750,0.171
Netherlands,0.6,Japan,1.4,0.166,0.565,0.269
Netherlands,1.0,Korea Republic,0.8,0.403,0.272,0.324
Netherlands,1.5,Mexico,0.7,0.555,0.178,0.267
Netherlands,1.1,New Zealand,0.7,0.432,0.245,0.323
Netherlands,1.9,Nigeria,0.5,0.728,0.079,0.193
Netherlands,1.0,Norway,1.0,0.347,0.351,0.302
Netherlands,1.0,Spain,0.8,0.390,0.291,0.319
Netherlands,0.9,Sweden,1.5,0.223,0.515,0.262
Netherlands,1.7,Switzerland,1.1,0.513,0.244,0.243
Netherlands,4.4,Thailand,0.3,0.969,0.006,0.025
Netherlands,0.5,USA,2.1,0.080,0.741,0.179
New Zealand,0.9,Australia,1.4,0.241,0.480,0.278
New Zealand,0.4,Brazil,1.0,0.156,0.502,0.343
New Zealand,1.4,Cameroon,0.3,0.665,0.071,0.264
New Zealand,0.4,Canada,1.2,0.129,0.565,0.306
New Zealand,0.7,China PR,0.6,0.314,0.276,0.410
New Zealand,1.0,Colombia,0.5,0.450,0.194,0.356
New Zealand,1.9,Costa Rica,0.4,0.741,0.067,0.192
New Zealand,3.1,Cote d'Ivoire,0.5,0.879,0.032,0.089
New Zealand,2.2,Ecuador,0.3,0.829,0.032,0.139
New Zealand,0.6,England,1.3,0.160,0.548,0.291
New Zealand,0.4,France,1.7,0.075,0.704,0.221
New Zealand,0.4,Germany,2.2,0.050,0.798,0.152
New Zealand,0.4,Japan,1.5,0.110,0.629,0.261
New Zealand,0.7,Korea Republic,0.8,0.291,0.343,0.366
New Zealand,1.0,Mexico,0.7,0.417,0.250,0.333
New Zealand,0.7,Netherlands,1.1,0.245,0.432,0.323
New Zealand,1.3,Nigeria,0.5,0.584,0.131,0.285
New Zealand,0.7,Norway,1.1,0.243,0.432,0.324
New Zealand,0.7,Spain,0.9,0.279,0.365,0.356
New Zealand,0.6,Sweden,1.5,0.148,0.594,0.258
New Zealand,1.2,Switzerland,1.1,0.371,0.341,0.288
New Zealand,3.1,Thailand,0.3,0.905,0.019,0.075
New Zealand,0.4,USA,2.1,0.051,0.788,0.161
Nigeria,0.6,Australia,2.5,0.065,0.792,0.143
Nigeria,0.3,Brazil,1.9,0.048,0.770,0.182
Nigeria,0.9,Cameroon,0.5,0.436,0.196,0.368
Nigeria,0.3,Canada,2.2,0.034,0.826,0.140
Nigeria,0.4,China PR,1.1,0.143,0.519,0.337
Nigeria,0.6,Colombia,0.9,0.231,0.419,0.351
Nigeria,1.2,Costa Rica,0.7,0.486,0.212,0.302
Nigeria,2.0,Cote d'Ivoire,0.9,0.635,0.155,0.209
Nigeria,1.4,Ecuador,0.5,0.611,0.120,0.268
Nigeria,0.4,England,2.4,0.042,0.824,0.135
Nigeria,0.2,France,3.1,0.014,0.917,0.069
Nigeria,0.2,Germany,4.0,0.006,0.962,0.032
Nigeria,0.3,Japan,2.7,0.024,0.876,0.100
Nigeria,0.5,Korea Republic,1.5,0.115,0.621,0.264
Nigeria,0.6,Mexico,1.3,0.188,0.519,0.293
Nigeria,0.5,Netherlands,1.9,0.079,0.728,0.193
Nigeria,0.5,New Zealand,1.3,0.131,0.584,0.285
Nigeria,0.5,Norway,1.9,0.079,0.728,0.193
Nigeria,0.5,Spain,1.6,0.105,0.649,0.246
Nigeria,0.4,Sweden,2.8,0.033,0.864,0.103
Nigeria,0.7,Switzerland,2.0,0.130,0.666,0.203
Nigeria,2.0,Thailand,0.6,0.707,0.098,0.195
Nigeria,0.2,USA,3.9,0.007,0.958,0.035
Norway,1.3,Australia,1.3,0.354,0.381,0.265
Norway,0.6,Brazil,1.0,0.227,0.436,0.337
Norway,2.0,Cameroon,0.3,0.798,0.040,0.162
Norway,0.6,Canada,1.2,0.192,0.500,0.308
Norway,0.9,China PR,0.6,0.429,0.216,0.355
Norway,1.4,Colombia,0.5,0.589,0.135,0.276
Norway,2.7,Costa Rica,0.4,0.864,0.032,0.104
Norway,4.4,Cote d'Ivoire,0.5,0.957,0.010,0.033
Norway,3.2,Ecuador,0.2,0.925,0.013,0.063
Norway,0.8,England,1.3,0.238,0.470,0.292
Norway,0.5,France,1.6,0.116,0.646,0.238
Norway,0.5,Germany,2.1,0.080,0.747,0.173
Norway,0.6,Japan,1.4,0.167,0.561,0.272
Norway,1.0,Korea Republic,0.8,0.404,0.270,0.326
Norway,1.5,Mexico,0.7,0.556,0.176,0.268
Norway,1.0,Netherlands,1.0,0.351,0.347,0.302
Norway,1.1,New Zealand,0.7,0.432,0.243,0.324
Norway,1.9,Nigeria,0.5,0.728,0.079,0.193
Norway,1.0,Spain,0.8,0.391,0.289,0.320
Norway,0.9,Sweden,1.5,0.225,0.511,0.264
Norway,1.7,Switzerland,1.1,0.514,0.242,0.244
Norway,4.4,Thailand,0.3,0.969,0.006,0.025
Norway,0.5,USA,2.1,0.082,0.737,0.181
Spain,1.0,Australia,1.3,0.291,0.431,0.278
Spain,0.5,Brazil,1.0,0.186,0.467,0.346
Spain,1.7,Cameroon,0.3,0.725,0.055,0.219
Spain,0.5,Canada,1.2,0.156,0.531,0.313
Spain,0.8,China PR,0.6,0.363,0.246,0.391
Spain,1.1,Colombia,0.5,0.511,0.165,0.324
Spain,2.2,Costa Rica,0.4,0.799,0.049,0.152
Spain,3.6,Cote d'Ivoire,0.5,0.920,0.020,0.060
Spain,2.6,Ecuador,0.2,0.876,0.022,0.102
Spain,0.7,England,1.3,0.194,0.508,0.297
Spain,0.4,France,1.6,0.093,0.672,0.234
Spain,0.4,Germany,2.1,0.063,0.770,0.167
Spain,0.5,Japan,1.4,0.135,0.593,0.272
Spain,0.8,Korea Republic,0.8,0.340,0.307,0.353
Spain,1.2,Mexico,0.7,0.478,0.214,0.308
Spain,0.8,Netherlands,1.0,0.291,0.390,0.319
Spain,0.9,New Zealand,0.7,0.365,0.279,0.356
Spain,1.6,Nigeria,0.5,0.649,0.105,0.246
Spain,0.8,Norway,1.0,0.289,0.391,0.320
Spain,0.7,Sweden,1.5,0.182,0.552,0.266
Spain,1.3,Switzerland,1.1,0.434,0.293,0.273
Spain,3.6,Thailand,0.3,0.939,0.012,0.049
Spain,0.4,USA,2.0,0.065,0.760,0.175
Sweden,1.8,Australia,1.1,0.532,0.236,0.231
Sweden,0.9,Brazil,0.9,0.349,0.321,0.330
