Season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021,Regular Season,2,Sun,2020-09-20,14:00,Stoke City,0–2,Bristol City,,Bet365 Stadium,Oliver Langford,Match Report,
2021,Regular Season,3,Fri,2020-09-25,19:45,Huddersfield,1–0,Nott'ham Forest,,The John Smith's Stadium,Oliver Langford,Match Report,
2021,Regular Season,3,Sat,2020-09-26,12:30,Watford,1–0,Luton Town,,Vicarage Road Stadium,John Brooks,Match Report,
2021,Regular Season,3,Sat,2020-09-26,12:30,Wycombe,0–2,Swansea City,,Adams Park,Geoff Eltringham,Match Report,
2021,Regular Season,3,Sat,2020-09-26,15:00,Millwall,1–1,Brentford,,The Den,David Coote,Match Report,
2021,Regular Season,3,Sat,2020-09-26,15:00,Barnsley,0–0,Coventry City,,Oakwell Stadium,Joshua Smith,Match Report,
2021,Regular Season,3,Sat,2020-09-26,15:00,Preston,0–1,Stoke City,,Deepdale Stadium,Matt Donohue,Match Report,
2021,Regular Season,3,Sat,2020-09-26,15:00,Cardiff City,1–2,Reading,,Cardiff City Stadium,David Webb,Match Report,
2021,Regular Season,3,Sat,2020-09-26,15:00,Birmingham City,1–1,Rotherham Utd,,St Andrew's Trillion Trophy Stadium,Andy Madley,Match Report,
2021,Regular Season,3,Sat,2020-09-26,15:00,Derby County,0–4,Blackburn,,iPro Stadium,Andy Woolmer,Match Report,
2021,Regular Season,3,Sat,2020-09-26,15:00,QPR,1–1,Middlesbrough,,Loftus Road Stadium,Dean Whitestone,Match Report,
2021,Regular Season,3,Sun,2020-09-27,13:00,Bristol City,2–0,Sheffield Weds,,Ashton Gate Stadium,Tony Harrington,Match Report,
2021,Regular Season,3,Sun,2020-09-27,16:00,Bournemouth,1–0,Norwich City,,Vitality Stadium,James Linington,Match Report,
2021,Regular Season,4,Fri,2020-10-02,19:45,Coventry City,1–3,Bournemouth,,St Andrew's Trillion Trophy Stadium,Jarred Gillett,Match Report,
2021,Regular Season,4,Sat,2020-10-03,12:30,Norwich City,0–1,Derby County,,Carrow Road,Stuart Attwell,Match Report,
2021,Regular Season,4,Sat,2020-10-03,15:00,Reading,1–0,Watford,,Madejski Stadium,Gavin Ward,Match Report,
2021,Regular Season,4,Sat,2020-10-03,15:00,Nott'ham Forest,1–2,Bristol City,,The City Ground,Keith Stroud,Match Report,
2021,Regular Season,4,Sat,2020-10-03,15:00,Middlesbrough,2–1,Barnsley,,Riverside Stadium,Oliver Langford,Match Report,
2021,Regular Season,4,Sat,2020-10-03,15:00,Sheffield Weds,1–1,QPR,,Hillsborough Stadium,Michael Salisbury,Match Report,
2021,Regular Season,4,Sat,2020-10-03,15:00,Blackburn,0–0,Cardiff City,,Ewood Park,Darren Bond,Match Report,
2021,Regular Season,4,Sat,2020-10-03,15:00,Rotherham Utd,1–1,Huddersfield,,New York Stadium,Andy Woolmer,Match Report,
2021,Regular Season,4,Sat,2020-10-03,15:00,Luton Town,2–0,Wycombe,,Kenilworth Road Stadium,Graham Scott,Match Report,
2021,Regular Season,4,Sat,2020-10-03,15:00,Swansea City,2–1,Millwall,,Liberty Stadium,Steve Martin,Match Report,
2021,Regular Season,4,Sun,2020-10-04,15:00,Brentford,2–4,Preston,,Brentford Community Stadium,Dean Whitestone,Match Report,
2021,Regular Season,4,Sun,2020-10-04,15:00,Stoke City,1–1,Birmingham City,,Bet365 Stadium,John Brooks,Match Report,
2021,Regular Season,5,Fri,2020-10-16,19:45,Derby County,0–1,Watford,,iPro Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Swansea City,1–2,Huddersfield,,Liberty Stadium,Tony Harrington,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Birmingham City,0–1,Sheffield Weds,,St Andrew's Trillion Trophy Stadium,Graham Scott,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Brentford,2–0,Coventry City,,Brentford Community Stadium,Andy Woolmer,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Wycombe,1–2,Millwall,,Adams Park,Andy Madley,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Bournemouth,0–0,QPR,,Vitality Stadium,John Brooks,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Blackburn,0–1,Nott'ham Forest,,Ewood Park,Jarred Gillett,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Barnsley,2–2,Bristol City,,Oakwell Stadium,Leigh Doughty,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Rotherham Utd,1–2,Norwich City,,New York Stadium,David Webb,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Middlesbrough,0–0,Reading,,Riverside Stadium,Darren Bond,Match Report,
2021,Regular Season,5,Sat,2020-10-17,15:00,Luton Town,0–2,Stoke City,,Kenilworth Road Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,5,Sun,2020-10-18,12:00,Preston,0–1,Cardiff City,,Deepdale Stadium,Keith Stroud,Match Report,
2021,Regular Season,6,Tue,2020-10-20,19:45,Huddersfield,1–0,Derby County,,The John Smith's Stadium,David Webb,Match Report,
2021,Regular Season,6,Tue,2020-10-20,19:45,Bristol City,0–1,Middlesbrough,,Ashton Gate Stadium,Tim Robinson,Match Report,
2021,Regular Season,6,Tue,2020-10-20,19:45,Nott'ham Forest,1–1,Rotherham Utd,,The City Ground,Steve Martin,Match Report,
2021,Regular Season,6,Tue,2020-10-20,19:45,Coventry City,1–1,Swansea City,,St Andrew's Trillion Trophy Stadium,Keith Stroud,Match Report,
2021,Regular Season,6,Tue,2020-10-20,19:45,Millwall,2–0,Luton Town,,The Den,Tony Harrington,Match Report,
2021,Regular Season,6,Tue,2020-10-20,19:45,Norwich City,1–0,Birmingham City,,Carrow Road,Oliver Langford,Match Report,
2021,Regular Season,6,Tue,2020-10-20,20:00,Reading,1–0,Wycombe,,Madejski Stadium,Andrew Davies,Match Report,
2021,Regular Season,6,Wed,2020-10-21,19:45,QPR,0–2,Preston,,Loftus Road Stadium,Kevin Friend,Match Report,
2021,Regular Season,6,Wed,2020-10-21,19:45,Sheffield Weds,1–2,Brentford,,Hillsborough Stadium,Darren Bond,Match Report,
2021,Regular Season,6,Wed,2020-10-21,19:45,Stoke City,2–2,Barnsley,,Bet365 Stadium,Michael Salisbury,Match Report,
2021,Regular Season,6,Wed,2020-10-21,19:45,Cardiff City,1–1,Bournemouth,,Cardiff City Stadium,Simon Hooper,Match Report,
2021,Regular Season,6,Wed,2020-10-21,19:45,Watford,3–1,Blackburn,,Vicarage Road Stadium,Andy Woolmer,Match Report,
2021,Regular Season,7,Fri,2020-10-23,19:45,Nott'ham Forest,1–1,Derby County,,The City Ground,Tony Harrington,Match Report,
2021,Regular Season,7,Sat,2020-10-24,12:30,Watford,1–1,Bournemouth,,Vicarage Road Stadium,Tim Robinson,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,Bristol City,1–1,Swansea City,,Ashton Gate Stadium,Oliver Langford,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,Norwich City,2–1,Wycombe,,Carrow Road,Gavin Ward,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,Sheffield Weds,0–1,Luton Town,,Hillsborough Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,Huddersfield,1–2,Preston,,The John Smith's Stadium,Joshua Smith,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,Stoke City,3–2,Brentford,,Bet365 Stadium,Keith Stroud,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,Cardiff City,1–1,Middlesbrough,,Cardiff City Stadium,John Brooks,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,Coventry City,0–4,Blackburn,,St Andrew's Trillion Trophy Stadium,Darren England,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,QPR,0–0,Birmingham City,,Loftus Road Stadium,Simon Hooper,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,Reading,3–0,Rotherham Utd,,Madejski Stadium,Matt Donohue,Match Report,
2021,Regular Season,7,Sat,2020-10-24,15:00,Millwall,1–1,Barnsley,,The Den,Andrew Davies,Match Report,
2021,Regular Season,8,Tue,2020-10-27,19:00,Barnsley,3–0,QPR,,Oakwell Stadium,Andrew Davies,Match Report,
2021,Regular Season,8,Tue,2020-10-27,19:45,Wycombe,1–1,Watford,,Adams Park,John Brooks,Match Report,
2021,Regular Season,8,Tue,2020-10-27,19:45,Brentford,1–1,Norwich City,,Brentford Community Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,8,Tue,2020-10-27,19:45,Middlesbrough,2–0,Coventry City,,Riverside Stadium,David Webb,Match Report,
2021,Regular Season,8,Tue,2020-10-27,19:45,Blackburn,2–4,Reading,,Ewood Park,David Coote,Match Report,
2021,Regular Season,8,Tue,2020-10-27,19:45,Swansea City,2–0,Stoke City,,Liberty Stadium,Andre Marriner,Match Report,
2021,Regular Season,8,Wed,2020-10-28,19:00,Preston,0–2,Millwall,,Deepdale Stadium,Darren Bond,Match Report,
2021,Regular Season,8,Wed,2020-10-28,19:45,Derby County,1–1,Cardiff City,,iPro Stadium,Oliver Langford,Match Report,
2021,Regular Season,8,Wed,2020-10-28,19:45,Rotherham Utd,3–0,Sheffield Weds,,New York Stadium,Jarred Gillett,Match Report,
2021,Regular Season,8,Wed,2020-10-28,19:45,Luton Town,1–1,Nott'ham Forest,,Kenilworth Road Stadium,Tim Robinson,Match Report,
2021,Regular Season,8,Wed,2020-10-28,19:45,Bournemouth,1–0,Bristol City,,Vitality Stadium,Steve Martin,Match Report,
2021,Regular Season,8,Wed,2020-10-28,19:45,Birmingham City,2–1,Huddersfield,,St Andrew's Trillion Trophy Stadium,Leigh Doughty,Match Report,
2021,Regular Season,9,Fri,2020-10-30,19:45,Coventry City,3–2,Reading,,St Andrew's Trillion Trophy Stadium,David Webb,Match Report,
2021,Regular Season,9,Sat,2020-10-31,12:30,Bristol City,1–3,Norwich City,,Ashton Gate Stadium,Jarred Gillett,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,Preston,1–2,Birmingham City,,Deepdale Stadium,Tony Harrington,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,Bournemouth,1–1,Derby County,,Vitality Stadium,Robert Jones,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,Barnsley,1–0,Watford,,Oakwell Stadium,Matt Donohue,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,Stoke City,1–0,Rotherham Utd,,Bet365 Stadium,Darren Bond,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,QPR,3–2,Cardiff City,,Loftus Road Stadium,Andy Woolmer,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,Millwall,0–3,Huddersfield,,The Den,Gavin Ward,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,Middlesbrough,1–0,Nott'ham Forest,,Riverside Stadium,Lee Mason,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,Wycombe,1–0,Sheffield Weds,,Adams Park,Keith Stroud,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,Swansea City,2–0,Blackburn,,Liberty Stadium,Dean Whitestone,Match Report,
2021,Regular Season,9,Sat,2020-10-31,15:00,Luton Town,0–3,Brentford,,Kenilworth Road Stadium,Michael Salisbury,Match Report,
2021,Regular Season,10,Tue,2020-11-03,19:00,Huddersfield,1–2,Bristol City,,The John Smith's Stadium,Peter Bankes,Match Report,
2021,Regular Season,10,Tue,2020-11-03,19:00,Norwich City,0–0,Millwall,,Carrow Road,Tim Robinson,Match Report,
2021,Regular Season,10,Tue,2020-11-03,19:00,Brentford,1–1,Swansea City,,Brentford Community Stadium,Steve Martin,Match Report,
2021,Regular Season,10,Tue,2020-11-03,19:00,Sheffield Weds,1–0,Bournemouth,,Hillsborough Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,10,Tue,2020-11-03,19:45,Blackburn,0–0,Middlesbrough,,Ewood Park,David Webb,Match Report,
2021,Regular Season,10,Tue,2020-11-03,19:45,Cardiff City,3–0,Barnsley,,Cardiff City Stadium,Dean Whitestone,Match Report,
2021,Regular Season,10,Wed,2020-11-04,19:00,Reading,0–3,Preston,,Madejski Stadium,John Brooks,Match Report,
2021,Regular Season,10,Wed,2020-11-04,19:00,Watford,3–2,Stoke City,,Vicarage Road Stadium,Andrew Davies,Match Report,
2021,Regular Season,10,Wed,2020-11-04,19:45,Rotherham Utd,0–1,Luton Town,,New York Stadium,Andy Madley,Match Report,
2021,Regular Season,10,Wed,2020-11-04,19:45,Derby County,0–1,QPR,,iPro Stadium,Gavin Ward,Match Report,
2021,Regular Season,10,Wed,2020-11-04,19:45,Nott'ham Forest,2–1,Coventry City,,The City Ground,Geoff Eltringham,Match Report,
2021,Regular Season,10,Wed,2020-11-04,19:45,Birmingham City,1–2,Wycombe,,St Andrew's Trillion Trophy Stadium,Joshua Smith,Match Report,
2021,Regular Season,11,Fri,2020-11-06,18:00,Cardiff City,0–1,Bristol City,,Cardiff City Stadium,David Webb,Match Report,
2021,Regular Season,11,Sat,2020-11-07,12:30,Reading,0–3,Stoke City,,Madejski Stadium,Keith Stroud,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Brentford,0–0,Middlesbrough,,Brentford Community Stadium,James Linington,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Watford,3–2,Coventry City,,Vicarage Road Stadium,Simon Hooper,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Birmingham City,1–3,Bournemouth,,St Andrew's Trillion Trophy Stadium,Jarred Gillett,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Blackburn,3–1,QPR,,Ewood Park,Tim Robinson,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Norwich City,1–0,Swansea City,,Carrow Road,Darren England,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Rotherham Utd,2–1,Preston,,New York Stadium,Andrew Davies,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Nott'ham Forest,2–0,Wycombe,,The City Ground,Matt Donohue,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Huddersfield,1–1,Luton Town,,The John Smith's Stadium,Oliver Langford,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Sheffield Weds,0–0,Millwall,,Hillsborough Stadium,Tony Harrington,Match Report,
2021,Regular Season,11,Sat,2020-11-07,15:00,Derby County,0–2,Barnsley,,iPro Stadium,Leigh Doughty,Match Report,
2021,Regular Season,12,Fri,2020-11-20,19:45,Coventry City,0–0,Birmingham City,,St Andrew's Trillion Trophy Stadium,Oliver Langford,Match Report,
2021,Regular Season,12,Sat,2020-11-21,12:30,Bournemouth,4–2,Reading,,Vitality Stadium,Darren Bond,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,Middlesbrough,0–1,Norwich City,,Riverside Stadium,Tony Harrington,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,Millwall,1–1,Cardiff City,,The Den,Graham Scott,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,Preston,1–0,Sheffield Weds,,Deepdale Stadium,David Webb,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,Stoke City,4–3,Huddersfield,,Bet365 Stadium,Jarred Gillett,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,QPR,1–1,Watford,,Loftus Road Stadium,Michael Salisbury,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,Barnsley,2–0,Nott'ham Forest,,Oakwell Stadium,Andy Woolmer,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,Wycombe,0–0,Brentford,,Adams Park,Lee Mason,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,Luton Town,1–1,Blackburn,,Kenilworth Road Stadium,Gavin Ward,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,Swansea City,1–0,Rotherham Utd,,Liberty Stadium,Matt Donohue,Match Report,
2021,Regular Season,12,Sat,2020-11-21,15:00,Bristol City,1–0,Derby County,,Ashton Gate Stadium,Keith Stroud,Match Report,
2021,Regular Season,13,Tue,2020-11-24,19:00,Luton Town,1–1,Birmingham City,,Kenilworth Road Stadium,David Webb,Match Report,
2021,Regular Season,13,Tue,2020-11-24,19:00,Stoke City,2–3,Norwich City,,Bet365 Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,13,Tue,2020-11-24,19:00,Wycombe,0–0,Huddersfield,,Adams Park,Steve Martin,Match Report,
2021,Regular Season,13,Tue,2020-11-24,19:00,QPR,3–2,Rotherham Utd,,Loftus Road Stadium,Oliver Langford,Match Report,
2021,Regular Season,13,Tue,2020-11-24,19:45,Barnsley,0–1,Brentford,,Oakwell Stadium,Darren Bond,Match Report,
2021,Regular Season,13,Tue,2020-11-24,19:45,Preston,0–3,Blackburn,,Deepdale Stadium,Tony Harrington,Match Report,
2021,Regular Season,13,Tue,2020-11-24,20:00,Bournemouth,2–0,Nott'ham Forest,,Vitality Stadium,Simon Hooper,Match Report,
2021,Regular Season,13,Wed,2020-11-25,19:00,Middlesbrough,3–0,Derby County,,Riverside Stadium,Peter Bankes,Match Report,
2021,Regular Season,13,Wed,2020-11-25,19:00,Millwall,1–1,Reading,,The Den,Leigh Doughty,Match Report,
2021,Regular Season,13,Wed,2020-11-25,19:45,Coventry City,1–0,Cardiff City,,St Andrew's Trillion Trophy Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,13,Wed,2020-11-25,19:45,Swansea City,1–1,Sheffield Weds,,Liberty Stadium,Andy Woolmer,Match Report,
2021,Regular Season,13,Wed,2020-11-25,19:45,Bristol City,0–0,Watford,,Ashton Gate Stadium,Dean Whitestone,Match Report,
2021,Regular Season,14,Fri,2020-11-27,19:45,Brentford,2–1,QPR,,Brentford Community Stadium,Matt Donohue,Match Report,
2021,Regular Season,14,Sat,2020-11-28,12:30,Reading,3–1,Bristol City,,Madejski Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,14,Sat,2020-11-28,15:00,Rotherham Utd,2–2,Bournemouth,,New York Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,14,Sat,2020-11-28,15:00,Watford,4–1,Preston,,Vicarage Road Stadium,Jarred Gillett,Match Report,
2021,Regular Season,14,Sat,2020-11-28,15:00,Norwich City,1–1,Coventry City,,Carrow Road,Keith Stroud,Match Report,
2021,Regular Season,14,Sat,2020-11-28,15:00,Huddersfield,3–2,Middlesbrough,,The John Smith's Stadium,John Brooks,Match Report,
2021,Regular Season,14,Sat,2020-11-28,15:00,Birmingham City,0–0,Millwall,,St Andrew's Trillion Trophy Stadium,Andy Woolmer,Match Report,
2021,Regular Season,14,Sat,2020-11-28,15:00,Blackburn,2–1,Barnsley,,Ewood Park,Andy Madley,Match Report,
2021,Regular Season,14,Sat,2020-11-28,15:00,Sheffield Weds,0–0,Stoke City,,Hillsborough Stadium,Tim Robinson,Match Report,
2021,Regular Season,14,Sat,2020-11-28,15:00,Derby County,1–1,Wycombe,,iPro Stadium,Oliver Langford,Match Report,
2021,Regular Season,14,Sat,2020-11-28,15:00,Cardiff City,4–0,Luton Town,,Cardiff City Stadium,Joshua Smith,Match Report,
2021,Regular Season,14,Sun,2020-11-29,12:00,Nott'ham Forest,0–1,Swansea City,,The City Ground,Tony Harrington,Match Report,
2021,Regular Season,15,Tue,2020-12-01,19:00,Cardiff City,3–0,Huddersfield,,Cardiff City Stadium,Kevin Friend,Match Report,
2021,Regular Season,15,Tue,2020-12-01,19:45,QPR,1–2,Bristol City,,Loftus Road Stadium,James Linington,Match Report,
2021,Regular Season,15,Tue,2020-12-01,19:45,Derby County,1–1,Coventry City,,iPro Stadium,Dean Whitestone,Match Report,
2021,Regular Season,15,Tue,2020-12-01,19:45,Birmingham City,1–2,Barnsley,,St Andrew's Trillion Trophy Stadium,Tony Harrington,Match Report,
2021,Regular Season,15,Tue,2020-12-01,19:45,Bournemouth,2–3,Preston,,Vitality Stadium,Gavin Ward,Match Report,
2021,Regular Season,15,Tue,2020-12-01,20:00,Rotherham Utd,0–2,Brentford,,New York Stadium,Tim Robinson,Match Report,
2021,Regular Season,15,Wed,2020-12-02,19:00,Middlesbrough,2–1,Swansea City,,Riverside Stadium,Keith Stroud,Match Report,
2021,Regular Season,15,Wed,2020-12-02,19:45,Wycombe,0–1,Stoke City,,Adams Park,Darren Bond,Match Report,
2021,Regular Season,15,Wed,2020-12-02,19:45,Blackburn,2–1,Millwall,,Ewood Park,Michael Salisbury,Match Report,
2021,Regular Season,15,Wed,2020-12-02,19:45,Sheffield Weds,1–1,Reading,,Hillsborough Stadium,Oliver Langford,Match Report,
2021,Regular Season,15,Wed,2020-12-02,19:45,Luton Town,3–1,Norwich City,1000,Kenilworth Road Stadium,Darren England,Match Report,
2021,Regular Season,15,Wed,2020-12-02,19:45,Nott'ham Forest,0–0,Watford,,The City Ground,David Webb,Match Report,
2021,Regular Season,16,Fri,2020-12-04,17:30,Barnsley,0–4,Bournemouth,,Oakwell Stadium,Keith Stroud,Match Report,
2021,Regular Season,16,Sat,2020-12-05,12:30,Reading,2–0,Nott'ham Forest,2000,Madejski Stadium,Gavin Ward,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Stoke City,1–0,Middlesbrough,,Bet365 Stadium,Jeremy Simpson,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Brentford,2–2,Blackburn,2000,Brentford Community Stadium,Oliver Langford,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Norwich City,2–1,Sheffield Weds,2000,Carrow Road,Jarred Gillett,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Preston,2–2,Wycombe,,Deepdale Stadium,James Linington,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Bristol City,0–1,Birmingham City,,Ashton Gate Stadium,John Brooks,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Watford,0–1,Cardiff City,1973,Vicarage Road Stadium,Steve Martin,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Millwall,0–1,Derby County,2000,The Den,Darren England,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Coventry City,3–1,Rotherham Utd,,St Andrew's Trillion Trophy Stadium,David Webb,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Huddersfield,2–0,QPR,,The John Smith's Stadium,Dean Whitestone,Match Report,
2021,Regular Season,16,Sat,2020-12-05,15:00,Swansea City,2–0,Luton Town,,Liberty Stadium,Leigh Doughty,Match Report,
2021,Regular Season,17,Tue,2020-12-08,19:45,Millwall,1–1,QPR,2000,The Den,Jarred Gillett,Match Report,
2021,Regular Season,17,Tue,2020-12-08,19:45,Coventry City,0–0,Luton Town,,St Andrew's Trillion Trophy Stadium,Andy Woolmer,Match Report,
2021,Regular Season,17,Tue,2020-12-08,19:45,Huddersfield,2–0,Sheffield Weds,,The John Smith's Stadium,Keith Stroud,Match Report,
2021,Regular Season,17,Tue,2020-12-08,19:45,Watford,2–0,Rotherham Utd,1976,Vicarage Road Stadium,Gavin Ward,Match Report,
2021,Regular Season,17,Tue,2020-12-08,19:45,Swansea City,0–0,Bournemouth,,Liberty Stadium,Peter Bankes,Match Report,
2021,Regular Season,17,Tue,2020-12-08,19:45,Stoke City,1–2,Cardiff City,,Bet365 Stadium,Tony Harrington,Match Report,
2021,Regular Season,17,Wed,2020-12-09,19:00,Preston,3–0,Middlesbrough,,Deepdale Stadium,Andy Madley,Match Report,
2021,Regular Season,17,Wed,2020-12-09,19:45,Brentford,0–0,Derby County,2000,Brentford Community Stadium,David Webb,Match Report,
2021,Regular Season,17,Wed,2020-12-09,19:45,Bristol City,1–0,Blackburn,,Ashton Gate Stadium,Steve Martin,Match Report,
2021,Regular Season,17,Wed,2020-12-09,19:45,Barnsley,2–1,Wycombe,,Oakwell Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,17,Wed,2020-12-09,19:45,Reading,1–2,Birmingham City,,Madejski Stadium,Tim Robinson,Match Report,
2021,Regular Season,17,Wed,2020-12-09,19:45,Norwich City,2–1,Nott'ham Forest,,Carrow Road,Darren Bond,Match Report,
2021,Regular Season,18,Sat,2020-12-12,12:30,Cardiff City,0–2,Swansea City,,Cardiff City Stadium,John Brooks,Match Report,
2021,Regular Season,18,Sat,2020-12-12,15:00,QPR,0–1,Reading,2000,Loftus Road Stadium,Tony Harrington,Match Report,
