rk,team,league,str,ofs,dfs,sos
163,FC Augsburg,German Bundesliga,1.673,1.292,0.772,1.426
164,Goianiense,Brasileirao B,1.672,1.305,0.780,1.090
165,Lille,French Ligue 1,1.671,1.182,0.707,1.318
166,Hull City,English Premier League,1.670,1.368,0.819,1.363
167,FK Rubin Kazan,Russian Premier League,1.669,1.219,0.730,1.232
168,Vélez Sarsfield,Primera División de Argentina,1.662,1.265,0.761,1.314
169,FC Ingolstadt 04,German Bundesliga,1.649,1.274,0.773,1.393
170,San Martín de San Juan,Primera División de Argentina,1.649,1.312,0.796,1.334
171,Chievo Verona,Italian Serie A,1.641,1.278,0.779,1.279
172,Bahia,Brasileirao B,1.637,1.246,0.761,1.091
173,Atlanta,Primera Division B de Argentina,1.629,1.303,0.800,1.099
174,Vissel Kobe,Japanese J League,1.628,1.424,0.875,1.146
175,Guimaraes,Portuguese Liga,1.619,1.331,0.822,1.135
176,Sanfrecce Hiroshima,Japanese J League,1.619,1.359,0.839,1.085
177,Girona,Spanish Segunda Division,1.612,1.309,0.812,1.096
178,FC Ufa,Russian Premier League,1.610,1.025,0.637,1.232
179,Colo Colo,Primera División de Chile,1.607,1.351,0.841,1.087
180,Deportivo Morón,Primera Division B de Argentina,1.604,1.195,0.745,1.114
181,Dijon FCO,French Ligue 1,1.604,1.342,0.837,1.295
182,Olimpo de Bahía Blanca,Primera División de Argentina,1.594,1.086,0.682,1.318
183,Fulham,English League Championship,1.591,1.470,0.924,1.096
184,CR Vasco da Gama,Brasileirao B,1.591,1.287,0.809,1.168
185,Arsenal de Sarandí,Primera División de Argentina,1.586,1.276,0.804,1.319
186,Hamburg SV,German Bundesliga,1.579,1.339,0.848,1.415
187,Santa Cruz FC,Futebol Brasileiro,1.575,1.418,0.900,1.359
188,Atlético Junior,Fútbol Profesional Colombiano,1.571,1.226,0.780,1.189
189,Morelia,Mexican Liga MX,1.570,1.510,0.962,1.288
190,Sarmiento de Junín,Primera División de Argentina,1.568,1.128,0.720,1.322
191,Santos,Mexican Liga MX,1.566,1.302,0.832,1.279
192,Galatasaray,Turkish Super Lig,1.561,1.421,0.910,1.115
193,Figueirense FC,Futebol Brasileiro,1.554,1.191,0.766,1.349
194,Terek Grozny,Russian Premier League,1.554,1.218,0.784,1.233
195,Bologna,Italian Serie A,1.545,1.220,0.789,1.280
196,Aldosivi,Primera División de Argentina,1.540,1.157,0.751,1.330
197,KAA Gent,Belgian Jupiler League,1.533,1.249,0.815,1.100
198,Querétaro,Mexican Liga MX,1.532,1.241,0.810,1.275
199,Deportivo Cali,Fútbol Profesional Colombiano,1.531,1.357,0.886,1.196
200,Kashiwa Reysol,Japanese J League,1.531,1.355,0.885,1.148
