Round Number,Date,Location,Home Team,Away Team,Result
13,21/03/2021 07:40,McDonald Jones Stadium,Newcastle Jets,Adelaide United,1 - 4
13,22/03/2021 08:05,AAMI Park,Melbourne City FC,Central Coast Mariners,2 - 0
13,24/03/2021 08:05,WIN Stadium,Wellington Phoenix,Melbourne Victory,4 - 1
13,24/03/2021 10:20,HBF Park,Perth Glory,Sydney FC,1 - 1
14,26/03/2021 08:05,AAMI Park,Melbourne City FC,Western Sydney Wanderers FC,4 - 1
14,27/03/2021 06:05,Moreton Daily Stadium,Brisbane Roar FC,Western United FC,
14,27/03/2021 08:10,Central Coast Stadium,Central Coast Mariners,Melbourne Victory,1 - 1
14,27/03/2021 10:20,HBF Park,Perth Glory,Newcastle Jets,2 - 1
14,28/03/2021 05:05,WIN Stadium,Wellington Phoenix,Macarthur FC,0 - 1
14,28/03/2021 07:10,Coopers Stadium,Adelaide United,Sydney FC,1 - 0
15,01/04/2021 06:35,AAMI Park,Western United FC,Melbourne City FC,2 - 1
15,01/04/2021 08:40,Central Coast Stadium,Central Coast Mariners,Adelaide United,2 - 1
15,02/04/2021 07:05,Campbelltown Stadium,Macarthur FC,Perth Glory,2 - 0
15,03/04/2021 08:05,Moreton Daily Stadium,Brisbane Roar FC,Western Sydney Wanderers FC,1 - 1
15,04/04/2021 09:05,AAMI Park,Melbourne Victory,Sydney FC,0 - 3
15,05/04/2021 07:05,McDonald Jones Stadium,Newcastle Jets,Western United FC,0 - 1
15,05/04/2021 09:10,WIN Stadium,Wellington Phoenix,Melbourne City FC,2 - 3
15,06/04/2021 09:05,Bankwest Stadium,Western Sydney Wanderers FC,Central Coast Mariners,2 - 2
15,07/04/2021 09:05,Netstrata Jubilee Stadium,Sydney FC,Perth Glory,
16,09/04/2021 09:05,Campbelltown Stadium,Macarthur FC,Brisbane Roar FC,
16,10/04/2021 05:05,McDonald Jones Stadium,Newcastle Jets,Melbourne Victory,
16,10/04/2021 07:05,Leichhardt Oval,Sydney FC,Melbourne City FC,
16,10/04/2021 09:10,Coopers Stadium,Adelaide United,Western Sydney Wanderers FC,
16,11/04/2021 09:05,WIN Stadium,Wellington Phoenix,Western United FC,
16,13/04/2021 09:05,TBC,Newcastle Jets,Perth Glory,
16,14/04/2021 09:35,Coopers Stadium,Adelaide United,Macarthur FC,
17,16/04/2021 09:05,Bankwest Stadium,Western Sydney Wanderers FC,Brisbane Roar FC,
17,17/04/2021 07:05,UTAS Stadium,Western United FC,Central Coast Mariners,
17,17/04/2021 09:10,AAMI Park,Melbourne City FC,Melbourne Victory,
17,18/04/2021 06:05,Leichhardt Oval,Sydney FC,Adelaide United,
17,18/04/2021 08:10,Campbelltown Stadium,Macarthur FC,Newcastle Jets,
17,18/04/2021 10:15,HBF Park,Perth Glory,Wellington Phoenix,
18,22/04/2021 09:05,UTAS Stadium,Western United FC,Wellington Phoenix,
18,23/04/2021 09:05,Marvel Stadium,Melbourne Victory,Western Sydney Wanderers FC,
18,24/04/2021 07:05,Central Coast Stadium,Central Coast Mariners,Sydney FC,
18,24/04/2021 09:10,Campbelltown Stadium,Macarthur FC,Melbourne City FC,
18,25/04/2021 04:05,Moreton Daily Stadium,Brisbane Roar FC,Perth Glory,
18,25/04/2021 06:10,WIN Stadium,Wellington Phoenix,Adelaide United,
18,27/04/2021 09:35,Netstrata Jubilee Stadium,Sydney FC,Melbourne Victory,
18,28/04/2021 09:05,Central Coast Stadium,Central Coast Mariners,Brisbane Roar FC,
19,29/04/2021 09:05,AAMI Park,Melbourne City FC,Newcastle Jets,
19,30/04/2021 09:35,Coopers Stadium,Adelaide United,Western United FC,
19,30/04/2021 11:40,HBF Park,Perth Glory,Macarthur FC,
19,01/05/2021 07:05,Moreton Daily Stadium,Brisbane Roar FC,Wellington Phoenix,
19,01/05/2021 09:10,Bankwest Stadium,Western Sydney Wanderers FC,Sydney FC,
19,02/05/2021 06:05,AAMI Park,Melbourne Victory,Central Coast Mariners,
19,05/05/2021 09:05,TBC,Western United FC,Newcastle Jets,
19,05/05/2021 11:20,HBF Park,Perth Glory,Melbourne City FC,
20,06/05/2021 09:05,AAMI Park,Melbourne Victory,Macarthur FC,
20,07/05/2021 09:35,Coopers Stadium,Adelaide United,Wellington Phoenix,
20,08/05/2021 07:05,McDonald Jones Stadium,Newcastle Jets,Sydney FC,
20,08/05/2021 09:10,Bankwest Stadium,Western Sydney Wanderers FC,Western United FC,
20,09/05/2021 06:05,AAMI Park,Melbourne City FC,Brisbane Roar FC,
20,09/05/2021 08:10,HBF Park,Perth Glory,Melbourne Victory,
20,12/05/2021 09:05,Moreton Daily Stadium,Brisbane Roar FC,Central Coast Mariners,
20,12/05/2021 11:20,HBF Park,Perth Glory,Western United FC,
21,13/05/2021 09:05,AAMI Park,Melbourne City FC,Adelaide United,
21,14/05/2021 09:05,Campbelltown Stadium,Macarthur FC,Melbourne Victory,
21,15/05/2021 07:05,TBC,Western United FC,Sydney FC,
21,15/05/2021 09:10,McDonald Jones Stadium,Newcastle Jets,Central Coast Mariners,
21,16/05/2021 06:05,AAMI Park,Melbourne City FC,Wellington Phoenix,
21,16/05/2021 08:10,Coopers Stadium,Adelaide United,Brisbane Roar FC,
21,16/05/2021 10:15,HBF Park,Perth Glory,Western Sydney Wanderers FC,
