Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,1,Mon,2020-07-13,09:00,Toronto FC,2.4,2–2,1.2,D.C. United,,ESPN Wide World of Sports Complex,Fotis Bazakos,Match Report,
Group Stage,1,Mon,2020-07-13,20:00,Los Angeles FC,2.8,3–3,1.3,Houston,,ESPN Wide World of Sports Complex,Tim Ford,Match Report,
Group Stage,1,Mon,2020-07-13,22:30,LA Galaxy,1.8,1–2,1.5,Portland,,ESPN Wide World of Sports Complex,Ramy Touchan,Match Report,
,,,,,,,,,,,,,,
Group Stage,2,Tue,2020-07-14,09:00,Chicago,1.0,2–1,1.0,Seattle,,ESPN Wide World of Sports Complex,Rosendo Mendoza,Match Report,
Group Stage,2,Tue,2020-07-14,20:00,NYCFC,1.9,1–3,1.9,Orlando City,,ESPN Wide World of Sports Complex,Robert Sibiga,Match Report,
Group Stage,2,Tue,2020-07-14,22:30,Philadelphia,0.7,2–1,1.3,Miami,,ESPN Wide World of Sports Complex,Silviu Petrescu,Match Report,
Group Stage,2,Wed,2020-07-15,21:00,Vancouver,1.0,3–4,2.3,San Jose,,ESPN Wide World of Sports Complex,Marcos de Oliveira,Match Report,
Group Stage,2,Thu,2020-07-16,09:00,Atlanta,0.4,0–1,1.1,FC Cincinnati,,ESPN Wide World of Sports Complex,Victor Rivas,Match Report,
Group Stage,2,Thu,2020-07-16,20:00,Montreal,2.6,3–4,1.8,Toronto FC,,ESPN Wide World of Sports Complex,Jair Marrufo,Match Report,
Group Stage,2,Thu,2020-07-16,22:30,Columbus,1.7,2–0,0.4,NY Red Bulls,,ESPN Wide World of Sports Complex,Ramy Touchan,Match Report,
Group Stage,2,Fri,2020-07-17,20:00,Sporting KC,2.3,3–2,0.5,Colorado,,ESPN Wide World of Sports Complex,Dave Gantar,Match Report,
Group Stage,2,Fri,2020-07-17,20:00,D.C. United,0.7,1–1,1.2,New England,,ESPN Wide World of Sports Complex,Joe Dickerson,Match Report,
Group Stage,2,Fri,2020-07-17,22:30,Real Salt Lake,0.7,0–0,1.2,Minnesota,,ESPN Wide World of Sports Complex,Alex Chilowicz,Match Report,
Group Stage,2,Sat,2020-07-18,20:00,Portland,1.2,2–1,2.0,Houston,,ESPN Wide World of Sports Complex,Ismail Elfath,Match Report,
Group Stage,2,Sat,2020-07-18,22:30,Los Angeles FC,3.4,6–2,1.1,LA Galaxy,,ESPN Wide World of Sports Complex,Allen Chapman,Match Report,
,,,,,,,,,,,,,,
Group Stage,3,Sun,2020-07-19,20:00,Chicago,0.5,0–2,0.8,San Jose,,ESPN Wide World of Sports Complex,Ramy Touchan,Match Report,
Group Stage,3,Sun,2020-07-19,22:30,Seattle,2.8,3–0,0.6,Vancouver,,ESPN Wide World of Sports Complex,Robert Sibiga,Match Report,
Group Stage,3,Mon,2020-07-20,09:00,Miami,0.3,0–1,0.8,NYCFC,,ESPN Wide World of Sports Complex,Rosendo Mendoza,Match Report,
Group Stage,3,Mon,2020-07-20,20:00,Philadelphia,0.6,1–1,1.0,Orlando City,,ESPN Wide World of Sports Complex,Rubiel Vazquez,Match Report,
Group Stage,3,Tue,2020-07-21,09:00,Toronto FC,1.5,0–0,1.0,New England,,ESPN Wide World of Sports Complex,Jair Marrufo,Match Report,
Group Stage,3,Tue,2020-07-21,20:00,Atlanta,0.8,0–1,1.1,Columbus,,ESPN Wide World of Sports Complex,Tim Ford,Match Report,
Group Stage,3,Tue,2020-07-21,22:30,Montreal,0.3,1–0,0.5,D.C. United,,ESPN Wide World of Sports Complex,Alex Chilowicz,Match Report,
Group Stage,3,Wed,2020-07-22,07:00 (09:00),Real Salt Lake,0.2,0–2,1.2,Sporting KC,,ESPN Wide World of Sports Complex,Fotis Bazakos,Match Report,
Group Stage,3,Wed,2020-07-22,20:00,FC Cincinnati,0.2,2–0,1.1,NY Red Bulls,,ESPN Wide World of Sports Complex,Marcos de Oliveira,Match Report,
Group Stage,3,Wed,2020-07-22,22:30,Colorado,1.6,2–2,1.7,Minnesota,,ESPN Wide World of Sports Complex,Guido Gonzalez Jr.,Match Report,
,,,,,,,,,,,,,,
Group Stage,1,Thu,2020-07-23,09:00,Chicago,2.2,0–2,1.3,Vancouver,,ESPN Wide World of Sports Complex,Armando Villarreal,Match Report,
,,,,,,,,,,,,,,
Group Stage,3,Thu,2020-07-23,20:00,LA Galaxy,1.6,1–1,1.1,Houston,,ESPN Wide World of Sports Complex,Victor Rivas,Match Report,
Group Stage,3,Thu,2020-07-23,22:30,Los Angeles FC,1.3,2–2,1.1,Portland,,ESPN Wide World of Sports Complex,Drew Fischer,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Sat,2020-07-25,20:00,Orlando City,2.2,1–0,0.4,Montreal,,ESPN Wide World of Sports Complex,Marcos de Oliveira,Match Report,
Round of 16,,Sat,2020-07-25,22:30,Philadelphia,0.7,1–0,1.0,New England,,ESPN Wide World of Sports Complex,Ismail Elfath,Match Report,
Round of 16,,Sun,2020-07-26,20:30,Toronto FC,1.2,1–3,1.9,NYCFC,,ESPN Wide World of Sports Complex,Alex Chilowicz,Match Report,
Round of 16,,Sun,2020-07-26,23:00,Sporting KC,4.5,0–0,1.5,Vancouver,,ESPN Wide World of Sports Complex,Victor Rivas,Match Report,Sporting KC won on penalty kicks following normal time
Round of 16,,Mon,2020-07-27,20:30,San Jose,3.1,5–2,1.0,Real Salt Lake,,ESPN Wide World of Sports Complex,Drew Fischer,Match Report,
Round of 16,,Mon,2020-07-27,23:00,Seattle,1.2,1–4,3.8,Los Angeles FC,,ESPN Wide World of Sports Complex,Jair Marrufo,Match Report,
Round of 16,,Tue,2020-07-28,20:00,Columbus,3.4,1–1,1.4,Minnesota,,ESPN Wide World of Sports Complex,Allen Chapman,Match Report,Minnesota won on penalty kicks following normal time
Round of 16,,Tue,2020-07-28,22:30,Portland,2.4,1–1,2.7,FC Cincinnati,,ESPN Wide World of Sports Complex,Armando Villarreal,Match Report,Portland won on penalty kicks following normal time
Quarterfinals,,Thu,2020-07-30,20:00,Philadelphia,2.4,3–1,1.4,Sporting KC,,ESPN Wide World of Sports Complex,Ramy Touchan,Match Report,
Quarterfinals,,Fri,2020-07-31,19:30,Orlando City,2.4,1–1,2.4,Los Angeles FC,,ESPN Wide World of Sports Complex,Joe Dickerson,Match Report,Orlando City won on penalty kicks following normal time
Quarterfinals,,Sat,2020-08-01,20:00,San Jose,1.2,1–4,3.2,Minnesota,,ESPN Wide World of Sports Complex,Jair Marrufo,Match Report,
Quarterfinals,,Sat,2020-08-01,22:30,NYCFC,1.2,1–3,1.6,Portland,,ESPN Wide World of Sports Complex,Robert Sibiga,Match Report,
Semifinals,,Wed,2020-08-05,20:00,Philadelphia,2.0,1–2,1.2,Portland,,ESPN Wide World of Sports Complex,Allen Chapman,Match Report,
Semifinals,,Thu,2020-08-06,20:00,Orlando City,2.0,3–1,1.1,Minnesota,,ESPN Wide World of Sports Complex,Drew Fischer,Match Report,
Final,,Tue,2020-08-11,20:30,Portland,1.4,2–1,0.9,Orlando City,,ESPN Wide World of Sports Complex,Ismail Elfath,Match Report,
Regular Season,,Wed,2020-08-12,19:30 (20:30),FC Dallas,1.1,0–1,0.4,Nashville,,Toyota Stadium,Armando Villarreal,Match Report,
Regular Season,,Sun,2020-08-16,23:00 (00:00),FC Dallas,0.4,0–0,1.2,Nashville,222,Toyota Stadium,Rosendo Mendoza,Match Report,
Regular Season,,Tue,2020-08-18,20:00,Toronto FC,1.7,3–0,0.5,Vancouver,,BMO Field,Dave Gantar,Match Report,
Regular Season,,Thu,2020-08-20,19:00,NY Red Bulls,0.6,1–0,0.6,NYCFC,,Red Bull Arena,Allen Chapman,Match Report,
Regular Season,,Thu,2020-08-20,19:30,New England,1.1,0–0,0.9,Philadelphia,,Gillette Stadium,Robert Sibiga,Match Report,
Regular Season,,Thu,2020-08-20,19:30,Columbus,1.9,3–0,0.7,Chicago,,MAPFRE Stadium,Guido Gonzalez Jr.,Match Report,
Regular Season,,Fri,2020-08-21,18:30 (19:30),Minnesota,0.8,1–2,1.1,Sporting KC,,Allianz Field,Ramy Touchan,Match Report,
Regular Season,,Fri,2020-08-21,19:30,FC Cincinnati,0.8,0–0,0.4,D.C. United,,Nippert Stadium,Rubiel Vazquez,Match Report,
Regular Season,,Fri,2020-08-21,19:00 (20:00),Houston,1.4,0–0,0.3,FC Dallas,,BBVA Compass Stadium,Alex Chilowicz,Match Report,
Regular Season,,Fri,2020-08-21,20:00,Toronto FC,1.9,1–0,0.3,Vancouver,,BMO Field,Silviu Petrescu,Match Report,
Regular Season,,Sat,2020-08-22,15:00 (18:00),Los Angeles FC,0.4,0–2,1.2,LA Galaxy,,Banc of California Stadium,Ismail Elfath,Match Report,
Regular Season,,Sat,2020-08-22,19:00,Atlanta,1.1,2–0,1.3,Nashville,,Mercedes-Benz Stadium,Ted Unkel,Match Report,
Regular Season,,Sat,2020-08-22,20:00,Miami,0.9,3–2,0.7,Orlando City,,Lockhart Stadium,Armando Villarreal,Match Report,
Regular Season,,Sat,2020-08-22,19:00 (21:00),Colorado,1.2,1–4,1.4,Real Salt Lake,,Dick's Sporting Goods Park,Fotis Bazakos,Match Report,
Regular Season,,Sun,2020-08-23,19:00 (22:00),Portland,0.8,0–3,1.5,Seattle,,Providence Park,Jair Marrufo,Match Report,
Regular Season,,Mon,2020-08-24,19:00,NYCFC,1.9,1–0,0.4,Columbus,,Red Bull Arena,Nima Saghafi,Match Report,
Regular Season,,Tue,2020-08-25,19:00,D.C. United,1.4,1–2,0.5,New England,,Audi Field,Guido Gonzalez Jr.,Match Report,
Regular Season,,Tue,2020-08-25,18:30 (19:30),Chicago,1.6,3–0,0.6,FC Cincinnati,,Soldier Field,Elton Garcia,Match Report,
Regular Season,,Tue,2020-08-25,19:30,Philadelphia,2.0,1–0,0.6,NY Red Bulls,,Subaru Park,Rubiel Vazquez,Match Report,
Regular Season,,Tue,2020-08-25,20:00,Montreal,0.9,2–0,1.5,Vancouver,,Saputo Stadium,Drew Fischer,Match Report,
Regular Season,,Tue,2020-08-25,19:30 (20:30),Sporting KC,1.9,2–5,2.6,Houston,,Children's Mercy Park,Joe Dickerson,Match Report,
Regular Season,,Wed,2020-08-26,19:30,Orlando City,2.2,3–1,1.8,Nashville,,Exploria Stadium,Marcos de Oliveira,Match Report,
Regular Season,,Fri,2020-08-28,20:00,Montreal,0.1,0–1,1.3,Toronto FC,,Saputo Stadium,Dave Gantar,Match Report,
Regular Season,,Sat,2020-08-29,15:30,Atlanta,0.6,1–3,2.5,Orlando City,,Mercedes-Benz Stadium,Nima Saghafi,Match Report,
Regular Season,,Sat,2020-08-29,19:30,FC Cincinnati,0.6,0–0,0.6,Columbus,,Nippert Stadium,Ted Unkel,Match Report,
Regular Season,,Sat,2020-08-29,19:30,NYCFC,2.5,3–1,1.5,Chicago,,Red Bull Arena,Rubiel Vazquez,Match Report,
Regular Season,,Sat,2020-08-29,19:30,Philadelphia,3.3,4–1,1.1,D.C. United,,Subaru Park,Fotis Bazakos,Match Report,
Regular Season,,Sat,2020-08-29,20:00,New England,2.1,1–1,1.1,NY Red Bulls,,Gillette Stadium,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-08-29,19:30 (20:30),FC Dallas,1.8,3–1,0.6,Minnesota,3212,Toyota Stadium,Joe Dickerson,Match Report,
Regular Season,,Sat,2020-08-29,19:00 (21:00),Colorado,1.3,1–1,0.5,Sporting KC,,Dick's Sporting Goods Park,Armando Villarreal,Match Report,
Regular Season,,Sat,2020-08-29,19:30 (22:30),LA Galaxy,2.8,3–2,0.9,San Jose,,Dignity Health Sports Park,Victor Rivas,Match Report,
Regular Season,,Sat,2020-08-29,19:30 (22:30),Portland,2.1,4–4,2.4,Real Salt Lake,,Providence Park,Ismail Elfath,Match Report,
Regular Season,,Sun,2020-08-30,19:30 (20:30),Nashville,1.4,1–0,1.6,Miami,,Nissan Stadium,Rosendo Mendoza,Match Report,
Regular Season,,Sun,2020-08-30,19:00 (22:00),Seattle,1.6,3–1,1.2,Los Angeles FC,,CenturyLink Field,Kevin Stott,Match Report,
Regular Season,,Tue,2020-09-01,20:00,Toronto FC,2.3,0–1,0.8,Montreal,,BMO Field,Drew Fischer,Match Report,
Regular Season,,Wed,2020-09-02,19:00,Atlanta,0.4,0–0,1.4,Miami,,Mercedes-Benz Stadium,Guido Gonzalez Jr.,Match Report,
Regular Season,,Wed,2020-09-02,19:30,NY Red Bulls,1.4,0–1,0.6,D.C. United,,Red Bull Arena,Nima Saghafi,Match Report,
Regular Season,,Wed,2020-09-02,19:30,Columbus,0.6,1–0,1.1,Philadelphia,,MAPFRE Stadium,Robert Sibiga,Match Report,
Regular Season,,Wed,2020-09-02,19:30,FC Cincinnati,1.0,0–0,0.6,Chicago,,Nippert Stadium,Marcos de Oliveira,Match Report,
Regular Season,,Wed,2020-09-02,19:00 (20:00),Houston,3.0,3–0,0.7,Minnesota,,BBVA Compass Stadium,Allen Chapman,Match Report,
Regular Season,,Wed,2020-09-02,20:00,New England,0.8,0–2,0.8,NYCFC,,Gillette Stadium,Armando Villarreal,Match Report,
Regular Season,,Wed,2020-09-02,19:30 (20:30),Sporting KC,2.6,1–1,1.0,FC Dallas,,Children's Mercy Park,Ramy Touchan,Match Report,
Regular Season,,Wed,2020-09-02,19:30 (20:30),Nashville,0.8,1–1,0.5,Orlando City,,Nissan Stadium,Jair Marrufo,Match Report,
Regular Season,,Wed,2020-09-02,19:30 (21:30),Real Salt Lake,0.7,2–2,1.1,Seattle,4026,Rio Tinto Stadium,Malik Badawi,Match Report,
Regular Season,,Wed,2020-09-02,19:30 (22:30),Portland,1.2,2–3,1.7,LA Galaxy,,Providence Park,Joe Dickerson,Match Report,
Regular Season,,Wed,2020-09-02,20:00 (23:00),Los Angeles FC,2.7,5–1,0.3,San Jose,,Banc of California Stadium,Alex Chilowicz,Match Report,
Regular Season,,Sat,2020-09-05,19:00 (20:00),Houston,2.5,2–1,1.3,Sporting KC,,BBVA Compass Stadium,Tim Ford,Match Report,
Regular Season,,Sat,2020-09-05,20:00,Orlando City,2.2,1–1,0.8,Atlanta,,Exploria Stadium,Victor Rivas,Match Report,
Regular Season,,Sat,2020-09-05,18:30 (21:30),Vancouver,0.9,3–2,2.3,Toronto FC,,BC Place,Silviu Petrescu,Match Report,
Regular Season,,Sat,2020-09-05,19:30 (22:30),San Jose,1.4,1–1,1.2,Colorado,,Avaya Stadium,Kevin Stott,Match Report,
Regular Season,,Sun,2020-09-06,19:00,D.C. United,0.0,0–0,1.8,NYCFC,,Audi Field,Ted Unkel,Match Report,
Regular Season,,Sun,2020-09-06,19:00,NY Red Bulls,1.0,0–3,0.9,Philadelphia,,Red Bull Arena,Rosendo Mendoza,Match Report,
Regular Season,,Sun,2020-09-06,18:30 (19:30),Chicago,1.7,1–2,0.9,New England,,Soldier Field,Robert Sibiga,Match Report,
Regular Season,,Sun,2020-09-06,19:30,Columbus,2.3,3–0,0.4,FC Cincinnati,1500,MAPFRE Stadium,Guido Gonzalez Jr.,Match Report,
Regular Season,,Sun,2020-09-06,19:00 (20:00),Minnesota,2.2,4–0,0.3,Real Salt Lake,,Allianz Field,Marcos de Oliveira,Match Report,
Regular Season,,Sun,2020-09-06,20:00,Miami,1.4,0–0,1.7,Nashville,,Lockhart Stadium,Nima Saghafi,Match Report,
Regular Season,,Sun,2020-09-06,19:00 (22:00),Seattle,1.2,1–2,1.6,Portland,,CenturyLink Field,Ismail Elfath,Match Report,
Regular Season,,Sun,2020-09-06,19:30 (22:30),LA Galaxy,1.2,3–0,1.3,Los Angeles FC,,Dignity Health Sports Park,Allen Chapman,Match Report,
Regular Season,,Wed,2020-09-09,19:00 (20:00),Minnesota,2.1,3–2,2.5,FC Dallas,,Allianz Field,Alex Chilowicz,Match Report,
Regular Season,,Wed,2020-09-09,20:00,Montreal,1.1,1–2,2.1,Toronto FC,,Saputo Stadium,Dave Gantar,Match Report,
Regular Season,,Wed,2020-09-09,20:00,Miami,0.8,2–1,1.5,Atlanta,,Lockhart Stadium,Robert Sibiga,Match Report,
Regular Season,,Wed,2020-09-09,19:00 (21:00),Colorado,2.6,1–1,1.0,Houston,,Dick's Sporting Goods Park,Fotis Bazakos,Match Report,
Regular Season,,Wed,2020-09-09,19:30 (21:30),Real Salt Lake,1.9,3–0,1.3,Los Angeles FC,4147,Rio Tinto Stadium,Victor Rivas,Match Report,
Regular Season,,Thu,2020-09-10,19:00 (22:00),Seattle,4.8,7–1,1.3,San Jose,,CenturyLink Field,Allen Chapman,Match Report,
Regular Season,,Sat,2020-09-12,14:30 (15:30),Chicago,2.7,2–2,1.8,Columbus,,Soldier Field,Jon Freemon,Match Report,
Regular Season,,Sat,2020-09-12,19:00,D.C. United,0.9,0–2,1.9,NY Red Bulls,,Audi Field,Marcos de Oliveira,Match Report,
Regular Season,,Sat,2020-09-12,19:00,NYCFC,1.6,2–1,1.9,FC Cincinnati,,Red Bull Arena,Rubiel Vazquez,Match Report,
Regular Season,,Sat,2020-09-12,19:30,Orlando City,0.7,2–1,0.8,Miami,,Exploria Stadium,Ismail Elfath,Match Report,
Regular Season,,Sat,2020-09-12,19:30,Philadelphia,1.9,2–1,1.1,New England,,Subaru Park,Guido Gonzalez Jr.,Match Report,
Regular Season,,Sat,2020-09-12,19:30 (20:30),FC Dallas,1.0,2–1,1.8,Houston,,Toyota Stadium,Joe Dickerson,Match Report,
Regular Season,,Sat,2020-09-12,19:30 (20:30),Nashville,1.8,4–2,1.1,Atlanta,,Nissan Stadium,Armando Villarreal,Match Report,
Regular Season,,Sat,2020-09-12,19:30 (21:30),Real Salt Lake,0.7,0–5,2.9,Colorado,,Rio Tinto Stadium,Ramy Touchan,Match Report,
Regular Season,,Sun,2020-09-13,19:30 (20:30),Sporting KC,2.9,1–0,0.4,Minnesota,,Children's Mercy Park,Kevin Stott,Match Report,
Regular Season,,Sun,2020-09-13,18:30 (21:30),Vancouver,1.2,2–4,2.8,Montreal,,BC Place,Pierre-Luc Lauziere,Match Report,
Regular Season,,Sun,2020-09-13,20:00 (23:00),Los Angeles FC,2.7,4–2,1.1,Portland,,Banc of California Stadium,Jair Marrufo,Match Report,
Regular Season,,Sun,2020-09-13,20:00 (23:00),San Jose,0.7,0–0,0.5,LA Galaxy,,Avaya Stadium,Tim Ford,Match Report,
Regular Season,,Wed,2020-09-16,19:30 (20:30),FC Dallas,1.0,4–1,1.2,Colorado,,Toyota Stadium,Ismail Elfath,Match Report,
Regular Season,,Wed,2020-09-16,18:30 (21:30),Vancouver,2.1,3–1,1.2,Montreal,,BC Place,Drew Fischer,Match Report,
Regular Season,,Wed,2020-09-16,18:30 (21:30),San Jose,2.6,1–1,0.9,Portland,,Avaya Stadium,Alex Chilowicz,Match Report,
Regular Season,,Fri,2020-09-18,19:00 (22:00),Seattle,2.4,3–0,0.8,Los Angeles FC,,CenturyLink Field,Joe Dickerson,Match Report,
Regular Season,,Sat,2020-09-19,14:30 (15:30),Sporting KC,1.8,2–3,2.2,FC Dallas,,Children's Mercy Park,Alex Chilowicz,Match Report,
Regular Season,,Sat,2020-09-19,16:30,New England,0.8,0–0,0.7,NYCFC,,Gillette Stadium,Ramy Touchan,Match Report,
Regular Season,,Sat,2020-09-19,19:00,Atlanta,0.8,1–2,2.2,Miami,,Mercedes-Benz Stadium,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-09-19,19:00,NY Red Bulls,1.0,0–1,1.6,FC Cincinnati,,Red Bull Arena,Robert Sibiga,Match Report,
Regular Season,,Sat,2020-09-19,19:30,Columbus,1.2,2–0,0.9,Nashville,1500,MAPFRE Stadium,Silviu Petrescu,Match Report,
Regular Season,,Sat,2020-09-19,19:30,D.C. United,1.3,2–2,1.5,Toronto FC,,Audi Field,Armando Villarreal,Match Report,
Regular Season,,Sat,2020-09-19,19:30,Orlando City,2.0,4–1,4.0,Chicago,,Exploria Stadium,Nima Saghafi,Match Report,
Regular Season,,Sat,2020-09-19,19:00 (20:00),Houston,2.2,2–2,1.2,Minnesota,2486,BBVA Compass Stadium,Victor Rivas,Match Report,
Regular Season,,Sat,2020-09-19,19:30 (21:30),Real Salt Lake,1.9,1–2,1.3,Vancouver,3409,Rio Tinto Stadium,Kevin Stott,Match Report,
Regular Season,,Sat,2020-09-19,19:30 (22:30),San Jose,1.4,1–6,3.3,Portland,,Avaya Stadium,Rosendo Mendoza,Match Report,
Regular Season,,Sat,2020-09-19,19:30 (22:30),LA Galaxy,1.0,0–2,2.1,Colorado,,Dignity Health Sports Park,Ted Unkel,Match Report,
Regular Season,,Sun,2020-09-20,19:00,Montreal,0.8,1–4,2.8,Philadelphia,,Red Bull Arena,Marcos de Oliveira,Match Report,
Regular Season,,Wed,2020-09-23,17:00,New England,1.9,3–1,1.1,Montreal,,Gillette Stadium,Fotis Bazakos,Match Report,
Regular Season,,Wed,2020-09-23,19:00,NYCFC,1.5,0–1,1.3,Toronto FC,,Red Bull Arena,Joe Dickerson,Match Report,
Regular Season,,Wed,2020-09-23,19:00,Atlanta,1.6,1–0,0.7,FC Dallas,,Mercedes-Benz Stadium,Tim Ford,Match Report,
Regular Season,,Wed,2020-09-23,18:30 (19:30),Chicago,3.1,4–0,0.4,Houston,,Soldier Field,Marcos de Oliveira,Match Report,
Regular Season,,Wed,2020-09-23,18:30 (19:30),Sporting KC,1.4,1–2,1.1,Orlando City,,Children's Mercy Park,Victor Rivas,Match Report,
Regular Season,,Wed,2020-09-23,19:30,FC Cincinnati,0.6,0–0,0.3,Philadelphia,,Nippert Stadium,Guido Gonzalez Jr.,Match Report,
Regular Season,,Wed,2020-09-23,19:30,Columbus,1.9,2–1,0.7,Minnesota,,MAPFRE Stadium,Ismail Elfath,Match Report,
Regular Season,,Wed,2020-09-23,20:00,Miami,1.3,1–4,2.8,NY Red Bulls,,Lockhart Stadium,Alex Chilowicz,Match Report,
Regular Season,,Wed,2020-09-23,19:30 (20:30),Nashville,0.9,1–0,0.7,D.C. United,,Nissan Stadium,Tori Penso,Match Report,
Regular Season,,Wed,2020-09-23,19:00 (21:00),Colorado,2.0,5–0,0.7,San Jose,,Dick's Sporting Goods Park,Drew Fischer,Match Report,
Regular Season,,Wed,2020-09-23,19:30 (21:30),Real Salt Lake,1.6,2–0,0.5,LA Galaxy,3943,Rio Tinto Stadium,Silviu Petrescu,Match Report,
