Season,Round,Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,,Sat,2021-05-22,20:00,Houston Dynamo,1.1,2–1,1.1,Vancouver,9255,BBVA Compass Stadium,Dave Gantar,Match Report,
2021,,,Sat,2021-05-22,19:00,San Jose,1.9,1–3,2.0,Sporting KC,,Avaya Stadium,Allen Chapman,Match Report,
2021,,,Sat,2021-05-22,19:30,Los Angeles FC,1.4,2–1,1.7,Colorado Rapids,10483,Banc of California Stadium,Ismail Elfath,Match Report,
2021,,,Sun,2021-05-23,13:30,Seattle,0.3,1–1,1.1,Atlanta Utd,11011,CenturyLink Field,Kevin Stott,Match Report,
2021,,,Sun,2021-05-23,19:15,D.C. United,1.4,0–1,1.0,Philadelphia,6200,Audi Field,Tim Ford,Match Report,
2021,,,Sun,2021-05-23,20:00,Nashville,2.4,1–0,0.6,Austin FC,22421,Nissan Stadium,Chris Penso,Match Report,
2021,,,Sat,2021-05-29,12:00,Chicago Fire,2.0,0–1,0.6,CF Montréal,6680,Soldier Field,Victor Rivas,Match Report,
2021,,,Sat,2021-05-29,13:00,NY Red Bulls,1.8,2–1,1.1,Orlando City,,Red Bull Arena,Ismail Elfath,Match Report,
2021,,,Sat,2021-05-29,15:00,Columbus Crew,1.1,2–1,1.1,Toronto FC,5700,Ohio Stadium,Allen Chapman,Match Report,
2021,,,Sat,2021-05-29,15:00,FC Cincinnati,0.7,0–1,1.7,New England,11000,West End Stadium,Dave Gantar,Match Report,
2021,,,Sat,2021-05-29,15:30,Atlanta Utd,1.1,2–2,1.8,Nashville,40748,Mercedes-Benz Stadium,Alan Kelly,Match Report,
2021,,,Sat,2021-05-29,14:00,Los Angeles FC,2.2,1–2,0.7,NYCFC,10703,Banc of California Stadium,Kevin Stott,Match Report,
2021,,,Sat,2021-05-29,16:00,LA Galaxy,1.7,1–0,2.6,San Jose,,Dignity Health Sports Park,Joe Dickerson,Match Report,
2021,,,Sat,2021-05-29,20:00,Inter Miami,0.7,0–3,1.6,D.C. United,,Lockhart Stadium,Armando Villarreal,Match Report,
2021,,,Sat,2021-05-29,19:30,Sporting KC,2.3,3–2,1.6,Houston Dynamo,20086,Children's Mercy Park,Drew Fischer,Match Report,
2021,,,Sat,2021-05-29,19:00,Colorado Rapids,1.9,3–0,1.4,FC Dallas,,Dick's Sporting Goods Park,Guido Gonzalez Jr.,Match Report,
2021,,,Sat,2021-05-29,19:30,Real Salt Lake,0.8,1–1,0.9,Minnesota Utd,10853,Rio Tinto Stadium,Jair Marrufo,Match Report,
