367411,371,60223B,West Ham United,382,5CBFEB,Manchester City
367412,359,EF0107,Arsenal,381,00a94f,Norwich City
367413,360,DA020E,Manchester United,376,00a94f,Southampton
367414,318,000000,Swansea City,366,EB172B,Sunderland
367415,362,7A003C,Aston Villa,367,000033,Tottenham Hotspur
367416,336,E03A3E,Stoke City,383,091453,West Bromwich Albion
367417,383,091453,West Bromwich Albion,359,EF0107,Arsenal
367418,306,F5A12D,Hull City,362,7A003C,Aston Villa
367419,381,00a94f,Norwich City,363,034694,Chelsea
367420,382,5CBFEB,Manchester City,368,274488,Everton
367421,366,EB172B,Sunderland,360,1a1a1a,Manchester United
367422,347,000099,Cardiff City,361,5CBFEB,Newcastle United
367423,370,1a1a1a,Fulham,336,E03A3E,Stoke City
367424,376,ED1A3B,Southampton,318,000000,Swansea City
367425,367,000033,Tottenham Hotspur,371,60223B,West Ham United
367426,318,000000,Swansea City,359,EF0107,Arsenal
367427,370,1a1a1a,Fulham,347,000099,Cardiff City
367428,367,000033,Tottenham Hotspur,363,034694,Chelsea
367429,366,EB172B,Sunderland,364,1a1a1a,Liverpool
367430,362,7A003C,Aston Villa,382,5CBFEB,Manchester City
367431,368,274488,Everton,361,5CBFEB,Newcastle United
367432,336,E03A3E,Stoke City,381,00a94f,Norwich City
367433,360,DA020E,Manchester United,383,091453,West Bromwich Albion
367434,306,F5A12D,Hull City,371,60223B,West Ham United
367435,381,00a94f,Norwich City,362,7A003C,Aston Villa
367436,371,60223B,West Ham United,368,274488,Everton
367437,363,034694,Chelsea,370,1a1a1a,Fulham
367438,361,5CBFEB,Newcastle United,306,F5A12D,Hull City
367439,382,5CBFEB,Manchester City,360,DA020E,Manchester United
367440,364,D00027,Liverpool,376,00a94f,Southampton
367441,359,EF0107,Arsenal,336,E03A3E,Stoke City
367442,383,091453,West Bromwich Albion,366,EB172B,Sunderland
367443,347,000099,Cardiff City,367,000033,Tottenham Hotspur
367444,366,EB172B,Sunderland,359,ffff00,Arsenal
367445,306,F5A12D,Hull City,347,000099,Cardiff City
