team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,tie_reg,win_ot,lose_ot,win_pk,lose_pk
England,2.0,Switzerland,0.9,0.779,0.221,0.648,0.149,0.203,0.087,0.029,0.044,0.044
England,0.6,USA,1.7,0.225,0.775,0.137,0.624,0.239,0.029,0.092,0.059,0.059
France,1.9,Australia,0.7,0.793,0.207,0.657,0.134,0.209,0.088,0.027,0.047,0.047
France,1.0,Brazil,0.6,0.632,0.368,0.438,0.213,0.349,0.088,0.049,0.106,0.106
France,2.3,Cameroon,0.2,0.944,0.056,0.847,0.024,0.129,0.069,0.004,0.027,0.027
France,0.9,Canada,0.6,0.601,0.399,0.411,0.239,0.350,0.084,0.054,0.106,0.106
France,1.5,China PR,0.3,0.833,0.167,0.663,0.079,0.258,0.098,0.017,0.072,0.072
France,1.9,Colombia,0.3,0.888,0.112,0.755,0.055,0.191,0.087,0.011,0.046,0.046
France,1.3,England,0.7,0.685,0.315,0.516,0.194,0.290,0.091,0.042,0.078,0.078
France,0.9,Germany,1.2,0.416,0.584,0.276,0.422,0.302,0.058,0.081,0.082,0.082
France,1.0,Japan,0.8,0.577,0.423,0.403,0.270,0.327,0.081,0.059,0.094,0.094
France,1.7,Korea Republic,0.4,0.840,0.160,0.691,0.086,0.223,0.093,0.018,0.056,0.056
France,1.7,Netherlands,0.6,0.795,0.205,0.643,0.121,0.236,0.093,0.025,0.059,0.059
France,1.6,Norway,0.6,0.784,0.216,0.629,0.127,0.244,0.093,0.027,0.062,0.062
France,1.4,Sweden,0.8,0.684,0.316,0.523,0.203,0.274,0.089,0.043,0.071,0.071
France,2.6,Switzerland,0.6,0.906,0.094,0.811,0.059,0.130,0.071,0.010,0.024,0.024
France,0.8,USA,1.1,0.406,0.594,0.263,0.425,0.312,0.056,0.082,0.087,0.087
Germany,2.6,Australia,0.7,0.871,0.129,0.767,0.085,0.148,0.077,0.015,0.028,0.028
Germany,1.3,Brazil,0.6,0.713,0.287,0.538,0.168,0.294,0.094,0.037,0.082,0.082
Germany,3.0,Cameroon,0.2,0.974,0.026,0.918,0.013,0.070,0.045,0.002,0.012,0.012
Germany,1.2,Canada,0.6,0.684,0.316,0.509,0.191,0.300,0.091,0.042,0.083,0.083
Germany,1.9,China PR,0.3,0.894,0.106,0.765,0.053,0.182,0.085,0.010,0.043,0.043
Germany,2.5,Colombia,0.3,0.938,0.062,0.846,0.033,0.121,0.067,0.006,0.024,0.024
Germany,1.7,England,0.7,0.772,0.228,0.625,0.143,0.232,0.091,0.029,0.056,0.056
Germany,1.2,France,0.9,0.584,0.416,0.422,0.276,0.302,0.081,0.058,0.082,0.082
Germany,1.3,Japan,0.8,0.664,0.336,0.502,0.216,0.282,0.088,0.046,0.074,0.074
Germany,2.2,Korea Republic,0.4,0.903,0.097,0.792,0.055,0.153,0.078,0.010,0.033,0.033
Germany,2.2,Netherlands,0.6,0.869,0.131,0.750,0.080,0.170,0.082,0.015,0.036,0.036
