Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,Wed,2021-01-20,17:00,Maritzburg Utd,0–3,TS Galaxy,,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
2021,,Sat,2021-01-23,15:00,Sundowns,1–1,Moroka Swallows,,Lucas Masterpieces Moripe Stadium,Luxolo Badi,Match Report,
2021,,Sat,2021-01-23,15:30,Black Leopards,0–3,Chippa Utd,,Thohoyandou Stadium,Abongile Tom,Match Report,
2021,,Sat,2021-01-23,17:00,Maritzburg Utd,0–1,Orlando Pirates,,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
2021,,Sat,2021-01-23,17:00,Baroka FC,0–2,AmaZulu,,Peter Mokaba Stadium,Olani Kwinda,Match Report,
2021,,Sat,2021-01-23,17:00,Stellenbosch FC,0–0,Kaizer Chiefs,,Danie Craven Stadium,Victor Hlungwani,Match Report,
2021,,Sun,2021-01-24,15:30,Cape Town City,4–2,Golden Arrows,,Cape Town Stadium,Tshidiso Maruping,Match Report,
2021,,Sun,2021-01-24,15:30,TTM FC,0–2,SuperSport,,Thohoyandou Stadium,Eugene Mdluli,Match Report,
2021,,Tue,2021-01-26,17:00,Kaizer Chiefs,1–1,Baroka FC,,Soccer City,Abongile Tom,Match Report,
2021,,Tue,2021-01-26,17:00,Orlando Pirates,1–1,TS Galaxy,,Orlando Stadium,Eugene Mdluli,Match Report,
2021,,Wed,2021-01-27,17:00,Black Leopards,1–2,Sundowns,,Thohoyandou Stadium,Philangenkosi Khumalo,Match Report,
2021,,Fri,2021-01-29,17:00,AmaZulu,2–1,Stellenbosch FC,,Growthpoint Kings Park Stadium,Michael Mosemeng,Match Report,
2021,,Sat,2021-01-30,15:30,Orlando Pirates,2–1,Kaizer Chiefs,,Orlando Stadium,Luxolo Badi,Match Report,
2021,,Sat,2021-01-30,17:00,Bloem Celtic,1–0,TTM FC,,Dr. Petrus Molemela Stadium,Philangenkosi Khumalo,Match Report,
2021,,Sat,2021-01-30,17:00,Black Leopards,0–3,TS Galaxy,,Thohoyandou Stadium,Christopher Kistoor,Match Report,
2021,,Sat,2021-01-30,17:00,SuperSport,1–1,Moroka Swallows,,Lucas Masterpieces Moripe Stadium,Eugene Mdluli,Match Report,
2021,,Sat,2021-01-30,17:00,Golden Arrows,2–1,Maritzburg Utd,,Sugar Ray Xulu Stadium,Abongile Tom,Match Report,
2021,,Sun,2021-01-31,15:30,Sundowns,2–0,Chippa Utd,,Loftus Versfeld Stadium,Victor Hlungwani,Match Report,
2021,,Sun,2021-01-31,15:30,Baroka FC,1–1,Cape Town City,,Peter Mokaba Stadium,Xola Sitela,Match Report,
2021,,Tue,2021-02-02,15:00,AmaZulu,4–3,Bloem Celtic,,Growthpoint Kings Park Stadium,Abongile Tom,Match Report,
2021,,Tue,2021-02-02,17:00,Golden Arrows,2–0,Orlando Pirates,,Sugar Ray Xulu Stadium,Tshidiso Maruping,Match Report,
2021,,Tue,2021-02-09,15:00,Bloem Celtic,2–1,SuperSport,,Dr. Petrus Molemela Stadium,Phillip Tinyani,Match Report,
2021,,Tue,2021-02-09,17:00,Orlando Pirates,2–0,Cape Town City,,Orlando Stadium,Thando Ndzandzeka,Match Report,
2021,,Fri,2021-02-12,17:00,Stellenbosch FC,1–3,Golden Arrows,,Danie Craven Stadium,Jelly Chavani,Match Report,
2021,,Fri,2021-02-12,17:00,Maritzburg Utd,0–1,TTM FC,,Harry Gwala Stadium,Luxolo Badi,Match Report,
2021,,Sat,2021-02-13,15:00,Bloem Celtic,1–1,Chippa Utd,,Dr. Petrus Molemela Stadium,Sikhumbuzo Gasa,Match Report,
2021,,Sat,2021-02-13,17:00,SuperSport,2–1,Cape Town City,,Lucas Masterpieces Moripe Stadium,Philangenkosi Khumalo,Match Report,
2021,,Sun,2021-02-14,15:30,Moroka Swallows,0–0,AmaZulu,,Volkswagen Dobsonville Stadium,Victor Hlungwani,Match Report,
2021,,Wed,2021-02-17,15:00,Kaizer Chiefs,1–2,AmaZulu,,Soccer City,Jelly Chavani,Match Report,
2021,,Wed,2021-02-17,17:00,Sundowns,2–0,Baroka FC,,Lucas Masterpieces Moripe Stadium,Shumani Tinyani,Match Report,
2021,,Sat,2021-02-20,15:00,Kaizer Chiefs,1–1,SuperSport,,Soccer City,Victor Hlungwani,Match Report,
2021,,Sat,2021-02-20,15:30,Chippa Utd,1–1,TS Galaxy,,Nelson Mandela Bay Stadium,Philangenkosi Khumalo,Match Report,
2021,,Sat,2021-02-20,17:00,Baroka FC,2–1,Black Leopards,,Peter Mokaba Stadium,Michael Mosemeng,Match Report,
2021,,Sun,2021-02-21,15:30,TTM FC,1–0,Stellenbosch FC,,Thohoyandou Stadium,Thando Ndzandzeka,Match Report,
2021,,Sun,2021-02-21,15:30,Cape Town City,1–1,Moroka Swallows,,Cape Town Stadium,Victor Gomes,Match Report,
2021,,Tue,2021-02-23,17:00,Golden Arrows,1–2,Black Leopards,,Sugar Ray Xulu Stadium,Luxolo Badi,Match Report,
2021,,Wed,2021-02-24,15:00,TS Galaxy,1–0,Bloem Celtic,,Mbombela Stadium,Eugene Mdluli,Match Report,
2021,,Wed,2021-02-24,17:00,SuperSport,1–1,Orlando Pirates,,Lucas Masterpieces Moripe Stadium,Victor Gomes,Match Report,
2021,,Tue,2021-03-02,17:00,Orlando Pirates,1–0,Bloem Celtic,,Orlando Stadium,Masixole Bambiso,Match Report,
2021,,Tue,2021-03-02,17:00,AmaZulu,1–0,SuperSport,,Growthpoint Kings Park Stadium,Tshidiso Maruping,Match Report,
2021,,Tue,2021-03-02,17:00,TS Galaxy,2–1,Moroka Swallows,,Mbombela Stadium,Luxolo Badi,Match Report,
2021,,Tue,2021-03-02,17:00,Maritzburg Utd,1–0,Black Leopards,,Harry Gwala Stadium,Victor Gomes,Match Report,
2021,,Wed,2021-03-03,15:00,Chippa Utd,0–0,Cape Town City,,Sisa Dukashe Stadium,Victor Hlungwani,Match Report,
2021,,Wed,2021-03-03,17:00,Golden Arrows,0–0,Baroka FC,,Sugar Ray Xulu Stadium,Christopher Kistoor,Match Report,
2021,,Fri,2021-03-05,17:00,SuperSport,0–0,TS Galaxy,,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
2021,,Sat,2021-03-06,15:00,Cape Town City,1–2,Stellenbosch FC,,Cape Town Stadium,Phillip Tinyani,Match Report,
2021,,Sat,2021-03-06,17:00,Bloem Celtic,1–1,Maritzburg Utd,,Dr. Petrus Molemela Stadium,Jelly Chavani,Match Report,
2021,,Sat,2021-03-06,17:00,Chippa Utd,0–3,Orlando Pirates,,Nelson Mandela Bay Stadium,Thando Ndzandzeka,Match Report,
2021,,Sun,2021-03-07,15:30,Black Leopards,1–3,Golden Arrows,,Thohoyandou Stadium,Michael Mosemeng,Match Report,
2021,,Sun,2021-03-07,15:30,Moroka Swallows,1–1,TTM FC,,Volkswagen Dobsonville Stadium,Philangenkosi Khumalo,Match Report,
2021,,Wed,2021-03-10,17:00,Baroka FC,1–3,Stellenbosch FC,,Peter Mokaba Stadium,Moreki Lekwape,Match Report,
2021,,Wed,2021-03-10,17:00,Chippa Utd,0–1,AmaZulu,,Sisa Dukashe Stadium,Nkululeko Siyeni,Match Report,
2021,,Wed,2021-03-10,17:00,TS Galaxy,3–1,Black Leopards,,Mbombela Stadium,Abongile Tom,Match Report,
2021,,Wed,2021-03-10,17:00,TTM FC,1–2,Golden Arrows,,Thohoyandou Stadium,Akhona Makalima,Match Report,
2021,,Wed,2021-03-10,18:00,Maritzburg Utd,1–1,Kaizer Chiefs,,Harry Gwala Stadium,Phillip Tinyani,Match Report,
2021,,Sat,2021-03-13,13:00,Stellenbosch FC,1–2,Sundowns,,Danie Craven Stadium,Victor Hlungwani,Match Report,
2021,,Fri,2021-03-19,17:00,Stellenbosch FC,1–1,SuperSport,,Danie Craven Stadium,Thando Ndzandzeka,Match Report,
2021,,Sat,2021-03-20,15:00,Golden Arrows,1–1,Cape Town City,,Sugar Ray Xulu Stadium,Jelly Chavani,Match Report,
2021,,Sat,2021-03-20,15:30,Chippa Utd,2–2,Moroka Swallows,,Nelson Mandela Bay Stadium,Olani Kwinda,Match Report,
2021,,Sat,2021-03-20,15:30,Baroka FC,1–1,Bloem Celtic,,Peter Mokaba Stadium,Xola Sitela,Match Report,
2021,,Sat,2021-03-20,17:00,TS Galaxy,0–2,Maritzburg Utd,,Mbombela Stadium,Michael Mosemeng,Match Report,
2021,,Sun,2021-03-21,15:00,Kaizer Chiefs,1–0,Orlando Pirates,,Soccer City,Victor Hlungwani,Match Report,
2021,,Sun,2021-03-21,15:30,AmaZulu,2–0,TTM FC,,Growthpoint Kings Park Stadium,Sicelo Velapi,Match Report,
2021,,Sun,2021-03-21,17:00,Sundowns,1–1,Black Leopards,,Loftus Versfeld Stadium,Philangenkosi Khumalo,Match Report,
2021,,Sat,2021-04-03,15:00,Moroka Swallows,1–1,Golden Arrows,,Volkswagen Dobsonville Stadium,Olani Kwinda,Match Report,
2021,,Sat,2021-04-03,17:00,Maritzburg Utd,5–1,Chippa Utd,,Harry Gwala Stadium,Masixole Bambiso,Match Report,
2021,,Sat,2021-04-03,17:00,Cape Town City,0–0,Baroka FC,,Cape Town Stadium,Thando Ndzandzeka,Match Report,
2021,,Sun,2021-04-04,15:00,Black Leopards,0–1,AmaZulu,,Thohoyandou Stadium,Luxolo Badi,Match Report,
2021,,Sun,2021-04-04,15:00,Bloem Celtic,2–1,TS Galaxy,,Dr. Petrus Molemela Stadium,Akhona Makalima,Match Report,
2021,,Tue,2021-04-06,15:00,TTM FC,1–3,Sundowns,,Thohoyandou Stadium,Abongile Tom,Match Report,
2021,,Tue,2021-04-06,17:00,Kaizer Chiefs,2–2,Stellenbosch FC,,Soccer City,Michael Mosemeng,Match Report,
2021,,Fri,2021-04-09,17:00,Stellenbosch FC,0–1,AmaZulu,,Danie Craven Stadium,Phillip Tinyani,Match Report,
2021,,Sat,2021-04-10,15:00,Cape Town City,3–0,SuperSport,,Cape Town Stadium,Luxolo Badi,Match Report,
2021,,Sat,2021-04-10,17:00,TS Galaxy,0–2,TTM FC,,Mbombela Stadium,Christopher Kistoor,Match Report,
2021,,Sun,2021-04-11,15:00,Golden Arrows,1–1,Bloem Celtic,,Sugar Ray Xulu Stadium,Jelly Chavani,Match Report,
2021,,Sun,2021-04-11,17:00,Moroka Swallows,1–0,Black Leopards,,Volkswagen Dobsonville Stadium,Xola Sitela,Match Report,
2021,,Mon,2021-04-12,15:00,Chippa Utd,1–2,Sundowns,,Sisa Dukashe Stadium,Philangenkosi Khumalo,Match Report,
2021,,Thu,2021-04-15,15:00,Baroka FC,1–1,Kaizer Chiefs,,Peter Mokaba Stadium,Sicelo Velapi,Match Report,
2021,,Sun,2021-04-18,18:30,Orlando Pirates,2–0,Maritzburg Utd,,Orlando Stadium,Philangenkosi Khumalo,Match Report,
2021,,Tue,2021-04-20,15:00,Chippa Utd,0–1,Baroka FC,,Nelson Mandela Bay Stadium,Philangenkosi Khumalo,Match Report,
2021,,Tue,2021-04-20,17:00,Bloem Celtic,1–1,Moroka Swallows,,Dr. Petrus Molemela Stadium,Xola Sitela,Match Report,
2021,,Wed,2021-04-21,15:00,Black Leopards,0–0,Stellenbosch FC,,Thohoyandou Stadium,Masixole Bambiso,Match Report,
2021,,Wed,2021-04-21,15:00,AmaZulu,0–0,Sundowns,,Growthpoint Kings Park Stadium,Jelly Chavani,Match Report,
2021,,Wed,2021-04-21,17:00,SuperSport,0–1,Golden Arrows,,Lucas Masterpieces Moripe Stadium,Thando Ndzandzeka,Match Report,
2021,,Wed,2021-04-21,17:00,Kaizer Chiefs,1–2,Cape Town City,,Soccer City,Eugene Mdluli,Match Report,
2021,,Fri,2021-04-23,17:00,Maritzburg Utd,1–1,Baroka FC,,Harry Gwala Stadium,Christopher Kistoor,Match Report,
2021,,Sat,2021-04-24,15:00,Black Leopards,1–1,SuperSport,,Thohoyandou Stadium,Philangenkosi Khumalo,Match Report,
2021,,Sat,2021-04-24,15:00,Stellenbosch FC,1–1,Bloem Celtic,,Danie Craven Stadium,Qunta Siyabulela,Match Report,
2021,,Sat,2021-04-24,17:00,AmaZulu,2–1,TS Galaxy,,Growthpoint Kings Park Stadium,Tshidiso Maruping,Match Report,
2021,,Sat,2021-04-24,17:00,Moroka Swallows,1–1,Orlando Pirates,,Volkswagen Dobsonville Stadium,Victor Gomes,Match Report,
2021,,Sat,2021-04-24,17:00,Cape Town City,3–0,TTM FC,,Cape Town Stadium,Masixole Bambiso,Match Report,
2021,,Sun,2021-04-25,15:00,Chippa Utd,0–0,Golden Arrows,,Sisa Dukashe Stadium,Olani Kwinda,Match Report,
2021,,Sun,2021-04-25,15:00,Sundowns,1–2,Kaizer Chiefs,,Loftus Versfeld Stadium,Phillip Tinyani,Match Report,
2021,,Tue,2021-04-27,15:00,Stellenbosch FC,0–1,Maritzburg Utd,,Danie Craven Stadium,Xola Sitela,Match Report,
2021,,Tue,2021-04-27,17:00,Moroka Swallows,1–1,SuperSport,,Volkswagen Dobsonville Stadium,Abongile Tom,Match Report,
2021,,Wed,2021-04-28,15:00,Kaizer Chiefs,0–1,Chippa Utd,,Soccer City,Thokozani Mkhize,Match Report,
2021,,Wed,2021-04-28,15:00,TTM FC,1–0,Bloem Celtic,,Thohoyandou Stadium,Qunta Siyabulela,Match Report,
2021,,Wed,2021-04-28,17:00,Cape Town City,1–5,AmaZulu,,Cape Town Stadium,Victor Hlungwani,Match Report,
2021,,Wed,2021-04-28,17:00,Baroka FC,0–1,TS Galaxy,,Peter Mokaba Stadium,Eugene Mdluli,Match Report,
2021,,Wed,2021-04-28,17:00,Sundowns,0–0,Golden Arrows,,Loftus Versfeld Stadium,Victor Gomes,Match Report,
2021,,Fri,2021-04-30,17:00,Maritzburg Utd,1–1,Moroka Swallows,,Harry Gwala Stadium,Eugene Mdluli,Match Report,
2021,,Sat,2021-05-01,15:00,Chippa Utd,1–0,Stellenbosch FC,,Sisa Dukashe Stadium,Victor Hlungwani,Match Report,
2021,,Sat,2021-05-01,15:00,Golden Arrows,0–1,AmaZulu,,Sugar Ray Xulu Stadium,Phillip Tinyani,Match Report,
2021,,Sat,2021-05-01,15:00,TS Galaxy,1–0,Cape Town City,,Thohoyandou Stadium,Tshidiso Maruping,Match Report,
2021,,Sat,2021-05-01,15:00,Bloem Celtic,2–2,Kaizer Chiefs,,Dr. Petrus Molemela Stadium,Luyolo Mjezu,Match Report,
2021,,Sat,2021-05-01,17:00,TTM FC,1–2,Black Leopards,,Mbombela Stadium,Abongile Tom,Match Report,
