Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2020,25,Sun,2020-08-16,15:30,Black Leopards,3–2,Maritzburg Utd,,Soccer City,Victor Gomes,Match Report,
2020,25,Sun,2020-08-16,18:00,SuperSport,1–1,Bloem Celtic,,BidVest Stadium,Phelelani Ndaba,Match Report,
2020,27,Mon,2020-08-17,18:00,Cape Town City,3–2,Sundowns,,Loftus Versfeld Stadium,Luxolo Badi,Match Report,
2020,18,Tue,2020-08-18,15:30,Bidvest Wits,0–0,Golden Arrows,,Soccer City,Cedrick Muvhali,Match Report,
2020,26,Tue,2020-08-18,15:30,Chippa Utd,0–0,Highlands Park,,Orlando Stadium,Abongile Tom,Match Report,
2020,26,Tue,2020-08-18,18:00,Orlando Pirates,1–1,Baroka FC,,Emirates Airline Park,Phelelani Ndaba,Match Report,
2020,26,Wed,2020-08-19,15:30,SuperSport,2–0,Polokwane City,,BidVest Stadium,Philangenkosi Khumalo,Match Report,
2020,26,Wed,2020-08-19,18:00,Bloem Celtic,3–1,Kaizer Chiefs,,ABSA Tuks Stadium,Victor Hlungwani,Match Report,
2020,26,Thu,2020-08-20,18:00,Stellenbosch FC,1–0,Cape Town City,,ABSA Tuks Stadium,Thando Ndzandzeka,Match Report,
2020,26,Fri,2020-08-21,13:30,Golden Arrows,1–2,Black Leopards,,Emirates Airline Park,Cedrick Muvhali,Match Report,
2020,26,Fri,2020-08-21,15:30,Bidvest Wits,2–1,AmaZulu,,Soccer City,Michael Mosemeng,Match Report,
2020,26,Fri,2020-08-21,18:00,Maritzburg Utd,2–2,Sundowns,,Lucas Masterpieces Moripe Stadium,Abongile Tom,Match Report,
2020,27,Sat,2020-08-22,15:30,Polokwane City,1–1,Highlands Park,,Loftus Versfeld Stadium,Luxolo Badi,Match Report,
2020,27,Sat,2020-08-22,18:00,Baroka FC,0–1,Chippa Utd,,BidVest Stadium,Victor Gomes,Match Report,
2020,27,Sun,2020-08-23,15:30,Cape Town City,1–0,Orlando Pirates,,Loftus Versfeld Stadium,Phelelani Ndaba,Match Report,
2020,27,Sun,2020-08-23,18:00,Kaizer Chiefs,1–1,Stellenbosch FC,,Orlando Stadium,Jelly Chavani,Match Report,
2020,27,Mon,2020-08-24,15:30,AmaZulu,2–2,Bloem Celtic,,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
2020,27,Mon,2020-08-24,15:30,Maritzburg Utd,0–0,Bidvest Wits,,ABSA Tuks Stadium,Masixole Bambiso,Match Report,
2020,27,Mon,2020-08-24,18:00,Sundowns,1–0,Golden Arrows,,Volkswagen Dobsonville Stadium,Thando Ndzandzeka,Match Report,
2020,23,Tue,2020-08-25,18:00,Black Leopards,0–1,SuperSport,,Soccer City,Philangenkosi Khumalo,Match Report,
2020,21,Thu,2020-08-27,15:30,Bloem Celtic,1–1,Bidvest Wits,,ABSA Tuks Stadium,Akho Nzingo,Match Report,
2020,21,Thu,2020-08-27,18:00,Kaizer Chiefs,0–1,Sundowns,,Orlando Stadium,Victor Gomes,Match Report,
2020,28,Fri,2020-08-28,18:00,Stellenbosch FC,1–1,Chippa Utd,,ABSA Tuks Stadium,Sikhumbuzo Gasa,Match Report,
2020,28,Sat,2020-08-29,13:30,Highlands Park,1–1,Maritzburg Utd,,Volkswagen Dobsonville Stadium,Philangenkosi Khumalo,Match Report,
2020,28,Sat,2020-08-29,13:30,Orlando Pirates,2–1,SuperSport,,Emirates Airline Park,Siyabonga Nkomo,Match Report,
2020,28,Sat,2020-08-29,15:30,AmaZulu,1–0,Black Leopards,,Lucas Masterpieces Moripe Stadium,Abongile Tom,Match Report,
2020,28,Sat,2020-08-29,18:00,Golden Arrows,1–4,Cape Town City,,Emirates Airline Park,Akhona Makhalima,Match Report,
2020,28,Sun,2020-08-30,13:30,Bloem Celtic,0–0,Polokwane City,,ABSA Tuks Stadium,Thokozani Mkhize,Match Report,
2020,28,Sun,2020-08-30,15:30,Bidvest Wits,1–0,Kaizer Chiefs,,Soccer City,Victor Hlungwani,Match Report,
2020,28,Sun,2020-08-30,18:00,Sundowns,0–1,Baroka FC,,Volkswagen Dobsonville Stadium,Thando Ndzandzeka,Match Report,
2020,29,Wed,2020-09-02,18:00,Black Leopards,1–0,Bidvest Wits,,Soccer City,Victor Gomes,Match Report,
2020,29,Wed,2020-09-02,18:00,Stellenbosch FC,1–1,AmaZulu,,ABSA Tuks Stadium,,Match Report,
2020,29,Wed,2020-09-02,18:00,Kaizer Chiefs,1–0,Chippa Utd,,Orlando Stadium,Jelly Chavani,Match Report,
2020,29,Wed,2020-09-02,18:00,Highlands Park,1–0,Cape Town City,,Volkswagen Dobsonville Stadium,Tshepiso Mkhwanazi,Match Report,
2020,29,Wed,2020-09-02,18:00,Polokwane City,0–3,Sundowns,,Loftus Versfeld Stadium,Victor Hlungwani,Match Report,
2020,29,Wed,2020-09-02,18:00,Maritzburg Utd,0–1,Orlando Pirates,,Lucas Masterpieces Moripe Stadium,Sikhumbuzo Gasa,Match Report,
2020,29,Wed,2020-09-02,18:00,SuperSport,4–1,Baroka FC,,BidVest Stadium,Abongile Tom,Match Report,
2020,29,Wed,2020-09-02,18:00,Golden Arrows,0–0,Bloem Celtic,,Emirates Airline Park,Xola Sitela,Match Report,
2020,30,Sat,2020-09-05,15:30,Orlando Pirates,1–0,Stellenbosch FC,,Emirates Airline Park,Olani Kwinda,Match Report,
2020,30,Sat,2020-09-05,15:30,Chippa Utd,1–0,Golden Arrows,,Orlando Stadium,Eugene Mdluli,Match Report,
2020,30,Sat,2020-09-05,15:30,Bidvest Wits,3–1,Polokwane City,,Soccer City,,Match Report,
2020,30,Sat,2020-09-05,15:30,AmaZulu,1–1,Highlands Park,,Lucas Masterpieces Moripe Stadium,Thando Ndzandzeka,Match Report,
2020,30,Sat,2020-09-05,15:30,Bloem Celtic,3–1,Maritzburg Utd,,ABSA Tuks Stadium,Akhona Makhalima,Match Report,
2020,30,Sat,2020-09-05,15:30,Cape Town City,1–0,SuperSport,,Loftus Versfeld Stadium,Thokozani Mkhize,Match Report,
2020,30,Sat,2020-09-05,15:30,Sundowns,3–0,Black Leopards,,Volkswagen Dobsonville Stadium,Luxolo Badi,Match Report,
2020,30,Sat,2020-09-05,15:30,Baroka FC,1–1,Kaizer Chiefs,,BidVest Stadium,Abongile Tom,Match Report,
