Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,2020-08-22,15:00 (10:00),Rangers,2–0,Kilmarnock,,Ibrox Stadium,Kevin Clancy,Match Report,
5,Sat,2020-08-22,15:00 (10:00),Motherwell,0–1,Hamilton,,Fir Park,Alan Muir,Match Report,
5,Sat,2020-08-22,17:30 (12:30),Dundee United,0–1,Celtic,,Tannadice Park,Andrew Dallas,Match Report,
5,Sun,2020-08-23,15:00 (10:00),Aberdeen,2–1,Livingston,,Pittodrie Stadium,Steven McLean,Match Report,
5,Sun,2020-08-23,16:30 (11:30),St Johnstone,0–1,Hibernian,,McDiarmid Park,John Beaton,Match Report,
6,Sat,2020-08-29,15:00 (10:00),St Johnstone,1–0,St Mirren,,McDiarmid Park,Kevin Clancy,Match Report,
6,Sat,2020-08-29,15:00 (10:00),Kilmarnock,4–0,Dundee United,,Rugby Park,David Munro,Match Report,
6,Sat,2020-08-29,15:00 (10:00),Livingston,1–0,Ross County,,Tony Macaroni Arena,John Beaton,Match Report,
6,Sat,2020-08-29,17:30 (12:30),Hamilton,0–2,Rangers,,The Hope CBD Stadium,William Collum,Match Report,
6,Sun,2020-08-30,15:00 (10:00),Celtic,3–0,Motherwell,,Celtic Park,Don Robertson,Match Report,
6,Sun,2020-08-30,16:30 (11:30),Hibernian,0–1,Aberdeen,,Easter Road Stadium,Nick Walsh,Match Report,
7,Sat,2020-09-12,15:00 (10:00),Aberdeen,1–0,Kilmarnock,300,Pittodrie Stadium,Bobby Madden,Match Report,
7,Sat,2020-09-12,15:00 (10:00),Rangers,4–0,Dundee United,,Ibrox Stadium,Kevin Clancy,Match Report,
7,Sat,2020-09-12,15:00 (10:00),St Mirren,0–3,Hibernian,,The Simple Digital Arena,William Collum,Match Report,
7,Sat,2020-09-12,15:00 (10:00),Livingston,1–2,Hamilton,,Tony Macaroni Arena,Don Robertson,Match Report,
7,Sat,2020-09-12,15:00 (10:00),Ross County,0–5,Celtic,300,Global Energy Stadium,Andrew Dallas,Match Report,
7,Sat,2020-09-12,15:00 (10:00),Motherwell,1–0,St Johnstone,,Fir Park,Euan Anderson,Match Report,
3,Wed,2020-09-16,19:45 (14:45),St Mirren,1–2,Celtic,,The Simple Digital Arena,John Beaton,Match Report,
8,Sat,2020-09-19,15:00 (10:00),Dundee United,2–1,St Mirren,,Tannadice Park,Colin Steven,Match Report,
8,Sat,2020-09-19,15:00 (10:00),Kilmarnock,2–1,Hamilton,,Rugby Park,Nick Walsh,Match Report,
8,Sat,2020-09-19,15:00 (10:00),Celtic,3–2,Livingston,,Celtic Park,Gavin Duncan,Match Report,
8,Sat,2020-09-19,15:00 (10:00),St Johnstone,0–1,Ross County,,McDiarmid Park,David Munro,Match Report,
8,Sun,2020-09-20,12:00 (07:00),Hibernian,2–2,Rangers,,Easter Road Stadium,Don Robertson,Match Report,
8,Sun,2020-09-20,15:00 (10:00),Aberdeen,0–3,Motherwell,,Pittodrie Stadium,John Beaton,Match Report,
9,Sat,2020-09-26,15:00 (10:00),Hamilton,1–1,Dundee United,,The Hope CBD Stadium,Alan Muir,Match Report,
9,Sat,2020-09-26,15:00 (10:00),Livingston,2–0,St Johnstone,,Tony Macaroni Arena,Craig Napier,Match Report,
9,Sat,2020-09-26,15:00 (10:00),St Mirren,0–1,Kilmarnock,,The Simple Digital Arena,Darren Munro,Match Report,
9,Sun,2020-09-27,12:00 (07:00),Motherwell,1–5,Rangers,,Fir Park,Bobby Madden,Match Report,
9,Sun,2020-09-27,15:00 (10:00),Celtic,3–0,Hibernian,,Celtic Park,Steven McLean,Match Report,
9,Sun,2020-09-27,15:00 (10:00),Ross County,0–3,Aberdeen,,Global Energy Stadium,William Collum,Match Report,
10,Fri,2020-10-02,19:45 (14:45),Hibernian,3–2,Hamilton,,Easter Road Stadium,Bobby Madden,Match Report,
10,Fri,2020-10-02,19:45 (14:45),Dundee United,1–2,Livingston,,Tannadice Park,John Beaton,Match Report,
10,Fri,2020-10-02,19:45 (14:45),Aberdeen,2–1,St Mirren,,Pittodrie Stadium,Gavin Duncan,Match Report,
10,Sun,2020-10-04,12:00 (07:00),St Johnstone,0–2,Celtic,,McDiarmid Park,Nick Walsh,Match Report,
10,Sun,2020-10-04,15:00 (10:00),Rangers,2–0,Ross County,,Ibrox Stadium,Greg Aitken,Match Report,
11,Sat,2020-10-17,12:30 (07:30),Celtic,0–2,Rangers,,Celtic Park,John Beaton,Match Report,
11,Sat,2020-10-17,15:00 (10:00),Ross County,0–0,Hibernian,,Global Energy Stadium,Nick Walsh,Match Report,
11,Sat,2020-10-17,15:00 (10:00),Livingston,1–3,Kilmarnock,,Tony Macaroni Arena,Greg Aitken,Match Report,
11,Sat,2020-10-17,15:00 (10:00),Hamilton,3–5,St Johnstone,,The Hope CBD Stadium,Kevin Clancy,Match Report,
11,Sat,2020-10-17,15:00 (10:00),Dundee United,0–0,Aberdeen,,Tannadice Park,Alan Muir,Match Report,
3,Tue,2020-10-20,19:00 (14:00),Aberdeen,4–2,Hamilton,,Pittodrie Stadium,Nick Walsh,Match Report,
12,Sat,2020-10-24,15:00 (10:00),Motherwell,4–0,Ross County,,Fir Park,Craig Napier,Match Report,
12,Sat,2020-10-24,15:00 (10:00),St Johnstone,0–0,Dundee United,,McDiarmid Park,Andrew Dallas,Match Report,
12,Sat,2020-10-24,15:00 (10:00),Kilmarnock,0–1,Hibernian,,Rugby Park,Colin Steven,Match Report,
12,Sun,2020-10-25,12:00 (08:00),Aberdeen,3–3,Celtic,,Pittodrie Stadium,William Collum,Match Report,
12,Sun,2020-10-25,15:00 (11:00),Rangers,2–0,Livingston,,Ibrox Stadium,Nick Walsh,Match Report,
13,Sat,2020-10-31,15:00 (11:00),Livingston,0–2,Motherwell,,Tony Macaroni Arena,John Beaton,Match Report,
13,Sat,2020-10-31,15:00 (11:00),Dundee United,2–1,Ross County,,Tannadice Park,Steven Kirkland,Match Report,
13,Sun,2020-11-01,12:00 (07:00),Kilmarnock,0–1,Rangers,,Rugby Park,Andrew Dallas,Match Report,
14,Fri,2020-11-06,19:45 (14:45),St Johnstone,1–0,Kilmarnock,,McDiarmid Park,Gavin Duncan,Match Report,
14,Fri,2020-11-06,19:45 (14:45),Aberdeen,2–0,Hibernian,,Pittodrie Stadium,Euan Anderson,Match Report,
14,Fri,2020-11-06,19:45 (14:45),St Mirren,0–0,Dundee United,,The Simple Digital Arena,David Munro,Match Report,
14,Fri,2020-11-06,19:45 (14:45),Ross County,1–1,Livingston,,Global Energy Stadium,Kevin Clancy,Match Report,
14,Sun,2020-11-08,12:00 (07:00),Motherwell,1–4,Celtic,,Fir Park,Andrew Dallas,Match Report,
14,Sun,2020-11-08,15:00 (10:00),Rangers,8–0,Hamilton,,Ibrox Stadium,Steven McLean,Match Report,
15,Sat,2020-11-21,15:00 (10:00),Hibernian,2–2,Celtic,,Easter Road Stadium,Bobby Madden,Match Report,
15,Sat,2020-11-21,15:00 (10:00),St Johnstone,1–1,Motherwell,,McDiarmid Park,Steven Kirkland,Match Report,
15,Sat,2020-11-21,15:00 (10:00),Dundee United,2–1,Hamilton,,Tannadice Park,Craig Napier,Match Report,
15,Sat,2020-11-21,15:00 (10:00),Livingston,0–1,St Mirren,,Tony Macaroni Arena,William Collum,Match Report,
15,Sat,2020-11-21,15:00 (10:00),Kilmarnock,3–1,Ross County,,Rugby Park,Colin Steven,Match Report,
15,Sun,2020-11-22,12:00 (07:00),Rangers,4–0,Aberdeen,,Ibrox Stadium,Nick Walsh,Match Report,
13,Tue,2020-11-24,19:00 (14:00),Hibernian,2–2,St Johnstone,,Easter Road Stadium,Kevin Clancy,Match Report,
13,Wed,2020-11-25,19:00 (14:00),Hamilton,1–1,Aberdeen,,The Hope CBD Stadium,Gavin Duncan,Match Report,
16,Sat,2020-12-05,15:00 (10:00),Livingston,2–0,Dundee United,,Tony Macaroni Arena,Don Robertson,Match Report,
16,Sat,2020-12-05,15:00 (10:00),Motherwell,0–3,Hibernian,,Fir Park,Andrew Dallas,Match Report,
16,Sat,2020-12-05,15:00 (10:00),St Mirren,1–1,Aberdeen,,The Simple Digital Arena,Bobby Madden,Match Report,
16,Sat,2020-12-05,15:00 (10:00),Hamilton,1–0,Kilmarnock,,The Hope CBD Stadium,William Collum,Match Report,
16,Sun,2020-12-06,12:00 (07:00),Ross County,0–4,Rangers,,Global Energy Stadium,John Beaton,Match Report,
16,Sun,2020-12-06,15:00 (10:00),Celtic,1–1,St Johnstone,,Celtic Park,David Munro,Match Report,
17,Sat,2020-12-12,15:00 (10:00),St Johnstone,1–2,Livingston,,McDiarmid Park,John Beaton,Match Report,
17,Sat,2020-12-12,15:00 (10:00),Motherwell,0–1,St Mirren,,Fir Park,Euan Anderson,Match Report,
17,Sat,2020-12-12,15:00 (10:00),Hamilton,0–4,Hibernian,,The Hope CBD Stadium,Kevin Clancy,Match Report,
17,Sat,2020-12-12,15:00 (10:00),Aberdeen,2–0,Ross County,,Pittodrie Stadium,Nick Walsh,Match Report,
17,Sun,2020-12-13,12:00 (07:00),Dundee United,1–2,Rangers,,Tannadice Park,Steven McLean,Match Report,
17,Sun,2020-12-13,15:00 (10:00),Celtic,2–0,Kilmarnock,,Celtic Park,Don Robertson,Match Report,
18,Sat,2020-12-19,15:00 (10:00),Rangers,3–1,Motherwell,,Ibrox Stadium,Don Robertson,Match Report,
18,Sat,2020-12-19,15:00 (10:00),Ross County,0–2,Hamilton,,Global Energy Stadium,William Collum,Match Report,
18,Sat,2020-12-19,15:00 (10:00),St Mirren,3–2,St Johnstone,,The Simple Digital Arena,Steven McLean,Match Report,
18,Sat,2020-12-19,15:00 (10:00),Hibernian,1–1,Dundee United,,Easter Road Stadium,Gavin Duncan,Match Report,
18,Sun,2020-12-20,12:00 (07:00),Kilmarnock,0–2,Aberdeen,,Rugby Park,David Munro,Match Report,
19,Wed,2020-12-23,18:00 (13:00),St Johnstone,0–3,Rangers,,McDiarmid Park,Nick Walsh,Match Report,
19,Wed,2020-12-23,18:00 (13:00),Hamilton,0–2,Livingston,,The Hope CBD Stadium,Gavin Duncan,Match Report,
19,Wed,2020-12-23,18:00 (13:00),Celtic,2–0,Ross County,,Celtic Park,Euan Anderson,Match Report,
19,Wed,2020-12-23,18:00 (13:00),Hibernian,1–0,St Mirren,,Easter Road Stadium,Steven Kirkland,Match Report,
19,Wed,2020-12-23,18:15 (13:15),Motherwell,0–0,Aberdeen,,Fir Park,Greg Aitken,Match Report,
19,Wed,2020-12-23,18:30 (13:30),Dundee United,2–0,Kilmarnock,,Tannadice Park,Steven McLean,Match Report,
20,Sat,2020-12-26,12:30 (07:30),Rangers,1–0,Hibernian,,Ibrox Stadium,William Collum,Match Report,
20,Sat,2020-12-26,15:00 (10:00),Dundee United,1–1,Motherwell,,Tannadice Park,Bobby Madden,Match Report,
20,Sat,2020-12-26,15:00 (10:00),Hamilton,0–3,Celtic,,The Hope CBD Stadium,Don Robertson,Match Report,
20,Sat,2020-12-26,15:00 (10:00),Aberdeen,2–1,St Johnstone,,Pittodrie Stadium,Alan Muir,Match Report,
20,Sat,2020-12-26,15:00 (10:00),Ross County,0–2,St Mirren,,Global Energy Stadium,Colin Steven,Match Report,
20,Sat,2020-12-26,15:00 (10:00),Kilmarnock,1–2,Livingston,,Rugby Park,Kevin Clancy,Match Report,
21,Wed,2020-12-30,15:00 (10:00),St Mirren,0–2,Rangers,,The Simple Digital Arena,Alan Muir,Match Report,
21,Wed,2020-12-30,15:00 (10:00),St Johnstone,0–0,Hamilton,,McDiarmid Park,David Munro,Match Report,
21,Wed,2020-12-30,15:00 (10:00),Celtic,3–0,Dundee United,,Celtic Park,William Collum,Match Report,
21,Wed,2020-12-30,18:00 (13:00),Hibernian,0–2,Ross County,,Easter Road Stadium,Don Robertson,Match Report,
21,Wed,2020-12-30,18:15 (13:15),Motherwell,0–2,Kilmarnock,,Fir Park,John Beaton,Match Report,
22,Sat,2021-01-02,12:30 (07:30),Rangers,1–0,Celtic,,Ibrox Stadium,Bobby Madden,Match Report,
22,Sat,2021-01-02,15:00 (10:00),Ross County,1–1,St Johnstone,,Global Energy Stadium,William Collum,Match Report,
22,Sat,2021-01-02,15:00 (10:00),Hibernian,0–3,Livingston,,Easter Road Stadium,David Munro,Match Report,
22,Sat,2021-01-02,15:00 (10:00),Kilmarnock,1–1,St Mirren,,Rugby Park,Craig Napier,Match Report,
22,Sat,2021-01-02,15:00 (10:00),Hamilton,3–0,Motherwell,,The Hope CBD Stadium,Colin Steven,Match Report,
22,Sat,2021-01-02,15:00 (10:00),Aberdeen,0–0,Dundee United,,Pittodrie Stadium,Kevin Clancy,Match Report,
23,Sat,2021-01-09,15:00 (10:00),St Mirren,1–1,Motherwell,,The Simple Digital Arena,Bobby Madden,Match Report,
23,Sat,2021-01-09,15:00 (10:00),Kilmarnock,2–0,Hamilton,,Rugby Park,Grant Irvine,Match Report,
23,Sun,2021-01-10,15:00 (10:00),Livingston,3–1,Ross County,,Tony Macaroni Arena,Alan Muir,Match Report,
23,Sun,2021-01-10,15:00 (10:00),Aberdeen,1–2,Rangers,,Pittodrie Stadium,John Beaton,Match Report,
23,Mon,2021-01-11,19:45 (14:45),Celtic,1–1,Hibernian,,Celtic Park,Nick Walsh,Match Report,
23,Tue,2021-01-12,18:30 (13:30),Dundee United,2–2,St Johnstone,,Tannadice Park,Colin Steven,Match Report,
24,Sat,2021-01-16,15:00 (10:00),St Johnstone,1–0,St Mirren,,McDiarmid Park,Steven McLean,Match Report,
24,Sat,2021-01-16,15:00 (10:00),Celtic,0–0,Livingston,,Celtic Park,John Beaton,Match Report,
24,Sat,2021-01-16,15:00 (10:00),Hibernian,2–0,Kilmarnock,,Easter Road Stadium,William Collum,Match Report,
24,Sat,2021-01-16,15:00 (10:00),Hamilton,0–0,Dundee United,,The Hope CBD Stadium,Greg Aitken,Match Report,
24,Sat,2021-01-16,15:00 (10:00),Ross County,4–1,Aberdeen,,Global Energy Stadium,Bobby Madden,Match Report,
24,Sun,2021-01-17,12:00 (07:00),Motherwell,1–1,Rangers,,Fir Park,Don Robertson,Match Report,
18,Wed,2021-01-20,20:15 (15:15),Livingston,2–2,Celtic,,Tony Macaroni Arena,William Collum,Match Report,
25,Sat,2021-01-23,15:00 (10:00),Aberdeen,2–0,Motherwell,,Pittodrie Stadium,Craig Napier,Match Report,
25,Sat,2021-01-23,15:00 (10:00),Rangers,5–0,Ross County,,Ibrox Stadium,Euan Anderson,Match Report,
26,Wed,2021-01-27,18:00 (13:00),Dundee United,1–5,St Mirren,,Tannadice Park,John Beaton,Match Report,
26,Wed,2021-01-27,18:00 (13:00),St Johnstone,0–0,Aberdeen,,McDiarmid Park,Don Robertson,Match Report,
26,Wed,2021-01-27,18:00 (13:00),Ross County,1–2,Motherwell,,Global Energy Stadium,Nick Walsh,Match Report,
26,Wed,2021-01-27,19:45 (14:45),Livingston,2–0,Kilmarnock,,Tony Macaroni Arena,Steven Kirkland,Match Report,
26,Wed,2021-01-27,19:45 (14:45),Hibernian,0–1,Rangers,,Easter Road Stadium,Kevin Clancy,Match Report,
26,Wed,2021-01-27,19:45 (14:45),Celtic,2–0,Hamilton,,Celtic Park,Colin Steven,Match Report,
13,Sat,2021-01-30,15:00 (10:00),Celtic,1–2,St Mirren,,Celtic Park,Bobby Madden,Match Report,
21,Sat,2021-01-30,15:00 (10:00),Livingston,0–0,Aberdeen,,Tony Macaroni Arena,Steven McLean,Match Report,
25,Sat,2021-01-30,15:00 (10:00),Dundee United,0–2,Hibernian,,Tannadice Park,Gavin Duncan,Match Report,
25,Sat,2021-01-30,15:00 (10:00),Kilmarnock,2–3,St Johnstone,,Rugby Park,Greg Aitken,Match Report,
27,Tue,2021-02-02,18:00 (13:00),Aberdeen,0–2,Livingston,,Pittodrie Stadium,Nick Walsh,Match Report,
27,Tue,2021-02-02,18:00 (13:00),St Mirren,1–2,Hibernian,,The Simple Digital Arena,Alan Muir,Match Report,
27,Tue,2021-02-02,19:45 (14:45),Kilmarnock,0–4,Celtic,,Rugby Park,Kevin Clancy,Match Report,
27,Wed,2021-02-03,18:00 (13:00),Motherwell,2–1,Dundee United,,Fir Park,Don Robertson,Match Report,
27,Wed,2021-02-03,18:00 (13:00),Hamilton,1–2,Ross County,,The Hope CBD Stadium,William Collum,Match Report,
27,Wed,2021-02-03,19:45 (14:45),Rangers,1–0,St Johnstone,,Ibrox Stadium,David Munro,Match Report,
28,Sat,2021-02-06,15:00 (10:00),Livingston,1–2,St Johnstone,,Tony Macaroni Arena,Euan Anderson,Match Report,
28,Sat,2021-02-06,15:00 (10:00),Celtic,2–1,Motherwell,,Celtic Park,Nick Walsh,Match Report,
28,Sat,2021-02-06,15:00 (10:00),Hibernian,2–0,Aberdeen,,Easter Road Stadium,William Collum,Match Report,
28,Sat,2021-02-06,15:00 (10:00),Ross County,0–2,Dundee United,,Global Energy Stadium,Grant Irvine,Match Report,
28,Sat,2021-02-06,15:00 (10:00),St Mirren,2–0,Kilmarnock,,The Simple Digital Arena,John Beaton,Match Report,
28,Sun,2021-02-07,12:00 (07:00),Hamilton,1–1,Rangers,,The Hope CBD Stadium,Bobby Madden,Match Report,
10,Wed,2021-02-10,18:00 (13:00),Kilmarnock,0–1,Motherwell,,Rugby Park,William Collum,Match Report,
25,Wed,2021-02-10,18:00 (13:00),Livingston,,Hamilton,,Tony Macaroni Arena,,,Match Postponed
25,Wed,2021-02-10,20:00 (15:00),St Mirren,0–4,Celtic,,The Simple Digital Arena,Don Robertson,Match Report,
29,Sat,2021-02-13,15:00 (10:00),Rangers,,Kilmarnock,,Ibrox Stadium,,Head-to-Head,
29,Sat,2021-02-13,15:00 (10:00),Dundee United,,Livingston,,Tannadice Park,,Head-to-Head,
29,Sat,2021-02-13,15:00 (10:00),Motherwell,,Hamilton,,Fir Park,,Head-to-Head,
29,Sat,2021-02-13,15:00 (10:00),Ross County,,Hibernian,,Global Energy Stadium,,Head-to-Head,
29,Sat,2021-02-13,15:00 (10:00),Aberdeen,,St Mirren,,Pittodrie Stadium,,Head-to-Head,
29,Sun,2021-02-14,12:00 (07:00),St Johnstone,,Celtic,,McDiarmid Park,,Head-to-Head,
4,Wed,2021-02-17,18:00 (13:00),Celtic,,Aberdeen,,Celtic Park,,Head-to-Head,
12,Wed,2021-02-17,18:00 (13:00),St Mirren,,Hamilton,,The Simple Digital Arena,,Head-to-Head,
33,Sat,2021-02-20,15:00 (10:00),St Mirren,,Livingston,,The Simple Digital Arena,,Head-to-Head,
33,Sat,2021-02-20,15:00 (10:00),Motherwell,,St Johnstone,,Fir Park,,Head-to-Head,
33,Sat,2021-02-20,15:00 (10:00),Hibernian,,Hamilton,,Easter Road Stadium,,Head-to-Head,
33,Sat,2021-02-20,15:00 (10:00),Aberdeen,,Kilmarnock,,Pittodrie Stadium,,Head-to-Head,
33,Sun,2021-02-21,15:00 (10:00),Rangers,,Dundee United,,Ibrox Stadium,,Head-to-Head,
33,Sun,2021-02-21,19:30 (14:30),Ross County,,Celtic,,Global Energy Stadium,,Head-to-Head,
11,Wed,2021-02-24,18:00 (13:00),St Mirren,,Motherwell,,The Simple Digital Arena,,Head-to-Head,
30,Sat,2021-02-27,15:00 (10:00),St Mirren,,Ross County,,The Simple Digital Arena,,Head-to-Head,
30,Sat,2021-02-27,15:00 (10:00),Celtic,,Aberdeen,,Celtic Park,,Head-to-Head,
30,Sat,2021-02-27,15:00 (10:00),Hibernian,,Motherwell,,Easter Road Stadium,,Head-to-Head,
30,Sat,2021-02-27,15:00 (10:00),Kilmarnock,,Dundee United,,Rugby Park,,Head-to-Head,
30,Wed,2021-03-03,18:00 (13:00),Livingston,,Rangers,,Tony Macaroni Arena,,Head-to-Head,
30,Wed,2021-03-03,18:00 (13:00),Hamilton,,St Johnstone,,The Hope CBD Stadium,,Head-to-Head,
31,Sat,2021-03-06,15:00 (10:00),Ross County,,Kilmarnock,,Global Energy Stadium,,Head-to-Head,
31,Sat,2021-03-06,15:00 (10:00),Motherwell,,Livingston,,Fir Park,,Head-to-Head,
31,Sat,2021-03-06,15:00 (10:00),Rangers,,St Mirren,,Ibrox Stadium,,Head-to-Head,
31,Sat,2021-03-06,15:00 (10:00),Aberdeen,,Hamilton,,Pittodrie Stadium,,Head-to-Head,
31,Sat,2021-03-06,15:00 (10:00),St Johnstone,,Hibernian,,McDiarmid Park,,Head-to-Head,
31,Sun,2021-03-07,12:00 (07:00),Dundee United,,Celtic,,Tannadice Park,,Head-to-Head,
32,Sat,2021-03-20,15:00 (11:00),Livingston,,Hibernian,,Tony Macaroni Arena,,Head-to-Head,
32,Sat,2021-03-20,15:00 (11:00),Kilmarnock,,Motherwell,,Rugby Park,,Head-to-Head,
32,Sat,2021-03-20,15:00 (11:00),Dundee United,,Aberdeen,,Tannadice Park,,Head-to-Head,
32,Sat,2021-03-20,15:00 (11:00),St Johnstone,,Ross County,,McDiarmid Park,,Head-to-Head,
32,Sat,2021-03-20,15:00 (11:00),Hamilton,,St Mirren,,The Hope CBD Stadium,,Head-to-Head,
32,Sun,2021-03-21,12:00 (08:00),Celtic,,Rangers,,Celtic Park,,Head-to-Head,
