team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,draw_reg,win_ot,lose_ot,win_pk,lose_pk
Austria,1.0,Sweden,1.1,0.474,0.526,0.324,0.370,0.306,0.060,0.067,0.089,0.089
Austria,0.9,Switzerland,1.0,0.468,0.532,0.311,0.367,0.322,0.059,0.067,0.098,0.098
Austria,1.0,Turkey,1.1,0.463,0.537,0.321,0.386,0.293,0.059,0.068,0.083,0.083
Austria,0.9,Ukraine,1.0,0.462,0.538,0.308,0.375,0.317,0.058,0.068,0.095,0.095
Austria,1.0,Wales,0.9,0.538,0.462,0.373,0.306,0.321,0.068,0.058,0.097,0.097
Belgium,1.3,Albania,0.4,0.764,0.236,0.586,0.121,0.293,0.087,0.025,0.090,0.090
Belgium,1.6,Austria,0.8,0.708,0.292,0.558,0.188,0.254,0.081,0.036,0.068,0.068
Belgium,1.1,Croatia,0.9,0.566,0.434,0.401,0.285,0.313,0.071,0.055,0.094,0.094
Belgium,1.4,Czech Republic,0.6,0.728,0.272,0.567,0.162,0.270,0.084,0.032,0.077,0.077
Belgium,1.0,England,0.9,0.509,0.491,0.350,0.334,0.316,0.065,0.062,0.095,0.095
Belgium,0.7,France,1.1,0.386,0.614,0.238,0.437,0.325,0.047,0.076,0.101,0.101
Belgium,1.2,Germany,1.4,0.455,0.545,0.328,0.407,0.265,0.058,0.068,0.069,0.069
Belgium,1.6,Hungary,0.7,0.748,0.252,0.598,0.154,0.248,0.083,0.030,0.067,0.067
Belgium,1.5,Iceland,0.8,0.694,0.306,0.540,0.195,0.265,0.081,0.038,0.073,0.073
Belgium,1.1,Italy,0.8,0.580,0.420,0.413,0.272,0.315,0.073,0.053,0.095,0.095
Belgium,1.5,Northern Ireland,0.4,0.807,0.193,0.648,0.101,0.251,0.086,0.020,0.073,0.073
Belgium,1.2,Poland,0.7,0.656,0.344,0.483,0.210,0.307,0.080,0.042,0.093,0.093
Belgium,1.0,Portugal,0.8,0.589,0.411,0.416,0.261,0.323,0.074,0.051,0.099,0.099
Belgium,1.3,Republic of Ireland,0.6,0.720,0.280,0.552,0.164,0.284,0.084,0.033,0.084,0.084
Belgium,1.2,Romania,0.6,0.675,0.325,0.503,0.195,0.302,0.082,0.039,0.091,0.091
Belgium,1.3,Russia,0.7,0.674,0.326,0.512,0.205,0.283,0.081,0.040,0.081,0.081
Belgium,1.4,Slovakia,0.6,0.723,0.277,0.560,0.165,0.275,0.084,0.033,0.079,0.079
Belgium,0.9,Spain,1.1,0.440,0.560,0.297,0.402,0.301,0.056,0.070,0.087,0.087
Belgium,1.3,Sweden,0.7,0.672,0.328,0.508,0.205,0.287,0.081,0.040,0.083,0.083
Belgium,1.2,Switzerland,0.7,0.657,0.343,0.484,0.208,0.307,0.080,0.042,0.093,0.093
Belgium,1.4,Turkey,0.8,0.669,0.331,0.511,0.212,0.277,0.080,0.041,0.078,0.078
Belgium,1.2,Ukraine,0.7,0.654,0.346,0.484,0.213,0.303,0.080,0.042,0.091,0.091
Belgium,1.3,Wales,0.6,0.720,0.280,0.553,0.164,0.283,0.084,0.033,0.083,0.083
Croatia,1.0,Albania,0.4,0.703,0.297,0.503,0.150,0.347,0.086,0.032,0.115,0.115
Croatia,1.2,Austria,0.8,0.634,0.366,0.471,0.235,0.294,0.078,0.046,0.085,0.085
Croatia,0.9,Belgium,1.1,0.434,0.566,0.285,0.401,0.313,0.055,0.071,0.094,0.094
Croatia,1.1,Czech Republic,0.6,0.660,0.340,0.482,0.202,0.316,0.081,0.041,0.097,0.097
Croatia,0.8,England,0.9,0.446,0.554,0.285,0.379,0.335,0.056,0.070,0.105,0.105
Croatia,0.6,France,1.1,0.337,0.663,0.191,0.475,0.333,0.039,0.082,0.106,0.106
Croatia,1.0,Germany,1.4,0.386,0.614,0.262,0.464,0.274,0.049,0.075,0.075,0.075
Croatia,1.3,Hungary,0.7,0.679,0.321,0.510,0.196,0.294,0.082,0.039,0.087,0.087
Croatia,1.2,Iceland,0.8,0.622,0.378,0.455,0.241,0.305,0.077,0.047,0.090,0.090
Croatia,0.9,Italy,0.8,0.514,0.486,0.341,0.316,0.343,0.065,0.061,0.109,0.109
Croatia,1.2,Northern Ireland,0.4,0.746,0.254,0.562,0.130,0.308,0.087,0.027,0.097,0.097
Croatia,0.9,Poland,0.7,0.589,0.411,0.405,0.250,0.345,0.074,0.050,0.111,0.111
Croatia,0.8,Portugal,0.8,0.524,0.476,0.344,0.303,0.353,0.066,0.060,0.114,0.114
Croatia,1.1,Republic of Ireland,0.6,0.653,0.347,0.469,0.201,0.330,0.081,0.041,0.104,0.104
Croatia,1.0,Romania,0.6,0.609,0.391,0.423,0.234,0.343,0.076,0.048,0.110,0.110
Croatia,1.1,Russia,0.7,0.604,0.396,0.430,0.249,0.321,0.075,0.049,0.098,0.098
Croatia,1.1,Slovakia,0.6,0.655,0.345,0.475,0.205,0.320,0.080,0.041,0.099,0.099
Croatia,0.7,Spain,1.1,0.380,0.620,0.239,0.449,0.312,0.047,0.077,0.094,0.094
Croatia,1.0,Sweden,0.7,0.602,0.398,0.426,0.248,0.326,0.075,0.049,0.101,0.101
Croatia,0.9,Switzerland,0.7,0.591,0.409,0.406,0.248,0.346,0.074,0.050,0.111,0.111
Croatia,1.1,Turkey,0.8,0.597,0.403,0.428,0.258,0.314,0.075,0.050,0.094,0.094
Croatia,1.0,Ukraine,0.7,0.587,0.413,0.405,0.254,0.341,0.074,0.051,0.108,0.108
Croatia,1.1,Wales,0.6,0.653,0.347,0.469,0.202,0.329,0.080,0.041,0.104,0.104
Czech Republic,0.8,Albania,0.6,0.568,0.432,0.362,0.246,0.393,0.071,0.052,0.135,0.135
Czech Republic,0.9,Austria,1.1,0.458,0.542,0.308,0.382,0.310,0.058,0.068,0.092,0.092
Czech Republic,0.6,Belgium,1.4,0.272,0.728,0.162,0.567,0.270,0.032,0.084,0.077,0.077
Czech Republic,0.6,Croatia,1.1,0.340,0.660,0.202,0.482,0.316,0.041,0.081,0.097,0.097
Czech Republic,0.6,England,1.3,0.291,0.709,0.168,0.536,0.296,0.034,0.084,0.089,0.089
Czech Republic,0.4,France,1.4,0.206,0.794,0.105,0.628,0.267,0.021,0.087,0.080,0.080
Czech Republic,0.7,Germany,1.8,0.219,0.781,0.137,0.644,0.219,0.026,0.081,0.056,0.056
Czech Republic,0.9,Hungary,0.9,0.512,0.488,0.348,0.327,0.325,0.065,0.062,0.099,0.099
Czech Republic,0.9,Iceland,1.0,0.449,0.551,0.297,0.386,0.317,0.057,0.070,0.095,0.095
Czech Republic,0.6,Italy,1.1,0.355,0.645,0.211,0.464,0.324,0.043,0.080,0.101,0.101
Czech Republic,0.9,Northern Ireland,0.6,0.610,0.390,0.412,0.223,0.365,0.076,0.046,0.121,0.121
Czech Republic,0.7,Poland,0.9,0.432,0.568,0.266,0.384,0.351,0.053,0.071,0.113,0.113
Czech Republic,0.6,Portugal,1.0,0.368,0.632,0.217,0.446,0.337,0.044,0.079,0.107,0.107
Czech Republic,0.8,Republic of Ireland,0.8,0.498,0.502,0.321,0.323,0.356,0.063,0.063,0.115,0.115
Czech Republic,0.7,Romania,0.9,0.452,0.548,0.281,0.364,0.355,0.056,0.069,0.115,0.115
Czech Republic,0.8,Russia,1.0,0.437,0.563,0.280,0.390,0.329,0.055,0.071,0.102,0.102
Czech Republic,0.8,Slovakia,0.8,0.496,0.504,0.323,0.331,0.346,0.062,0.064,0.110,0.110
Czech Republic,0.5,Spain,1.5,0.230,0.770,0.131,0.613,0.256,0.026,0.085,0.072,0.072
Czech Republic,0.8,Sweden,1.0,0.437,0.563,0.279,0.388,0.333,0.055,0.071,0.104,0.104
Czech Republic,0.7,Switzerland,0.9,0.433,0.567,0.267,0.382,0.351,0.054,0.071,0.113,0.113
Czech Republic,0.8,Turkey,1.1,0.426,0.574,0.276,0.405,0.319,0.054,0.072,0.097,0.097
Czech Republic,0.7,Ukraine,0.9,0.427,0.573,0.264,0.390,0.345,0.053,0.072,0.110,0.110
Czech Republic,0.8,Wales,0.8,0.498,0.502,0.321,0.325,0.355,0.062,0.063,0.115,0.115
England,1.1,Albania,0.4,0.745,0.255,0.552,0.125,0.323,0.088,0.026,0.104,0.104
England,1.4,Austria,0.7,0.689,0.311,0.529,0.194,0.277,0.081,0.038,0.079,0.079
England,0.9,Belgium,1.0,0.491,0.509,0.334,0.350,0.316,0.062,0.065,0.095,0.095
England,0.9,Croatia,0.8,0.554,0.446,0.379,0.285,0.335,0.070,0.056,0.105,0.105
England,1.3,Czech Republic,0.6,0.709,0.291,0.536,0.168,0.296,0.084,0.034,0.089,0.089
England,0.6,France,1.0,0.385,0.615,0.227,0.427,0.346,0.046,0.077,0.112,0.112
England,1.1,Germany,1.2,0.448,0.552,0.313,0.406,0.281,0.057,0.069,0.077,0.077
England,1.4,Hungary,0.6,0.729,0.271,0.567,0.161,0.273,0.084,0.032,0.078,0.078
England,1.3,Iceland,0.7,0.676,0.324,0.511,0.200,0.289,0.081,0.039,0.084,0.084
England,1.0,Italy,0.7,0.568,0.432,0.390,0.272,0.338,0.071,0.054,0.106,0.106
England,1.3,Northern Ireland,0.4,0.787,0.213,0.613,0.106,0.281,0.088,0.022,0.086,0.086
England,1.1,Poland,0.6,0.640,0.360,0.456,0.212,0.332,0.079,0.043,0.105,0.105
England,0.9,Portugal,0.7,0.576,0.424,0.393,0.261,0.346,0.072,0.052,0.111,0.111
England,1.2,Republic of Ireland,0.5,0.702,0.298,0.521,0.168,0.311,0.084,0.034,0.096,0.096
England,1.1,Romania,0.6,0.658,0.342,0.474,0.198,0.328,0.081,0.040,0.103,0.103
England,1.2,Russia,0.7,0.657,0.343,0.484,0.209,0.307,0.080,0.042,0.092,0.092
England,1.2,Slovakia,0.6,0.704,0.296,0.529,0.170,0.301,0.084,0.034,0.091,0.091
England,0.8,Spain,1.0,0.435,0.565,0.283,0.397,0.320,0.055,0.071,0.097,0.097
England,1.2,Sweden,0.7,0.655,0.345,0.480,0.209,0.311,0.080,0.042,0.095,0.095
England,1.1,Switzerland,0.6,0.641,0.359,0.457,0.211,0.332,0.079,0.043,0.105,0.105
England,1.2,Turkey,0.7,0.652,0.348,0.484,0.217,0.300,0.080,0.043,0.089,0.089
England,1.1,Ukraine,0.6,0.638,0.362,0.456,0.215,0.328,0.079,0.044,0.103,0.103
England,1.2,Wales,0.5,0.701,0.299,0.522,0.168,0.310,0.084,0.034,0.096,0.096
France,1.3,Albania,0.3,0.812,0.188,0.630,0.079,0.291,0.090,0.016,0.092,0.092
France,1.6,Austria,0.5,0.786,0.214,0.631,0.120,0.249,0.085,0.024,0.070,0.070
France,1.1,Belgium,0.7,0.614,0.386,0.437,0.238,0.325,0.076,0.047,0.101,0.101
France,1.1,Croatia,0.6,0.663,0.337,0.475,0.191,0.333,0.082,0.039,0.106,0.106
France,1.4,Czech Republic,0.4,0.794,0.206,0.628,0.105,0.267,0.087,0.021,0.080,0.080
France,1.0,England,0.6,0.615,0.385,0.427,0.227,0.346,0.077,0.046,0.112,0.112
France,1.2,Germany,0.9,0.586,0.414,0.428,0.276,0.297,0.073,0.052,0.085,0.085
France,1.6,Hungary,0.4,0.814,0.186,0.661,0.099,0.240,0.085,0.019,0.068,0.068
France,1.5,Iceland,0.5,0.773,0.227,0.611,0.126,0.263,0.086,0.025,0.076,0.076
France,1.1,Italy,0.5,0.674,0.326,0.485,0.182,0.333,0.083,0.038,0.107,0.107
France,1.5,Northern Ireland,0.3,0.849,0.151,0.690,0.065,0.245,0.086,0.013,0.073,0.073
France,1.2,Poland,0.4,0.734,0.266,0.547,0.138,0.315,0.087,0.029,0.100,0.100
France,1.0,Portugal,0.5,0.679,0.321,0.485,0.174,0.341,0.083,0.036,0.111,0.111
France,1.3,Republic of Ireland,0.4,0.785,0.215,0.610,0.106,0.284,0.088,0.022,0.087,0.087
France,1.2,Romania,0.4,0.749,0.251,0.565,0.128,0.308,0.087,0.027,0.097,0.097
France,1.3,Russia,0.5,0.754,0.246,0.581,0.134,0.285,0.086,0.027,0.086,0.086
France,1.4,Slovakia,0.4,0.789,0.211,0.620,0.107,0.273,0.087,0.022,0.082,0.082
France,0.9,Spain,0.7,0.559,0.441,0.380,0.277,0.342,0.070,0.055,0.109,0.109
France,1.3,Sweden,0.5,0.751,0.249,0.576,0.134,0.290,0.086,0.027,0.088,0.088
France,1.2,Switzerland,0.4,0.735,0.265,0.548,0.137,0.315,0.087,0.029,0.100,0.100
France,1.4,Turkey,0.5,0.752,0.248,0.584,0.138,0.279,0.086,0.028,0.083,0.083
France,1.2,Ukraine,0.5,0.733,0.267,0.549,0.140,0.311,0.087,0.029,0.098,0.098
France,1.3,Wales,0.4,0.785,0.215,0.611,0.107,0.283,0.088,0.022,0.086,0.086
Germany,1.7,Albania,0.5,0.814,0.186,0.665,0.102,0.233,0.084,0.020,0.064,0.064
Germany,2.0,Austria,0.9,0.764,0.236,0.635,0.158,0.208,0.079,0.029,0.050,0.050
Germany,1.4,Belgium,1.2,0.545,0.455,0.407,0.328,0.265,0.068,0.058,0.069,0.069
Germany,1.4,Croatia,1.0,0.614,0.386,0.464,0.262,0.274,0.075,0.049,0.075,0.075
Germany,1.8,Czech Republic,0.7,0.781,0.219,0.644,0.137,0.219,0.081,0.026,0.056,0.056
Germany,1.2,England,1.1,0.552,0.448,0.406,0.313,0.281,0.069,0.057,0.077,0.077
Germany,0.9,France,1.2,0.414,0.586,0.276,0.428,0.297,0.052,0.073,0.085,0.085
Germany,2.0,Hungary,0.8,0.802,0.198,0.676,0.127,0.197,0.079,0.023,0.048,0.048
Germany,1.9,Iceland,0.9,0.749,0.251,0.615,0.166,0.219,0.080,0.031,0.054,0.054
Germany,1.4,Italy,0.9,0.629,0.371,0.477,0.249,0.275,0.077,0.047,0.076,0.076
Germany,1.9,Northern Ireland,0.5,0.855,0.145,0.727,0.081,0.192,0.079,0.015,0.049,0.049
Germany,1.5,Poland,0.8,0.708,0.292,0.555,0.185,0.259,0.082,0.036,0.071,0.071
Germany,1.3,Portugal,0.9,0.637,0.363,0.481,0.239,0.280,0.077,0.046,0.079,0.079
Germany,1.7,Republic of Ireland,0.7,0.773,0.227,0.629,0.139,0.232,0.082,0.027,0.061,0.061
Germany,1.6,Romania,0.7,0.727,0.273,0.576,0.171,0.253,0.082,0.033,0.069,0.069
Germany,1.7,Russia,0.8,0.728,0.272,0.586,0.178,0.236,0.081,0.034,0.061,0.061
Germany,1.8,Slovakia,0.7,0.776,0.224,0.636,0.140,0.224,0.082,0.027,0.058,0.058
Germany,1.2,Spain,1.3,0.478,0.522,0.345,0.383,0.272,0.061,0.066,0.073,0.073
Germany,1.7,Sweden,0.8,0.725,0.275,0.582,0.178,0.240,0.081,0.034,0.063,0.063
Germany,1.5,Switzerland,0.7,0.709,0.291,0.556,0.184,0.259,0.082,0.036,0.071,0.071
Germany,1.8,Turkey,0.9,0.723,0.277,0.585,0.184,0.232,0.080,0.034,0.059,0.059
Germany,1.5,Ukraine,0.8,0.706,0.294,0.555,0.188,0.257,0.081,0.036,0.070,0.070
Germany,1.7,Wales,0.7,0.773,0.227,0.629,0.140,0.231,0.082,0.027,0.061,0.061
Hungary,0.8,Albania,0.6,0.561,0.439,0.366,0.261,0.373,0.070,0.053,0.125,0.125
Hungary,1.0,Austria,1.2,0.443,0.557,0.304,0.404,0.292,0.056,0.070,0.083,0.083
Hungary,0.7,Belgium,1.6,0.252,0.748,0.154,0.598,0.248,0.030,0.083,0.067,0.067
Hungary,0.7,Croatia,1.3,0.321,0.679,0.196,0.510,0.294,0.039,0.082,0.087,0.087
Hungary,0.9,Czech Republic,0.9,0.488,0.512,0.327,0.348,0.325,0.062,0.065,0.099,0.099
Hungary,0.6,England,1.4,0.271,0.729,0.161,0.567,0.273,0.032,0.084,0.078,0.078
Hungary,0.4,France,1.6,0.186,0.814,0.099,0.661,0.240,0.019,0.085,0.068,0.068
Hungary,0.8,Germany,2.0,0.198,0.802,0.127,0.676,0.197,0.023,0.079,0.048,0.048
Hungary,0.9,Iceland,1.2,0.434,0.566,0.293,0.408,0.299,0.055,0.071,0.086,0.086
Hungary,0.7,Italy,1.2,0.337,0.663,0.206,0.492,0.302,0.041,0.081,0.090,0.090
Hungary,1.0,Northern Ireland,0.6,0.605,0.395,0.417,0.236,0.347,0.076,0.048,0.112,0.112
Hungary,0.7,Poland,1.0,0.417,0.583,0.263,0.407,0.330,0.052,0.073,0.102,0.102
Hungary,0.7,Portugal,1.1,0.351,0.649,0.212,0.473,0.315,0.042,0.080,0.096,0.096
Hungary,0.8,Republic of Ireland,0.9,0.487,0.513,0.320,0.343,0.337,0.061,0.065,0.105,0.105
Hungary,0.8,Romania,1.0,0.438,0.562,0.279,0.386,0.335,0.055,0.071,0.104,0.104
Hungary,0.8,Russia,1.1,0.422,0.578,0.277,0.414,0.310,0.053,0.073,0.092,0.092
Hungary,0.9,Slovakia,0.9,0.484,0.516,0.322,0.351,0.327,0.061,0.065,0.100,0.100
Hungary,0.6,Spain,1.7,0.209,0.791,0.123,0.645,0.231,0.024,0.083,0.062,0.062
Hungary,0.8,Sweden,1.1,0.422,0.578,0.275,0.411,0.314,0.053,0.073,0.094,0.094
Hungary,0.7,Switzerland,1.0,0.419,0.581,0.264,0.405,0.331,0.052,0.073,0.103,0.103
Hungary,0.9,Turkey,1.2,0.410,0.590,0.271,0.429,0.300,0.052,0.074,0.087,0.087
Hungary,0.8,Ukraine,1.0,0.412,0.588,0.261,0.414,0.325,0.051,0.074,0.100,0.100
Hungary,0.8,Wales,0.9,0.486,0.514,0.320,0.344,0.336,0.061,0.065,0.105,0.105
Iceland,0.9,Albania,0.6,0.616,0.384,0.422,0.221,0.357,0.077,0.046,0.117,0.117
Iceland,1.1,Austria,1.1,0.511,0.489,0.364,0.345,0.290,0.065,0.062,0.082,0.082
Iceland,0.8,Belgium,1.5,0.306,0.694,0.195,0.540,0.265,0.038,0.081,0.073,0.073
Iceland,0.8,Croatia,1.2,0.378,0.622,0.241,0.455,0.305,0.047,0.077,0.090,0.090
Iceland,1.0,Czech Republic,0.9,0.551,0.449,0.386,0.297,0.317,0.070,0.057,0.095,0.095
Iceland,0.7,England,1.3,0.324,0.676,0.200,0.511,0.289,0.039,0.081,0.084,0.084
Iceland,0.5,France,1.5,0.227,0.773,0.126,0.611,0.263,0.025,0.086,0.076,0.076
Iceland,0.9,Germany,1.9,0.251,0.749,0.166,0.615,0.219,0.031,0.080,0.054,0.054
Iceland,1.2,Hungary,0.9,0.566,0.434,0.408,0.293,0.299,0.071,0.055,0.086,0.086
Iceland,0.8,Italy,1.1,0.394,0.606,0.251,0.437,0.312,0.049,0.075,0.093,0.093
Iceland,1.1,Northern Ireland,0.6,0.661,0.339,0.477,0.196,0.326,0.081,0.040,0.102,0.102
Iceland,0.9,Poland,0.9,0.476,0.524,0.314,0.355,0.330,0.060,0.066,0.102,0.102
Iceland,0.8,Portugal,1.1,0.407,0.593,0.257,0.420,0.323,0.051,0.074,0.099,0.099
Iceland,1.0,Republic of Ireland,0.8,0.547,0.453,0.376,0.294,0.330,0.069,0.057,0.102,0.102
Iceland,0.9,Romania,0.9,0.498,0.502,0.332,0.335,0.333,0.063,0.063,0.103,0.103
Iceland,1.0,Russia,1.0,0.485,0.515,0.332,0.358,0.310,0.062,0.065,0.092,0.092
Iceland,1.0,Slovakia,0.9,0.546,0.454,0.380,0.300,0.320,0.069,0.057,0.097,0.097
Iceland,0.7,Spain,1.6,0.258,0.742,0.158,0.590,0.252,0.031,0.083,0.069,0.069
Iceland,0.9,Sweden,1.0,0.485,0.515,0.330,0.356,0.314,0.062,0.065,0.094,0.094
Iceland,0.9,Switzerland,0.9,0.478,0.522,0.315,0.354,0.331,0.060,0.066,0.102,0.102
Iceland,1.0,Turkey,1.1,0.475,0.525,0.327,0.372,0.301,0.060,0.067,0.087,0.087
Iceland,0.9,Ukraine,1.0,0.472,0.528,0.313,0.361,0.326,0.060,0.067,0.100,0.100
Iceland,1.0,Wales,0.8,0.547,0.453,0.376,0.295,0.329,0.069,0.057,0.101,0.101
Italy,1.0,Albania,0.4,0.690,0.310,0.486,0.157,0.357,0.085,0.034,0.120,0.120
Italy,1.2,Austria,0.8,0.618,0.382,0.453,0.246,0.301,0.076,0.048,0.088,0.088
Italy,0.8,Belgium,1.1,0.420,0.580,0.272,0.413,0.315,0.053,0.073,0.095,0.095
Italy,0.8,Croatia,0.9,0.486,0.514,0.316,0.341,0.343,0.061,0.065,0.109,0.109
Italy,1.1,Czech Republic,0.6,0.645,0.355,0.464,0.211,0.324,0.080,0.043,0.101,0.101
Italy,0.7,England,1.0,0.432,0.568,0.272,0.390,0.338,0.054,0.071,0.106,0.106
Italy,0.5,France,1.1,0.326,0.674,0.182,0.485,0.333,0.038,0.083,0.107,0.107
Italy,0.9,Germany,1.4,0.371,0.629,0.249,0.477,0.275,0.047,0.077,0.076,0.076
Italy,1.2,Hungary,0.7,0.663,0.337,0.492,0.206,0.302,0.081,0.041,0.090,0.090
Italy,1.1,Iceland,0.8,0.606,0.394,0.437,0.251,0.312,0.075,0.049,0.093,0.093
Italy,1.2,Northern Ireland,0.4,0.733,0.267,0.544,0.137,0.319,0.087,0.029,0.102,0.102
Italy,0.9,Poland,0.7,0.575,0.425,0.389,0.259,0.352,0.072,0.052,0.114,0.114
Italy,0.8,Portugal,0.8,0.510,0.490,0.330,0.313,0.358,0.064,0.061,0.116,0.116
Italy,1.0,Republic of Ireland,0.6,0.639,0.361,0.451,0.210,0.338,0.079,0.043,0.108,0.108
Italy,0.9,Romania,0.6,0.594,0.406,0.406,0.243,0.350,0.075,0.049,0.113,0.113
Italy,1.0,Russia,0.7,0.588,0.412,0.413,0.259,0.328,0.074,0.051,0.101,0.101
Italy,1.1,Slovakia,0.6,0.640,0.360,0.458,0.214,0.329,0.079,0.043,0.103,0.103
Italy,0.7,Spain,1.1,0.367,0.633,0.228,0.460,0.312,0.045,0.078,0.095,0.095
Italy,1.0,Sweden,0.7,0.587,0.413,0.410,0.258,0.332,0.074,0.051,0.104,0.104
Italy,0.9,Switzerland,0.7,0.576,0.424,0.390,0.258,0.352,0.072,0.052,0.114,0.114
Italy,1.1,Turkey,0.8,0.582,0.418,0.411,0.269,0.320,0.073,0.052,0.097,0.097
Italy,0.9,Ukraine,0.7,0.572,0.428,0.389,0.264,0.348,0.072,0.053,0.111,0.111
Italy,1.0,Wales,0.6,0.639,0.361,0.452,0.211,0.337,0.079,0.043,0.108,0.108
Northern Ireland,0.5,Albania,0.6,0.466,0.534,0.253,0.311,0.437,0.055,0.065,0.158,0.158
Northern Ireland,0.6,Austria,1.1,0.344,0.656,0.204,0.477,0.320,0.041,0.081,0.099,0.099
Northern Ireland,0.4,Belgium,1.5,0.193,0.807,0.101,0.648,0.251,0.020,0.086,0.073,0.073
Northern Ireland,0.4,Croatia,1.2,0.254,0.746,0.130,0.562,0.308,0.027,0.087,0.097,0.097
Northern Ireland,0.6,Czech Republic,0.9,0.390,0.610,0.223,0.412,0.365,0.046,0.076,0.121,0.121
Northern Ireland,0.4,England,1.3,0.213,0.787,0.106,0.613,0.281,0.022,0.088,0.086,0.086
Northern Ireland,0.3,France,1.5,0.151,0.849,0.065,0.690,0.245,0.013,0.086,0.073,0.073
