Round Number,Date,Location,Home Team,Away Team,Result
5,16/09/2017 12:30,Selhurst Park,Crystal Palace,Southampton,0 - 1
5,16/09/2017 15:00,John Smith's Stadium,Huddersfield,Leicester,1 - 1
5,16/09/2017 15:00,Anfield,Liverpool,Burnley,1 - 1
5,16/09/2017 15:00,St. James' Park,Newcastle,Stoke,2 - 1
5,16/09/2017 15:00,Vicarage Road,Watford,Man City,0 - 6
5,16/09/2017 15:00,The Hawthorns,West Brom,West Ham,0 - 0
5,16/09/2017 17:30,Wembley Stadium,Spurs,Swansea,0 - 0
5,17/09/2017 13:30,Stamford Bridge,Chelsea,Arsenal,0 - 0
5,17/09/2017 16:00,Old Trafford,Man Utd,Everton,4 - 0
6,23/09/2017 12:30,London Stadium,West Ham,Spurs,2 - 3
6,23/09/2017 15:00,Turf Moor,Burnley,Huddersfield,0 - 0
6,23/09/2017 15:00,Goodison Park,Everton,Bournemouth,2 - 1
6,23/09/2017 15:00,Etihad Stadium,Man City,Crystal Palace,5 - 0
6,23/09/2017 15:00,St. Mary's Stadium,Southampton,Man Utd,0 - 1
6,23/09/2017 15:00,bet365 Stadium,Stoke,Chelsea,0 - 4
6,23/09/2017 15:00,Liberty Stadium,Swansea,Watford,1 - 2
6,23/09/2017 17:30,King Power Stadium,Leicester,Liverpool,2 - 3
6,24/09/2017 16:00,Amex Stadium,Brighton,Newcastle,1 - 0
6,25/09/2017 20:00,Emirates Stadium,Arsenal,West Brom,2 - 0
7,30/09/2017 12:30,John Smith's Stadium,Huddersfield,Spurs,0 - 4
7,30/09/2017 15:00,Vitality Stadium,Bournemouth,Leicester,0 - 0
7,30/09/2017 15:00,Old Trafford,Man Utd,Crystal Palace,4 - 0
7,30/09/2017 15:00,bet365 Stadium,Stoke,Southampton,2 - 1
7,30/09/2017 15:00,The Hawthorns,West Brom,Watford,2 - 2
7,30/09/2017 15:00,London Stadium,West Ham,Swansea,1 - 0
7,30/09/2017 17:30,Stamford Bridge,Chelsea,Man City,0 - 1
7,01/10/2017 12:00,Emirates Stadium,Arsenal,Brighton,2 - 0
7,01/10/2017 14:15,Goodison Park,Everton,Burnley,0 - 1
7,01/10/2017 16:30,St. James' Park,Newcastle,Liverpool,1 - 1
8,14/10/2017 12:30,Anfield,Liverpool,Man Utd,0 - 0
8,14/10/2017 15:00,Turf Moor,Burnley,West Ham,1 - 1
8,14/10/2017 15:00,Selhurst Park,Crystal Palace,Chelsea,2 - 1
8,14/10/2017 15:00,Etihad Stadium,Man City,Stoke,7 - 2
8,14/10/2017 15:00,Liberty Stadium,Swansea,Huddersfield,2 - 0
8,14/10/2017 15:00,Wembley Stadium,Spurs,Bournemouth,1 - 0
8,14/10/2017 17:30,Vicarage Road,Watford,Arsenal,2 - 1
8,15/10/2017 13:30,Amex Stadium,Brighton,Everton,1 - 1
8,15/10/2017 16:00,St. Mary's Stadium,Southampton,Newcastle,2 - 2
8,16/10/2017 20:00,King Power Stadium,Leicester,West Brom,1 - 1
9,20/10/2017 20:00,London Stadium,West Ham,Brighton,0 - 3
9,21/10/2017 12:30,Stamford Bridge,Chelsea,Watford,4 - 2
9,21/10/2017 15:00,John Smith's Stadium,Huddersfield,Man Utd,2 - 1
9,21/10/2017 15:00,Etihad Stadium,Man City,Burnley,3 - 0
9,21/10/2017 15:00,St. James' Park,Newcastle,Crystal Palace,1 - 0
9,21/10/2017 15:00,bet365 Stadium,Stoke,Bournemouth,1 - 2
9,21/10/2017 15:00,Liberty Stadium,Swansea,Leicester,1 - 2
9,21/10/2017 17:30,St. Mary's Stadium,Southampton,West Brom,1 - 0
9,22/10/2017 13:30,Goodison Park,Everton,Arsenal,2 - 5
9,22/10/2017 16:00,Wembley Stadium,Spurs,Liverpool,4 - 1
10,28/10/2017 12:30,Old Trafford,Man Utd,Spurs,1 - 0
10,28/10/2017 15:00,Emirates Stadium,Arsenal,Swansea,2 - 1
10,28/10/2017 15:00,Selhurst Park,Crystal Palace,West Ham,2 - 2
10,28/10/2017 15:00,Anfield,Liverpool,Huddersfield,3 - 0
10,28/10/2017 15:00,Vicarage Road,Watford,Stoke,0 - 1
10,28/10/2017 15:00,The Hawthorns,West Brom,Man City,2 - 3
10,28/10/2017 17:30,Vitality Stadium,Bournemouth,Chelsea,0 - 1
10,29/10/2017 13:30,Amex Stadium,Brighton,Southampton,1 - 1
10,29/10/2017 16:00,King Power Stadium,Leicester,Everton,2 - 0
10,30/10/2017 20:00,Turf Moor,Burnley,Newcastle,1 - 0
11,04/11/2017 12:30,bet365 Stadium,Stoke,Leicester,2 - 2
11,04/11/2017 15:00,John Smith's Stadium,Huddersfield,West Brom,1 - 0
11,04/11/2017 15:00,St. James' Park,Newcastle,Bournemouth,0 - 1
11,04/11/2017 15:00,St. Mary's Stadium,Southampton,Burnley,0 - 1
11,04/11/2017 15:00,Liberty Stadium,Swansea,Brighton,0 - 1
11,04/11/2017 17:30,London Stadium,West Ham,Liverpool,1 - 4
11,05/11/2017 12:00,Wembley Stadium,Spurs,Crystal Palace,1 - 0
11,05/11/2017 14:15,Etihad Stadium,Man City,Arsenal,3 - 1
11,05/11/2017 16:30,Stamford Bridge,Chelsea,Man Utd,1 - 0
11,05/11/2017 16:30,Goodison Park,Everton,Watford,3 - 2
12,18/11/2017 12:30,Emirates Stadium,Arsenal,Spurs,2 - 0
12,18/11/2017 15:00,Vitality Stadium,Bournemouth,Huddersfield,4 - 0
12,18/11/2017 15:00,Turf Moor,Burnley,Swansea,2 - 0
12,18/11/2017 15:00,Selhurst Park,Crystal Palace,Everton,2 - 2
12,18/11/2017 15:00,King Power Stadium,Leicester,Man City,0 - 2
12,18/11/2017 15:00,Anfield,Liverpool,Southampton,3 - 0
12,18/11/2017 15:00,The Hawthorns,West Brom,Chelsea,0 - 4
12,18/11/2017 17:30,Old Trafford,Man Utd,Newcastle,4 - 1
12,19/11/2017 16:00,Vicarage Road,Watford,West Ham,2 - 0
12,20/11/2017 20:00,Amex Stadium,Brighton,Stoke,2 - 2
13,24/11/2017 20:00,London Stadium,West Ham,Leicester,1 - 1
13,25/11/2017 15:00,Selhurst Park,Crystal Palace,Stoke,2 - 1
13,25/11/2017 15:00,Old Trafford,Man Utd,Brighton,1 - 0
13,25/11/2017 15:00,St. James' Park,Newcastle,Watford,0 - 3
13,25/11/2017 15:00,Liberty Stadium,Swansea,Bournemouth,0 - 0
13,25/11/2017 15:00,Wembley Stadium,Spurs,West Brom,1 - 1
13,25/11/2017 17:30,Anfield,Liverpool,Chelsea,1 - 1
13,26/11/2017 13:30,St. Mary's Stadium,Southampton,Everton,4 - 1
13,26/11/2017 14:00,Turf Moor,Burnley,Arsenal,0 - 1
13,26/11/2017 16:00,John Smith's Stadium,Huddersfield,Man City,1 - 2
14,28/11/2017 19:45,Amex Stadium,Brighton,Crystal Palace,0 - 0
14,28/11/2017 19:45,King Power Stadium,Leicester,Spurs,2 - 1
14,28/11/2017 20:00,Vicarage Road,Watford,Man Utd,2 - 4
14,28/11/2017 20:00,The Hawthorns,West Brom,Newcastle,2 - 2
14,29/11/2017 19:45,Emirates Stadium,Arsenal,Huddersfield,5 - 0
14,29/11/2017 19:45,Vitality Stadium,Bournemouth,Burnley,1 - 2
14,29/11/2017 19:45,Stamford Bridge,Chelsea,Swansea,1 - 0
14,29/11/2017 20:00,Goodison Park,Everton,West Ham,4 - 0
14,29/11/2017 20:00,Etihad Stadium,Man City,Southampton,2 - 1
14,29/11/2017 20:00,bet365 Stadium,Stoke,Liverpool,0 - 3
15,02/12/2017 12:30,Stamford Bridge,Chelsea,Newcastle,3 - 1
15,02/12/2017 15:00,Amex Stadium,Brighton,Liverpool,1 - 5
15,02/12/2017 15:00,Goodison Park,Everton,Huddersfield,2 - 0
15,02/12/2017 15:00,King Power Stadium,Leicester,Burnley,1 - 0
15,02/12/2017 15:00,bet365 Stadium,Stoke,Swansea,2 - 1
15,02/12/2017 15:00,Vicarage Road,Watford,Spurs,1 - 1
15,02/12/2017 15:00,The Hawthorns,West Brom,Crystal Palace,0 - 0
15,02/12/2017 17:30,Emirates Stadium,Arsenal,Man Utd,1 - 3
15,03/12/2017 13:30,Vitality Stadium,Bournemouth,Southampton,1 - 1
15,03/12/2017 16:00,Etihad Stadium,Man City,West Ham,2 - 1
16,09/12/2017 12:30,London Stadium,West Ham,Chelsea,1 - 0
16,09/12/2017 15:00,Turf Moor,Burnley,Watford,1 - 0
16,09/12/2017 15:00,Selhurst Park,Crystal Palace,Bournemouth,2 - 2
16,09/12/2017 15:00,John Smith's Stadium,Huddersfield,Brighton,2 - 0
16,09/12/2017 15:00,Liberty Stadium,Swansea,West Brom,1 - 0
16,09/12/2017 15:00,Wembley Stadium,Spurs,Stoke,5 - 1
16,09/12/2017 17:30,St. James' Park,Newcastle,Leicester,2 - 3
16,10/12/2017 12:00,St. Mary's Stadium,Southampton,Arsenal,1 - 1
16,10/12/2017 14:15,Anfield,Liverpool,Everton,1 - 1
16,10/12/2017 16:30,Old Trafford,Man Utd,Man City,1 - 2
17,12/12/2017 19:45,Turf Moor,Burnley,Stoke,1 - 0
17,12/12/2017 20:00,John Smith's Stadium,Huddersfield,Chelsea,1 - 3
17,12/12/2017 20:00,Selhurst Park,Crystal Palace,Watford,2 - 1
17,13/12/2017 19:45,Liberty Stadium,Swansea,Man City,0 - 4
17,13/12/2017 19:45,St. James' Park,Newcastle,Everton,0 - 1
17,13/12/2017 19:45,St. Mary's Stadium,Southampton,Leicester,1 - 4
17,13/12/2017 20:00,London Stadium,West Ham,Arsenal,0 - 0
17,13/12/2017 20:00,Old Trafford,Man Utd,Bournemouth,1 - 0
17,13/12/2017 20:00,Anfield,Liverpool,West Brom,0 - 0
17,13/12/2017 20:00,Wembley Stadium,Spurs,Brighton,2 - 0
18,16/12/2017 12:30,King Power Stadium,Leicester,Crystal Palace,0 - 3
18,16/12/2017 15:00,Emirates Stadium,Arsenal,Newcastle,1 - 0
18,16/12/2017 15:00,Amex Stadium,Brighton,Burnley,0 - 0
18,16/12/2017 15:00,Stamford Bridge,Chelsea,Southampton,1 - 0
18,16/12/2017 15:00,Vicarage Road,Watford,Huddersfield,1 - 4
18,16/12/2017 16:00,bet365 Stadium,Stoke,West Ham,0 - 3
18,16/12/2017 17:30,Etihad Stadium,Man City,Spurs,4 - 1
18,17/12/2017 14:15,The Hawthorns,West Brom,Man Utd,1 - 2
18,17/12/2017 16:30,Vitality Stadium,Bournemouth,Liverpool,0 - 4
18,18/12/2017 20:00,Goodison Park,Everton,Swansea,3 - 1
19,22/12/2017 19:45,Emirates Stadium,Arsenal,Liverpool,3 - 3
19,23/12/2017 12:30,Goodison Park,Everton,Chelsea,0 - 0
19,23/12/2017 15:00,Amex Stadium,Brighton,Watford,1 - 0
19,23/12/2017 15:00,Etihad Stadium,Man City,Bournemouth,4 - 0
19,23/12/2017 15:00,St. Mary's Stadium,Southampton,Huddersfield,1 - 1
19,23/12/2017 15:00,bet365 Stadium,Stoke,West Brom,3 - 1
19,23/12/2017 15:00,Liberty Stadium,Swansea,Crystal Palace,1 - 1
19,23/12/2017 15:00,London Stadium,West Ham,Newcastle,2 - 3
19,23/12/2017 17:30,Turf Moor,Burnley,Spurs,0 - 3
19,23/12/2017 19:45,King Power Stadium,Leicester,Man Utd,2 - 2
20,26/12/2017 12:30,Wembley Stadium,Spurs,Southampton,5 - 2
20,26/12/2017 15:00,Vitality Stadium,Bournemouth,West Ham,3 - 3
20,26/12/2017 15:00,Stamford Bridge,Chelsea,Brighton,2 - 0
20,26/12/2017 15:00,John Smith's Stadium,Huddersfield,Stoke,1 - 1
20,26/12/2017 15:00,Old Trafford,Man Utd,Burnley,2 - 2
20,26/12/2017 15:00,Vicarage Road,Watford,Leicester,2 - 1
20,26/12/2017 15:00,The Hawthorns,West Brom,Everton,0 - 0
20,26/12/2017 17:30,Anfield,Liverpool,Swansea,5 - 0
20,27/12/2017 19:45,St. James' Park,Newcastle,Man City,0 - 1
20,28/12/2017 20:00,Selhurst Park,Crystal Palace,Arsenal,2 - 3
21,30/12/2017 15:00,Vitality Stadium,Bournemouth,Everton,2 - 1
21,30/12/2017 15:00,Stamford Bridge,Chelsea,Stoke,5 - 0
21,30/12/2017 15:00,John Smith's Stadium,Huddersfield,Burnley,0 - 0
21,30/12/2017 15:00,Anfield,Liverpool,Leicester,2 - 1
21,30/12/2017 15:00,St. James' Park,Newcastle,Brighton,0 - 0
21,30/12/2017 15:00,Vicarage Road,Watford,Swansea,1 - 2
21,30/12/2017 17:30,Old Trafford,Man Utd,Southampton,0 - 0
21,31/12/2017 12:00,Selhurst Park,Crystal Palace,Man City,0 - 0
21,31/12/2017 16:30,The Hawthorns,West Brom,Arsenal,1 - 1
22,01/01/2018 12:30,Amex Stadium,Brighton,Bournemouth,2 - 2
22,01/01/2018 15:00,Turf Moor,Burnley,Liverpool,1 - 2
22,01/01/2018 15:00,King Power Stadium,Leicester,Huddersfield,3 - 0
22,01/01/2018 15:00,bet365 Stadium,Stoke,Newcastle,0 - 1
22,01/01/2018 17:30,Goodison Park,Everton,Man Utd,0 - 2
22,02/01/2018 19:45,St. Mary's Stadium,Southampton,Crystal Palace,1 - 2
22,02/01/2018 19:45,Liberty Stadium,Swansea,Spurs,0 - 2
22,02/01/2018 19:45,London Stadium,West Ham,West Brom,2 - 1
22,02/01/2018 20:00,Etihad Stadium,Man City,Watford,3 - 1
22,03/01/2018 19:45,Emirates Stadium,Arsenal,Chelsea,2 - 2
22,04/01/2018 20:00,Wembley Stadium,Spurs,West Ham,1 - 1
23,13/01/2018 15:00,Stamford Bridge,Chelsea,Leicester,0 - 0
23,13/01/2018 15:00,Selhurst Park,Crystal Palace,Burnley,1 - 0
23,13/01/2018 15:00,John Smith's Stadium,Huddersfield,West Ham,1 - 4
23,13/01/2018 15:00,St. James' Park,Newcastle,Swansea,1 - 1
23,13/01/2018 15:00,Vicarage Road,Watford,Southampton,2 - 2
23,13/01/2018 15:00,The Hawthorns,West Brom,Brighton,2 - 0
23,13/01/2018 17:30,Wembley Stadium,Spurs,Everton,4 - 0
23,14/01/2018 13:30,Vitality Stadium,Bournemouth,Arsenal,2 - 1
23,14/01/2018 16:00,Anfield,Liverpool,Man City,4 - 3
23,15/01/2018 20:00,Old Trafford,Man Utd,Stoke,3 - 0
24,20/01/2018 12:30,Amex Stadium,Brighton,Chelsea,0 - 4
24,20/01/2018 15:00,Emirates Stadium,Arsenal,Crystal Palace,4 - 1
24,20/01/2018 15:00,Turf Moor,Burnley,Man Utd,0 - 1
24,20/01/2018 15:00,Goodison Park,Everton,West Brom,1 - 1
24,20/01/2018 15:00,King Power Stadium,Leicester,Watford,2 - 0
24,20/01/2018 15:00,bet365 Stadium,Stoke,Huddersfield,2 - 0
24,20/01/2018 15:00,London Stadium,West Ham,Bournemouth,1 - 1
24,20/01/2018 17:30,Etihad Stadium,Man City,Newcastle,3 - 1
24,21/01/2018 16:00,St. Mary's Stadium,Southampton,Spurs,1 - 1
24,22/01/2018 20:00,Liberty Stadium,Swansea,Liverpool,1 - 0
25,30/01/2018 19:45,Liberty Stadium,Swansea,Arsenal,3 - 1
25,30/01/2018 19:45,London Stadium,West Ham,Crystal Palace,1 - 1
25,30/01/2018 20:00,John Smith's Stadium,Huddersfield,Liverpool,0 - 3
25,31/01/2018 19:45,Stamford Bridge,Chelsea,Bournemouth,0 - 3
25,31/01/2018 19:45,Goodison Park,Everton,Leicester,2 - 1
25,31/01/2018 19:45,St. James' Park,Newcastle,Burnley,1 - 1
25,31/01/2018 19:45,St. Mary's Stadium,Southampton,Brighton,1 - 1
25,31/01/2018 20:00,Etihad Stadium,Man City,West Brom,3 - 0
25,31/01/2018 20:00,bet365 Stadium,Stoke,Watford,0 - 0
25,31/01/2018 20:00,Wembley Stadium,Spurs,Man Utd,2 - 0
26,03/02/2018 12:30,Turf Moor,Burnley,Man City,1 - 1
26,03/02/2018 15:00,Vitality Stadium,Bournemouth,Stoke,2 - 1
26,03/02/2018 15:00,Amex Stadium,Brighton,West Ham,3 - 1
26,03/02/2018 15:00,King Power Stadium,Leicester,Swansea,1 - 1
26,03/02/2018 15:00,Old Trafford,Man Utd,Huddersfield,2 - 0
26,03/02/2018 15:00,The Hawthorns,West Brom,Southampton,2 - 3
26,03/02/2018 17:30,Emirates Stadium,Arsenal,Everton,5 - 1
26,04/02/2018 14:15,Selhurst Park,Crystal Palace,Newcastle,1 - 1
26,04/02/2018 16:30,Anfield,Liverpool,Spurs,2 - 2
26,05/02/2018 20:00,Vicarage Road,Watford,Chelsea,4 - 1
27,10/02/2018 12:30,Wembley Stadium,Spurs,Arsenal,1 - 0
27,10/02/2018 15:00,Goodison Park,Everton,Crystal Palace,3 - 1
27,10/02/2018 15:00,bet365 Stadium,Stoke,Brighton,1 - 1
27,10/02/2018 15:00,Liberty Stadium,Swansea,Burnley,1 - 0
27,10/02/2018 15:00,London Stadium,West Ham,Watford,2 - 0
27,10/02/2018 17:30,Etihad Stadium,Man City,Leicester,5 - 1
27,11/02/2018 12:00,John Smith's Stadium,Huddersfield,Bournemouth,4 - 1
27,11/02/2018 14:15,St. James' Park,Newcastle,Man Utd,1 - 0
27,11/02/2018 16:30,St. Mary's Stadium,Southampton,Liverpool,0 - 2
27,12/02/2018 20:00,Stamford Bridge,Chelsea,West Brom,3 - 0
28,24/02/2018 12:30,King Power Stadium,Leicester,Stoke,1 - 1
28,24/02/2018 15:00,Vitality Stadium,Bournemouth,Newcastle,2 - 2
28,24/02/2018 15:00,Amex Stadium,Brighton,Swansea,4 - 1
28,24/02/2018 15:00,Turf Moor,Burnley,Southampton,1 - 1
28,24/02/2018 15:00,Anfield,Liverpool,West Ham,4 - 1
28,24/02/2018 15:00,The Hawthorns,West Brom,Huddersfield,1 - 2
28,24/02/2018 17:30,Vicarage Road,Watford,Everton,1 - 0
28,25/02/2018 12:00,Selhurst Park,Crystal Palace,Spurs,0 - 1
28,25/02/2018 14:05,Old Trafford,Man Utd,Chelsea,2 - 1
29,01/03/2018 19:45,Emirates Stadium,Arsenal,Man City,0 - 3
29,03/03/2018 12:30,Turf Moor,Burnley,Everton,2 - 1
29,03/03/2018 15:00,King Power Stadium,Leicester,Bournemouth,1 - 1
29,03/03/2018 15:00,St. Mary's Stadium,Southampton,Stoke,0 - 0
29,03/03/2018 15:00,Liberty Stadium,Swansea,West Ham,4 - 1
29,03/03/2018 15:00,Wembley Stadium,Spurs,Huddersfield,2 - 0
29,03/03/2018 15:00,Vicarage Road,Watford,West Brom,1 - 0
29,03/03/2018 17:30,Anfield,Liverpool,Newcastle,2 - 0
29,04/03/2018 13:30,Amex Stadium,Brighton,Arsenal,2 - 1
29,04/03/2018 16:00,Etihad Stadium,Man City,Chelsea,1 - 0
29,05/03/2018 20:00,Selhurst Park,Crystal Palace,Man Utd,2 - 3
30,10/03/2018 12:30,Old Trafford,Man Utd,Liverpool,2 - 1
30,10/03/2018 15:00,Goodison Park,Everton,Brighton,2 - 0
30,10/03/2018 15:00,John Smith's Stadium,Huddersfield,Swansea,0 - 0
30,10/03/2018 15:00,St. James' Park,Newcastle,Southampton,3 - 0
30,10/03/2018 15:00,The Hawthorns,West Brom,Leicester,1 - 4
30,10/03/2018 15:00,London Stadium,West Ham,Burnley,0 - 3
30,10/03/2018 17:30,Stamford Bridge,Chelsea,Crystal Palace,2 - 1
30,11/03/2018 13:30,Emirates Stadium,Arsenal,Watford,3 - 0
30,11/03/2018 16:00,Vitality Stadium,Bournemouth,Spurs,1 - 4
30,12/03/2018 20:00,bet365 Stadium,Stoke,Man City,0 - 2
31,17/03/2018 15:00,Vitality Stadium,Bournemouth,West Brom,2 - 1
31,17/03/2018 15:00,John Smith's Stadium,Huddersfield,Crystal Palace,0 - 2
31,17/03/2018 15:00,bet365 Stadium,Stoke,Everton,1 - 2
31,17/03/2018 17:30,Anfield,Liverpool,Watford,5 - 0
32,31/03/2018 12:30,Selhurst Park,Crystal Palace,Liverpool,1 - 2
32,31/03/2018 15:00,Amex Stadium,Brighton,Leicester,0 - 2
32,31/03/2018 15:00,Old Trafford,Man Utd,Swansea,2 - 0
32,31/03/2018 15:00,St. James' Park,Newcastle,Huddersfield,1 - 0
32,31/03/2018 15:00,London Stadium,West Ham,Southampton,3 - 0
32,31/03/2018 15:00,Vicarage Road,Watford,Bournemouth,2 - 2
32,31/03/2018 15:00,The Hawthorns,West Brom,Burnley,1 - 2
32,31/03/2018 17:30,Goodison Park,Everton,Man City,1 - 3
32,01/04/2018 13:30,Emirates Stadium,Arsenal,Stoke,3 - 0
32,01/04/2018 16:00,Stamford Bridge,Chelsea,Spurs,1 - 3
33,07/04/2018 12:30,Goodison Park,Everton,Liverpool,0 - 0
33,07/04/2018 15:00,Vitality Stadium,Bournemouth,Crystal Palace,2 - 2
33,07/04/2018 15:00,Amex Stadium,Brighton,Huddersfield,1 - 1
33,07/04/2018 15:00,King Power Stadium,Leicester,Newcastle,1 - 2
33,07/04/2018 15:00,bet365 Stadium,Stoke,Spurs,1 - 2
33,07/04/2018 15:00,Vicarage Road,Watford,Burnley,1 - 2
33,07/04/2018 15:00,The Hawthorns,West Brom,Swansea,1 - 1
33,07/04/2018 17:30,Etihad Stadium,Man City,Man Utd,2 - 3
33,08/04/2018 14:15,Emirates Stadium,Arsenal,Southampton,3 - 2
33,08/04/2018 16:30,Stamford Bridge,Chelsea,West Ham,1 - 1
34,14/04/2018 12:30,St. Mary's Stadium,Southampton,Chelsea,2 - 3
34,14/04/2018 15:00,Turf Moor,Burnley,Leicester,2 - 1
34,14/04/2018 15:00,Selhurst Park,Crystal Palace,Brighton,3 - 2
34,14/04/2018 15:00,John Smith's Stadium,Huddersfield,Watford,1 - 0
34,14/04/2018 15:00,Liberty Stadium,Swansea,Everton,1 - 1
34,14/04/2018 17:30,Anfield,Liverpool,Bournemouth,3 - 0
34,14/04/2018 19:45,Wembley Stadium,Spurs,Man City,1 - 3
34,15/04/2018 13:30,St. James' Park,Newcastle,Arsenal,2 - 1
34,15/04/2018 16:00,Old Trafford,Man Utd,West Brom,0 - 1
34,16/04/2018 20:00,London Stadium,West Ham,Stoke,1 - 1
35,17/04/2018 19:45,Amex Stadium,Brighton,Spurs,1 - 1
35,18/04/2018 19:45,Vitality Stadium,Bournemouth,Man Utd,0 - 2
35,19/04/2018 19:45,Turf Moor,Burnley,Chelsea,1 - 2
35,19/04/2018 19:45,King Power Stadium,Leicester,Southampton,0 - 0
35,21/04/2018 12:30,The Hawthorns,West Brom,Liverpool,2 - 2
35,21/04/2018 15:00,Vicarage Road,Watford,Crystal Palace,0 - 0
35,22/04/2018 13:30,Emirates Stadium,Arsenal,West Ham,4 - 1
35,22/04/2018 13:30,bet365 Stadium,Stoke,Burnley,1 - 1
35,22/04/2018 16:30,Etihad Stadium,Man City,Swansea,5 - 0
35,23/04/2018 20:00,Goodison Park,Everton,Newcastle,1 - 0
36,28/04/2018 12:30,Anfield,Liverpool,Stoke,0 - 0
36,28/04/2018 15:00,Turf Moor,Burnley,Brighton,0 - 0
36,28/04/2018 15:00,Selhurst Park,Crystal Palace,Leicester,5 - 0
36,28/04/2018 15:00,John Smith's Stadium,Huddersfield,Everton,0 - 2
36,28/04/2018 15:00,St. James' Park,Newcastle,West Brom,0 - 1
36,28/04/2018 15:00,St. Mary's Stadium,Southampton,Bournemouth,2 - 1
36,28/04/2018 17:30,Liberty Stadium,Swansea,Chelsea,0 - 1
36,29/04/2018 12:15,London Stadium,West Ham,Man City,1 - 4
36,29/04/2018 16:30,Old Trafford,Man Utd,Arsenal,2 - 1
36,30/04/2018 20:00,Wembley Stadium,Spurs,Watford,2 - 0
37,04/05/2018 20:00,Amex Stadium,Brighton,Man Utd,1 - 0
37,05/05/2018 12:30,bet365 Stadium,Stoke,Crystal Palace,1 - 2
37,05/05/2018 15:00,Vitality Stadium,Bournemouth,Swansea,1 - 0
37,05/05/2018 15:00,King Power Stadium,Leicester,West Ham,0 - 2
37,05/05/2018 15:00,Vicarage Road,Watford,Newcastle,2 - 1
37,05/05/2018 15:00,The Hawthorns,West Brom,Spurs,1 - 0
37,05/05/2018 17:30,Goodison Park,Everton,Southampton,1 - 1
37,06/05/2018 13:30,Etihad Stadium,Man City,Huddersfield,0 - 0
37,06/05/2018 16:30,Emirates Stadium,Arsenal,Burnley,5 - 0
37,06/05/2018 16:30,Stamford Bridge,Chelsea,Liverpool,1 - 0
37,08/05/2018 19:45,Liberty Stadium,Swansea,Southampton,0 - 1
37,09/05/2018 19:45,King Power Stadium,Leicester,Arsenal,3 - 1
