Season,Round,Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,2,Sat,2020-09-26,15:30,Augsburg,1.0,2–0,1.7,Dortmund,6000,WWK Arena,Martin Petersen,Match Report,
2021,,2,Sat,2020-09-26,18:30,Schalke 04,1.2,1–3,2.4,Werder Bremen,,Veltins-Arena,Markus Schmidt,Match Report,
2021,,2,Sun,2020-09-27,15:30,Hoffenheim,4.0,4–1,1.6,Bayern Munich,,PreZero Arena,Benjamin Brand,Match Report,
2021,,2,Sun,2020-09-27,18:00,Freiburg,1.5,1–1,0.6,Wolfsburg,3200,Schwarzwald-Stadion,Sören Storks,Match Report,
2021,,3,Fri,2020-10-02,20:30,Union Berlin,1.9,4–0,0.2,Mainz 05,4400,Stadion An der Alten Försterei,Sascha Stegemann,Match Report,
2021,,3,Sat,2020-10-03,15:30,Stuttgart,0.8,1–1,1.4,Leverkusen,9500,Mercedes-Benz Arena,Robert Hartmann,Match Report,
2021,,3,Sat,2020-10-03,15:30,Werder Bremen,0.4,1–0,0.9,Arminia,300,Weserstadion,Robert Schröder,Match Report,
2021,,3,Sat,2020-10-03,15:30,Köln,0.8,1–3,2.2,M'Gladbach,300,RheinEnergieSTADION,Marco Fritz,Match Report,
2021,,3,Sat,2020-10-03,15:30,Dortmund,3.1,4–0,0.6,Freiburg,11500,Signal Iduna Park,Guido Winkmann,Match Report,
2021,,3,Sat,2020-10-03,15:30,Eint Frankfurt,2.6,2–1,0.5,Hoffenheim,8000,Commerzbank-Arena,Manuel Gräfe,Match Report,
2021,,3,Sat,2020-10-03,18:30,RB Leipzig,3.2,4–0,0.1,Schalke 04,8500,Red Bull Arena,Florian Badstübner,Match Report,
2021,,3,Sun,2020-10-04,15:30,Wolfsburg,1.2,0–0,0.9,Augsburg,4632,Volkswagen Arena,Felix Zwayer,Match Report,
2021,,3,Sun,2020-10-04,18:00,Bayern Munich,3.8,4–3,1.4,Hertha BSC,,Allianz Arena,Benjamin Cortus,Match Report,
2021,,4,Sat,2020-10-17,15:30,Hertha BSC,1.2,0–2,0.8,Stuttgart,4000,Olympiastadion Berlin,Harm Osmers,Match Report,
2021,,4,Sat,2020-10-17,15:30,Freiburg,1.0,1–1,1.6,Werder Bremen,,Schwarzwald-Stadion,Christian Dingert,Match Report,
2021,,4,Sat,2020-10-17,15:30,Hoffenheim,1.0,0–1,2.4,Dortmund,6030,PreZero Arena,Sascha Stegemann,Match Report,
2021,,4,Sat,2020-10-17,15:30,Augsburg,0.7,0–2,1.7,RB Leipzig,,WWK Arena,Felix Brych,Match Report,
2021,,4,Sat,2020-10-17,15:30,Mainz 05,0.3,0–1,0.5,Leverkusen,250,Opel Arena,Bastian Dankert,Match Report,
2021,,4,Sat,2020-10-17,18:30,Arminia,1.4,1–4,2.6,Bayern Munich,,SchücoArena,Daniel Siebert,Match Report,
2021,,4,Sat,2020-10-17,20:30,M'Gladbach,1.6,1–1,1.2,Wolfsburg,300,Stadion im Borussia-Park,Daniel Schlager,Match Report,
2021,,4,Sun,2020-10-18,15:30,Köln,1.1,1–1,2.1,Eint Frankfurt,300,RheinEnergieSTADION,Sven Jablonski,Match Report,
2021,,4,Sun,2020-10-18,18:00,Schalke 04,0.3,1–1,0.9,Union Berlin,300,Veltins-Arena,Patrick Ittrich,Match Report,
2021,,5,Fri,2020-10-23,20:30,Stuttgart,0.7,1–1,2.2,Köln,,Mercedes-Benz Arena,Guido Winkmann,Match Report,
2021,,5,Sat,2020-10-24,15:30,Union Berlin,1.3,1–1,0.4,Freiburg,4500,Stadion An der Alten Försterei,Robert Schröder,Match Report,
2021,,5,Sat,2020-10-24,15:30,RB Leipzig,2.3,2–1,0.9,Hertha BSC,999,Red Bull Arena,Tobias Stieler,Match Report,
2021,,5,Sat,2020-10-24,15:30,Mainz 05,1.7,2–3,2.9,M'Gladbach,100,Opel Arena,Frank Willenborg,Match Report,
2021,,5,Sat,2020-10-24,15:30,Bayern Munich,3.4,5–0,0.5,Eint Frankfurt,,Allianz Arena,Markus Schmidt,Match Report,
2021,,5,Sat,2020-10-24,18:30,Dortmund,1.5,3–0,0.2,Schalke 04,300,Signal Iduna Park,Felix Zwayer,Match Report,
2021,,5,Sun,2020-10-25,15:30,Wolfsburg,2.1,2–1,0.4,Arminia,4519,Volkswagen Arena,Manuel Gräfe,Match Report,
2021,,5,Sun,2020-10-25,18:00,Werder Bremen,0.3,1–1,1.2,Hoffenheim,,Weserstadion,Daniel Schlager,Match Report,
2021,,5,Mon,2020-10-26,20:30,Leverkusen,2.8,3–1,0.4,Augsburg,,BayArena,Sören Storks,Match Report,
2021,,6,Fri,2020-10-30,20:30,Schalke 04,0.5,1–1,1.6,Stuttgart,,Veltins-Arena,Benjamin Brand,Match Report,
2021,,6,Sat,2020-10-31,15:30,Arminia,0.2,0–2,2.7,Dortmund,,SchücoArena,Bastian Dankert,Match Report,
2021,,6,Sat,2020-10-31,15:30,Köln,1.0,1–2,1.0,Bayern Munich,,RheinEnergieSTADION,Frank Willenborg,Match Report,
2021,,6,Sat,2020-10-31,15:30,Augsburg,2.0,3–1,0.8,Mainz 05,,WWK Arena,Marco Fritz,Match Report,
2021,,6,Sat,2020-10-31,15:30,Eint Frankfurt,2.0,1–1,0.9,Werder Bremen,,Commerzbank-Arena,Felix Brych,Match Report,
2021,,6,Sat,2020-10-31,18:30,M'Gladbach,0.5,1–0,0.9,RB Leipzig,,Stadion im Borussia-Park,Daniel Siebert,Match Report,
2021,,6,Sun,2020-11-01,15:30,Freiburg,1.1,2–4,1.5,Leverkusen,,Schwarzwald-Stadion,Benjamin Cortus,Match Report,
2021,,6,Sun,2020-11-01,18:00,Hertha BSC,1.2,1–1,0.5,Wolfsburg,,Olympiastadion Berlin,Martin Petersen,Match Report,
2021,,6,Mon,2020-11-02,20:30,Hoffenheim,1.3,1–3,4.0,Union Berlin,,PreZero Arena,Robert Hartmann,Match Report,
2021,,7,Fri,2020-11-06,20:30,Werder Bremen,1.7,1–1,0.4,Köln,,Weserstadion,Florian Badstübner,Match Report,
2021,,7,Sat,2020-11-07,15:30,Augsburg,0.7,0–3,2.4,Hertha BSC,,WWK Arena,Frank Willenborg,Match Report,
2021,,7,Sat,2020-11-07,15:30,RB Leipzig,2.0,3–0,1.0,Freiburg,,Red Bull Arena,Felix Zwayer,Match Report,
2021,,7,Sat,2020-11-07,15:30,Mainz 05,3.1,2–2,1.7,Schalke 04,,Opel Arena,Patrick Ittrich,Match Report,
2021,,7,Sat,2020-11-07,15:30,Stuttgart,2.3,2–2,2.4,Eint Frankfurt,,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
2021,,7,Sat,2020-11-07,15:30,Union Berlin,2.1,5–0,0.3,Arminia,,Stadion An der Alten Försterei,Matthias Jöllenbeck,Match Report,
2021,,7,Sat,2020-11-07,18:30,Dortmund,2.0,2–3,1.1,Bayern Munich,,Signal Iduna Park,Manuel Gräfe,Match Report,
2021,,7,Sun,2020-11-08,15:30,Wolfsburg,2.0,2–1,2.0,Hoffenheim,,Volkswagen Arena,Sven Jablonski,Match Report,
2021,,7,Sun,2020-11-08,18:00,Leverkusen,1.6,4–3,2.5,M'Gladbach,,BayArena,Harm Osmers,Match Report,
2021,,8,Sat,2020-11-21,15:30,Arminia,0.0,1–2,1.5,Leverkusen,,SchücoArena,Felix Brych,Match Report,
2021,,8,Sat,2020-11-21,15:30,Bayern Munich,1.2,1–1,1.4,Werder Bremen,,Allianz Arena,Guido Winkmann,Match Report,
2021,,8,Sat,2020-11-21,15:30,Schalke 04,0.9,0–2,2.1,Wolfsburg,,Veltins-Arena,Marco Fritz,Match Report,
2021,,8,Sat,2020-11-21,15:30,Hoffenheim,1.9,3–3,2.1,Stuttgart,,PreZero Arena,Daniel Siebert,Match Report,
2021,,8,Sat,2020-11-21,15:30,M'Gladbach,2.0,1–1,0.7,Augsburg,,Stadion im Borussia-Park,Markus Schmidt,Match Report,
2021,,8,Sat,2020-11-21,18:30,Eint Frankfurt,1.1,1–1,0.9,RB Leipzig,,Commerzbank-Arena,Sören Storks,Match Report,
2021,,8,Sat,2020-11-21,20:30,Hertha BSC,1.3,2–5,3.5,Dortmund,,Olympiastadion Berlin,Bastian Dankert,Match Report,
2021,,8,Sun,2020-11-22,15:30,Freiburg,2.2,1–3,2.8,Mainz 05,,Schwarzwald-Stadion,Martin Petersen,Match Report,
2021,,8,Sun,2020-11-22,18:00,Köln,0.7,1–2,1.9,Union Berlin,,RheinEnergieSTADION,Tobias Stieler,Match Report,
2021,,9,Fri,2020-11-27,20:30,Wolfsburg,1.8,5–3,1.0,Werder Bremen,,Volkswagen Arena,Christian Dingert,Match Report,
2021,,9,Sat,2020-11-28,15:30,Dortmund,2.9,1–2,1.6,Köln,,Signal Iduna Park,Benjamin Brand,Match Report,
2021,,9,Sat,2020-11-28,15:30,RB Leipzig,2.3,2–1,1.3,Arminia,,Red Bull Arena,Robert Hartmann,Match Report,
2021,,9,Sat,2020-11-28,15:30,Stuttgart,1.8,1–3,1.0,Bayern Munich,,Mercedes-Benz Arena,Harm Osmers,Match Report,
2021,,9,Sat,2020-11-28,15:30,Augsburg,0.4,1–1,0.8,Freiburg,,WWK Arena,Robert Schröder,Match Report,
2021,,9,Sat,2020-11-28,15:30,Union Berlin,2.8,3–3,2.0,Eint Frankfurt,,Stadion An der Alten Försterei,Tobias Reichel,Match Report,
2021,,9,Sat,2020-11-28,18:30,M'Gladbach,3.1,4–1,1.0,Schalke 04,,Stadion im Borussia-Park,Manuel Gräfe,Match Report,
2021,,9,Sun,2020-11-29,15:30,Leverkusen,0.7,0–0,0.4,Hertha BSC,,BayArena,Daniel Schlager,Match Report,
2021,,9,Sun,2020-11-29,18:00,Mainz 05,1.4,1–1,1.0,Hoffenheim,,Opel Arena,Sascha Stegemann,Match Report,
2021,,10,Fri,2020-12-04,20:30,Hertha BSC,0.7,3–1,0.3,Union Berlin,,Olympiastadion Berlin,Felix Brych,Match Report,
2021,,10,Sat,2020-12-05,15:30,Arminia,0.8,2–1,2.0,Mainz 05,,SchücoArena,Marco Fritz,Match Report,
2021,,10,Sat,2020-12-05,15:30,Freiburg,3.3,2–2,1.3,M'Gladbach,,Schwarzwald-Stadion,Tobias Stieler,Match Report,
2021,,10,Sat,2020-12-05,15:30,Köln,0.7,2–2,1.6,Wolfsburg,,RheinEnergieSTADION,Sven Jablonski,Match Report,
2021,,10,Sat,2020-12-05,15:30,Eint Frankfurt,0.8,1–1,1.2,Dortmund,,Commerzbank-Arena,Guido Winkmann,Match Report,
2021,,10,Sat,2020-12-05,18:30,Bayern Munich,1.2,3–3,1.5,RB Leipzig,,Allianz Arena,Daniel Siebert,Match Report,
2021,,10,Sun,2020-12-06,15:30,Werder Bremen,0.8,1–2,2.3,Stuttgart,,Weserstadion,Frank Willenborg,Match Report,
2021,,10,Sun,2020-12-06,18:00,Schalke 04,1.3,0–3,2.5,Leverkusen,,Veltins-Arena,Benjamin Cortus,Match Report,
2021,,10,Mon,2020-12-07,20:30,Hoffenheim,1.4,3–1,0.9,Augsburg,,PreZero Arena,Florian Badstübner,Match Report,
2021,,11,Fri,2020-12-11,20:30,Wolfsburg,2.8,2–1,1.5,Eint Frankfurt,,Volkswagen Arena,Markus Schmidt,Match Report,
2021,,11,Sat,2020-12-12,15:30,Dortmund,0.9,1–5,3.9,Stuttgart,,Signal Iduna Park,Christian Dingert,Match Report,
2021,,11,Sat,2020-12-12,15:30,M'Gladbach,1.4,1–1,0.5,Hertha BSC,,Stadion im Borussia-Park,Robert Hartmann,Match Report,
2021,,11,Sat,2020-12-12,15:30,Freiburg,2.7,2–0,0.2,Arminia,,Schwarzwald-Stadion,Harm Osmers,Match Report,
2021,,11,Sat,2020-12-12,15:30,Mainz 05,1.7,0–1,1.0,Köln,,Opel Arena,Felix Zwayer,Match Report,
2021,,11,Sat,2020-12-12,15:30,RB Leipzig,2.7,2–0,0.4,Werder Bremen,,Red Bull Arena,Sören Storks,Match Report,
2021,,11,Sat,2020-12-12,18:30,Union Berlin,1.3,1–1,0.9,Bayern Munich,,Stadion An der Alten Försterei,Bastian Dankert,Match Report,
2021,,11,Sun,2020-12-13,15:30,Augsburg,1.0,2–2,1.9,Schalke 04,,WWK Arena,Manuel Gräfe,Match Report,
2021,,11,Sun,2020-12-13,18:00,Leverkusen,2.3,4–1,1.6,Hoffenheim,,BayArena,Martin Petersen,Match Report,
2021,,12,Tue,2020-12-15,18:30,Eint Frankfurt,2.2,3–3,1.6,M'Gladbach,,Commerzbank-Arena,Benjamin Cortus,Match Report,
2021,,12,Tue,2020-12-15,20:30,Werder Bremen,0.2,1–2,2.8,Dortmund,,Weserstadion,Robert Schröder,Match Report,
2021,,12,Tue,2020-12-15,20:30,Stuttgart,1.7,2–2,0.8,Union Berlin,,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
2021,,12,Tue,2020-12-15,20:30,Hertha BSC,0.6,0–0,0.5,Mainz 05,,Olympiastadion Berlin,Matthias Jöllenbeck,Match Report,
2021,,12,Wed,2020-12-16,18:30,Schalke 04,0.4,0–2,1.4,Freiburg,,Veltins-Arena,Sven Jablonski,Match Report,
2021,,12,Wed,2020-12-16,20:30,Hoffenheim,0.8,0–1,0.3,RB Leipzig,,PreZero Arena,Daniel Schlager,Match Report,
2021,,12,Wed,2020-12-16,20:30,Köln,0.6,0–4,1.4,Leverkusen,,RheinEnergieSTADION,Tobias Stieler,Match Report,
2021,,12,Wed,2020-12-16,20:30,Bayern Munich,2.0,2–1,1.1,Wolfsburg,,Allianz Arena,Marco Fritz,Match Report,
2021,,12,Wed,2020-12-16,20:30,Arminia,0.8,0–1,0.6,Augsburg,,SchücoArena,Patrick Ittrich,Match Report,
2021,,13,Fri,2020-12-18,20:30,Union Berlin,1.1,2–1,1.7,Dortmund,,Stadion An der Alten Försterei,Harm Osmers,Match Report,
2021,,13,Sat,2020-12-19,15:30,M'Gladbach,1.8,1–2,1.8,Hoffenheim,,Stadion im Borussia-Park,Frank Willenborg,Match Report,
2021,,13,Sat,2020-12-19,15:30,Schalke 04,0.6,0–1,0.7,Arminia,,Veltins-Arena,Bastian Dankert,Match Report,
2021,,13,Sat,2020-12-19,15:30,Mainz 05,0.5,0–1,0.9,Werder Bremen,,Opel Arena,Guido Winkmann,Match Report,
2021,,13,Sat,2020-12-19,15:30,RB Leipzig,2.2,0–0,0.5,Köln,,Red Bull Arena,Felix Brych,Match Report,
2021,,13,Sat,2020-12-19,15:30,Augsburg,2.0,0–2,1.3,Eint Frankfurt,,WWK Arena,Daniel Siebert,Match Report,
2021,,13,Sat,2020-12-19,18:30,Leverkusen,0.3,1–2,1.3,Bayern Munich,,BayArena,Felix Zwayer,Match Report,
2021,,13,Sun,2020-12-20,15:30,Freiburg,2.8,4–1,1.8,Hertha BSC,,Schwarzwald-Stadion,Tobias Reichel,Match Report,
2021,,13,Sun,2020-12-20,18:00,Wolfsburg,1.8,1–0,1.7,Stuttgart,,Volkswagen Arena,Florian Badstübner,Match Report,
2021,,14,Sat,2021-01-02,15:30,Köln,0.5,0–1,1.3,Augsburg,,RheinEnergieSTADION,Sören Storks,Match Report,
2021,,14,Sat,2021-01-02,15:30,Arminia,0.2,0–1,2.7,M'Gladbach,,SchücoArena,Sascha Stegemann,Match Report,
2021,,14,Sat,2021-01-02,15:30,Eint Frankfurt,1.4,2–1,0.7,Leverkusen,,Commerzbank-Arena,Felix Brych,Match Report,
2021,,14,Sat,2021-01-02,15:30,Hoffenheim,1.2,1–3,1.9,Freiburg,,PreZero Arena,Robert Hartmann,Match Report,
2021,,14,Sat,2021-01-02,15:30,Werder Bremen,1.0,0–2,0.8,Union Berlin,,Weserstadion,Tobias Stieler,Match Report,
2021,,14,Sat,2021-01-02,18:30,Hertha BSC,2.3,3–0,0.9,Schalke 04,,Olympiastadion Berlin,Sven Jablonski,Match Report,
2021,,14,Sat,2021-01-02,20:30,Stuttgart,1.1,0–1,3.2,RB Leipzig,,Mercedes-Benz Arena,Christian Dingert,Match Report,
2021,,14,Sun,2021-01-03,15:30,Dortmund,1.8,2–0,1.6,Wolfsburg,,Signal Iduna Park,Manuel Gräfe,Match Report,
2021,,14,Sun,2021-01-03,18:00,Bayern Munich,3.5,5–2,1.5,Mainz 05,,Allianz Arena,Markus Schmidt,Match Report,
2021,,15,Fri,2021-01-08,20:30,M'Gladbach,1.3,3–2,1.4,Bayern Munich,,Stadion im Borussia-Park,Harm Osmers,Match Report,
2021,,15,Sat,2021-01-09,15:30,Schalke 04,2.0,4–0,2.4,Hoffenheim,,Veltins-Arena,Felix Zwayer,Match Report,
2021,,15,Sat,2021-01-09,15:30,Union Berlin,1.4,2–2,1.8,Wolfsburg,,Stadion An der Alten Försterei,Patrick Ittrich,Match Report,
2021,,15,Sat,2021-01-09,15:30,Leverkusen,0.8,1–1,0.4,Werder Bremen,,BayArena,Benjamin Cortus,Match Report,
2021,,15,Sat,2021-01-09,15:30,Mainz 05,1.2,0–2,2.3,Eint Frankfurt,,Opel Arena,Bastian Dankert,Match Report,
2021,,15,Sat,2021-01-09,15:30,Freiburg,2.9,5–0,0.2,Köln,,Schwarzwald-Stadion,Robert Schröder,Match Report,
2021,,15,Sat,2021-01-09,18:30,RB Leipzig,1.0,1–3,2.2,Dortmund,,Red Bull Arena,Daniel Siebert,Match Report,
2021,,15,Sun,2021-01-10,15:30,Augsburg,1.0,1–4,4.0,Stuttgart,,WWK Arena,Daniel Schlager,Match Report,
2021,,15,Sun,2021-01-10,18:00,Arminia,0.8,1–0,0.8,Hertha BSC,,SchücoArena,Guido Winkmann,Match Report,
2021,,16,Fri,2021-01-15,20:30,Union Berlin,1.3,1–0,1.2,Leverkusen,,Stadion An der Alten Försterei,Florian Badstübner,Match Report,
2021,,16,Sat,2021-01-16,15:30,Dortmund,2.4,1–1,0.8,Mainz 05,,Signal Iduna Park,Sven Jablonski,Match Report,
2021,,16,Sat,2021-01-16,15:30,Köln,0.4,0–0,0.9,Hertha BSC,,RheinEnergieSTADION,Frank Willenborg,Match Report,
2021,,16,Sat,2021-01-16,15:30,Hoffenheim,0.7,0–0,0.8,Arminia,,PreZero Arena,Marco Fritz,Match Report,
2021,,16,Sat,2021-01-16,15:30,Wolfsburg,1.2,2–2,2.1,RB Leipzig,,Volkswagen Arena,Tobias Stieler,Match Report,
2021,,16,Sat,2021-01-16,15:30,Werder Bremen,1.2,2–0,0.5,Augsburg,,Weserstadion,Sascha Stegemann,Match Report,
2021,,16,Sat,2021-01-16,18:30,Stuttgart,2.0,2–2,1.5,M'Gladbach,,Mercedes-Benz Arena,Felix Brych,Match Report,
2021,,16,Sun,2021-01-17,15:30,Bayern Munich,2.7,2–1,1.0,Freiburg,,Allianz Arena,Christian Dingert,Match Report,
2021,,16,Sun,2021-01-17,18:00,Eint Frankfurt,1.7,3–1,0.2,Schalke 04,,Commerzbank-Arena,Manuel Gräfe,Match Report,
2021,,17,Tue,2021-01-19,18:30,M'Gladbach,0.8,1–0,1.1,Werder Bremen,,Stadion im Borussia-Park,Martin Petersen,Match Report,
2021,,17,Tue,2021-01-19,20:30,Mainz 05,0.4,0–2,1.1,Wolfsburg,,Opel Arena,Sören Storks,Match Report,
2021,,17,Tue,2021-01-19,20:30,Leverkusen,1.8,2–1,2.1,Dortmund,,BayArena,Felix Zwayer,Match Report,
2021,,17,Tue,2021-01-19,20:30,Hertha BSC,1.4,0–3,1.3,Hoffenheim,,Olympiastadion Berlin,Harm Osmers,Match Report,
2021,,17,Wed,2021-01-20,18:30,Schalke 04,1.4,1–2,1.6,Köln,,Veltins-Arena,Daniel Siebert,Match Report,
2021,,17,Wed,2021-01-20,20:30,RB Leipzig,1.4,1–0,0.3,Union Berlin,,Red Bull Arena,Markus Schmidt,Match Report,
2021,,17,Wed,2021-01-20,20:30,Freiburg,0.7,2–2,1.4,Eint Frankfurt,,Schwarzwald-Stadion,Guido Winkmann,Match Report,
2021,,17,Wed,2021-01-20,20:30,Arminia,2.2,3–0,0.9,Stuttgart,,SchücoArena,Robert Hartmann,Match Report,
2021,,17,Wed,2021-01-20,20:30,Augsburg,1.2,0–1,2.0,Bayern Munich,,WWK Arena,Matthias Jöllenbeck,Match Report,
2021,,18,Fri,2021-01-22,20:30,M'Gladbach,1.8,4–2,1.2,Dortmund,,Stadion im Borussia-Park,Manuel Gräfe,Match Report,
2021,,18,Sat,2021-01-23,15:30,Arminia,0.6,1–5,2.4,Eint Frankfurt,,SchücoArena,Robert Schröder,Match Report,
2021,,18,Sat,2021-01-23,15:30,Leverkusen,1.0,0–1,1.1,Wolfsburg,,BayArena,Marco Fritz,Match Report,
2021,,18,Sat,2021-01-23,15:30,Augsburg,1.0,2–1,1.5,Union Berlin,,WWK Arena,Felix Brych,Match Report,
2021,,18,Sat,2021-01-23,15:30,Mainz 05,1.6,3–2,1.4,RB Leipzig,,Opel Arena,Christian Dingert,Match Report,
2021,,18,Sat,2021-01-23,15:30,Freiburg,1.2,2–1,2.5,Stuttgart,,Schwarzwald-Stadion,Tobias Stieler,Match Report,
2021,,18,Sat,2021-01-23,18:30,Hertha BSC,1.9,1–4,1.5,Werder Bremen,,Olympiastadion Berlin,Daniel Schlager,Match Report,
2021,,18,Sun,2021-01-24,15:30,Schalke 04,0.7,0–4,3.1,Bayern Munich,,Veltins-Arena,Sascha Stegemann,Match Report,
2021,,18,Sun,2021-01-24,18:00,Hoffenheim,2.2,3–0,2.0,Köln,,PreZero Arena,Sven Jablonski,Match Report,
2021,,19,Fri,2021-01-29,20:30,Stuttgart,1.0,2–0,0.5,Mainz 05,,Mercedes-Benz Arena,Frank Willenborg,Match Report,
2021,,19,Sat,2021-01-30,15:30,Dortmund,1.9,3–1,0.5,Augsburg,,Signal Iduna Park,Patrick Ittrich,Match Report,
2021,,19,Sat,2021-01-30,15:30,Union Berlin,0.5,1–1,0.9,M'Gladbach,,Stadion An der Alten Försterei,Bastian Dankert,Match Report,
2021,,19,Sat,2021-01-30,15:30,Eint Frankfurt,2.3,3–1,0.5,Hertha BSC,,Commerzbank-Arena,Florian Badstübner,Match Report,
2021,,19,Sat,2021-01-30,15:30,Bayern Munich,2.0,4–1,2.1,Hoffenheim,,Allianz Arena,Benjamin Cortus,Match Report,
2021,,19,Sat,2021-01-30,15:30,Werder Bremen,0.7,1–1,0.3,Schalke 04,,Weserstadion,Sören Storks,Match Report,
2021,,19,Sat,2021-01-30,18:30,RB Leipzig,1.7,1–0,0.5,Leverkusen,,Red Bull Arena,Harm Osmers,Match Report,
2021,,19,Sun,2021-01-31,15:30,Köln,1.7,3–1,1.5,Arminia,,RheinEnergieSTADION,Felix Zwayer,Match Report,
2021,,19,Sun,2021-01-31,18:00,Wolfsburg,2.3,3–0,0.7,Freiburg,,Volkswagen Arena,Tobias Reichel,Match Report,
2021,,20,Fri,2021-02-05,20:00,Hertha BSC,1.4,0–1,2.4,Bayern Munich,,Olympiastadion Berlin,Robert Schröder,Match Report,
2021,,20,Sat,2021-02-06,15:30,Leverkusen,3.9,5–2,1.5,Stuttgart,,BayArena,Sven Jablonski,Match Report,
2021,,20,Sat,2021-02-06,15:30,Schalke 04,0.2,0–3,2.1,RB Leipzig,,Veltins-Arena,Martin Petersen,Match Report,
2021,,20,Sat,2021-02-06,15:30,Augsburg,0.6,0–2,2.3,Wolfsburg,,WWK Arena,Robert Hartmann,Match Report,
2021,,20,Sat,2021-02-06,15:30,Freiburg,0.2,2–1,1.5,Dortmund,,Schwarzwald-Stadion,Felix Brych,Match Report,
2021,,20,Sat,2021-02-06,15:30,Mainz 05,1.9,1–0,0.8,Union Berlin,,Opel Arena,Sascha Stegemann,Match Report,
2021,,20,Sat,2021-02-06,18:30,M'Gladbach,0.8,1–2,0.5,Köln,,Stadion im Borussia-Park,Christian Dingert,Match Report,
2021,,20,Sun,2021-02-07,15:30,Hoffenheim,0.9,1–3,1.0,Eint Frankfurt,,PreZero Arena,Daniel Siebert,Match Report,
2021,,21,Fri,2021-02-12,20:30,RB Leipzig,2.9,2–1,0.9,Augsburg,,Red Bull Arena,Felix Zwayer,Match Report,
2021,,21,Sat,2021-02-13,15:30,Dortmund,1.7,2–2,2.6,Hoffenheim,,Signal Iduna Park,Bastian Dankert,Match Report,
2021,,21,Sat,2021-02-13,15:30,Stuttgart,1.3,1–1,1.4,Hertha BSC,,Mercedes-Benz Arena,Harm Osmers,Match Report,
2021,,21,Sat,2021-02-13,15:30,Leverkusen,1.3,2–2,2.5,Mainz 05,,BayArena,Guido Winkmann,Match Report,
2021,,21,Sat,2021-02-13,15:30,Werder Bremen,0.7,0–0,0.8,Freiburg,,Weserstadion,Manuel Gräfe,Match Report,
2021,,21,Sat,2021-02-13,18:30,Union Berlin,2.3,0–0,0.4,Schalke 04,,Stadion An der Alten Försterei,Daniel Schlager,Match Report,
2021,,21,Sun,2021-02-14,15:30,Eint Frankfurt,2.0,2–0,0.4,Köln,,Commerzbank-Arena,Frank Willenborg,Match Report,
2021,,21,Sun,2021-02-14,18:00,Wolfsburg,0.8,0–0,0.6,M'Gladbach,,Volkswagen Arena,Tobias Stieler,Match Report,
2021,,21,Mon,2021-02-15,20:30,Bayern Munich,2.1,3–3,1.2,Arminia,,Allianz Arena,Florian Badstübner,Match Report,
2021,,22,Fri,2021-02-19,20:30,Arminia,0.6,0–3,1.1,Wolfsburg,,SchücoArena,Felix Brych,Match Report,
