Ala.-Huntsville,10,2003,"Henry, Brandon",250121,So.,2002-03,15,4,0.27,3,0.20,11,0.73,,,,,
Ala.-Huntsville,10,2003,"James, Brad",250120,Fr.,2002-03,5,0,,0,,0,,,,,,
Ala.-Huntsville,10,2003,"Johanning, Patrick",250118,Fr.,2002-03,12,0,,1,0.08,1,0.08,,,,,
Ala.-Huntsville,10,2003,"Joseph, Kevon",74710,So.,2002-03,16,1,0.06,2,0.13,4,0.25,,,,,
Ala.-Huntsville,10,2003,"Martinez, David",250113,Fr.,2002-03,16,0,,0,,0,,,,,,
Ala.-Huntsville,10,2003,"Mills, Ryan",74716,Sr.,2002-03,17,2,0.12,2,0.12,6,0.35,,,,,
Ala.-Huntsville,10,2003,"Pettit, Sam",250112,Fr.,2002-03,16,0,,7,0.44,7,0.44,,,,,
Ala.-Huntsville,10,2003,"Purdy, Jason",250119,So.,2002-03,16,1,0.06,0,,2,0.13,,,,,
Ala.-Huntsville,10,2003,"Rojas, Nicolas",268220,Fr.,2002-03,5,0,,0,,0,,,,,,
Ala.-Huntsville,10,2003,"Samuel, Eusebio",75058,Sr.,2002-03,13,0,,1,0.08,1,0.08,,,,,
Ala.-Huntsville,10,2003,"Seale, Gregory",250122,Jr.,2002-03,16,5,0.31,2,0.13,12,0.75,,,,,
Ala.-Huntsville,10,2003,"Todd, Curtis",250111,Fr.,2002-03,17,2,0.12,2,0.12,6,0.35,,,,,
Ala.-Huntsville,10,2003,"Truitt, Joel",250110,Fr.,2002-03,7,0,,0,,0,,2:27,4,2.45,8,
Ala.-Huntsville,10,2003,"Tyson, Geoffrey",250117,Fr.,2002-03,13,0,,1,0.08,1,0.08,,,,,
Ala.-Huntsville,10,2003,"Van Horn, Stephen",74722,So.,2002-03,16,4,0.25,0,,8,0.50,,,,,
Albany (NY),14,2003,"Baron, Shawn",244389,Fr.,2002-03,,,,,,,,,,,,
Albany (NY),14,2003,"Bombard, Ryan",34151,Jr.,2002-03,,,,,,,,,,,,
Albany (NY),14,2003,"Bowley, Mabreco",244386,Jr.,2002-03,,,,,,,,,,,,
Albany (NY),14,2003,"Brown, Pat",244385,Jr.,2002-03,,,,,,,,,,,,
Albany (NY),14,2003,"Chevalier, Greg",34149,Sr.,2002-03,17,6,0.35,1,0.06,13,0.76,0:00,0,,0,
Albany (NY),14,2003,"Coundol, Bouna",34147,So.,2002-03,10,0,,0,,0,,15:07,15,1.49,67,
Albany (NY),14,2003,"Holmes, Ashtian",34158,Sr.,2002-03,17,3,0.18,7,0.41,13,0.76,0:00,0,,0,
Albany (NY),14,2003,"Ivanyushchenko, Vadim",34172,So.,2002-03,17,2,0.12,1,0.06,5,0.29,0:00,0,,0,
Albany (NY),14,2003,"Leddy, Nick",244381,Fr.,2002-03,17,3,0.18,3,0.18,9,0.53,0:00,0,,0,
Albany (NY),14,2003,"Lough, Tom",244390,Fr.,2002-03,,,,,,,,,,,,
Albany (NY),14,2003,"Machado, Lucas",34165,So.,2002-03,17,1,0.06,0,,2,0.12,0:00,0,,0,
Albany (NY),14,2003,"Marion, Rodrigo",244384,So.,2002-03,16,1,0.06,0,,2,0.13,0:00,0,,0,
Albany (NY),14,2003,"Martinez, Giovanni",34173,Fr.,2002-03,,,,,,,,,,,,
