Season,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
2020,4,Sat,2019-08-31,20:00 (14:00),Nantes,0.7,1–0,0.8,Montpellier,18980,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Match Report,
2020,4,Sun,2019-09-01,15:00 (09:00),Rennes,0.6,1–2,1.9,Nice,26721,Roazhon Park,Johan Hamel,Match Report,
2020,4,Sun,2019-09-01,15:00 (09:00),Reims,1.9,2–0,1.4,Lille,14477,Stade Auguste-Delaune II,Eric Wattellier,Match Report,
2020,4,Sun,2019-09-01,17:00 (11:00),Strasbourg,1.1,2–2,3.1,Monaco,24556,Stade de la Meinau,Willy Delajod,Match Report,
2020,4,Sun,2019-09-01,21:00 (15:00),Marseille,0.8,1–0,0.7,Saint-Étienne,44074,Orange Vélodrome,Benoît Millot,Match Report,
2020,5,Fri,2019-09-13,19:00 (13:00),Lille,1.4,2–1,0.7,Angers,32834,Stade Pierre-Mauroy,Ruddy Buquet,Match Report,
2020,5,Fri,2019-09-13,20:45 (14:45),Amiens,0.6,2–2,1.7,Lyon,12577,Stade de la Licorne,Benoît Bastien,Match Report,
2020,5,Sat,2019-09-14,17:30 (11:30),Paris S-G,0.9,1–0,0.5,Strasbourg,47505,Parc des Princes,Amaury Delerue,Match Report,
2020,5,Sat,2019-09-14,20:00 (14:00),Bordeaux,1.1,2–0,1.0,Metz,14352,Stade Matmut-Atlantique,Mikael Lesage,Match Report,
2020,5,Sat,2019-09-14,20:00 (14:00),Brest,0.4,0–0,0.3,Rennes,14937,Stade Francis-Le Blé,Clément Turpin,Match Report,
2020,5,Sat,2019-09-14,20:00 (14:00),Dijon,0.9,0–0,0.5,Nîmes,11413,Stade Gaston Gérard,Stéphanie Frappart,Match Report,
2020,5,Sat,2019-09-14,20:00 (14:00),Montpellier,1.5,2–1,1.3,Nice,12765,Stade de la Mosson,Olivier Thual,Match Report,
2020,5,Sun,2019-09-15,15:00 (09:00),Nantes,0.4,1–0,0.6,Reims,18897,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Match Report,
2020,5,Sun,2019-09-15,17:00 (11:00),Saint-Étienne,1.4,2–2,1.7,Toulouse,24240,Stade Geoffroy-Guichard,Jeremy Stinat,Match Report,
2020,5,Sun,2019-09-15,21:00 (15:00),Monaco,2.8,3–4,1.9,Marseille,9147,Stade Louis II.,Antony Gautier,Match Report,
2020,6,Fri,2019-09-20,20:45 (14:45),Strasbourg,2.2,2–1,0.6,Nantes,24013,Stade de la Meinau,Florent Batta,Match Report,
2020,6,Sat,2019-09-21,17:30 (11:30),Marseille,1.5,1–1,0.1,Montpellier,48007,Orange Vélodrome,Amaury Delerue,Match Report,
2020,6,Sat,2019-09-21,20:00 (14:00),Metz,1.5,1–2,1.5,Amiens,15106,Stade Saint-Symphorien,Hakim Ben El Hadj Salem,Match Report,
2020,6,Sat,2019-09-21,20:00 (14:00),Nice,1.0,2–1,1.7,Dijon,16255,Stade de Nice,Willy Delajod,Match Report,
2020,6,Sat,2019-09-21,20:00 (14:00),Nîmes,1.5,1–0,0.9,Toulouse,12258,Stade des Costières,Karim Abed,Match Report,
2020,6,Sat,2019-09-21,20:00 (14:00),Reims,1.8,0–0,0.6,Monaco,14426,Stade Auguste-Delaune II,Olivier Thual,Match Report,
2020,6,Sat,2019-09-21,20:00 (14:00),Bordeaux,1.2,2–2,1.4,Brest,15213,Stade Matmut-Atlantique,Benoît Millot,Match Report,
2020,6,Sun,2019-09-22,15:00 (09:00),Rennes,0.5,1–1,1.3,Lille,25772,Roazhon Park,Jérôme Brisard,Match Report,
2020,6,Sun,2019-09-22,17:00 (11:00),Angers,1.6,4–1,0.5,Saint-Étienne,9831,Stade Raymond Kopa,Franck Schneider,Match Report,
2020,6,Sun,2019-09-22,21:00 (15:00),Lyon,0.8,0–1,1.9,Paris S-G,54583,Groupama Stadium,Ruddy Buquet,Match Report,
2020,7,Tue,2019-09-24,19:00 (13:00),Dijon,1.5,0–0,1.1,Marseille,15061,Stade Gaston Gérard,Jeremy Stinat,Match Report,
2020,7,Tue,2019-09-24,21:00 (15:00),Monaco,2.0,3–1,0.6,Nice,9358,Stade Louis II.,Mikael Lesage,Match Report,
2020,7,Wed,2019-09-25,19:00 (13:00),Nantes,1.3,1–0,1.2,Rennes,26952,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Match Report,
2020,7,Wed,2019-09-25,19:00 (13:00),Lille,2.7,2–0,0.5,Strasbourg,30103,Stade Pierre-Mauroy,Johan Hamel,Match Report,
2020,7,Wed,2019-09-25,19:00 (13:00),Amiens,1.6,1–3,1.0,Bordeaux,11367,Stade de la Licorne,Willy Delajod,Match Report,
2020,7,Wed,2019-09-25,19:00 (13:00),Saint-Étienne,1.0,0–1,0.9,Metz,19712,Stade Geoffroy-Guichard,Eric Wattellier,Match Report,
2020,7,Wed,2019-09-25,19:00 (13:00),Montpellier,0.6,1–0,1.1,Nîmes,16445,Stade de la Mosson,Benoît Bastien,Match Report,
2020,7,Wed,2019-09-25,19:00 (13:00),Toulouse,0.2,0–2,1.7,Angers,10177,Stadium Municipal,Olivier Thual,Match Report,
2020,7,Wed,2019-09-25,19:00 (13:00),Brest,0.6,2–2,1.0,Lyon,14472,Stade Francis-Le Blé,Amaury Delerue,Match Report,
2020,7,Wed,2019-09-25,21:00 (15:00),Paris S-G,0.5,0–2,1.0,Reims,47376,Parc des Princes,François Letexier,Match Report,
2020,8,Sat,2019-09-28,13:30 (07:30),Lyon,1.4,0–1,0.4,Nantes,46647,Groupama Stadium,Benoît Millot,Match Report,
2020,8,Sat,2019-09-28,17:30 (11:30),Bordeaux,0.1,0–1,3.1,Paris S-G,39215,Stade Matmut-Atlantique,Jérôme Brisard,Match Report,
2020,8,Sat,2019-09-28,20:00 (14:00),Metz,1.7,2–2,1.0,Toulouse,15054,Stade Saint-Symphorien,Florent Batta,Match Report,
2020,8,Sat,2019-09-28,20:00 (14:00),Reims,1.7,1–2,1.6,Dijon,11033,Stade Auguste-Delaune II,Jérémie Pignard,Match Report,
2020,8,Sat,2019-09-28,20:00 (14:00),Monaco,3.9,4–1,0.6,Brest,4576,Stade Louis II.,Ruddy Buquet,Match Report,
2020,8,Sat,2019-09-28,20:00 (14:00),Angers,0.9,1–1,0.9,Amiens,9331,Stade Raymond Kopa,Karim Abed,Match Report,
2020,8,Sat,2019-09-28,20:00 (14:00),Nice,0.9,1–1,1.4,Lille,18295,Stade de Nice,Clément Turpin,Match Report,
2020,8,Sun,2019-09-29,15:00 (09:00),Strasbourg,0.5,1–0,1.5,Montpellier,25010,Stade de la Meinau,Hakim Ben El Hadj Salem,Match Report,
2020,8,Sun,2019-09-29,17:00 (11:00),Nîmes,1.7,0–1,0.9,Saint-Étienne,13802,Stade des Costières,Thomas Léonard,Match Report,
2020,8,Sun,2019-09-29,21:00 (15:00),Marseille,0.8,1–1,1.0,Rennes,44281,Orange Vélodrome,Franck Schneider,Match Report,
2020,9,Fri,2019-10-04,20:45 (14:45),Amiens,2.2,3–1,0.4,Marseille,12737,Stade de la Licorne,Johan Hamel,Match Report,
2020,9,Sat,2019-10-05,17:30 (11:30),Paris S-G,3.0,4–0,0.6,Angers,47700,Parc des Princes,Willy Delajod,Match Report,
2020,9,Sat,2019-10-05,20:00 (14:00),Montpellier,2.4,3–1,1.3,Monaco,15532,Stade de la Mosson,François Letexier,Match Report,
2020,9,Sat,2019-10-05,20:00 (14:00),Nantes,1.8,1–0,0.4,Nice,15532,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Match Report,
2020,9,Sat,2019-10-05,20:00 (14:00),Dijon,1.1,1–0,1.0,Strasbourg,12124,Stade Gaston Gérard,Olivier Thual,Match Report,
2020,9,Sat,2019-10-05,20:00 (14:00),Toulouse,0.9,1–3,0.7,Bordeaux,20084,Stadium Municipal,Benoît Bastien,Match Report,
2020,9,Sat,2019-10-05,20:00 (14:00),Brest,0.7,2–0,0.5,Metz,12682,Stade Francis-Le Blé,Antony Gautier,Match Report,
2020,9,Sun,2019-10-06,15:00 (09:00),Lille,2.7,2–2,1.5,Nîmes,31542,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
2020,9,Sun,2019-10-06,17:00 (11:00),Rennes,1.3,0–1,1.1,Reims,20950,Roazhon Park,Stéphanie Frappart,Match Report,
2020,9,Sun,2019-10-06,21:00 (15:00),Saint-Étienne,0.5,1–0,0.5,Lyon,34071,Stade Geoffroy-Guichard,Clément Turpin,Match Report,
2020,10,Fri,2019-10-18,20:45 (14:45),Nice,1.2,1–4,3.3,Paris S-G,32705,Stade de Nice,François Letexier,Match Report,
2020,10,Sat,2019-10-19,17:30 (11:30),Lyon,2.4,0–0,0.6,Dijon,48454,Groupama Stadium,Franck Schneider,Match Report,
2020,10,Sat,2019-10-19,20:00 (14:00),Metz,1.1,1–0,0.5,Nantes,16533,Stade Saint-Symphorien,Jérémie Pignard,Match Report,
2020,10,Sat,2019-10-19,20:00 (14:00),Toulouse,2.8,2–1,0.8,Lille,12277,Stadium Municipal,Stéphanie Frappart,Match Report,
2020,10,Sat,2019-10-19,20:00 (14:00),Angers,1.8,0–1,0.2,Brest,10369,Stade Raymond Kopa,Eric Wattellier,Match Report,
2020,10,Sat,2019-10-19,20:00 (14:00),Nîmes,0.6,1–1,1.4,Amiens,12189,Stade des Costières,Jeremy Stinat,Match Report,
2020,10,Sat,2019-10-19,20:00 (14:00),Reims,0.7,1–0,0.5,Montpellier,12187,Stade Auguste-Delaune II,Florent Batta,Match Report,
2020,10,Sun,2019-10-20,15:00 (09:00),Bordeaux,0.9,0–1,0.9,Saint-Étienne,25952,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
2020,10,Sun,2019-10-20,17:00 (11:00),Monaco,1.7,3–2,1.8,Rennes,6763,Stade Louis II.,Jérôme Brisard,Match Report,
2020,10,Sun,2019-10-20,21:00 (15:00),Marseille,1.4,2–0,0.4,Strasbourg,50203,Orange Vélodrome,Hakim Ben El Hadj Salem,Match Report,
2020,11,Fri,2019-10-25,20:45 (14:45),Nantes,1.6,0–1,0.8,Monaco,30656,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Match Report,
2020,11,Sat,2019-10-26,17:30 (11:30),Lille,1.6,3–0,0.3,Bordeaux,35925,Stade Pierre-Mauroy,Willy Delajod,Match Report,
2020,11,Sat,2019-10-26,20:00 (14:00),Lyon,1.7,2–0,0.7,Metz,48889,Groupama Stadium,Johan Hamel,Match Report,
2020,11,Sat,2019-10-26,20:00 (14:00),Montpellier,1.0,0–0,0.8,Angers,12678,Stade de la Mosson,Benoît Millot,Match Report,
2020,11,Sat,2019-10-26,20:00 (14:00),Strasbourg,1.9,1–0,0.6,Nice,25007,Stade de la Meinau,Mikael Lesage,Match Report,
2020,11,Sat,2019-10-26,20:00 (14:00),Brest,1.5,2–0,1.4,Dijon,14232,Stade Francis-Le Blé,Jérémie Pignard,Match Report,
2020,11,Sat,2019-10-26,20:00 (14:00),Reims,0.6,0–0,0.5,Nîmes,12329,Stade Auguste-Delaune II,Clément Turpin,Match Report,
2020,11,Sun,2019-10-27,15:00 (10:00),Rennes,1.6,3–2,1.5,Toulouse,22918,Roazhon Park,Antony Gautier,Match Report,
2020,11,Sun,2019-10-27,17:00 (12:00),Saint-Étienne,0.8,2–2,1.7,Amiens,18877,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
2020,11,Sun,2019-10-27,21:00 (16:00),Paris S-G,3.3,4–0,0.9,Marseille,47926,Parc des Princes,Benoît Bastien,Match Report,
2020,12,Fri,2019-11-01,20:45 (15:45),Dijon,0.7,2–1,2.6,Paris S-G,14859,Stade Gaston Gérard,Ruddy Buquet,Match Report,
2020,12,Sat,2019-11-02,17:30 (12:30),Marseille,0.9,2–1,0.5,Lille,53321,Orange Vélodrome,Hakim Ben El Hadj Salem,Match Report,
2020,12,Sat,2019-11-02,20:00 (15:00),Metz,1.7,2–2,0.9,Montpellier,14644,Stade Saint-Symphorien,Stéphanie Frappart,Match Report,
2020,12,Sat,2019-11-02,20:00 (15:00),Angers,1.2,1–0,1.3,Strasbourg,9681,Stade Raymond Kopa,Florent Batta,Match Report,
2020,12,Sat,2019-11-02,20:00 (15:00),Amiens,1.4,1–0,1.2,Brest,12246,Stade de la Licorne,Franck Schneider,Match Report,
2020,12,Sat,2019-11-02,20:00 (15:00),Toulouse,1.2,2–3,2.6,Lyon,16225,Stadium Municipal,Karim Abed,Match Report,
2020,12,Sun,2019-11-03,15:00 (09:00),Bordeaux,1.2,2–0,0.7,Nantes,19545,Stade Matmut-Atlantique,François Letexier,Match Report,
2020,12,Sun,2019-11-03,17:00 (11:00),Nice,1.1,2–0,0.7,Reims,15468,Stade de Nice,Jeremy Stinat,Match Report,
2020,12,Sun,2019-11-03,21:00 (15:00),Saint-Étienne,1.5,1–0,1.1,Monaco,15685,Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
2020,13,Fri,2019-11-08,20:45 (14:45),Nice,1.1,1–1,1.7,Bordeaux,16173,Stade de Nice,Johan Hamel,Match Report,
2020,13,Sat,2019-11-09,17:30 (11:30),Brest,1.0,1–2,2.0,Paris S-G,15144,Stade Francis-Le Blé,Mikael Lesage,Match Report,
2020,13,Sat,2019-11-09,20:00 (14:00),Strasbourg,3.8,4–1,0.7,Nîmes,24745,Stade de la Meinau,Ruddy Buquet,Match Report,
2020,13,Sat,2019-11-09,20:00 (14:00),Monaco,2.4,1–0,1.4,Dijon,5223,Stade Louis II.,Eric Wattellier,Match Report,
2020,13,Sat,2019-11-09,20:00 (14:00),Lille,1.5,0–0,0.1,Metz,33425,Stade Pierre-Mauroy,Florent Batta,Match Report,
2020,13,Sat,2019-11-09,20:00 (14:00),Reims,0.4,0–0,0.8,Angers,10876,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
2020,13,Sun,2019-11-10,15:00 (09:00),Rennes,2.7,3–1,1.1,Amiens,20677,Roazhon Park,Benoît Bastien,Match Report,
2020,13,Sun,2019-11-10,17:00 (11:00),Nantes,0.7,2–3,0.6,Saint-Étienne,34191,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
2020,13,Sun,2019-11-10,17:00 (11:00),Montpellier,1.2,3–0,0.4,Toulouse,12734,Stade de la Mosson,Thomas Léonard,Match Report,
2020,13,Sun,2019-11-10,21:00 (15:00),Marseille,1.2,2–1,1.2,Lyon,65421,Orange Vélodrome,Antony Gautier,Match Report,
2020,14,Fri,2019-11-22,20:45 (14:45),Paris S-G,2.4,2–0,0.8,Lille,47476,Parc des Princes,Willy Delajod,Match Report,
2020,14,Sat,2019-11-23,17:30 (11:30),Lyon,1.3,2–1,1.4,Nice,49401,Groupama Stadium,Amaury Delerue,Match Report,
2020,14,Sat,2019-11-23,20:00 (14:00),Angers,1.8,1–0,0.9,Nîmes,8714,Stade Raymond Kopa,Thomas Léonard,Match Report,
2020,14,Sat,2019-11-23,20:00 (14:00),Dijon,1.0,2–1,1.2,Rennes,12084,Stade Gaston Gérard,Jérôme Brisard,Match Report,
2020,14,Sat,2019-11-23,20:00 (14:00),Brest,1.4,1–1,0.9,Nantes,14232,Stade Francis-Le Blé,Ruddy Buquet,Match Report,
2020,14,Sat,2019-11-23,20:00 (14:00),Amiens,0.3,0–4,1.9,Strasbourg,10358,Stade de la Licorne,Alain Bieri,Match Report,
2020,14,Sat,2019-11-23,20:00 (14:00),Metz,1.0,1–1,1.5,Reims,14445,Stade Saint-Symphorien,Antony Gautier,Match Report,
2020,14,Sun,2019-11-24,15:00 (09:00),Bordeaux,2.2,2–1,0.9,Monaco,34554,Stade Matmut-Atlantique,Benoît Millot,Match Report,
2020,14,Sun,2019-11-24,17:00 (11:00),Saint-Étienne,0.9,0–0,1.0,Montpellier,24336,Stade Geoffroy-Guichard,Franck Schneider,Match Report,
2020,14,Sun,2019-11-24,21:00 (15:00),Toulouse,0.7,0–2,2.1,Marseille,23002,Stadium Municipal,François Letexier,Match Report,
2020,15,Fri,2019-11-29,20:45 (14:45),Marseille,4.0,2–1,0.8,Brest,50014,Orange Vélodrome,Johan Hamel,Match Report,
2020,15,Sat,2019-11-30,17:30 (11:30),Strasbourg,0.5,1–2,0.7,Lyon,25455,Stade de la Meinau,Mikael Lesage,Match Report,
2020,15,Sat,2019-11-30,20:00 (14:00),Lille,2.0,1–0,0.9,Dijon,40074,Stade Pierre-Mauroy,Jeremy Stinat,Match Report,
2020,15,Sat,2019-11-30,20:00 (14:00),Montpellier,1.1,4–2,0.9,Amiens,11744,Stade de la Mosson,Jérémie Pignard,Match Report,
2020,15,Sat,2019-11-30,20:00 (14:00),Reims,1.0,1–1,0.3,Bordeaux,12949,Stade Auguste-Delaune II,Jérôme Brisard,Match Report,
2020,15,Sat,2019-11-30,20:00 (14:00),Nice,1.5,3–1,0.6,Angers,15814,Stade de Nice,Antony Gautier,Match Report,
2020,15,Sat,2019-11-30,20:00 (14:00),Nîmes,0.9,1–1,0.7,Metz,12180,Stade des Costières,Hakim Ben El Hadj Salem,Match Report,
2020,15,Sun,2019-12-01,15:00 (09:00),Nantes,2.5,2–1,1.0,Toulouse,13751,Stade de la Beaujoire - Louis Fonteneau,Florent Batta,Match Report,
2020,15,Sun,2019-12-01,17:00 (11:00),Rennes,1.3,2–1,0.4,Saint-Étienne,26738,Roazhon Park,Eric Wattellier,Match Report,
2020,16,Tue,2019-12-03,19:00 (13:00),Angers,0.5,0–2,2.1,Marseille,12455,Stade Raymond Kopa,Franck Schneider,Match Report,
2020,16,Tue,2019-12-03,19:00 (13:00),Brest,2.0,5–0,0.7,Strasbourg,12437,Stade Francis-Le Blé,Jérôme Brisard,Match Report,
2020,16,Tue,2019-12-03,19:00 (13:00),Bordeaux,2.5,6–0,0.2,Nîmes,12419,Stade Matmut-Atlantique,Clément Turpin,Match Report,
2020,16,Tue,2019-12-03,21:05 (15:05),Lyon,0.8,0–1,0.7,Lille,42535,Groupama Stadium,Ruddy Buquet,Match Report,
2020,16,Wed,2019-12-04,19:00 (13:00),Saint-Étienne,3.1,4–1,1.4,Nice,20138,Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
2020,16,Wed,2019-12-04,19:00 (13:00),Metz,1.0,0–1,0.9,Rennes,14214,Stade Saint-Symphorien,Karim Abed,Match Report,
2020,16,Wed,2019-12-04,19:00 (13:00),Dijon,1.5,2–2,1.4,Montpellier,11926,Stade Gaston Gérard,François Letexier,Match Report,
2020,16,Wed,2019-12-04,19:00 (13:00),Toulouse,1.8,1–2,3.4,Monaco,13030,Stadium Municipal,Willy Delajod,Match Report,
2020,16,Wed,2019-12-04,21:05 (15:05),Paris S-G,2.8,2–0,0.4,Nantes,47485,Parc des Princes,Amaury Delerue,Match Report,
2020,17,Fri,2019-12-06,19:00 (13:00),Lille,1.9,1–0,0.4,Brest,32682,Stade Pierre-Mauroy,Eric Wattellier,Match Report,
2020,17,Fri,2019-12-06,20:45 (14:45),Nîmes,0.3,0–4,2.8,Lyon,12801,Stade des Costières,Olivier Thual,Match Report,
2020,17,Sat,2019-12-07,17:30 (11:30),Montpellier,0.3,1–3,1.1,Paris S-G,20197,Stade de la Mosson,Antony Gautier,Match Report,
2020,17,Sat,2019-12-07,20:00 (14:00),Rennes,1.7,2–1,1.0,Angers,25656,Roazhon Park,Amaury Delerue,Match Report,
2020,17,Sat,2019-12-07,20:00 (14:00),Monaco,2.2,3–0,0.3,Amiens,4203,Stade Louis II.,Jeremy Stinat,Match Report,
2020,17,Sat,2019-12-07,20:00 (14:00),Nice,2.1,4–1,1.4,Metz,14967,Stade de Nice,Jérémie Pignard,Match Report,
2020,17,Sat,2019-12-07,20:00 (14:00),Strasbourg,2.1,4–2,1.4,Toulouse,23634,Stade de la Meinau,Johan Hamel,Match Report,
2020,17,Sun,2019-12-08,15:00 (09:00),Reims,0.9,3–1,0.6,Saint-Étienne,14512,Stade Auguste-Delaune II,Stéphanie Frappart,Match Report,
2020,17,Sun,2019-12-08,17:00 (11:00),Nantes,1.3,1–0,0.3,Dijon,16001,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
2020,17,Sun,2019-12-08,21:00 (15:00),Marseille,1.5,3–1,0.1,Bordeaux,52079,Orange Vélodrome,Mikael Lesage,Match Report,
2020,18,Fri,2019-12-13,20:45 (14:45),Lille,1.9,2–1,1.4,Montpellier,30170,Stade Pierre-Mauroy,Jérôme Brisard,Match Report,
2020,18,Sat,2019-12-14,17:30 (11:30),Metz,1.1,1–1,1.2,Marseille,20586,Stade Saint-Symphorien,Willy Delajod,Match Report,
2020,18,Sat,2019-12-14,20:00 (14:00),Angers,1.1,0–0,0.5,Monaco,9959,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Match Report,
2020,18,Sat,2019-12-14,20:00 (14:00),Amiens,0.5,1–1,0.5,Dijon,10530,Stade de la Licorne,Thomas Léonard,Match Report,
2020,18,Sat,2019-12-14,20:00 (14:00),Brest,1.9,0–0,0.9,Nice,13042,Stade Francis-Le Blé,Franck Schneider,Match Report,
2020,18,Sat,2019-12-14,20:00 (14:00),Toulouse,0.4,0–1,1.2,Reims,12577,Stadium Municipal,Clément Turpin,Match Report,
2020,18,Sat,2019-12-14,20:00 (14:00),Nîmes,1.0,0–1,1.6,Nantes,12098,Stade des Costières,Karim Abed,Match Report,
2020,18,Sun,2019-12-15,15:00 (09:00),Bordeaux,1.4,0–1,0.8,Strasbourg,18710,Stade Matmut-Atlantique,Florent Batta,Match Report,
2020,18,Sun,2019-12-15,17:00 (11:00),Lyon,0.5,0–1,1.8,Rennes,45010,Groupama Stadium,Benoît Bastien,Match Report,
2020,18,Sun,2019-12-15,21:00 (15:00),Saint-Étienne,1.0,0–4,3.8,Paris S-G,36391,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
2020,19,Sat,2019-12-21,20:45 (14:45),Rennes,1.2,1–0,0.5,Bordeaux,26403,Roazhon Park,Thomas Léonard,Match Report,
2020,19,Sat,2019-12-21,20:45 (14:45),Montpellier,1.9,4–0,0.8,Brest,12975,Stade de la Mosson,Jeremy Stinat,Match Report,
2020,19,Sat,2019-12-21,20:45 (14:45),Nice,1.8,3–0,0.3,Toulouse,17945,Stade de Nice,Stéphanie Frappart,Match Report,
