team,n,rank,w,d,l,gf,ga,gd,pts
AEK Athens,32,1,4,2,0,7,1,6,14
PAOK Salonik,32,2,2,3,1,10,5,5,9
P'thinaikos,32,3,1,2,3,5,10,-5,5
Panionios,32,4,1,1,4,4,10,-6,4
AEK Athens,33,1,4,2,0,7,1,6,14
PAOK Salonik,33,2,2,3,1,10,5,5,9
P'thinaikos,33,3,1,2,3,5,10,-5,5
Panionios,33,4,1,1,4,4,10,-6,4
AEK Athens,34,1,4,2,0,7,1,6,14
PAOK Salonik,34,2,2,2,2,9,6,3,8
P'thinaikos,34,3,2,1,3,6,9,-3,7
Panionios,34,4,1,1,4,4,10,-6,4
AEK Athens,35,1,4,2,0,7,1,6,14
PAOK Salonik,35,2,3,2,1,15,6,9,11
Panionios,35,3,1,1,4,4,10,-6,4
P'thinaikos,35,4,1,1,4,6,15,-9,4
AEK Athens,36,1,4,2,0,7,1,6,14
PAOK Salonik,36,2,3,2,1,11,5,6,11
P'thinaikos,36,3,1,1,4,5,11,-6,4
Panionios,36,4,1,1,4,4,10,-6,4
AEK Athens,37,1,4,2,0,7,1,6,14
PAOK Salonik,37,2,3,2,1,10,4,6,11
P'thinaikos,37,3,1,1,4,4,10,-6,4
Panionios,37,3,1,1,4,4,10,-6,4
AEK Athens,38,1,4,2,0,7,1,6,14
PAOK Salonik,38,2,2,2,2,9,7,2,8
P'thinaikos,38,3,2,1,3,7,9,-2,7
Panionios,38,4,1,1,4,4,10,-6,4
AEK Athens,39,1,4,2,0,7,1,6,14
PAOK Salonik,39,2,2,2,2,10,6,4,8
P'thinaikos,39,3,2,1,3,6,10,-4,7
Panionios,39,4,1,1,4,4,10,-6,4
AEK Athens,40,1,4,2,0,7,1,6,14
PAOK Salonik,40,2,3,2,1,11,4,7,11
Panionios,40,3,1,1,4,4,10,-6,4
P'thinaikos,40,4,1,1,4,4,11,-7,4
AEK Athens,41,1,4,2,0,7,1,6,14
PAOK Salonik,41,2,3,2,1,12,6,6,11
P'thinaikos,41,3,1,1,4,6,12,-6,4
Panionios,41,4,1,1,4,4,10,-6,4
AEK Athens,42,1,4,2,0,7,1,6,14
PAOK Salonik,42,2,3,2,1,10,4,6,11
P'thinaikos,42,3,1,1,4,4,10,-6,4
Panionios,42,3,1,1,4,4,10,-6,4
AEK Athens,43,1,4,2,0,7,1,6,14
PAOK Salonik,43,2,2,2,2,9,5,4,8
P'thinaikos,43,3,2,1,3,5,9,-4,7
Panionios,43,4,1,1,4,4,10,-6,4
AEK Athens,44,1,4,2,0,7,1,6,14
PAOK Salonik,44,2,3,2,1,11,5,6,11
P'thinaikos,44,3,1,1,4,5,11,-6,4
Panionios,44,4,1,1,4,4,10,-6,4
AEK Athens,45,1,4,2,0,7,1,6,14
PAOK Salonik,45,2,2,3,1,10,5,5,9
P'thinaikos,45,3,1,2,3,5,10,-5,5
Panionios,45,4,1,1,4,4,10,-6,4
AEK Athens,46,1,4,2,0,7,1,6,14
PAOK Salonik,46,2,2,3,1,9,4,5,9
P'thinaikos,46,3,1,2,3,4,9,-5,5
Panionios,46,4,1,1,4,4,10,-6,4
AEK Athens,47,1,4,2,0,7,1,6,14
PAOK Salonik,47,2,3,2,1,12,5,7,11
Panionios,47,3,1,1,4,4,10,-6,4
P'thinaikos,47,4,1,1,4,5,12,-7,4
AEK Athens,48,1,4,2,0,7,1,6,14
PAOK Salonik,48,2,2,3,1,10,5,5,9
P'thinaikos,48,3,1,2,3,5,10,-5,5
Panionios,48,4,1,1,4,4,10,-6,4
AEK Athens,49,1,4,2,0,7,1,6,14
PAOK Salonik,49,2,3,2,1,12,5,7,11
Panionios,49,3,1,1,4,4,10,-6,4
P'thinaikos,49,4,1,1,4,5,12,-7,4
AEK Athens,50,1,4,2,0,7,1,6,14
PAOK Salonik,50,2,2,3,1,10,5,5,9
P'thinaikos,50,3,1,2,3,5,10,-5,5
Panionios,50,4,1,1,4,4,10,-6,4
AEK Athens,51,1,4,2,0,7,1,6,14
PAOK Salonik,51,2,2,2,2,10,7,3,8
P'thinaikos,51,3,2,1,3,7,10,-3,7
Panionios,51,4,1,1,4,4,10,-6,4
AEK Athens,52,1,4,2,0,7,1,6,14
PAOK Salonik,52,2,3,2,1,12,6,6,11
P'thinaikos,52,3,1,1,4,6,12,-6,4
Panionios,52,4,1,1,4,4,10,-6,4
AEK Athens,53,1,4,2,0,7,1,6,14
PAOK Salonik,53,2,3,2,1,13,7,6,11
P'thinaikos,53,3,1,1,4,7,13,-6,4
Panionios,53,4,1,1,4,4,10,-6,4
AEK Athens,54,1,4,2,0,7,1,6,14
PAOK Salonik,54,2,2,2,2,9,8,1,8
P'thinaikos,54,3,2,1,3,8,9,-1,7
Panionios,54,4,1,1,4,4,10,-6,4
AEK Athens,55,1,4,2,0,7,1,6,14
PAOK Salonik,55,2,2,2,2,9,6,3,8
P'thinaikos,55,3,2,1,3,6,9,-3,7
Panionios,55,4,1,1,4,4,10,-6,4
AEK Athens,56,1,4,2,0,7,1,6,14
PAOK Salonik,56,2,3,2,1,10,4,6,11
P'thinaikos,56,3,1,1,4,4,10,-6,4
Panionios,56,3,1,1,4,4,10,-6,4
AEK Athens,57,1,4,2,0,7,1,6,14
PAOK Salonik,57,2,2,3,1,9,4,5,9
P'thinaikos,57,3,1,2,3,4,9,-5,5
Panionios,57,4,1,1,4,4,10,-6,4
AEK Athens,58,1,4,2,0,7,1,6,14
PAOK Salonik,58,2,2,3,1,10,5,5,9
P'thinaikos,58,3,1,2,3,5,10,-5,5
Panionios,58,4,1,1,4,4,10,-6,4
AEK Athens,59,1,4,2,0,7,1,6,14
PAOK Salonik,59,2,3,2,1,11,5,6,11
P'thinaikos,59,3,1,1,4,5,11,-6,4
Panionios,59,4,1,1,4,4,10,-6,4
AEK Athens,60,1,4,2,0,7,1,6,14
PAOK Salonik,60,2,2,3,1,10,5,5,9
P'thinaikos,60,3,1,2,3,5,10,-5,5
Panionios,60,4,1,1,4,4,10,-6,4
AEK Athens,61,1,4,2,0,7,1,6,14
PAOK Salonik,61,2,2,2,2,9,7,2,8
P'thinaikos,61,3,2,1,3,7,9,-2,7
Panionios,61,4,1,1,4,4,10,-6,4
AEK Athens,62,1,4,2,0,7,1,6,14
PAOK Salonik,62,2,3,2,1,14,4,10,11
Panionios,62,3,1,1,4,4,10,-6,4
P'thinaikos,62,4,1,1,4,4,14,-10,4
AEK Athens,63,1,4,2,0,7,1,6,14
PAOK Salonik,63,2,2,2,2,9,7,2,8
P'thinaikos,63,3,2,1,3,7,9,-2,7
Panionios,63,4,1,1,4,4,10,-6,4
AEK Athens,64,1,4,2,0,7,1,6,14
PAOK Salonik,64,2,3,2,1,11,4,7,11
Panionios,64,3,1,1,4,4,10,-6,4
P'thinaikos,64,4,1,1,4,4,11,-7,4
AEK Athens,65,1,4,2,0,7,1,6,14
PAOK Salonik,65,2,2,3,1,9,4,5,9
P'thinaikos,65,3,1,2,3,4,9,-5,5
Panionios,65,4,1,1,4,4,10,-6,4
AEK Athens,66,1,4,2,0,7,1,6,14
PAOK Salonik,66,2,2,2,2,9,7,2,8
P'thinaikos,66,3,2,1,3,7,9,-2,7
Panionios,66,4,1,1,4,4,10,-6,4
AEK Athens,67,1,4,2,0,7,1,6,14
PAOK Salonik,67,2,2,2,2,9,5,4,8
P'thinaikos,67,3,2,1,3,5,9,-4,7
Panionios,67,4,1,1,4,4,10,-6,4
AEK Athens,68,1,4,2,0,7,1,6,14
PAOK Salonik,68,2,2,3,1,11,6,5,9
P'thinaikos,68,3,1,2,3,6,11,-5,5
Panionios,68,4,1,1,4,4,10,-6,4
AEK Athens,69,1,4,2,0,7,1,6,14
PAOK Salonik,69,2,3,2,1,11,4,7,11
Panionios,69,3,1,1,4,4,10,-6,4
P'thinaikos,69,4,1,1,4,4,11,-7,4
AEK Athens,70,1,4,2,0,7,1,6,14
PAOK Salonik,70,2,3,2,1,11,4,7,11
Panionios,70,3,1,1,4,4,10,-6,4
P'thinaikos,70,4,1,1,4,4,11,-7,4
AEK Athens,71,1,4,2,0,7,1,6,14
PAOK Salonik,71,2,2,2,2,9,5,4,8
P'thinaikos,71,3,2,1,3,5,9,-4,7
Panionios,71,4,1,1,4,4,10,-6,4
AEK Athens,72,1,4,2,0,7,1,6,14
PAOK Salonik,72,2,2,2,2,10,6,4,8
P'thinaikos,72,3,2,1,3,6,10,-4,7
Panionios,72,4,1,1,4,4,10,-6,4
AEK Athens,73,1,4,2,0,7,1,6,14
PAOK Salonik,73,2,3,2,1,14,5,9,11
Panionios,73,3,1,1,4,4,10,-6,4
P'thinaikos,73,4,1,1,4,5,14,-9,4
AEK Athens,74,1,4,2,0,7,1,6,14
PAOK Salonik,74,2,2,3,1,11,6,5,9
P'thinaikos,74,3,1,2,3,6,11,-5,5
Panionios,74,4,1,1,4,4,10,-6,4
AEK Athens,75,1,4,2,0,7,1,6,14
PAOK Salonik,75,2,2,2,2,9,5,4,8
P'thinaikos,75,3,2,1,3,5,9,-4,7
Panionios,75,4,1,1,4,4,10,-6,4
AEK Athens,76,1,4,2,0,7,1,6,14
PAOK Salonik,76,2,2,2,2,10,6,4,8
P'thinaikos,76,3,2,1,3,6,10,-4,7
Panionios,76,4,1,1,4,4,10,-6,4
AEK Athens,77,1,4,2,0,7,1,6,14
PAOK Salonik,77,2,3,2,1,14,5,9,11
Panionios,77,3,1,1,4,4,10,-6,4
P'thinaikos,77,4,1,1,4,5,14,-9,4
AEK Athens,78,1,4,2,0,7,1,6,14
PAOK Salonik,78,2,3,2,1,11,4,7,11
Panionios,78,3,1,1,4,4,10,-6,4
P'thinaikos,78,4,1,1,4,4,11,-7,4
AEK Athens,79,1,4,2,0,7,1,6,14
PAOK Salonik,79,2,2,3,1,10,5,5,9
P'thinaikos,79,3,1,2,3,5,10,-5,5
Panionios,79,4,1,1,4,4,10,-6,4
AEK Athens,80,1,4,2,0,7,1,6,14
PAOK Salonik,80,2,2,2,2,10,6,4,8
P'thinaikos,80,3,2,1,3,6,10,-4,7
Panionios,80,4,1,1,4,4,10,-6,4
AEK Athens,81,1,4,2,0,7,1,6,14
PAOK Salonik,81,2,3,2,1,10,4,6,11
P'thinaikos,81,3,1,1,4,4,10,-6,4
Panionios,81,3,1,1,4,4,10,-6,4
AEK Athens,82,1,4,2,0,7,1,6,14
PAOK Salonik,82,2,3,2,1,13,6,7,11
Panionios,82,3,1,1,4,4,10,-6,4
P'thinaikos,82,4,1,1,4,6,13,-7,4
AEK Athens,83,1,4,2,0,7,1,6,14
PAOK Salonik,83,2,2,2,2,10,6,4,8
P'thinaikos,83,3,2,1,3,6,10,-4,7
Panionios,83,4,1,1,4,4,10,-6,4
AEK Athens,84,1,4,2,0,7,1,6,14
PAOK Salonik,84,2,2,3,1,10,5,5,9
P'thinaikos,84,3,1,2,3,5,10,-5,5
Panionios,84,4,1,1,4,4,10,-6,4
AEK Athens,85,1,4,2,0,7,1,6,14
PAOK Salonik,85,2,2,3,1,10,5,5,9
P'thinaikos,85,3,1,2,3,5,10,-5,5
Panionios,85,4,1,1,4,4,10,-6,4
AEK Athens,86,1,4,2,0,7,1,6,14
PAOK Salonik,86,2,2,3,1,10,5,5,9
P'thinaikos,86,3,1,2,3,5,10,-5,5
Panionios,86,4,1,1,4,4,10,-6,4
AEK Athens,87,1,4,2,0,7,1,6,14
PAOK Salonik,87,2,2,2,2,9,6,3,8
P'thinaikos,87,3,2,1,3,6,9,-3,7
Panionios,87,4,1,1,4,4,10,-6,4
AEK Athens,88,1,4,2,0,7,1,6,14
PAOK Salonik,88,2,2,2,2,10,6,4,8
P'thinaikos,88,3,2,1,3,6,10,-4,7
Panionios,88,4,1,1,4,4,10,-6,4
AEK Athens,89,1,4,2,0,7,1,6,14
PAOK Salonik,89,2,2,3,1,9,4,5,9
P'thinaikos,89,3,1,2,3,4,9,-5,5
Panionios,89,4,1,1,4,4,10,-6,4
AEK Athens,90,1,4,2,0,7,1,6,14
PAOK Salonik,90,2,2,3,1,10,5,5,9
P'thinaikos,90,3,1,2,3,5,10,-5,5
Panionios,90,4,1,1,4,4,10,-6,4
AEK Athens,91,1,4,2,0,7,1,6,14
PAOK Salonik,91,2,2,2,2,9,6,3,8
P'thinaikos,91,3,2,1,3,6,9,-3,7
Panionios,91,4,1,1,4,4,10,-6,4
AEK Athens,92,1,4,2,0,7,1,6,14
PAOK Salonik,92,2,2,2,2,9,5,4,8
P'thinaikos,92,3,2,1,3,5,9,-4,7
Panionios,92,4,1,1,4,4,10,-6,4
AEK Athens,93,1,4,2,0,7,1,6,14
PAOK Salonik,93,2,2,2,2,10,6,4,8
P'thinaikos,93,3,2,1,3,6,10,-4,7
Panionios,93,4,1,1,4,4,10,-6,4
AEK Athens,94,1,4,2,0,7,1,6,14
PAOK Salonik,94,2,2,2,2,9,5,4,8
P'thinaikos,94,3,2,1,3,5,9,-4,7
Panionios,94,4,1,1,4,4,10,-6,4
AEK Athens,95,1,4,2,0,7,1,6,14
PAOK Salonik,95,2,2,2,2,9,5,4,8
P'thinaikos,95,3,2,1,3,5,9,-4,7
Panionios,95,4,1,1,4,4,10,-6,4
AEK Athens,96,1,4,2,0,7,1,6,14
PAOK Salonik,96,2,2,3,1,9,4,5,9
P'thinaikos,96,3,1,2,3,4,9,-5,5
Panionios,96,4,1,1,4,4,10,-6,4
AEK Athens,97,1,4,2,0,7,1,6,14
PAOK Salonik,97,2,2,2,2,9,5,4,8
P'thinaikos,97,3,2,1,3,5,9,-4,7
Panionios,97,4,1,1,4,4,10,-6,4
AEK Athens,98,1,4,2,0,7,1,6,14
PAOK Salonik,98,2,2,3,1,10,5,5,9
P'thinaikos,98,3,1,2,3,5,10,-5,5
Panionios,98,4,1,1,4,4,10,-6,4
AEK Athens,99,1,4,2,0,7,1,6,14
PAOK Salonik,99,2,3,2,1,10,4,6,11
P'thinaikos,99,3,1,1,4,4,10,-6,4
Panionios,99,3,1,1,4,4,10,-6,4
AEK Athens,100,1,4,2,0,7,1,6,14
PAOK Salonik,100,2,2,2,2,10,7,3,8
P'thinaikos,100,3,2,1,3,7,10,-3,7
Panionios,100,4,1,1,4,4,10,-6,4
AEK Athens,101,1,4,2,0,7,1,6,14
PAOK Salonik,101,2,2,3,1,9,4,5,9
P'thinaikos,101,3,1,2,3,4,9,-5,5
Panionios,101,4,1,1,4,4,10,-6,4
AEK Athens,102,1,4,2,0,7,1,6,14
PAOK Salonik,102,2,2,3,1,9,4,5,9
P'thinaikos,102,3,1,2,3,4,9,-5,5
Panionios,102,4,1,1,4,4,10,-6,4
AEK Athens,103,1,4,2,0,7,1,6,14
PAOK Salonik,103,2,2,3,1,10,5,5,9
P'thinaikos,103,3,1,2,3,5,10,-5,5
Panionios,103,4,1,1,4,4,10,-6,4
AEK Athens,104,1,4,2,0,7,1,6,14
PAOK Salonik,104,2,2,2,2,10,7,3,8
P'thinaikos,104,3,2,1,3,7,10,-3,7
Panionios,104,4,1,1,4,4,10,-6,4
AEK Athens,105,1,4,2,0,7,1,6,14
PAOK Salonik,105,2,3,2,1,10,4,6,11
P'thinaikos,105,3,1,1,4,4,10,-6,4
Panionios,105,3,1,1,4,4,10,-6,4
AEK Athens,106,1,4,2,0,7,1,6,14
PAOK Salonik,106,2,2,2,2,9,5,4,8
P'thinaikos,106,3,2,1,3,5,9,-4,7
Panionios,106,4,1,1,4,4,10,-6,4
AEK Athens,107,1,4,2,0,7,1,6,14
PAOK Salonik,107,2,2,3,1,10,5,5,9
P'thinaikos,107,3,1,2,3,5,10,-5,5
Panionios,107,4,1,1,4,4,10,-6,4
AEK Athens,108,1,4,2,0,7,1,6,14
PAOK Salonik,108,2,2,3,1,9,4,5,9
P'thinaikos,108,3,1,2,3,4,9,-5,5
Panionios,108,4,1,1,4,4,10,-6,4
AEK Athens,109,1,4,2,0,7,1,6,14
PAOK Salonik,109,2,2,2,2,9,7,2,8
P'thinaikos,109,3,2,1,3,7,9,-2,7
Panionios,109,4,1,1,4,4,10,-6,4
AEK Athens,110,1,4,2,0,7,1,6,14
PAOK Salonik,110,2,2,2,2,10,6,4,8
P'thinaikos,110,3,2,1,3,6,10,-4,7
Panionios,110,4,1,1,4,4,10,-6,4
AEK Athens,111,1,4,2,0,7,1,6,14
PAOK Salonik,111,2,2,3,1,9,4,5,9
P'thinaikos,111,3,1,2,3,4,9,-5,5
Panionios,111,4,1,1,4,4,10,-6,4
AEK Athens,112,1,4,2,0,7,1,6,14
PAOK Salonik,112,2,3,2,1,10,4,6,11
P'thinaikos,112,3,1,1,4,4,10,-6,4
Panionios,112,3,1,1,4,4,10,-6,4
AEK Athens,113,1,4,2,0,7,1,6,14
PAOK Salonik,113,2,3,2,1,11,4,7,11
Panionios,113,3,1,1,4,4,10,-6,4
P'thinaikos,113,4,1,1,4,4,11,-7,4
AEK Athens,114,1,4,2,0,7,1,6,14
PAOK Salonik,114,2,2,3,1,10,5,5,9
P'thinaikos,114,3,1,2,3,5,10,-5,5
Panionios,114,4,1,1,4,4,10,-6,4
AEK Athens,115,1,4,2,0,7,1,6,14
PAOK Salonik,115,2,2,3,1,10,5,5,9
P'thinaikos,115,3,1,2,3,5,10,-5,5
Panionios,115,4,1,1,4,4,10,-6,4
AEK Athens,116,1,4,2,0,7,1,6,14
PAOK Salonik,116,2,3,2,1,11,5,6,11
P'thinaikos,116,3,1,1,4,5,11,-6,4
Panionios,116,4,1,1,4,4,10,-6,4
AEK Athens,117,1,4,2,0,7,1,6,14
PAOK Salonik,117,2,2,2,2,10,7,3,8
P'thinaikos,117,3,2,1,3,7,10,-3,7
Panionios,117,4,1,1,4,4,10,-6,4
AEK Athens,118,1,4,2,0,7,1,6,14
PAOK Salonik,118,2,3,2,1,12,6,6,11
P'thinaikos,118,3,1,1,4,6,12,-6,4
Panionios,118,4,1,1,4,4,10,-6,4
AEK Athens,119,1,4,2,0,7,1,6,14
PAOK Salonik,119,2,2,3,1,9,4,5,9
P'thinaikos,119,3,1,2,3,4,9,-5,5
Panionios,119,4,1,1,4,4,10,-6,4
AEK Athens,120,1,4,2,0,7,1,6,14
PAOK Salonik,120,2,2,2,2,9,6,3,8
P'thinaikos,120,3,2,1,3,6,9,-3,7
Panionios,120,4,1,1,4,4,10,-6,4
AEK Athens,121,1,4,2,0,7,1,6,14
PAOK Salonik,121,2,3,2,1,10,4,6,11
P'thinaikos,121,3,1,1,4,4,10,-6,4
Panionios,121,3,1,1,4,4,10,-6,4
AEK Athens,122,1,4,2,0,7,1,6,14
PAOK Salonik,122,2,2,3,1,9,4,5,9
P'thinaikos,122,3,1,2,3,4,9,-5,5
Panionios,122,4,1,1,4,4,10,-6,4
AEK Athens,123,1,4,2,0,7,1,6,14
PAOK Salonik,123,2,3,2,1,11,4,7,11
Panionios,123,3,1,1,4,4,10,-6,4
P'thinaikos,123,4,1,1,4,4,11,-7,4
AEK Athens,124,1,4,2,0,7,1,6,14
PAOK Salonik,124,2,2,3,1,11,6,5,9
P'thinaikos,124,3,1,2,3,6,11,-5,5
Panionios,124,4,1,1,4,4,10,-6,4
AEK Athens,125,1,4,2,0,7,1,6,14
PAOK Salonik,125,2,3,2,1,11,5,6,11
P'thinaikos,125,3,1,1,4,5,11,-6,4
Panionios,125,4,1,1,4,4,10,-6,4
AEK Athens,126,1,4,2,0,7,1,6,14
PAOK Salonik,126,2,2,3,1,10,5,5,9
P'thinaikos,126,3,1,2,3,5,10,-5,5
Panionios,126,4,1,1,4,4,10,-6,4
AEK Athens,127,1,4,2,0,7,1,6,14
PAOK Salonik,127,2,3,2,1,10,4,6,11
P'thinaikos,127,3,1,1,4,4,10,-6,4
Panionios,127,3,1,1,4,4,10,-6,4
AEK Athens,128,1,4,2,0,7,1,6,14
PAOK Salonik,128,2,3,2,1,10,4,6,11
P'thinaikos,128,3,1,1,4,4,10,-6,4
Panionios,128,3,1,1,4,4,10,-6,4
AEK Athens,129,1,4,2,0,7,1,6,14
PAOK Salonik,129,2,2,2,2,9,6,3,8
P'thinaikos,129,3,2,1,3,6,9,-3,7
Panionios,129,4,1,1,4,4,10,-6,4
AEK Athens,130,1,4,2,0,7,1,6,14
PAOK Salonik,130,2,3,2,1,11,4,7,11
Panionios,130,3,1,1,4,4,10,-6,4
P'thinaikos,130,4,1,1,4,4,11,-7,4
AEK Athens,131,1,4,2,0,7,1,6,14
PAOK Salonik,131,2,3,2,1,10,4,6,11
P'thinaikos,131,3,1,1,4,4,10,-6,4
Panionios,131,3,1,1,4,4,10,-6,4
AEK Athens,132,1,4,2,0,7,1,6,14
PAOK Salonik,132,2,2,2,2,9,5,4,8
P'thinaikos,132,3,2,1,3,5,9,-4,7
Panionios,132,4,1,1,4,4,10,-6,4
AEK Athens,133,1,4,2,0,7,1,6,14
PAOK Salonik,133,2,3,2,1,10,4,6,11
P'thinaikos,133,3,1,1,4,4,10,-6,4
Panionios,133,3,1,1,4,4,10,-6,4
AEK Athens,134,1,4,2,0,7,1,6,14
PAOK Salonik,134,2,2,2,2,9,5,4,8
P'thinaikos,134,3,2,1,3,5,9,-4,7
Panionios,134,4,1,1,4,4,10,-6,4
AEK Athens,135,1,4,2,0,7,1,6,14
