team,n,rank,w,d,l,gf,ga,gd,pts
Inverness CT,7,5,15,9,12,50,38,12,54
Morton,7,6,14,11,11,48,37,11,53
Queen of S't,7,7,13,11,12,56,54,2,50
Falkirk,7,8,11,11,14,44,51,-7,44
Dumbarton,7,9,7,9,20,27,62,-35,30
Brechin,7,10,0,5,31,21,87,-66,5
St Mirren,8,1,24,5,7,64,35,29,77
Livingston,8,2,17,12,7,57,36,21,63
Dundee Utd,8,3,17,8,11,51,43,8,59
Dunfermline,8,4,15,11,10,57,37,20,56
Inverness CT,8,5,15,10,11,52,39,13,55
Queen of S't,8,6,14,10,12,59,54,5,52
Morton,8,7,13,12,11,49,39,10,51
Falkirk,8,8,11,11,14,44,50,-6,44
Dumbarton,8,9,8,9,19,29,60,-31,33
Brechin,8,10,0,4,32,21,90,-69,4
St Mirren,9,1,23,5,8,64,40,24,74
Livingston,9,2,18,11,7,59,37,22,65
Dunfermline,9,3,16,11,9,58,36,22,59
Dundee Utd,9,4,17,7,12,52,45,7,58
Inverness CT,9,5,15,10,11,50,37,13,55
Queen of S't,9,6,14,10,12,55,52,3,52
Morton,9,7,13,12,11,47,37,10,51
Falkirk,9,8,12,11,13,49,50,-1,47
Dumbarton,9,9,7,9,20,28,61,-33,30
Brechin,9,10,0,4,32,19,86,-67,4
St Mirren,10,1,23,6,7,65,37,28,75
Livingston,10,2,17,12,7,58,37,21,63
Dunfermline,10,3,16,11,9,59,35,24,59
Dundee Utd,10,4,17,8,11,52,44,8,59
Inverness CT,10,5,15,9,12,50,38,12,54
Morton,10,6,14,11,11,48,37,11,53
Queen of S't,10,7,14,10,12,58,52,6,52
Falkirk,10,8,11,12,13,46,51,-5,45
Dumbarton,10,9,7,9,20,27,62,-35,30
Brechin,10,10,0,4,32,19,89,-70,4
St Mirren,11,1,24,5,7,65,36,29,77
Livingston,11,2,17,12,7,57,36,21,63
Dunfermline,11,3,16,11,9,59,35,24,59
Dundee Utd,11,4,17,8,11,51,43,8,59
Inverness CT,11,5,15,9,12,50,39,11,54
Morton,11,6,14,11,11,49,37,12,53
Queen of S't,11,7,14,10,12,56,52,4,52
Falkirk,11,8,11,11,14,45,51,-6,44
Dumbarton,11,9,7,9,20,27,62,-35,30
Brechin,11,10,0,4,32,19,87,-68,4
St Mirren,12,1,24,5,7,65,35,30,77
Livingston,12,2,17,12,7,57,36,21,63
Dunfermline,12,3,16,11,9,61,37,24,59
Dundee Utd,12,4,17,8,11,51,43,8,59
Inverness CT,12,5,15,9,12,50,39,11,54
Morton,12,6,14,11,11,49,37,12,53
Queen of S't,12,7,14,10,12,57,53,4,52
Falkirk,12,8,11,11,14,44,51,-7,44
Dumbarton,12,9,7,9,20,29,64,-35,30
Brechin,12,10,0,4,32,20,88,-68,4
St Mirren,13,1,23,5,8,63,39,24,74
Livingston,13,2,17,12,7,59,38,21,63
Dundee Utd,13,3,17,8,11,53,45,8,59
Dunfermline,13,4,15,11,10,57,37,20,56
Inverness CT,13,5,15,9,12,51,39,12,54
Morton,13,6,14,11,11,49,38,11,53
Queen of S't,13,7,13,11,12,54,52,2,50
Falkirk,13,8,12,11,13,48,49,-1,47
Dumbarton,13,9,8,9,19,29,60,-31,33
Brechin,13,10,0,5,31,19,85,-66,5
St Mirren,14,1,24,5,7,65,36,29,77
Livingston,14,2,17,12,7,57,36,21,63
Dunfermline,14,3,16,11,9,59,35,24,59
Dundee Utd,14,4,17,8,11,51,43,8,59
Inverness CT,14,5,16,9,11,51,37,14,57
Queen of S't,14,6,14,10,12,58,55,3,52
Morton,14,7,13,11,12,47,38,9,50
Falkirk,14,8,11,11,14,45,51,-6,44
Dumbarton,14,9,7,9,20,27,62,-35,30
Brechin,14,10,0,4,32,22,89,-67,4
St Mirren,15,1,23,5,8,63,37,26,74
Livingston,15,2,18,11,7,59,37,22,65
Dunfermline,15,3,16,11,9,57,35,22,59
Dundee Utd,15,4,17,7,12,52,45,7,58
Inverness CT,15,5,16,9,11,51,37,14,57
Morton,15,6,13,11,12,47,38,9,50
Queen of S't,15,7,13,11,12,55,53,2,50
Falkirk,15,8,12,11,13,46,49,-3,47
Dumbarton,15,9,7,9,20,27,60,-33,30
Brechin,15,10,0,5,31,20,86,-66,5
St Mirren,16,1,24,5,7,65,35,30,77
Livingston,16,2,18,11,7,57,35,22,65
Dunfermline,16,3,16,11,9,58,36,22,59
Dundee Utd,16,4,17,7,12,50,43,7,58
Inverness CT,16,5,16,9,11,52,37,15,57
Queen of S't,16,6,14,10,12,58,53,5,52
Morton,16,7,13,11,12,47,39,8,50
Falkirk,16,8,11,11,14,44,51,-7,44
Dumbarton,16,9,7,9,20,28,61,-33,30
Brechin,16,10,0,4,32,20,89,-69,4
St Mirren,17,1,23,5,8,63,37,26,74
Livingston,17,2,18,11,7,58,36,22,65
Dundee Utd,17,3,17,7,12,51,44,7,58
Dunfermline,17,4,15,11,10,56,36,20,56
Inverness CT,17,5,15,10,11,50,37,13,55
Morton,17,6,13,12,11,47,37,10,51
Queen of S't,17,7,13,10,13,55,55,0,49
Falkirk,17,8,12,11,13,46,49,-3,47
Dumbarton,17,9,8,9,19,28,59,-31,33
Brechin,17,10,1,4,31,22,86,-64,7
St Mirren,18,1,23,6,7,64,36,28,75
Livingston,18,2,17,11,8,57,38,19,62
Dundee Utd,18,3,18,7,11,53,43,10,61
Dunfermline,18,4,16,11,9,58,35,23,59
Inverness CT,18,5,15,10,11,52,39,13,55
Morton,18,6,13,12,11,49,39,10,51
Queen of S't,18,7,13,11,12,55,53,2,50
Falkirk,18,8,11,12,13,45,50,-5,45
Dumbarton,18,9,7,9,20,27,61,-34,30
Brechin,18,10,0,5,31,20,86,-66,5
St Mirren,19,1,24,5,7,65,35,30,77
Livingston,19,2,18,11,7,58,36,22,65
Dunfermline,19,3,16,11,9,59,37,22,59
Dundee Utd,19,4,17,7,12,51,44,7,58
Inverness CT,19,5,15,9,12,50,39,11,54
Morton,19,6,14,11,11,49,37,12,53
Queen of S't,19,7,13,10,13,54,53,1,49
Falkirk,19,8,11,11,14,44,51,-7,44
Dumbarton,19,9,7,9,20,29,62,-33,30
Brechin,19,10,1,4,31,20,85,-65,7
St Mirren,20,1,23,5,8,63,38,25,74
Livingston,20,2,18,11,7,58,36,22,65
Dunfermline,20,3,16,11,9,57,35,22,59
Dundee Utd,20,4,17,7,12,51,44,7,58
Inverness CT,20,5,15,9,12,50,39,11,54
Morton,20,6,14,11,11,49,37,12,53
Queen of S't,20,7,14,10,12,57,53,4,52
Falkirk,20,8,12,11,13,47,49,-2,47
Dumbarton,20,9,7,9,20,27,60,-33,30
Brechin,20,10,0,4,32,20,88,-68,4
St Mirren,21,1,23,5,8,64,37,27,74
Livingston,21,2,17,12,7,57,36,21,63
Dundee Utd,21,3,17,8,11,51,43,8,59
Dunfermline,21,4,15,12,9,56,35,21,57
Inverness CT,21,5,16,9,11,51,37,14,57
Queen of S't,21,6,14,10,12,56,53,3,52
Morton,21,7,13,11,12,47,38,9,50
Falkirk,21,8,12,11,13,46,50,-4,47
Dumbarton,21,9,7,10,19,27,59,-32,31
Brechin,21,10,0,4,32,20,87,-67,4
St Mirren,22,1,24,5,7,65,36,29,77
Livingston,22,2,18,11,7,59,37,22,65
Dunfermline,22,3,16,11,9,57,35,22,59
Dundee Utd,22,4,17,7,12,52,45,7,58
Inverness CT,22,5,16,9,11,51,37,14,57
Queen of S't,22,6,14,10,12,56,52,4,52
Morton,22,7,13,11,12,47,38,9,50
Falkirk,22,8,11,11,14,45,51,-6,44
Dumbarton,22,9,7,9,20,27,60,-33,30
Brechin,22,10,0,4,32,19,87,-68,4
St Mirren,23,1,23,6,7,65,37,28,75
Livingston,23,2,18,11,7,58,36,22,65
Dunfermline,23,3,16,11,9,58,36,22,59
Dundee Utd,23,4,17,7,12,51,44,7,58
Inverness CT,23,5,15,9,12,50,39,11,54
Morton,23,6,14,11,11,49,37,12,53
Queen of S't,23,7,14,10,12,58,54,4,52
Falkirk,23,8,11,12,13,46,51,-5,45
Dumbarton,23,9,7,9,20,28,61,-33,30
Brechin,23,10,0,4,32,21,89,-68,4
St Mirren,24,1,23,6,7,64,36,28,75
Livingston,24,2,18,11,7,57,35,22,65
Dunfermline,24,3,16,11,9,57,35,22,59
Dundee Utd,24,4,17,7,12,50,43,7,58
Inverness CT,24,5,15,10,11,51,38,13,55
Morton,24,6,13,12,11,48,38,10,51
Queen of S't,24,7,13,11,12,55,53,2,50
Falkirk,24,8,11,12,13,45,50,-5,45
Dumbarton,24,9,7,9,20,27,60,-33,30
Brechin,24,10,0,5,31,20,86,-66,5
St Mirren,25,1,24,5,7,67,37,30,77
Livingston,25,2,18,11,7,59,36,23,65
Dunfermline,25,3,16,11,9,58,35,23,59
Dundee Utd,25,4,17,7,12,51,45,6,58
Inverness CT,25,5,15,9,12,51,40,11,54
Morton,25,6,14,11,11,50,38,12,53
Queen of S't,25,7,14,10,12,57,53,4,52
Falkirk,25,8,11,11,14,46,53,-7,44
Dumbarton,25,9,7,9,20,27,61,-34,30
Brechin,25,10,0,4,32,20,88,-68,4
St Mirren,26,1,24,5,7,65,35,30,77
Livingston,26,2,17,11,8,57,37,20,62
Dundee Utd,26,3,18,7,11,52,43,9,61
Dunfermline,26,4,16,11,9,60,36,24,59
Inverness CT,26,5,15,9,12,52,40,12,54
Morton,26,6,14,11,11,50,39,11,53
Queen of S't,26,7,13,10,13,54,53,1,49
Falkirk,26,8,11,11,14,44,51,-7,44
Dumbarton,26,9,7,9,20,28,63,-35,30
Brechin,26,10,1,4,31,20,85,-65,7
St Mirren,27,1,24,5,7,66,35,31,77
Livingston,27,2,18,11,7,59,37,22,65
Dundee Utd,27,3,17,7,12,52,45,7,58
Dunfermline,27,4,15,12,9,56,35,21,57
Inverness CT,27,5,16,9,11,52,38,14,57
Queen of S't,27,6,14,10,12,58,53,5,52
Morton,27,7,13,11,12,48,39,9,50
Falkirk,27,8,11,11,14,44,52,-8,44
Dumbarton,27,9,7,10,19,27,59,-32,31
Brechin,27,10,0,4,32,20,89,-69,4
St Mirren,28,1,23,5,8,64,39,25,74
Livingston,28,2,18,11,7,59,35,24,65
Dunfermline,28,3,16,11,9,60,35,25,59
Dundee Utd,28,4,17,7,12,50,45,5,58
Inverness CT,28,5,15,10,11,51,38,13,55
Queen of S't,28,6,14,10,12,59,53,6,52
Morton,28,7,13,12,11,48,38,10,51
Falkirk,28,8,12,11,13,48,50,-2,47
Dumbarton,28,9,7,9,20,27,63,-36,30
Brechin,28,10,0,4,32,20,90,-70,4
St Mirren,29,1,23,5,8,63,36,27,74
Livingston,29,2,17,11,8,57,37,20,62
Dundee Utd,29,3,18,7,11,52,43,9,61
Dunfermline,29,4,15,12,9,56,35,21,57
Inverness CT,29,5,15,9,12,50,40,10,54
Morton,29,6,14,11,11,50,37,13,53
Queen of S't,29,7,13,10,13,54,55,-1,49
Falkirk,29,8,12,11,13,45,49,-4,47
Dumbarton,29,9,7,10,19,27,59,-32,31
Brechin,29,10,1,4,31,22,85,-63,7
St Mirren,30,1,23,5,8,63,37,26,74
Livingston,30,2,18,11,7,58,36,22,65
Dundee Utd,30,3,17,7,12,51,44,7,58
Dunfermline,30,4,15,12,9,56,35,21,57
Inverness CT,30,5,16,9,11,52,38,14,57
Queen of S't,30,6,14,10,12,58,52,6,52
Morton,30,7,13,11,12,48,39,9,50
Falkirk,30,8,12,11,13,46,49,-3,47
Dumbarton,30,9,7,10,19,27,59,-32,31
Brechin,30,10,0,4,32,19,89,-70,4
St Mirren,31,1,24,5,7,64,35,29,77
Livingston,31,2,17,11,8,56,37,19,62
Dundee Utd,31,3,18,7,11,52,42,10,61
Dunfermline,31,4,15,12,9,56,35,21,57
Inverness CT,31,5,15,9,12,50,39,11,54
Morton,31,6,14,11,11,49,37,12,53
Queen of S't,31,7,13,11,12,56,54,2,50
Falkirk,31,8,11,11,14,44,50,-6,44
Dumbarton,31,9,7,10,19,27,59,-32,31
Brechin,31,10,0,5,31,21,87,-66,5
St Mirren,32,1,23,5,8,63,36,27,74
Livingston,32,2,17,11,8,56,37,19,62
Dundee Utd,32,3,18,7,11,52,42,10,61
Dunfermline,32,4,15,12,9,57,36,21,57
Inverness CT,32,5,15,10,11,51,38,13,55
Morton,32,6,13,12,11,48,38,10,51
Queen of S't,32,7,13,10,13,55,54,1,49
Falkirk,32,8,12,11,13,45,49,-4,47
Dumbarton,32,9,7,10,19,28,60,-32,31
Brechin,32,10,1,4,31,21,86,-65,7
St Mirren,33,1,24,5,7,67,36,31,77
Livingston,33,2,18,11,7,58,36,22,65
Dunfermline,33,3,16,11,9,57,35,22,59
Dundee Utd,33,4,17,7,12,51,44,7,58
Inverness CT,33,5,15,10,11,51,38,13,55
Queen of S't,33,6,14,10,12,59,56,3,52
Morton,33,7,13,12,11,48,38,10,51
Falkirk,33,8,11,11,14,45,53,-8,44
Dumbarton,33,9,7,9,20,27,60,-33,30
Brechin,33,10,0,4,32,23,90,-67,4
St Mirren,34,1,23,5,8,63,36,27,74
Livingston,34,2,18,11,7,58,36,22,65
Dundee Utd,34,3,17,7,12,51,44,7,58
Dunfermline,34,4,15,12,9,57,36,21,57
Inverness CT,34,5,15,9,12,51,39,12,54
Morton,34,6,14,11,11,49,38,11,53
Queen of S't,34,7,14,10,12,58,52,6,52
Falkirk,34,8,12,11,13,45,49,-4,47
Dumbarton,34,9,7,10,19,28,60,-32,31
Brechin,34,10,0,4,32,19,89,-70,4
St Mirren,35,1,23,5,8,64,37,27,74
Livingston,35,2,18,11,7,57,35,22,65
Dunfermline,35,3,16,11,9,59,36,23,59
Dundee Utd,35,4,17,7,12,50,43,7,58
Inverness CT,35,5,16,9,11,52,38,14,57
Morton,35,6,13,11,12,48,39,9,50
Queen of S't,35,7,13,10,13,55,54,1,49
Falkirk,35,8,12,11,13,46,50,-4,47
Dumbarton,35,9,7,9,20,28,62,-34,30
Brechin,35,10,1,4,31,21,86,-65,7
St Mirren,36,1,24,5,7,65,35,30,77
Livingston,36,2,18,11,7,57,35,22,65
Dunfermline,36,3,16,11,9,57,35,22,59
Dundee Utd,36,4,17,7,12,50,43,7,58
Inverness CT,36,5,16,9,11,51,37,14,57
Queen of S't,36,6,14,10,12,56,53,3,52
Morton,36,7,13,11,12,47,38,9,50
Falkirk,36,8,11,11,14,44,51,-7,44
Dumbarton,36,9,7,9,20,27,60,-33,30
Brechin,36,10,0,4,32,20,87,-67,4
St Mirren,37,1,24,5,7,65,35,30,77
Livingston,37,2,17,12,7,58,37,21,63
Dunfermline,37,3,16,11,9,61,35,26,59
Dundee Utd,37,4,17,8,11,52,44,8,59
Inverness CT,37,5,16,9,11,51,37,14,57
Morton,37,6,13,11,12,47,38,9,50
Queen of S't,37,7,13,10,13,54,53,1,49
Falkirk,37,8,11,11,14,44,51,-7,44
Dumbarton,37,9,7,9,20,27,64,-37,30
Brechin,37,10,1,4,31,20,85,-65,7
St Mirren,38,1,23,5,8,65,38,27,74
Livingston,38,2,18,11,7,60,36,24,65
Dunfermline,38,3,16,11,9,59,35,24,59
Dundee Utd,38,4,17,7,12,51,46,5,58
Inverness CT,38,5,16,9,11,52,38,14,57
Queen of S't,38,6,14,10,12,56,52,4,52
Morton,38,7,13,11,12,48,39,9,50
Falkirk,38,8,12,11,13,47,51,-4,47
Dumbarton,38,9,7,9,20,27,62,-35,30
Brechin,38,10,0,4,32,19,87,-68,4
St Mirren,39,1,23,5,8,65,38,27,74
Livingston,39,2,17,11,8,56,36,20,62
Dundee Utd,39,3,18,7,11,51,42,9,61
Inverness CT,39,4,16,9,11,54,39,15,57
Dunfermline,39,5,15,11,10,56,37,19,56
Morton,39,6,13,11,12,49,41,8,50
Queen of S't,39,7,13,10,13,55,56,-1,49
Falkirk,39,8,12,11,13,47,51,-4,47
Dumbarton,39,9,8,9,19,29,59,-30,33
Brechin,39,10,1,4,31,23,86,-63,7
St Mirren,40,1,23,5,8,63,37,26,74
Livingston,40,2,17,11,8,56,36,20,62
Dundee Utd,40,3,18,7,11,51,42,9,61
Dunfermline,40,4,16,11,9,60,35,25,59
Inverness CT,40,5,16,9,11,52,37,15,57
Queen of S't,40,6,14,10,12,61,53,8,52
Morton,40,7,13,11,12,47,39,8,50
Falkirk,40,8,12,11,13,46,49,-3,47
Dumbarton,40,9,7,9,20,27,63,-36,30
Brechin,40,10,0,4,32,20,92,-72,4
St Mirren,41,1,23,5,8,64,38,26,74
Livingston,41,2,18,11,7,57,35,22,65
Dundee Utd,41,3,17,7,12,50,43,7,58
Dunfermline,41,4,15,11,10,57,37,20,56
Inverness CT,41,5,15,9,12,52,40,12,54
Morton,41,6,14,11,11,50,39,11,53
Queen of S't,41,7,14,10,12,59,54,5,52
Falkirk,41,8,12,11,13,47,50,-3,47
Dumbarton,41,9,8,9,19,29,60,-31,33
Brechin,41,10,0,4,32,21,90,-69,4
St Mirren,42,1,23,6,7,65,37,28,75
Livingston,42,2,17,12,7,57,36,21,63
Dunfermline,42,3,16,11,9,58,36,22,59
Dundee Utd,42,4,17,8,11,51,43,8,59
Inverness CT,42,5,15,10,11,51,38,13,55
Queen of S't,42,6,14,10,12,55,52,3,52
Morton,42,7,13,12,11,48,38,10,51
Falkirk,42,8,11,12,13,46,51,-5,45
Dumbarton,42,9,7,9,20,28,61,-33,30
Brechin,42,10,0,4,32,19,86,-67,4
St Mirren,43,1,24,5,7,65,35,30,77
Livingston,43,2,17,11,8,56,36,20,62
Dundee Utd,43,3,18,7,11,51,42,9,61
Dunfermline,43,4,16,11,9,61,35,26,59
Inverness CT,43,5,15,10,11,51,38,13,55
Queen of S't,43,6,14,10,12,56,53,3,52
Morton,43,7,13,12,11,48,38,10,51
Falkirk,43,8,11,11,14,44,51,-7,44
Dumbarton,43,9,7,9,20,27,64,-37,30
Brechin,43,10,0,4,32,20,87,-67,4
St Mirren,44,1,24,5,7,66,36,30,77
Livingston,44,2,17,12,7,57,36,21,63
Dundee Utd,44,3,17,8,11,51,43,8,59
Dunfermline,44,4,15,12,9,56,35,21,57
Inverness CT,44,5,16,9,11,51,37,14,57
Morton,44,6,13,11,12,47,38,9,50
Queen of S't,44,7,13,11,12,54,52,2,50
Falkirk,44,8,11,11,14,45,52,-7,44
Dumbarton,44,9,7,10,19,27,59,-32,31
Brechin,44,10,0,5,31,19,85,-66,5
St Mirren,45,1,23,5,8,64,38,26,74
Livingston,45,2,17,12,7,58,37,21,63
Dundee Utd,45,3,17,8,11,52,44,8,59
Dunfermline,45,4,15,11,10,56,37,19,56
Inverness CT,45,5,15,10,11,52,39,13,55
Morton,45,6,13,12,11,49,39,10,51
Queen of S't,45,7,13,11,12,56,54,2,50
Falkirk,45,8,12,11,13,47,50,-3,47
Dumbarton,45,9,8,9,19,29,59,-30,33
Brechin,45,10,0,5,31,21,87,-66,5
St Mirren,46,1,23,6,7,65,37,28,75
Livingston,46,2,17,12,7,59,38,21,63
Dundee Utd,46,3,17,8,11,53,45,8,59
Dunfermline,46,4,15,12,9,58,37,21,57
Inverness CT,46,5,15,9,12,50,40,10,54
Morton,46,6,14,11,11,50,37,13,53
Queen of S't,46,7,14,10,12,55,52,3,52
Falkirk,46,8,11,12,13,46,51,-5,45
Dumbarton,46,9,7,10,19,29,61,-32,31
Brechin,46,10,0,4,32,19,86,-67,4
St Mirren,47,1,23,6,7,64,36,28,75
Livingston,47,2,17,12,7,57,36,21,63
Dunfermline,47,3,16,11,9,58,36,22,59
Dundee Utd,47,4,17,8,11,51,43,8,59
Inverness CT,47,5,16,9,11,54,39,15,57
Queen of S't,47,6,14,10,12,56,52,4,52
Morton,47,7,13,11,12,49,41,8,50
Falkirk,47,8,11,12,13,45,50,-5,45
Dumbarton,47,9,7,9,20,28,61,-33,30
Brechin,47,10,0,4,32,19,87,-68,4
St Mirren,48,1,23,5,8,66,39,27,74
Livingston,48,2,18,11,7,57,35,22,65
Dundee Utd,48,3,17,7,12,50,43,7,58
Dunfermline,48,4,15,11,10,57,39,18,56
Inverness CT,48,5,15,9,12,51,39,12,54
Morton,48,6,14,11,11,49,38,11,53
Queen of S't,48,7,13,11,12,56,54,2,50
Falkirk,48,8,12,11,13,48,52,-4,47
Dumbarton,48,9,8,9,19,31,60,-29,33
Brechin,48,10,0,5,31,21,87,-66,5
St Mirren,49,1,24,5,7,66,37,29,77
Livingston,49,2,17,11,8,56,36,20,62
Dundee Utd,49,3,18,7,11,51,42,9,61
Dunfermline,49,4,16,11,9,60,36,24,59
Inverness CT,49,5,16,9,11,52,38,14,57
Queen of S't,49,6,14,10,12,57,53,4,52
Morton,49,7,13,11,12,48,39,9,50
Falkirk,49,8,11,11,14,46,52,-6,44
Dumbarton,49,9,7,9,20,28,63,-35,30
Brechin,49,10,0,4,32,20,88,-68,4
St Mirren,50,1,23,5,8,64,37,27,74
Livingston,50,2,17,12,7,57,36,21,63
Dundee Utd,50,3,17,8,11,51,43,8,59
Inverness CT,50,4,16,9,11,52,38,14,57
Dunfermline,50,5,15,11,10,57,37,20,56
Queen of S't,50,6,14,10,12,56,52,4,52
Morton,50,7,13,11,12,48,39,9,50
Falkirk,50,8,12,11,13,46,50,-4,47
Dumbarton,50,9,8,9,19,29,60,-31,33
Brechin,50,10,0,4,32,19,87,-68,4
St Mirren,51,1,24,5,7,66,37,29,77
Livingston,51,2,17,12,7,57,36,21,63
Dundee Utd,51,3,17,8,11,51,43,8,59
Dunfermline,51,4,15,12,9,56,35,21,57
Inverness CT,51,5,15,10,11,50,37,13,55
Queen of S't,51,6,14,10,12,57,54,3,52
Morton,51,7,13,12,11,47,37,10,51
Falkirk,51,8,11,11,14,46,52,-6,44
Dumbarton,51,9,7,10,19,27,59,-32,31
Brechin,51,10,0,4,32,21,88,-67,4
St Mirren,52,1,23,5,8,65,38,27,74
Livingston,52,2,17,11,8,58,40,18,62
Dundee Utd,52,3,18,7,11,55,44,11,61
Dunfermline,52,4,16,11,9,59,36,23,59
Inverness CT,52,5,15,9,12,50,39,11,54
Morton,52,6,14,11,11,49,37,12,53
Queen of S't,52,7,13,11,12,56,54,2,50
Falkirk,52,8,12,11,13,47,51,-4,47
Dumbarton,52,9,7,9,20,28,62,-34,30
Brechin,52,10,0,5,31,21,87,-66,5
St Mirren,53,1,23,5,8,63,37,26,74
Livingston,53,2,18,11,7,58,35,23,65
Dunfermline,53,3,16,11,9,57,35,22,59
Dundee Utd,53,4,17,7,12,50,44,6,58
Inverness CT,53,5,15,9,12,51,40,11,54
Morton,53,6,14,11,11,50,38,12,53
Queen of S't,53,7,13,11,12,55,53,2,50
Falkirk,53,8,12,11,13,46,49,-3,47
Dumbarton,53,9,7,9,20,27,60,-33,30
Brechin,53,10,0,5,31,20,86,-66,5
St Mirren,54,1,24,5,7,66,36,30,77
Livingston,54,2,18,11,7,57,35,22,65
Dundee Utd,54,3,17,7,12,50,43,7,58
Dunfermline,54,4,15,12,9,56,35,21,57
Inverness CT,54,5,15,9,12,50,38,12,54
Morton,54,6,14,11,11,48,37,11,53
Queen of S't,54,7,13,10,13,55,54,1,49
Falkirk,54,8,11,11,14,45,52,-7,44
Dumbarton,54,9,7,10,19,27,59,-32,31
Brechin,54,10,1,4,31,21,86,-65,7
St Mirren,55,1,24,5,7,64,35,29,77
Livingston,55,2,18,11,7,59,36,23,65
Dunfermline,55,3,16,11,9,59,35,24,59
Dundee Utd,55,4,17,7,12,51,45,6,58
Inverness CT,55,5,16,9,11,51,37,14,57
Morton,55,6,13,11,12,47,38,9,50
Queen of S't,55,7,13,11,12,56,54,2,50
Falkirk,55,8,11,11,14,44,50,-6,44
Dumbarton,55,9,7,9,20,27,62,-35,30
Brechin,55,10,0,5,31,21,87,-66,5
St Mirren,56,1,23,5,8,63,36,27,74
Livingston,56,2,17,12,7,57,36,21,63
Dundee Utd,56,3,17,8,11,51,43,8,59
Dunfermline,56,4,15,12,9,57,36,21,57
Inverness CT,56,5,16,9,11,52,38,14,57
Morton,56,6,13,11,12,48,39,9,50
Queen of S't,56,7,13,10,13,55,55,0,49
Falkirk,56,8,12,11,13,45,49,-4,47
Dumbarton,56,9,7,10,19,28,60,-32,31
