team,n,rank,w,d,l,gf,ga,gd,pts
St. Pölten,5,9,8,11,17,38,61,-23,35
Mattersburg,5,10,8,7,21,32,56,-24,31
FC Salzburg,6,1,21,9,6,66,26,40,72
SK Sturm Gra,6,2,20,6,10,60,37,23,66
SC Rheindorf,6,3,19,6,11,56,40,16,63
Vienna,6,4,18,4,14,64,57,7,58
St. Pölten,6,5,14,8,14,46,54,-8,50
Rapid Vienna,6,6,12,10,14,53,45,8,46
RZ Pellets W,6,7,13,6,17,45,56,-11,45
Admira Wacke,6,8,12,8,16,39,57,-18,44
Mattersburg,6,9,8,7,21,34,61,-27,31
SV Josko Rie,6,10,9,4,23,29,59,-30,31
FC Salzburg,7,1,25,5,6,68,26,42,80
SC Rheindorf,7,2,20,8,8,62,40,22,68
SK Sturm Gra,7,3,18,5,13,55,40,15,59
Vienna,7,4,17,7,12,58,48,10,58
Rapid Vienna,7,5,15,11,10,57,38,19,56
RZ Pellets W,7,6,13,7,16,48,53,-5,46
Admira Wacke,7,7,11,7,18,28,54,-26,40
St. Pölten,7,8,10,9,17,47,63,-16,39
SV Josko Rie,7,9,9,4,23,29,59,-30,31
Mattersburg,7,10,7,7,22,34,65,-31,28
FC Salzburg,8,1,21,6,9,68,29,39,69
SK Sturm Gra,8,2,19,6,11,54,41,13,63
SC Rheindorf,8,3,19,6,11,53,44,9,63
Vienna,8,4,19,5,12,75,53,22,62
Rapid Vienna,8,5,13,10,13,53,42,11,49
RZ Pellets W,8,6,14,7,15,46,55,-9,49
St. Pölten,8,7,11,9,16,49,61,-12,42
Admira Wacke,8,8,11,6,19,33,63,-30,39
Mattersburg,8,9,9,10,17,35,51,-16,37
SV Josko Rie,8,10,9,5,22,34,61,-27,32
SC Rheindorf,9,1,20,8,8,62,39,23,68
SK Sturm Gra,9,2,21,5,10,57,34,23,68
FC Salzburg,9,3,20,7,9,61,31,30,67
Vienna,9,4,19,8,9,62,45,17,65
SV Josko Rie,9,5,12,5,19,40,58,-18,41
Rapid Vienna,9,6,10,10,16,44,44,0,40
RZ Pellets W,9,7,10,10,16,43,53,-10,40
St. Pölten,9,8,9,12,15,43,59,-16,39
Admira Wacke,9,9,11,6,19,30,59,-29,39
Mattersburg,9,10,8,9,19,39,59,-20,33
FC Salzburg,10,1,22,7,7,72,32,40,73
SC Rheindorf,10,2,20,7,9,58,42,16,67
Vienna,10,3,20,6,10,75,52,23,66
SK Sturm Gra,10,4,17,6,13,51,37,14,57
Rapid Vienna,10,5,13,12,11,53,38,15,51
RZ Pellets W,10,6,12,9,15,44,58,-14,45
St. Pölten,10,7,9,12,15,44,63,-19,39
SV Josko Rie,10,8,11,4,21,35,66,-31,37
Admira Wacke,10,9,9,8,19,34,59,-25,35
Mattersburg,10,10,7,9,20,40,59,-19,30
FC Salzburg,11,1,21,8,7,72,33,39,71
SC Rheindorf,11,2,19,7,10,58,46,12,64
Vienna,11,3,20,3,13,63,55,8,63
SK Sturm Gra,11,4,15,6,15,53,42,11,51
Rapid Vienna,11,5,13,10,13,55,37,18,49
RZ Pellets W,11,6,14,6,16,49,60,-11,48
Mattersburg,11,7,13,6,17,49,62,-13,45
St. Pölten,11,8,11,9,16,46,67,-21,42
Admira Wacke,11,9,11,8,17,38,60,-22,41
SV Josko Rie,11,10,8,7,21,40,61,-21,31
FC Salzburg,12,1,21,7,8,60,27,33,70
Vienna,12,2,22,3,11,67,47,20,69
SC Rheindorf,12,3,20,7,9,56,39,17,67
SK Sturm Gra,12,4,19,6,11,56,37,19,63
RZ Pellets W,12,5,16,4,16,51,54,-3,52
Rapid Vienna,12,6,12,12,12,50,39,11,48
Admira Wacke,12,7,13,6,17,40,57,-17,45
Mattersburg,12,8,9,8,19,39,63,-24,35
St. Pölten,12,9,7,10,19,42,66,-24,31
SV Josko Rie,12,10,7,5,24,33,65,-32,26
FC Salzburg,13,1,21,8,7,71,33,38,71
SC Rheindorf,13,2,19,8,9,54,38,16,65
Rapid Vienna,13,3,16,10,10,58,39,19,58
Vienna,13,4,18,4,14,63,50,13,58
SK Sturm Gra,13,5,16,7,13,55,42,13,55
RZ Pellets W,13,6,16,6,14,48,49,-1,54
Admira Wacke,13,7,12,8,16,33,53,-20,44
Mattersburg,13,8,10,6,20,39,57,-18,36
St. Pölten,13,9,8,10,18,40,67,-27,34
SV Josko Rie,13,10,9,3,24,28,61,-33,30
FC Salzburg,14,1,24,5,7,72,29,43,77
SC Rheindorf,14,2,21,6,9,62,37,25,69
SK Sturm Gra,14,3,18,5,13,60,44,16,59
Vienna,14,4,16,8,12,58,56,2,56
Admira Wacke,14,5,16,5,15,40,53,-13,53
Rapid Vienna,14,6,12,11,13,54,44,10,47
RZ Pellets W,14,7,13,7,16,42,53,-11,46
St. Pölten,14,8,9,10,17,43,59,-16,37
Mattersburg,14,9,8,7,21,34,58,-24,31
SV Josko Rie,14,10,9,4,23,26,58,-32,31
FC Salzburg,15,1,21,7,8,71,35,36,70
SC Rheindorf,15,2,19,5,12,62,51,11,62
SK Sturm Gra,15,3,17,5,14,57,39,18,56
Vienna,15,4,16,7,13,63,64,-1,55
Rapid Vienna,15,5,13,11,12,48,37,11,50
St. Pölten,15,6,12,11,13,49,56,-7,47
RZ Pellets W,15,7,12,8,16,48,60,-12,44
Admira Wacke,15,8,11,9,16,36,55,-19,42
SV Josko Rie,15,9,10,8,18,32,55,-23,38
Mattersburg,15,10,10,7,19,42,56,-14,37
FC Salzburg,16,1,23,8,5,70,23,47,77
SC Rheindorf,16,2,19,8,9,58,46,12,65
SK Sturm Gra,16,3,18,6,12,61,41,20,60
Vienna,16,4,16,9,11,59,47,12,57
Admira Wacke,16,5,13,8,15,34,48,-14,47
Rapid Vienna,16,6,10,11,15,48,48,0,41
Mattersburg,16,7,10,11,15,39,52,-13,41
RZ Pellets W,16,8,11,7,18,50,67,-17,40
St. Pölten,16,9,9,9,18,43,66,-23,36
SV Josko Rie,16,10,9,7,20,34,58,-24,34
FC Salzburg,17,1,26,6,4,76,27,49,84
SC Rheindorf,17,2,20,8,8,66,46,20,68
Vienna,17,3,20,4,12,67,53,14,64
SK Sturm Gra,17,4,16,8,12,55,40,15,56
Rapid Vienna,17,5,12,13,11,57,41,16,49
St. Pölten,17,6,11,10,15,47,56,-9,43
Admira Wacke,17,7,12,6,18,38,66,-28,42
RZ Pellets W,17,8,9,9,18,39,59,-20,36
Mattersburg,17,9,8,9,19,37,60,-23,33
SV Josko Rie,17,10,6,7,23,30,64,-34,25
FC Salzburg,18,1,24,6,6,70,28,42,78
Vienna,18,2,19,6,11,70,51,19,63
SC Rheindorf,18,3,18,9,9,51,41,10,63
SK Sturm Gra,18,4,14,9,13,54,43,11,51
St. Pölten,18,5,12,10,14,45,53,-8,46
Admira Wacke,18,6,12,9,15,38,52,-14,45
RZ Pellets W,18,7,12,7,17,46,59,-13,43
Rapid Vienna,18,8,9,13,14,47,47,0,40
SV Josko Rie,18,9,12,4,20,36,59,-23,40
Mattersburg,18,10,7,9,20,37,61,-24,30
FC Salzburg,19,1,21,6,9,72,34,38,69
SC Rheindorf,19,2,19,9,8,60,44,16,66
Vienna,19,3,19,5,12,63,52,11,62
SK Sturm Gra,19,4,17,9,10,56,39,17,60
Rapid Vienna,19,5,12,13,11,52,37,15,49
RZ Pellets W,19,6,14,6,16,50,57,-7,48
Mattersburg,19,7,13,5,18,45,56,-11,44
St. Pölten,19,8,10,8,18,46,65,-19,38
Admira Wacke,19,9,10,7,19,39,66,-27,37
SV Josko Rie,19,10,8,6,22,30,63,-33,30
FC Salzburg,20,1,23,6,7,67,28,39,75
SC Rheindorf,20,2,19,9,8,56,40,16,66
Vienna,20,3,20,4,12,63,46,17,64
SK Sturm Gra,20,4,17,6,13,55,42,13,57
RZ Pellets W,20,5,14,7,15,49,57,-8,49
Rapid Vienna,20,6,12,11,13,50,43,7,47
St. Pölten,20,7,12,9,15,40,53,-13,45
Admira Wacke,20,8,11,6,19,35,55,-20,39
Mattersburg,20,9,7,10,19,32,51,-19,31
SV Josko Rie,20,10,8,6,22,29,61,-32,30
FC Salzburg,21,1,23,7,6,76,28,48,76
Vienna,21,2,22,4,10,71,49,22,70
SC Rheindorf,21,3,18,10,8,58,42,16,64
SK Sturm Gra,21,4,17,6,13,51,40,11,57
Rapid Vienna,21,5,13,10,13,52,48,4,49
Admira Wacke,21,6,12,7,17,37,55,-18,43
RZ Pellets W,21,7,11,8,17,43,54,-11,41
SV Josko Rie,21,8,13,2,21,30,55,-25,41
St. Pölten,21,9,9,8,19,39,65,-26,35
Mattersburg,21,10,7,8,21,31,52,-21,29
FC Salzburg,22,1,22,7,7,69,26,43,73
SC Rheindorf,22,2,20,6,10,49,39,10,66
SK Sturm Gra,22,3,19,5,12,55,36,19,62
Vienna,22,4,17,5,14,68,60,8,56
Rapid Vienna,22,5,13,11,12,49,41,8,50
Admira Wacke,22,6,12,9,15,33,49,-16,45
St. Pölten,22,7,11,7,18,41,61,-20,40
Mattersburg,22,8,10,8,18,40,53,-13,38
SV Josko Rie,22,9,11,5,20,36,56,-20,38
RZ Pellets W,22,10,10,7,19,37,56,-19,37
FC Salzburg,23,1,19,11,6,63,32,31,68
Vienna,23,2,21,5,10,69,50,19,68
SC Rheindorf,23,3,18,9,9,53,41,12,63
SK Sturm Gra,23,4,17,7,12,55,40,15,58
Admira Wacke,23,5,13,7,16,35,51,-16,46
RZ Pellets W,23,6,13,6,17,47,55,-8,45
Rapid Vienna,23,7,11,11,14,50,41,9,44
St. Pölten,23,8,12,7,17,44,59,-15,43
SV Josko Rie,23,9,10,4,22,33,62,-29,34
Mattersburg,23,10,8,9,19,37,55,-18,33
FC Salzburg,24,1,22,8,6,71,35,36,74
SC Rheindorf,24,2,18,8,10,60,44,16,62
SK Sturm Gra,24,3,18,6,12,60,48,12,60
Vienna,24,4,17,8,11,72,54,18,59
Rapid Vienna,24,5,14,10,12,55,41,14,52
St. Pölten,24,6,11,11,14,42,55,-13,44
Admira Wacke,24,7,12,8,16,36,51,-15,44
RZ Pellets W,24,8,11,9,16,42,55,-13,42
Mattersburg,24,9,8,8,20,32,54,-22,32
SV Josko Rie,24,10,8,6,22,30,63,-33,30
SK Sturm Gra,25,1,22,4,10,60,33,27,70
FC Salzburg,25,2,21,6,9,67,33,34,69
SC Rheindorf,25,3,20,7,9,61,46,15,67
Vienna,25,4,18,8,10,64,49,15,62
RZ Pellets W,25,5,16,5,15,55,56,-1,53
Rapid Vienna,25,6,11,10,15,52,44,8,43
Admira Wacke,25,7,11,8,17,37,61,-24,41
Mattersburg,25,8,8,10,18,34,53,-19,34
SV Josko Rie,25,9,9,6,21,36,60,-24,33
St. Pölten,25,10,8,8,20,37,68,-31,32
FC Salzburg,26,1,23,8,5,69,29,40,77
SC Rheindorf,26,2,18,8,10,48,37,11,62
Vienna,26,3,17,7,12,58,47,11,58
SK Sturm Gra,26,4,15,8,13,46,36,10,53
Rapid Vienna,26,5,14,10,12,58,40,18,52
RZ Pellets W,26,6,13,6,17,52,58,-6,45
Admira Wacke,26,7,12,9,15,33,48,-15,45
St. Pölten,26,8,11,10,15,49,59,-10,43
SV Josko Rie,26,9,11,4,21,33,63,-30,37
Mattersburg,26,10,5,12,19,30,59,-29,27
SC Rheindorf,27,1,20,9,7,59,38,21,69
FC Salzburg,27,2,20,8,8,61,26,35,68
Vienna,27,3,21,5,10,63,44,19,68
SK Sturm Gra,27,4,17,8,11,52,38,14,59
Rapid Vienna,27,5,14,11,11,53,36,17,53
RZ Pellets W,27,6,12,9,15,46,54,-8,45
St. Pölten,27,7,10,11,15,42,57,-15,41
Admira Wacke,27,8,8,10,18,29,54,-25,34
SV Josko Rie,27,9,8,6,22,27,59,-32,30
Mattersburg,27,10,6,11,19,30,56,-26,29
SK Sturm Gra,28,1,21,7,8,65,33,32,70
FC Salzburg,28,2,21,6,9,69,33,36,69
SC Rheindorf,28,3,18,9,9,59,43,16,63
Vienna,28,4,20,3,13,66,57,9,63
St. Pölten,28,5,13,7,16,47,60,-13,46
Rapid Vienna,28,6,10,11,15,44,47,-3,41
RZ Pellets W,28,7,11,6,19,38,52,-14,39
Admira Wacke,28,8,11,6,19,27,51,-24,39
Mattersburg,28,9,9,11,16,41,54,-13,38
SV Josko Rie,28,10,11,4,21,34,60,-26,37
FC Salzburg,29,1,23,7,6,70,26,44,76
SC Rheindorf,29,2,18,8,10,57,44,13,62
Vienna,29,3,19,5,12,63,51,12,62
SK Sturm Gra,29,4,18,4,14,59,42,17,58
Rapid Vienna,29,5,11,16,9,52,40,12,49
Admira Wacke,29,6,12,7,17,36,55,-19,43
St. Pölten,29,7,10,11,15,46,63,-17,41
RZ Pellets W,29,8,11,7,18,51,68,-17,40
Mattersburg,29,9,8,10,18,40,59,-19,34
SV Josko Rie,29,10,9,7,20,32,58,-26,34
FC Salzburg,30,1,21,8,7,65,29,36,71
SC Rheindorf,30,2,17,10,9,50,40,10,61
SK Sturm Gra,30,3,18,6,12,57,41,16,60
Vienna,30,4,18,3,15,62,55,7,57
RZ Pellets W,30,5,16,7,13,54,58,-4,55
Rapid Vienna,30,6,13,11,12,57,39,18,50
Mattersburg,30,7,12,6,18,41,57,-16,42
Admira Wacke,30,8,12,4,20,41,64,-23,40
SV Josko Rie,30,9,10,5,21,36,57,-21,35
St. Pölten,30,10,8,10,18,43,66,-23,34
FC Salzburg,31,1,22,8,6,72,31,41,74
Vienna,31,2,20,3,13,72,54,18,63
SC Rheindorf,31,3,19,6,11,57,46,11,63
SK Sturm Gra,31,4,16,7,13,49,39,10,55
Rapid Vienna,31,5,13,13,10,55,39,16,52
Admira Wacke,31,6,12,9,15,37,52,-15,45
RZ Pellets W,31,7,12,8,16,41,51,-10,44
SV Josko Rie,31,8,12,3,21,38,57,-19,39
St. Pölten,31,9,9,9,18,43,71,-28,36
Mattersburg,31,10,8,8,20,35,59,-24,32
FC Salzburg,32,1,21,10,5,70,30,40,73
SC Rheindorf,32,2,19,7,10,56,41,15,64
Vienna,32,3,19,5,12,64,51,13,62
SK Sturm Gra,32,4,17,9,10,65,43,22,60
St. Pölten,32,5,13,11,12,50,55,-5,50
Rapid Vienna,32,6,11,12,13,51,43,8,45
Admira Wacke,32,7,10,8,18,36,63,-27,38
SV Josko Rie,32,7,12,2,22,36,63,-27,38
Mattersburg,32,9,10,6,20,36,57,-21,36
RZ Pellets W,32,10,8,10,18,41,59,-18,34
FC Salzburg,33,1,24,7,5,67,22,45,79
SC Rheindorf,33,2,21,7,8,61,42,19,70
Vienna,33,3,20,3,13,70,57,13,63
SK Sturm Gra,33,4,16,5,15,50,43,7,53
Rapid Vienna,33,5,13,12,11,50,35,15,51
RZ Pellets W,33,6,12,8,16,47,61,-14,44
St. Pölten,33,7,11,8,17,45,62,-17,41
Admira Wacke,33,8,12,5,19,39,59,-20,41
SV Josko Rie,33,9,11,4,21,36,62,-26,37
Mattersburg,33,10,7,7,22,39,61,-22,28
FC Salzburg,34,1,22,6,8,68,29,39,72
SC Rheindorf,34,2,19,9,8,50,39,11,66
SK Sturm Gra,34,3,17,7,12,54,43,11,58
Vienna,34,4,16,7,13,59,49,10,55
Rapid Vienna,34,5,13,12,11,48,34,14,51
RZ Pellets W,34,6,13,8,15,42,51,-9,47
Admira Wacke,34,7,11,8,17,35,56,-21,41
St. Pölten,34,8,10,10,16,41,56,-15,40
SV Josko Rie,34,9,11,3,22,34,60,-26,36
Mattersburg,34,10,8,10,18,36,50,-14,34
FC Salzburg,35,1,28,4,4,82,25,57,88
SK Sturm Gra,35,2,18,8,10,56,36,20,62
SC Rheindorf,35,3,18,8,10,57,44,13,62
Vienna,35,4,18,7,11,65,54,11,61
RZ Pellets W,35,5,12,11,13,44,49,-5,47
Rapid Vienna,35,6,12,10,14,54,44,10,46
St. Pölten,35,7,10,7,19,41,65,-24,37
Mattersburg,35,8,8,11,17,35,53,-18,35
Admira Wacke,35,9,9,6,21,33,68,-35,33
SV Josko Rie,35,10,8,6,22,32,61,-29,30
FC Salzburg,36,1,20,9,7,63,29,34,69
SC Rheindorf,36,2,20,7,9,65,45,20,67
Vienna,36,3,20,6,10,74,51,23,66
SK Sturm Gra,36,4,16,6,14,48,41,7,54
Rapid Vienna,36,5,14,10,12,52,39,13,52
RZ Pellets W,36,6,14,7,15,45,54,-9,49
Admira Wacke,36,7,12,7,17,35,55,-20,43
SV Josko Rie,36,8,11,6,19,40,58,-18,39
St. Pölten,36,9,9,9,18,44,69,-25,36
Mattersburg,36,10,6,9,21,38,63,-25,27
FC Salzburg,37,1,22,8,6,68,29,39,74
SK Sturm Gra,37,2,18,9,9,59,40,19,63
SC Rheindorf,37,3,19,6,11,57,46,11,63
Vienna,37,4,18,7,11,68,52,16,61
Rapid Vienna,37,5,14,9,13,53,41,12,51
Admira Wacke,37,6,11,12,13,43,55,-12,45
RZ Pellets W,37,7,11,11,14,47,57,-10,44
Mattersburg,37,8,11,7,18,39,53,-14,40
St. Pölten,37,9,7,11,18,38,62,-24,32
SV Josko Rie,37,10,7,4,25,27,64,-37,25
FC Salzburg,38,1,23,7,6,69,28,41,76
SC Rheindorf,38,2,19,7,10,57,45,12,64
Vienna,38,3,17,6,13,59,54,5,57
SK Sturm Gra,38,4,17,4,15,53,44,9,55
RZ Pellets W,38,5,16,5,15,52,54,-2,53
Rapid Vienna,38,6,13,8,15,54,47,7,47
SV Josko Rie,38,7,13,4,19,39,55,-16,43
Mattersburg,38,8,10,9,17,45,53,-8,39
Admira Wacke,38,9,10,9,17,31,51,-20,39
St. Pölten,38,10,7,11,18,34,62,-28,32
FC Salzburg,39,1,23,7,6,74,30,44,76
Vienna,39,2,20,6,10,72,50,22,66
SC Rheindorf,39,3,19,8,9,60,49,11,65
SK Sturm Gra,39,4,18,5,13,55,43,12,59
Rapid Vienna,39,5,16,10,10,59,41,18,58
RZ Pellets W,39,6,11,6,19,46,59,-13,39
SV Josko Rie,39,7,11,5,20,35,55,-20,38
St. Pölten,39,8,9,9,18,39,62,-23,36
Mattersburg,39,9,8,9,19,35,56,-21,33
Admira Wacke,39,10,8,9,19,29,59,-30,33
FC Salzburg,40,1,21,5,10,70,36,34,68
SC Rheindorf,40,2,20,8,8,56,38,18,68
SK Sturm Gra,40,3,19,6,11,62,37,25,63
Vienna,40,4,17,6,13,61,57,4,57
Rapid Vienna,40,5,12,12,12,53,44,9,48
RZ Pellets W,40,6,11,9,16,41,55,-14,42
St. Pölten,40,7,11,9,16,46,61,-15,42
Mattersburg,40,8,10,9,17,40,54,-14,39
SV Josko Rie,40,9,11,5,20,35,56,-21,38
Admira Wacke,40,10,10,7,19,39,65,-26,37
FC Salzburg,41,1,21,8,7,68,35,33,71
Vienna,41,2,20,5,11,64,46,18,65
SC Rheindorf,41,3,18,8,10,56,48,8,62
Rapid Vienna,41,4,14,11,11,61,38,23,53
SK Sturm Gra,41,5,15,5,16,53,41,12,50
RZ Pellets W,41,6,14,6,16,41,52,-11,48
Admira Wacke,41,7,12,7,17,32,54,-22,43
SV Josko Rie,41,8,12,4,20,36,54,-18,40
Mattersburg,41,9,10,8,18,38,55,-17,38
St. Pölten,41,10,8,10,18,40,66,-26,34
FC Salzburg,42,1,20,8,8,68,32,36,68
SC Rheindorf,42,2,18,10,8,50,36,14,64
Vienna,42,3,19,3,14,69,62,7,60
SK Sturm Gra,42,4,16,8,12,52,41,11,56
RZ Pellets W,42,5,15,7,14,49,51,-2,52
Rapid Vienna,42,6,13,11,12,56,42,14,50
Admira Wacke,42,7,13,5,18,45,63,-18,44
Mattersburg,42,8,11,9,16,47,52,-5,42
St. Pölten,42,9,10,8,18,39,68,-29,38
SV Josko Rie,42,10,8,5,23,26,54,-28,29
FC Salzburg,43,1,23,5,8,75,35,40,74
SC Rheindorf,43,2,21,6,9,61,43,18,69
SK Sturm Gra,43,3,20,6,10,58,34,24,66
Vienna,43,4,18,6,12,69,58,11,60
Rapid Vienna,43,5,13,12,11,52,38,14,51
RZ Pellets W,43,6,12,8,16,42,53,-11,44
Admira Wacke,43,7,12,7,17,39,54,-15,43
St. Pölten,43,8,10,7,19,45,69,-24,37
Mattersburg,43,9,8,7,21,36,62,-26,31
SV Josko Rie,43,10,9,4,23,34,65,-31,31
FC Salzburg,44,1,22,8,6,68,31,37,74
SC Rheindorf,44,2,20,8,8,55,37,18,68
SK Sturm Gra,44,3,19,5,12,54,37,17,62
Vienna,44,4,19,3,14,67,49,18,60
RZ Pellets W,44,5,15,6,15,53,53,0,51
Rapid Vienna,44,6,10,13,13,50,40,10,43
SV Josko Rie,44,7,12,6,18,34,52,-18,42
Admira Wacke,44,8,11,7,18,33,57,-24,40
Mattersburg,44,9,8,8,20,37,60,-23,32
St. Pölten,44,10,7,10,19,39,74,-35,31
FC Salzburg,45,1,23,6,7,77,31,46,75
SK Sturm Gra,45,2,19,5,12,55,38,17,62
SC Rheindorf,45,3,17,8,11,57,48,9,59
Vienna,45,4,17,6,13,57,55,2,57
RZ Pellets W,45,5,16,5,15,51,51,0,53
Rapid Vienna,45,6,13,11,12,56,42,14,50
St. Pölten,45,7,13,8,15,44,59,-15,47
Admira Wacke,45,8,10,8,18,36,64,-28,38
Mattersburg,45,9,8,10,18,39,55,-16,34
SV Josko Rie,45,10,7,7,22,29,58,-29,28
SC Rheindorf,46,1,24,5,7,61,35,26,77
Vienna,46,2,21,5,10,77,50,27,68
FC Salzburg,46,3,19,10,7,65,34,31,67
Rapid Vienna,46,4,15,11,10,58,40,18,56
SK Sturm Gra,46,5,15,7,14,54,43,11,52
RZ Pellets W,46,6,11,8,17,45,62,-17,41
St. Pölten,46,7,11,8,17,41,61,-20,41
Admira Wacke,46,8,11,7,18,34,54,-20,40
Mattersburg,46,9,8,7,21,28,53,-25,31
SV Josko Rie,46,10,7,8,21,28,59,-31,29
Vienna,47,1,23,3,10,78,51,27,72
FC Salzburg,47,2,21,8,7,69,35,34,71
SC Rheindorf,47,3,19,9,8,53,36,17,66
SK Sturm Gra,47,4,16,8,12,54,42,12,56
Rapid Vienna,47,5,13,9,14,61,45,16,48
RZ Pellets W,47,6,12,9,15,46,58,-12,45
Admira Wacke,47,7,12,6,18,40,62,-22,42
St. Pölten,47,8,8,12,16,42,65,-23,36
Mattersburg,47,9,8,9,19,38,59,-21,33
SV Josko Rie,47,10,9,5,22,33,61,-28,32
FC Salzburg,48,1,21,6,9,68,32,36,69
SC Rheindorf,48,2,19,6,11,57,44,13,63
Vienna,48,3,16,7,13,69,55,14,55
Rapid Vienna,48,4,14,10,12,54,43,11,52
SK Sturm Gra,48,5,15,7,14,52,44,8,52
St. Pölten,48,6,13,7,16,45,61,-16,46
RZ Pellets W,48,7,12,8,16,46,54,-8,44
Admira Wacke,48,8,12,8,16,31,52,-21,44
Mattersburg,48,9,10,11,15,33,47,-14,41
SV Josko Rie,48,10,10,6,20,34,57,-23,36
FC Salzburg,49,1,22,7,7,70,31,39,73
SC Rheindorf,49,2,20,8,8,58,40,18,68
Vienna,49,3,20,5,11,68,50,18,65
SK Sturm Gra,49,4,18,7,11,62,42,20,61
Rapid Vienna,49,5,12,10,14,50,45,5,46
St. Pölten,49,6,12,7,17,42,62,-20,43
Mattersburg,49,7,11,8,17,47,54,-7,41
Admira Wacke,49,8,11,8,17,37,57,-20,41
RZ Pellets W,49,9,11,4,21,46,62,-16,37
SV Josko Rie,49,10,9,4,23,28,65,-37,31
SC Rheindorf,50,1,22,6,8,62,41,21,72
FC Salzburg,50,2,20,8,8,70,36,34,68
Vienna,50,3,18,7,11,67,47,20,61
SK Sturm Gra,50,4,17,5,14,57,41,16,56
Rapid Vienna,50,5,13,11,12,51,41,10,50
RZ Pellets W,50,6,14,5,17,45,58,-13,47
St. Pölten,50,7,10,10,16,45,65,-20,40
Admira Wacke,50,8,11,7,18,44,64,-20,40
Mattersburg,50,9,11,6,19,37,53,-16,39
SV Josko Rie,50,10,9,5,22,31,63,-32,32
FC Salzburg,51,1,24,7,5,72,28,44,79
Vienna,51,2,21,4,11,72,46,26,67
SK Sturm Gra,51,3,19,5,12,57,37,20,62
SC Rheindorf,51,4,16,7,13,49,44,5,55
Rapid Vienna,51,5,13,11,12,50,38,12,50
St. Pölten,51,6,11,11,14,46,61,-15,44
Admira Wacke,51,7,10,10,16,33,52,-19,40
RZ Pellets W,51,8,10,9,17,44,62,-18,39
Mattersburg,51,9,8,11,17,40,55,-15,35
SV Josko Rie,51,10,8,5,23,26,66,-40,29
FC Salzburg,52,1,22,5,9,72,36,36,71
SC Rheindorf,52,2,18,9,9,47,37,10,63
Vienna,52,3,18,2,16,59,53,6,56
SK Sturm Gra,52,4,16,7,13,54,47,7,55
