team,n,rank,w,d,l,gf,ga,gd,pts
Stranraer,8,5,16,5,15,58,65,-7,53
Airdrieon,8,6,11,11,14,48,59,-11,44
East Fife,8,7,13,3,20,48,67,-19,42
Forfar,8,8,10,5,21,39,67,-28,35
Albion,8,9,8,7,21,58,79,-21,31
Queen's Park,8,10,6,11,19,39,72,-33,29
Ayr,9,1,24,4,8,99,42,57,76
Raith,9,2,22,9,5,71,35,36,75
Alloa,9,3,17,9,10,59,46,13,60
Arbroath,9,4,17,8,11,71,50,21,59
Stranraer,9,5,16,5,15,59,65,-6,53
Airdrieon,9,6,10,12,14,46,59,-13,42
East Fife,9,7,13,3,20,48,68,-20,42
Forfar,9,8,10,6,20,39,65,-26,36
Queen's Park,9,9,7,10,19,41,73,-32,31
Albion,9,10,8,6,22,57,87,-30,30
Ayr,10,1,24,4,8,93,43,50,76
Raith,10,2,22,9,5,68,32,36,75
Alloa,10,3,17,9,10,56,43,13,60
Arbroath,10,4,17,8,11,70,51,19,59
Stranraer,10,5,15,5,16,58,69,-11,50
East Fife,10,6,14,3,19,52,67,-15,45
Airdrieon,10,7,11,11,14,48,58,-10,44
Forfar,10,8,10,5,21,38,67,-29,35
Queen's Park,10,9,7,10,19,42,72,-30,31
Albion,10,10,8,6,22,58,81,-23,30
Raith,11,1,23,8,5,70,33,37,77
Ayr,11,2,24,4,8,97,43,54,76
Arbroath,11,3,18,8,10,71,48,23,62
Alloa,11,4,17,8,11,57,45,12,59
Stranraer,11,5,16,5,15,56,64,-8,53
Airdrieon,11,6,11,11,14,46,58,-12,44
East Fife,11,7,13,3,20,47,65,-18,42
Forfar,11,8,10,5,21,38,65,-27,35
Albion,11,9,8,6,22,58,85,-27,30
Queen's Park,11,10,6,10,20,39,73,-34,28
Raith,12,1,23,8,5,71,32,39,77
Ayr,12,2,24,4,8,92,43,49,76
Arbroath,12,3,18,8,10,77,49,28,62
Alloa,12,4,17,8,11,56,46,10,59
Stranraer,12,5,15,5,16,55,65,-10,50
East Fife,12,6,14,3,19,48,64,-16,45
Airdrieon,12,7,10,11,15,46,60,-14,41
Forfar,12,8,11,5,20,40,65,-25,38
Albion,12,9,8,6,22,58,80,-22,30
Queen's Park,12,10,6,10,20,40,79,-39,28
Ayr,13,1,24,4,8,92,42,50,76
Raith,13,2,22,9,5,69,33,36,75
Arbroath,13,3,17,9,10,72,50,22,60
Alloa,13,4,17,9,10,57,44,13,60
Stranraer,13,5,16,5,15,60,65,-5,53
Airdrieon,13,6,11,11,14,46,58,-12,44
East Fife,13,7,13,3,20,48,69,-21,42
Forfar,13,8,10,5,21,38,65,-27,35
Albion,13,9,8,6,22,57,80,-23,30
Queen's Park,13,10,6,11,19,41,74,-33,29
Ayr,14,1,24,4,8,95,43,52,76
Raith,14,2,22,8,6,69,34,35,74
Alloa,14,3,18,8,10,58,44,14,62
Arbroath,14,4,17,8,11,70,49,21,59
Stranraer,14,5,15,6,15,55,64,-9,51
Airdrieon,14,6,11,11,14,46,58,-12,44
East Fife,14,7,13,4,19,47,64,-17,43
Forfar,14,8,10,5,21,38,65,-27,35
Queen's Park,14,9,7,10,19,40,72,-32,31
Albion,14,10,8,6,22,58,83,-25,30
Raith,15,1,23,8,5,69,32,37,77
Ayr,15,2,24,4,8,93,43,50,76
Arbroath,15,3,17,8,11,70,51,19,59
Alloa,15,4,17,8,11,56,44,12,59
Stranraer,15,5,15,5,16,55,66,-11,50
East Fife,15,6,14,3,19,49,64,-15,45
Airdrieon,15,7,11,11,14,48,58,-10,44
Forfar,15,8,10,5,21,38,67,-29,35
Queen's Park,15,9,7,10,19,42,72,-30,31
Albion,15,10,8,6,22,58,81,-23,30
Ayr,16,1,24,4,8,93,43,50,76
Raith,16,2,22,9,5,68,32,36,75
Alloa,16,3,17,9,10,56,43,13,60
Arbroath,16,4,17,8,11,70,49,21,59
Stranraer,16,5,16,5,15,58,66,-8,53
Airdrieon,16,6,11,11,14,46,58,-12,44
East Fife,16,7,13,3,20,49,67,-18,42
Forfar,16,8,10,5,21,38,65,-27,35
Queen's Park,16,9,7,10,19,40,72,-32,31
Albion,16,10,8,6,22,58,81,-23,30
Raith,17,1,23,8,5,70,32,38,77
Ayr,17,2,23,4,9,90,44,46,73
Arbroath,17,3,18,8,10,73,50,23,62
Alloa,17,4,17,8,11,56,45,11,59
Stranraer,17,5,15,6,15,56,65,-9,51
East Fife,17,6,13,4,19,48,65,-17,43
Airdrieon,17,7,10,12,14,46,59,-13,42
Forfar,17,8,10,6,20,39,65,-26,36
Albion,17,9,9,6,21,59,78,-19,33
Queen's Park,17,10,6,10,20,41,75,-34,28
Ayr,18,1,23,5,8,92,44,48,74
Raith,18,2,22,8,6,69,34,35,74
Alloa,18,3,18,8,10,58,44,14,62
Arbroath,18,4,17,8,11,71,51,20,59
Stranraer,18,5,15,6,15,56,65,-9,51
Airdrieon,18,6,11,11,14,47,59,-12,44
East Fife,18,7,13,4,19,48,65,-17,43
Forfar,18,8,10,5,21,39,66,-27,35
Albion,18,9,8,7,21,59,80,-21,31
Queen's Park,18,10,7,10,19,42,73,-31,31
Raith,19,1,23,8,5,69,32,37,77
Ayr,19,2,24,4,8,94,42,52,76
Arbroath,19,3,18,8,10,76,50,26,62
Alloa,19,4,17,8,11,56,44,12,59
Stranraer,19,5,15,5,16,55,65,-10,50
East Fife,19,6,14,3,19,48,64,-16,45
Airdrieon,19,7,11,11,14,49,59,-10,44
Forfar,19,8,10,5,21,39,68,-29,35
Albion,19,9,8,6,22,57,82,-25,30
Queen's Park,19,10,6,10,20,41,78,-37,28
Ayr,20,1,23,5,8,91,43,48,74
Raith,20,2,22,8,6,69,35,34,74
Alloa,20,3,18,8,10,59,44,15,62
Arbroath,20,4,17,8,11,71,50,21,59
Stranraer,20,5,15,5,16,57,70,-13,50
East Fife,20,6,14,3,19,53,66,-13,45
Airdrieon,20,7,10,12,14,45,58,-13,42
Forfar,20,8,10,6,20,38,64,-26,36
Albion,20,9,8,7,21,58,79,-21,31
Queen's Park,20,10,7,10,19,41,73,-32,31
Ayr,21,1,23,5,8,90,42,48,74
Raith,21,2,22,8,6,69,34,35,74
Alloa,21,3,18,8,10,58,44,14,62
Arbroath,21,4,17,8,11,71,53,18,59
Stranraer,21,5,15,6,15,56,65,-9,51
Airdrieon,21,6,11,11,14,47,58,-11,44
East Fife,21,7,13,4,19,48,65,-17,43
Forfar,21,8,10,5,21,38,66,-28,35
Albion,21,9,8,7,21,57,78,-21,31
Queen's Park,21,10,7,10,19,44,73,-29,31
Raith,22,1,23,8,5,70,32,38,77
Ayr,22,2,24,4,8,94,44,50,76
Arbroath,22,3,18,8,10,73,50,23,62
Alloa,22,4,17,8,11,56,45,11,59
Stranraer,22,5,16,5,15,58,64,-6,53
Airdrieon,22,6,11,11,14,48,59,-11,44
East Fife,22,7,13,3,20,47,67,-20,42
Forfar,22,8,10,5,21,39,67,-28,35
Albion,22,9,8,6,22,59,82,-23,30
Queen's Park,22,10,6,10,20,41,75,-34,28
Raith,23,1,23,8,5,72,34,38,77
Ayr,23,2,24,4,8,92,43,49,76
Arbroath,23,3,18,8,10,73,50,23,62
Alloa,23,4,17,8,11,58,47,11,59
Stranraer,23,5,15,5,16,56,67,-11,50
East Fife,23,6,14,3,19,50,65,-15,45
Airdrieon,23,7,11,11,14,47,59,-12,44
Forfar,23,8,10,5,21,39,66,-27,35
Albion,23,9,8,6,22,58,80,-22,30
Queen's Park,23,10,6,10,20,41,75,-34,28
Raith,24,1,23,8,5,72,33,39,77
Ayr,24,2,24,4,8,92,43,49,76
Arbroath,24,3,18,8,10,73,50,23,62
Alloa,24,4,17,8,11,57,47,10,59
Stranraer,24,5,16,5,15,57,64,-7,53
Airdrieon,24,6,10,12,14,48,61,-13,42
East Fife,24,7,13,3,20,47,66,-19,42
Forfar,24,8,10,6,20,41,67,-26,36
Albion,24,9,8,6,22,58,80,-22,30
Queen's Park,24,10,6,10,20,41,75,-34,28
Raith,25,1,23,8,5,70,33,37,77
Ayr,25,2,24,4,8,94,42,52,76
Arbroath,25,3,17,9,10,72,50,22,60
Alloa,25,4,17,8,11,57,45,12,59
Stranraer,25,5,15,5,16,58,68,-10,50
East Fife,25,6,14,3,19,51,67,-16,45
Airdrieon,25,7,10,11,15,45,60,-15,41
Forfar,25,8,11,5,20,40,64,-24,38
Albion,25,9,8,6,22,57,82,-25,30
Queen's Park,25,10,6,11,19,41,74,-33,29
Ayr,26,1,23,5,8,91,43,48,74
Raith,26,2,22,8,6,68,33,35,74
Arbroath,26,3,18,8,10,72,48,24,62
Alloa,26,4,18,8,10,57,43,14,62
Stranraer,26,5,15,5,16,55,67,-12,50
East Fife,26,6,14,3,19,50,64,-14,45
Airdrieon,26,7,10,11,15,47,61,-14,41
Forfar,26,8,11,5,20,41,66,-25,38
Albion,26,9,8,7,21,58,79,-21,31
Queen's Park,26,10,6,10,20,39,74,-35,28
Raith,27,1,22,9,5,70,34,36,75
Ayr,27,2,23,5,8,93,45,48,74
Arbroath,27,3,18,8,10,72,49,23,62
Alloa,27,4,17,9,10,58,45,13,60
Stranraer,27,5,15,5,16,55,66,-11,50
East Fife,27,6,14,3,19,49,64,-15,45
Airdrieon,27,7,10,11,15,45,59,-14,41
Forfar,27,8,11,5,20,39,64,-25,38
Albion,27,9,8,7,21,60,81,-21,31
Queen's Park,27,10,6,10,20,40,74,-34,28
Raith,28,1,23,8,5,71,33,38,77
Ayr,28,2,24,4,8,94,43,51,76
Arbroath,28,3,18,8,10,74,50,24,62
Alloa,28,4,17,8,11,57,46,11,59
Stranraer,28,5,15,5,16,57,67,-10,50
East Fife,28,6,14,3,19,50,66,-16,45
Airdrieon,28,7,11,11,14,47,58,-11,44
Forfar,28,8,10,5,21,38,66,-28,35
Albion,28,9,8,6,22,58,82,-24,30
Queen's Park,28,10,6,10,20,41,76,-35,28
Ayr,29,1,23,5,8,91,43,48,74
Raith,29,2,22,8,6,68,33,35,74
Alloa,29,3,18,8,10,57,43,14,62
Arbroath,29,4,17,8,11,71,51,20,59
Stranraer,29,5,16,5,15,56,64,-8,53
Airdrieon,29,6,11,11,14,46,58,-12,44
East Fife,29,7,13,3,20,47,65,-18,42
Forfar,29,8,10,5,21,38,65,-27,35
Albion,29,9,8,7,21,58,79,-21,31
Queen's Park,29,10,7,10,19,42,73,-31,31
Raith,30,1,23,8,5,71,34,37,77
Ayr,30,2,23,4,9,91,44,47,73
Arbroath,30,3,17,8,11,71,52,19,59
Alloa,30,4,17,8,11,58,46,12,59
Stranraer,30,5,15,5,16,55,66,-11,50
East Fife,30,6,14,3,19,49,64,-15,45
Airdrieon,30,7,11,11,14,47,58,-11,44
Forfar,30,8,10,5,21,38,66,-28,35
Albion,30,9,9,6,21,59,79,-20,33
Queen's Park,30,10,7,10,19,43,73,-30,31
Ayr,31,1,24,4,8,91,42,49,76
Raith,31,2,22,9,5,69,33,36,75
Alloa,31,3,17,9,10,57,44,13,60
Arbroath,31,4,17,8,11,71,51,20,59
Stranraer,31,5,15,6,15,56,65,-9,51
Airdrieon,31,6,11,11,14,48,58,-10,44
East Fife,31,7,13,4,19,48,65,-17,43
Forfar,31,8,10,5,21,38,67,-29,35
Queen's Park,31,9,7,10,19,42,73,-31,31
Albion,31,10,8,6,22,57,79,-22,30
Raith,32,1,23,8,5,69,32,37,77
Ayr,32,2,24,4,8,94,44,50,76
Arbroath,32,3,17,8,11,73,52,21,59
Alloa,32,4,17,8,11,56,44,12,59
Stranraer,32,5,15,6,15,55,64,-9,51
Airdrieon,32,6,11,11,14,47,59,-12,44
East Fife,32,7,13,4,19,47,64,-17,43
Forfar,32,8,10,5,21,39,66,-27,35
Queen's Park,32,9,7,10,19,43,75,-32,31
Albion,32,10,8,6,22,59,82,-23,30
Ayr,33,1,24,4,8,94,42,52,76
Raith,33,2,22,9,5,68,32,36,75
Alloa,33,3,17,9,10,56,43,13,60
Arbroath,33,4,17,8,11,70,49,21,59
Stranraer,33,5,15,5,16,58,68,-10,50
East Fife,33,6,14,3,19,51,67,-16,45
Airdrieon,33,7,10,12,14,46,59,-13,42
Forfar,33,8,10,6,20,39,65,-26,36
Queen's Park,33,9,7,10,19,40,72,-32,31
Albion,33,10,8,6,22,57,82,-25,30
Raith,34,1,23,8,5,69,32,37,77
Ayr,34,2,24,4,8,95,42,53,76
Arbroath,34,3,18,8,10,72,49,23,62
Alloa,34,4,17,8,11,56,44,12,59
Stranraer,34,5,15,6,15,56,65,-9,51
Airdrieon,34,6,11,11,14,47,59,-12,44
East Fife,34,7,13,4,19,48,65,-17,43
Forfar,34,8,10,5,21,39,66,-27,35
Albion,34,9,8,6,22,57,83,-26,30
Queen's Park,34,10,6,10,20,40,74,-34,28
Ayr,35,1,24,4,8,92,42,50,76
Raith,35,2,22,9,5,69,33,36,75
Alloa,35,3,17,9,10,57,44,13,60
Arbroath,35,4,17,8,11,72,52,20,59
Stranraer,35,5,15,5,16,57,67,-10,50
East Fife,35,6,14,3,19,50,66,-16,45
Airdrieon,35,7,10,12,14,45,58,-13,42
Forfar,35,8,10,6,20,38,64,-26,36
Queen's Park,35,9,7,10,19,43,74,-31,31
Albion,35,10,8,6,22,57,80,-23,30
Raith,36,1,23,8,5,71,33,38,77
Ayr,36,2,24,4,8,94,42,52,76
Arbroath,36,3,18,8,10,71,48,23,62
Alloa,36,4,17,8,11,57,46,11,59
Stranraer,36,5,15,5,16,55,66,-11,50
East Fife,36,6,14,3,19,49,64,-15,45
Airdrieon,36,7,11,11,14,46,58,-12,44
Forfar,36,8,10,5,21,38,65,-27,35
Albion,36,9,8,6,22,57,82,-25,30
Queen's Park,36,10,6,10,20,39,73,-34,28
Raith,37,1,23,8,5,71,33,38,77
Ayr,37,2,23,5,8,92,44,48,74
Arbroath,37,3,17,8,11,70,51,19,59
Alloa,37,4,17,8,11,57,46,11,59
Stranraer,37,5,15,5,16,55,66,-11,50
East Fife,37,6,14,3,19,49,64,-15,45
Airdrieon,37,7,10,11,15,46,60,-14,41
Forfar,37,8,11,5,20,40,65,-25,38
Albion,37,9,8,7,21,59,80,-21,31
Queen's Park,37,10,7,10,19,42,72,-30,31
Ayr,38,1,24,4,8,91,42,49,76
Raith,38,2,22,8,6,69,34,35,74
Alloa,38,3,18,8,10,58,44,14,62
Arbroath,38,4,17,9,10,71,49,22,60
Stranraer,38,5,16,5,15,58,64,-6,53
Airdrieon,38,6,10,12,14,46,59,-13,42
East Fife,38,7,13,3,20,47,67,-20,42
Forfar,38,8,10,6,20,39,65,-26,36
Albion,38,9,8,6,22,57,79,-22,30
Queen's Park,38,10,6,11,19,40,73,-33,29
Raith,39,1,23,8,5,69,32,37,77
Ayr,39,2,24,4,8,95,46,49,76
Arbroath,39,3,18,8,10,72,49,23,62
Alloa,39,4,17,8,11,56,44,12,59
Stranraer,39,5,16,5,15,59,65,-6,53
Airdrieon,39,6,11,11,14,46,58,-12,44
East Fife,39,7,13,3,20,48,68,-20,42
Forfar,39,8,10,5,21,38,65,-27,35
Albion,39,9,8,6,22,61,83,-22,30
Queen's Park,39,10,6,10,20,40,74,-34,28
Ayr,40,1,24,4,8,95,43,52,76
Raith,40,2,22,9,5,69,33,36,75
Alloa,40,3,17,9,10,57,44,13,60
Arbroath,40,4,17,8,11,71,52,19,59
Stranraer,40,5,15,5,16,56,66,-10,50
East Fife,40,6,14,3,19,49,65,-16,45
Airdrieon,40,7,11,11,14,49,61,-12,44
Forfar,40,8,10,5,21,41,68,-27,35
Queen's Park,40,9,7,10,19,43,73,-30,31
Albion,40,10,8,6,22,58,83,-25,30
Raith,41,1,23,8,5,69,32,37,77
Ayr,41,2,24,4,8,98,43,55,76
Arbroath,41,3,18,8,10,71,48,23,62
Alloa,41,4,17,8,11,56,44,12,59
Stranraer,41,5,15,5,16,56,67,-11,50
East Fife,41,6,14,3,19,50,65,-15,45
Airdrieon,41,7,10,12,14,47,60,-13,42
Forfar,41,8,10,6,20,40,66,-26,36
Albion,41,9,8,6,22,58,86,-28,30
Queen's Park,41,10,6,10,20,39,73,-34,28
Ayr,42,1,24,4,8,92,43,49,76
Raith,42,2,22,8,6,70,35,35,74
Arbroath,42,3,18,8,10,71,48,23,62
Alloa,42,4,18,8,10,59,45,14,62
Stranraer,42,5,15,6,15,56,65,-9,51
Airdrieon,42,6,11,11,14,49,58,-9,44
East Fife,42,7,13,4,19,48,65,-17,43
Forfar,42,8,10,5,21,38,68,-30,35
Albion,42,9,8,6,22,58,80,-22,30
Queen's Park,42,10,6,10,20,39,73,-34,28
Ayr,43,1,24,4,8,94,44,50,76
Raith,43,2,22,8,6,68,33,35,74
Alloa,43,3,18,8,10,57,43,14,62
Arbroath,43,4,17,8,11,71,50,21,59
Stranraer,43,5,15,5,16,56,66,-10,50
East Fife,43,6,14,3,19,49,65,-16,45
Airdrieon,43,7,10,11,15,46,62,-16,41
Forfar,43,8,11,5,20,42,65,-23,38
Queen's Park,43,9,7,10,19,41,73,-32,31
Albion,43,10,8,6,22,59,82,-23,30
Ayr,44,1,24,4,8,92,42,50,76
Raith,44,2,22,9,5,69,33,36,75
Alloa,44,3,17,9,10,57,44,13,60
Arbroath,44,4,17,8,11,71,51,20,59
Stranraer,44,5,15,5,16,55,65,-10,50
East Fife,44,6,14,3,19,48,64,-16,45
Airdrieon,44,7,11,11,14,47,59,-12,44
Forfar,44,8,10,5,21,39,66,-27,35
Queen's Park,44,9,7,10,19,42,73,-31,31
Albion,44,10,8,6,22,57,80,-23,30
Ayr,45,1,24,4,8,92,42,50,76
Raith,45,2,22,8,6,68,33,35,74
Alloa,45,3,18,8,10,57,43,14,62
Arbroath,45,4,17,8,11,71,51,20,59
Stranraer,45,5,15,6,15,56,65,-9,51
Airdrieon,45,6,11,11,14,46,58,-12,44
East Fife,45,7,13,4,19,48,65,-17,43
Forfar,45,8,10,5,21,38,65,-27,35
Queen's Park,45,9,7,10,19,42,73,-31,31
Albion,45,10,8,6,22,57,80,-23,30
Ayr,46,1,24,4,8,93,43,50,76
Raith,46,2,22,8,6,68,33,35,74
Arbroath,46,3,18,8,10,75,49,26,62
Alloa,46,4,18,8,10,57,43,14,62
Stranraer,46,5,15,5,16,55,69,-14,50
East Fife,46,6,14,3,19,52,64,-12,45
Airdrieon,46,7,11,11,14,48,60,-12,44
Forfar,46,8,10,5,21,40,67,-27,35
Albion,46,9,8,6,22,58,81,-23,30
Queen's Park,46,10,6,10,20,40,77,-37,28
Ayr,47,1,24,4,8,95,45,50,76
Raith,47,2,22,8,6,68,33,35,74
Arbroath,47,3,18,8,10,74,50,24,62
Alloa,47,4,18,8,10,57,43,14,62
Stranraer,47,5,15,6,15,55,64,-9,51
East Fife,47,6,13,4,19,47,64,-17,43
Airdrieon,47,7,10,11,15,46,61,-15,41
Forfar,47,8,11,5,20,41,65,-24,38
Albion,47,9,8,6,22,60,83,-23,30
Queen's Park,47,10,6,10,20,41,76,-35,28
Raith,48,1,23,8,5,71,34,37,77
Ayr,48,2,23,5,8,92,44,48,74
Arbroath,48,3,17,8,11,72,51,21,59
Alloa,48,4,17,8,11,58,46,12,59
Stranraer,48,5,16,5,15,59,66,-7,53
Airdrieon,48,6,10,12,14,45,58,-13,42
East Fife,48,7,13,3,20,49,68,-19,42
Forfar,48,8,10,6,20,38,64,-26,36
Albion,48,9,8,7,21,59,80,-21,31
Queen's Park,48,10,7,10,19,42,74,-32,31
Raith,49,1,23,8,5,69,32,37,77
Ayr,49,2,24,4,8,93,43,50,76
Arbroath,49,3,18,8,10,71,48,23,62
Alloa,49,4,17,8,11,56,44,12,59
Stranraer,49,5,15,6,15,58,67,-9,51
East Fife,49,6,13,4,19,50,67,-17,43
Airdrieon,49,7,10,12,14,48,61,-13,42
Forfar,49,8,10,6,20,41,67,-26,36
Albion,49,9,8,6,22,58,81,-23,30
Queen's Park,49,10,6,10,20,39,73,-34,28
Raith,50,1,23,8,5,70,32,38,77
Ayr,50,2,24,4,8,96,42,54,76
Arbroath,50,3,18,8,10,73,50,23,62
Alloa,50,4,17,8,11,56,45,11,59
Stranraer,50,5,15,5,16,57,69,-12,50
East Fife,50,6,14,3,19,52,66,-14,45
Airdrieon,50,7,10,12,14,46,59,-13,42
Forfar,50,8,10,6,20,39,65,-26,36
Albion,50,9,8,6,22,57,84,-27,30
Queen's Park,50,10,6,10,20,41,75,-34,28
Raith,51,1,23,8,5,72,35,37,77
Ayr,51,2,24,4,8,92,43,49,76
Arbroath,51,3,17,8,11,71,50,21,59
Alloa,51,4,17,8,11,59,47,12,59
Stranraer,51,5,15,5,16,55,68,-13,50
East Fife,51,6,14,3,19,51,64,-13,45
Airdrieon,51,7,11,11,14,46,58,-12,44
Forfar,51,8,10,5,21,38,65,-27,35
Queen's Park,51,9,7,10,19,41,73,-32,31
Albion,51,10,8,6,22,58,80,-22,30
Ayr,52,1,24,4,8,95,44,51,76
Raith,52,2,22,8,6,69,34,35,74
Arbroath,52,3,18,8,10,73,48,25,62
Alloa,52,4,18,8,10,58,44,14,62
Stranraer,52,5,15,5,16,55,67,-12,50
East Fife,52,6,14,3,19,50,64,-14,45
Airdrieon,52,7,10,11,15,47,61,-14,41
Forfar,52,8,11,5,20,41,66,-25,38
Albion,52,9,8,6,22,59,83,-24,30
Queen's Park,52,10,6,10,20,39,75,-36,28
Ayr,53,1,24,4,8,97,43,54,76
Raith,53,2,22,9,5,70,34,36,75
Arbroath,53,3,17,9,10,72,50,22,60
Alloa,53,4,17,9,10,58,45,13,60
Stranraer,53,5,15,5,16,55,66,-11,50
East Fife,53,6,14,3,19,49,64,-15,45
Airdrieon,53,7,10,12,14,47,60,-13,42
Forfar,53,8,10,6,20,40,66,-26,36
Albion,53,9,8,6,22,58,85,-27,30
Queen's Park,53,10,6,11,19,41,74,-33,29
Ayr,54,1,24,4,8,95,44,51,76
Raith,54,2,22,9,5,70,34,36,75
Arbroath,54,3,17,9,10,71,49,22,60
Alloa,54,4,17,9,10,58,45,13,60
Stranraer,54,5,15,6,15,57,66,-9,51
Airdrieon,54,6,11,11,14,49,59,-10,44
East Fife,54,7,13,4,19,49,66,-17,43
Forfar,54,8,10,5,21,39,68,-29,35
Albion,54,9,8,6,22,59,83,-24,30
Queen's Park,54,10,6,11,19,40,73,-33,29
Raith,55,1,23,8,5,70,33,37,77
Ayr,55,2,23,5,8,90,42,48,74
Arbroath,55,3,17,9,10,72,50,22,60
Alloa,55,4,17,8,11,57,45,12,59
Stranraer,55,5,16,5,15,58,65,-7,53
Airdrieon,55,6,10,12,14,46,59,-13,42
East Fife,55,7,13,3,20,48,67,-19,42
Forfar,55,8,10,6,20,39,65,-26,36
Albion,55,9,8,7,21,57,78,-21,31
Queen's Park,55,10,6,11,19,41,74,-33,29
Raith,56,1,23,8,5,71,33,38,77
Ayr,56,2,24,4,8,93,44,49,76
Arbroath,56,3,18,8,10,73,48,25,62
Alloa,56,4,17,8,11,57,46,11,59
Stranraer,56,5,16,5,15,57,65,-8,53
Airdrieon,56,6,11,11,14,46,58,-12,44
East Fife,56,7,13,3,20,48,66,-18,42
Forfar,56,8,10,5,21,38,65,-27,35
Albion,56,9,8,6,22,59,81,-22,30
Queen's Park,56,10,6,10,20,39,75,-36,28
Ayr,57,1,24,4,8,98,43,55,76
Raith,57,2,22,9,5,68,32,36,75
Arbroath,57,3,18,8,10,72,49,23,62
Alloa,57,4,17,9,10,56,43,13,60
Stranraer,57,5,15,6,15,56,65,-9,51
Airdrieon,57,6,11,11,14,48,58,-10,44
East Fife,57,7,13,4,19,48,65,-17,43
Forfar,57,8,10,5,21,38,67,-29,35
Albion,57,9,8,6,22,58,86,-28,30
Queen's Park,57,10,6,10,20,40,74,-34,28
Ayr,58,1,24,4,8,94,45,49,76
