team,n,rank,w,d,l,gf,ga,gd,pts
Lyngby,5,8,4,9,11,30,47,-17,21
Randers FC,5,9,5,6,13,26,43,-17,21
Silkeborg IF,5,10,5,4,13,25,44,-19,19
AGF Aarhus,5,11,4,7,11,16,36,-20,19
Brondby,6,1,22,5,3,76,31,45,71
FC Midtjylla,6,2,19,4,7,63,44,19,61
Copenhagen,6,3,16,4,10,60,40,20,52
FC Nords,6,4,13,7,10,72,55,17,46
AaB,6,5,8,12,10,36,44,-8,36
Sonderjyske,6,6,8,6,10,28,29,-1,30
AC Horsens,6,7,5,14,11,33,52,-19,29
Randers FC,6,8,5,7,12,24,40,-16,22
AGF Aarhus,6,9,5,6,11,17,36,-19,21
Lyngby,6,10,3,10,11,27,45,-18,19
Silkeborg IF,6,11,5,3,14,25,45,-20,18
Brondby,7,1,21,6,3,72,30,42,69
FC Midtjylla,7,2,21,4,5,70,40,30,67
FC Nords,7,3,14,6,10,73,52,21,48
Copenhagen,7,4,14,5,11,61,44,17,47
AaB,7,5,9,11,10,35,44,-9,38
Sonderjyske,7,6,8,6,10,28,29,-1,30
AC Horsens,7,7,5,12,13,30,57,-27,27
Lyngby,7,8,4,9,11,28,45,-17,21
Silkeborg IF,7,8,6,3,13,28,45,-17,21
Randers FC,7,10,5,6,13,24,41,-17,21
AGF Aarhus,7,11,4,6,12,17,39,-22,18
FC Midtjylla,8,1,20,5,5,66,39,27,65
Brondby,8,2,18,9,3,68,34,34,63
FC Nords,8,3,14,9,7,76,49,27,51
Copenhagen,8,4,12,6,12,53,45,8,42
AaB,8,5,8,12,10,41,45,-4,36
AC Horsens,8,6,7,13,10,36,54,-18,34
Sonderjyske,8,7,8,6,10,28,29,-1,30
Lyngby,8,8,4,9,11,29,45,-16,21
Silkeborg IF,8,9,6,3,13,27,44,-17,21
Randers FC,8,10,5,6,13,24,42,-18,21
AGF Aarhus,8,11,4,6,12,16,38,-22,18
Brondby,9,1,20,8,2,72,32,40,68
FC Midtjylla,9,2,20,4,6,70,41,29,64
Copenhagen,9,3,15,6,9,59,43,16,51
FC Nords,9,4,14,7,9,74,56,18,49
AaB,9,5,7,12,11,35,41,-6,33
Sonderjyske,9,6,8,6,10,28,29,-1,30
AC Horsens,9,7,5,13,12,35,58,-23,28
Lyngby,9,8,4,9,11,28,44,-16,21
Silkeborg IF,9,9,6,3,13,28,45,-17,21
Randers FC,9,10,5,6,13,23,41,-18,21
AGF Aarhus,9,11,4,6,12,17,39,-22,18
Brondby,10,1,21,5,4,72,35,37,68
FC Midtjylla,10,2,19,5,6,64,42,22,62
FC Nords,10,3,16,6,8,75,48,27,54
Copenhagen,10,4,14,4,12,55,44,11,46
AaB,10,5,7,13,10,41,45,-4,34
AC Horsens,10,6,6,13,11,36,55,-19,31
Sonderjyske,10,7,8,6,10,28,29,-1,30
Randers FC,10,8,5,7,12,25,41,-16,22
Lyngby,10,9,3,10,11,28,46,-18,19
Silkeborg IF,10,10,5,4,13,25,44,-19,19
AGF Aarhus,10,11,4,7,11,16,36,-20,19
Brondby,11,1,21,7,2,69,30,39,70
FC Midtjylla,11,2,19,5,6,68,41,27,62
FC Nords,11,3,16,6,8,76,49,27,54
Copenhagen,11,4,13,5,12,54,44,10,44
AC Horsens,11,5,6,15,9,34,49,-15,33
Sonderjyske,11,6,8,6,10,28,29,-1,30
AaB,11,7,6,12,12,34,48,-14,30
Randers FC,11,8,5,7,12,25,41,-16,22
Lyngby,11,9,3,10,11,28,46,-18,19
Silkeborg IF,11,10,5,4,13,26,45,-19,19
AGF Aarhus,11,11,4,7,11,17,37,-20,19
Brondby,12,1,22,5,3,72,30,42,71
FC Midtjylla,12,2,19,6,5,66,40,26,63
FC Nords,12,3,14,7,9,72,53,19,49
Copenhagen,12,4,12,5,13,55,50,5,41
AC Horsens,12,5,8,13,9,38,49,-11,37
AaB,12,6,6,14,10,34,41,-7,32
Sonderjyske,12,7,8,6,10,28,29,-1,30
Lyngby,12,8,4,9,11,27,44,-17,21
Randers FC,12,9,5,6,13,23,40,-17,21
AGF Aarhus,12,10,5,6,11,19,36,-17,21
Silkeborg IF,12,11,5,3,14,25,47,-22,18
Brondby,13,1,21,5,4,70,32,38,68
FC Midtjylla,13,2,19,5,6,65,37,28,62
FC Nords,13,3,15,7,8,73,48,25,52
Copenhagen,13,4,14,5,11,57,43,14,47
AC Horsens,13,5,7,12,11,36,58,-22,33
AaB,13,6,6,14,10,33,42,-9,32
Sonderjyske,13,7,8,6,10,28,29,-1,30
Randers FC,13,8,5,7,12,24,40,-16,22
Lyngby,13,9,3,10,11,27,45,-18,19
Silkeborg IF,13,10,5,4,13,26,45,-19,19
AGF Aarhus,13,11,4,7,11,17,37,-20,19
FC Midtjylla,14,1,19,6,5,65,39,26,63
Brondby,14,2,18,8,4,67,35,32,62
FC Nords,14,3,16,6,8,77,49,28,54
Copenhagen,14,4,14,5,11,57,43,14,47
AaB,14,5,7,13,10,35,40,-5,34
AC Horsens,14,6,6,14,10,31,52,-21,32
Sonderjyske,14,7,8,6,10,28,29,-1,30
Lyngby,14,8,4,9,11,28,45,-17,21
Randers FC,14,9,5,6,13,24,41,-17,21
Silkeborg IF,14,10,5,4,13,26,45,-19,19
AGF Aarhus,14,11,4,7,11,17,37,-20,19
Brondby,15,1,22,5,3,73,31,42,71
FC Midtjylla,15,2,21,4,5,68,38,30,67
FC Nords,15,3,15,6,9,76,51,25,51
Copenhagen,15,4,13,5,12,54,45,9,44
AaB,15,5,7,12,11,35,44,-9,33
Sonderjyske,15,6,8,6,10,28,29,-1,30
AC Horsens,15,7,5,14,11,34,57,-23,29
Lyngby,15,8,4,9,11,27,44,-17,21
Randers FC,15,9,5,6,13,23,40,-17,21
Silkeborg IF,15,10,6,3,13,26,44,-18,21
AGF Aarhus,15,11,4,6,12,16,37,-21,18
Brondby,16,1,19,8,3,70,35,35,65
FC Midtjylla,16,2,19,6,5,65,40,25,63
FC Nords,16,3,15,6,9,71,50,21,51
Copenhagen,16,4,15,5,10,57,41,16,50
AC Horsens,16,5,7,13,10,34,49,-15,34
Sonderjyske,16,6,8,6,10,28,29,-1,30
AaB,16,7,6,12,12,34,42,-8,30
Randers FC,16,8,6,6,12,26,41,-15,24
Silkeborg IF,16,9,6,3,13,27,45,-18,21
Lyngby,16,10,3,9,12,28,47,-19,18
AGF Aarhus,16,11,4,6,12,17,38,-21,18
Brondby,17,1,21,6,3,70,33,37,69
FC Midtjylla,17,2,20,5,5,67,37,30,65
FC Nords,17,3,14,7,9,73,53,20,49
Copenhagen,17,4,13,5,12,57,50,7,44
AC Horsens,17,5,8,12,10,42,52,-10,36
AaB,17,6,7,11,12,35,45,-10,32
Sonderjyske,17,7,8,6,10,28,29,-1,30
Lyngby,17,8,4,9,11,30,45,-15,21
Silkeborg IF,17,8,6,3,13,30,45,-15,21
Randers FC,17,10,5,6,13,24,43,-19,21
AGF Aarhus,17,11,4,6,12,17,41,-24,18
Brondby,18,1,22,5,3,70,33,37,71
FC Midtjylla,18,2,20,5,5,71,40,31,65
FC Nords,18,3,16,6,8,76,53,23,54
Copenhagen,18,4,12,6,12,59,51,8,42
AC Horsens,18,5,6,14,10,37,52,-15,32
Sonderjyske,18,6,8,6,10,28,29,-1,30
AaB,18,7,6,12,12,34,44,-10,30
Randers FC,18,8,5,7,12,23,39,-16,22
AGF Aarhus,18,9,5,6,11,18,37,-19,21
Lyngby,18,10,3,10,11,26,44,-18,19
Silkeborg IF,18,11,5,3,14,26,46,-20,18
Brondby,19,1,20,6,4,70,35,35,66
FC Midtjylla,19,2,20,4,6,61,36,25,64
Copenhagen,19,3,15,4,11,59,45,14,49
FC Nords,19,4,14,6,10,77,55,22,48
AC Horsens,19,5,8,12,10,35,52,-17,36
AaB,19,6,7,12,11,39,44,-5,33
Sonderjyske,19,7,8,6,10,28,29,-1,30
Lyngby,19,8,4,9,11,29,45,-16,21
Silkeborg IF,19,9,6,3,13,27,45,-18,21
Randers FC,19,10,5,6,13,24,42,-18,21
AGF Aarhus,19,11,4,6,12,17,38,-21,18
Brondby,20,1,20,6,4,68,34,34,66
FC Midtjylla,20,2,20,4,6,69,42,27,64
FC Nords,20,3,15,6,9,77,55,22,51
Copenhagen,20,4,14,6,10,61,47,14,48
AaB,20,5,8,12,10,42,42,0,36
Sonderjyske,20,6,8,6,10,28,29,-1,30
AC Horsens,20,7,5,14,11,35,58,-23,29
Randers FC,20,8,6,6,12,25,39,-14,24
Silkeborg IF,20,9,5,4,13,25,44,-19,19
AGF Aarhus,20,10,4,7,11,16,36,-20,19
Lyngby,20,11,3,9,12,26,46,-20,18
Brondby,21,1,21,5,4,70,33,37,68
FC Midtjylla,21,2,20,6,4,65,35,30,66
FC Nords,21,3,14,7,9,74,53,21,49
Copenhagen,21,4,13,5,12,59,47,12,44
AaB,21,5,8,13,9,35,38,-3,37
Sonderjyske,21,6,8,6,10,28,29,-1,30
AC Horsens,21,7,6,12,12,35,58,-23,30
Lyngby,21,8,4,9,11,28,44,-16,21
Silkeborg IF,21,9,6,3,13,27,45,-18,21
Randers FC,21,10,5,6,13,23,41,-18,21
AGF Aarhus,21,11,4,6,12,17,38,-21,18
Brondby,22,1,20,6,4,71,33,38,66
FC Midtjylla,22,2,20,5,5,65,37,28,65
Copenhagen,22,3,16,4,10,61,42,19,52
FC Nords,22,4,14,8,8,74,49,25,50
AaB,22,5,6,13,11,34,48,-14,31
Sonderjyske,22,6,8,6,10,28,29,-1,30
AC Horsens,22,7,5,14,11,33,55,-22,29
Lyngby,22,8,4,9,11,29,46,-17,21
Randers FC,22,9,5,6,13,25,42,-17,21
Silkeborg IF,22,10,6,3,13,27,45,-18,21
AGF Aarhus,22,11,4,6,12,17,38,-21,18
Brondby,23,1,21,6,3,71,32,39,69
FC Midtjylla,23,2,21,5,4,72,41,31,68
FC Nords,23,3,15,6,9,78,52,26,51
Copenhagen,23,4,12,5,13,56,55,1,41
AC Horsens,23,5,7,13,10,40,56,-16,34
AaB,23,6,7,11,12,39,46,-7,32
Sonderjyske,23,7,8,6,10,28,29,-1,30
Randers FC,23,8,5,7,12,24,40,-16,22
Silkeborg IF,23,9,6,3,13,26,44,-18,21
Lyngby,23,10,3,10,11,27,45,-18,19
AGF Aarhus,23,11,4,6,12,16,37,-21,18
Brondby,24,1,20,7,3,70,36,34,67
FC Midtjylla,24,2,19,5,6,60,37,23,62
FC Nords,24,3,14,7,9,74,51,23,49
Copenhagen,24,4,13,6,11,54,44,10,45
AaB,24,5,8,12,10,40,41,-1,36
AC Horsens,24,6,6,15,9,36,51,-15,33
Sonderjyske,24,7,8,6,10,28,29,-1,30
Lyngby,24,8,4,9,11,29,45,-16,21
Randers FC,24,9,5,6,13,24,42,-18,21
Silkeborg IF,24,10,5,4,13,26,45,-19,19
AGF Aarhus,24,11,4,7,11,17,37,-20,19
Brondby,25,1,22,5,3,72,31,41,71
FC Midtjylla,25,2,18,7,5,65,40,25,61
FC Nords,25,3,14,8,8,73,51,22,50
Copenhagen,25,4,13,5,12,53,43,10,44
AaB,25,5,6,15,9,38,45,-7,33
AC Horsens,25,6,6,14,10,35,52,-17,32
Sonderjyske,25,7,8,6,10,28,29,-1,30
Randers FC,25,8,6,6,12,24,39,-15,24
Silkeborg IF,25,9,5,4,13,27,46,-19,19
AGF Aarhus,25,10,4,7,11,18,38,-20,19
Lyngby,25,11,3,9,12,26,45,-19,18
Brondby,26,1,21,6,3,76,31,45,69
FC Midtjylla,26,2,19,4,7,63,40,23,61
FC Nords,26,3,15,6,9,74,50,24,51
Copenhagen,26,4,12,5,13,55,50,5,41
AC Horsens,26,5,8,13,9,35,48,-13,37
AaB,26,6,8,12,10,37,47,-10,36
Sonderjyske,26,7,8,6,10,28,29,-1,30
Lyngby,26,8,4,9,11,28,44,-16,21
Randers FC,26,9,5,6,13,23,41,-18,21
AGF Aarhus,26,10,5,6,11,20,38,-18,21
Silkeborg IF,26,11,5,3,14,27,48,-21,18
Brondby,27,1,21,6,3,70,32,38,69
FC Midtjylla,27,2,19,5,6,68,40,28,62
FC Nords,27,3,13,7,10,73,53,20,46
Copenhagen,27,4,12,8,10,58,46,12,44
AaB,27,5,9,11,10,37,43,-6,38
AC Horsens,27,6,7,13,10,34,52,-18,34
Sonderjyske,27,7,8,6,10,28,29,-1,30
Randers FC,27,8,5,7,12,24,40,-16,22
Silkeborg IF,27,9,6,3,13,29,44,-15,21
Lyngby,27,10,3,10,11,27,45,-18,19
AGF Aarhus,27,11,4,6,12,16,40,-24,18
Brondby,28,1,21,6,3,73,33,40,69
FC Midtjylla,28,2,18,6,6,68,40,28,60
Copenhagen,28,3,15,6,9,58,42,16,51
FC Nords,28,4,14,8,8,76,57,19,50
AaB,28,5,7,12,11,36,43,-7,33
Sonderjyske,28,6,8,6,10,28,29,-1,30
AC Horsens,28,7,5,14,11,31,53,-22,29
Randers FC,28,8,5,7,12,23,39,-16,22
AGF Aarhus,28,9,5,6,11,18,37,-19,21
Lyngby,28,10,3,10,11,26,44,-18,19
Silkeborg IF,28,11,5,3,14,26,46,-20,18
Brondby,29,1,21,5,4,69,31,38,68
FC Midtjylla,29,2,20,5,5,67,38,29,65
FC Nords,29,3,16,7,7,77,49,28,55
Copenhagen,29,4,13,4,13,56,50,6,43
AC Horsens,29,5,8,12,10,39,54,-15,36
Sonderjyske,29,6,8,6,10,28,29,-1,30
AaB,29,7,6,11,13,33,45,-12,29
Randers FC,29,8,6,6,12,25,40,-15,24
Silkeborg IF,29,9,6,3,13,27,44,-17,21
Lyngby,29,10,3,9,12,27,46,-19,18
AGF Aarhus,29,11,4,6,12,16,38,-22,18
Brondby,30,1,22,6,2,75,33,42,72
FC Midtjylla,30,2,19,5,6,66,39,27,62
FC Nords,30,3,16,6,8,80,52,28,54
Copenhagen,30,4,13,4,13,57,49,8,43
AaB,30,5,8,12,10,40,46,-6,36
Sonderjyske,30,6,8,6,10,28,29,-1,30
AC Horsens,30,7,5,13,12,35,60,-25,28
Randers FC,30,8,6,6,12,24,39,-15,24
AGF Aarhus,30,9,5,6,11,18,37,-19,21
Lyngby,30,10,3,9,12,26,45,-19,18
Silkeborg IF,30,11,5,3,14,26,46,-20,18
Brondby,31,1,21,7,2,70,29,41,70
FC Midtjylla,31,2,19,6,5,66,39,27,63
FC Nords,31,3,15,6,9,72,50,22,51
Copenhagen,31,4,12,4,14,54,49,5,40
AaB,31,5,8,11,11,39,46,-7,35
AC Horsens,31,6,7,14,9,35,49,-14,35
Sonderjyske,31,7,8,6,10,28,29,-1,30
Randers FC,31,8,6,6,12,25,39,-14,24
Silkeborg IF,31,9,5,4,13,25,44,-19,19
AGF Aarhus,31,10,4,7,11,16,36,-20,19
Lyngby,31,11,3,9,12,26,46,-20,18
Brondby,32,1,23,5,2,79,32,47,74
FC Midtjylla,32,2,19,6,5,70,44,26,63
FC Nords,32,3,15,7,8,76,52,24,52
Copenhagen,32,4,13,4,13,53,50,3,43
AaB,32,5,8,12,10,43,44,-1,36
Sonderjyske,32,6,8,6,10,28,29,-1,30
AC Horsens,32,7,5,12,13,32,57,-25,27
Lyngby,32,8,4,9,11,28,44,-16,21
Silkeborg IF,32,9,6,3,13,26,44,-18,21
Randers FC,32,10,5,6,13,23,41,-18,21
AGF Aarhus,32,11,4,6,12,16,37,-21,18
Brondby,33,1,19,7,4,68,33,35,64
FC Midtjylla,33,2,19,6,5,66,39,27,63
FC Nords,33,3,14,6,10,70,52,18,48
Copenhagen,33,4,14,4,12,58,46,12,46
AaB,33,5,10,11,9,37,39,-2,41
AC Horsens,33,6,6,14,10,38,54,-16,32
Sonderjyske,33,7,8,6,10,28,29,-1,30
Lyngby,33,8,4,9,11,30,45,-15,21
Randers FC,33,9,5,6,13,24,43,-19,21
AGF Aarhus,33,10,5,6,11,17,36,-19,21
Silkeborg IF,33,11,5,3,14,25,45,-20,18
Brondby,34,1,22,5,3,80,32,48,71
FC Midtjylla,34,2,18,5,7,59,40,19,59
Copenhagen,34,3,16,5,9,62,45,17,53
FC Nords,34,4,14,7,9,77,54,23,49
AC Horsens,34,5,7,12,11,34,56,-22,33
Sonderjyske,34,6,8,6,10,28,29,-1,30
AaB,34,7,6,12,12,37,48,-11,30
Randers FC,34,8,6,6,12,24,39,-15,24
Silkeborg IF,34,9,6,3,13,27,44,-17,21
Lyngby,34,10,3,9,12,26,45,-19,18
AGF Aarhus,34,11,4,6,12,16,38,-22,18
Brondby,35,1,21,7,2,68,30,38,70
FC Midtjylla,35,2,19,5,6,62,41,21,62
FC Nords,35,3,15,6,9,78,48,30,51
Copenhagen,35,4,12,7,11,53,45,8,43
AaB,35,5,9,12,9,43,42,1,39
Sonderjyske,35,6,8,6,10,28,29,-1,30
AC Horsens,35,7,5,13,12,32,56,-24,28
Randers FC,35,8,6,6,12,24,39,-15,24
Silkeborg IF,35,9,5,4,13,25,44,-19,19
AGF Aarhus,35,10,4,7,11,16,36,-20,19
Lyngby,35,11,3,9,12,26,45,-19,18
Brondby,36,1,22,5,3,72,32,40,71
FC Midtjylla,36,2,20,4,6,70,41,29,64
FC Nords,36,3,13,8,9,70,50,20,47
Copenhagen,36,4,13,5,12,54,46,8,44
AC Horsens,36,5,8,12,10,40,55,-15,36
AaB,36,6,7,12,11,36,44,-8,33
Sonderjyske,36,7,8,6,10,28,29,-1,30
Lyngby,36,8,4,9,11,27,44,-17,21
Randers FC,36,9,5,6,13,23,40,-17,21
AGF Aarhus,36,10,5,6,11,17,36,-19,21
Silkeborg IF,36,11,5,3,14,25,45,-20,18
Brondby,37,1,19,6,5,66,33,33,63
FC Midtjylla,37,2,19,5,6,64,41,23,62
Copenhagen,37,3,16,5,9,64,43,21,53
FC Nords,37,4,13,6,11,70,54,16,45
AC Horsens,37,5,8,13,9,42,54,-12,37
AaB,37,6,8,11,11,36,43,-7,35
Sonderjyske,37,7,8,6,10,28,29,-1,30
Randers FC,37,8,6,6,12,28,42,-14,24
Silkeborg IF,37,9,6,3,13,28,45,-17,21
Lyngby,37,10,3,9,12,29,49,-20,18
AGF Aarhus,37,11,4,6,12,17,39,-22,18
Brondby,38,1,22,6,2,74,29,45,72
FC Midtjylla,38,2,19,5,6,63,38,25,62
FC Nords,38,3,15,6,9,74,53,21,51
Copenhagen,38,4,12,7,11,55,47,8,43
AaB,38,5,8,12,10,37,42,-5,36
Sonderjyske,38,6,8,6,10,28,29,-1,30
AC Horsens,38,7,6,12,12,33,53,-20,30
Lyngby,38,8,4,9,11,29,45,-16,21
Silkeborg IF,38,8,6,3,13,29,45,-16,21
Randers FC,38,10,5,6,13,24,42,-18,21
AGF Aarhus,38,11,4,6,12,17,40,-23,18
Brondby,39,1,19,7,4,66,33,33,64
FC Midtjylla,39,2,17,6,7,62,43,19,57
Copenhagen,39,3,15,4,11,59,44,15,49
FC Nords,39,4,13,8,9,74,54,20,47
AaB,39,5,9,12,9,35,37,-2,39
AC Horsens,39,6,8,13,9,40,51,-11,37
Sonderjyske,39,7,8,6,10,28,29,-1,30
Randers FC,39,8,5,7,12,23,39,-16,22
Lyngby,39,9,3,10,11,26,44,-18,19
Silkeborg IF,39,10,5,4,13,27,46,-19,19
AGF Aarhus,39,11,4,7,11,18,38,-20,19
Brondby,40,1,19,7,4,70,36,34,64
FC Midtjylla,40,2,20,4,6,65,41,24,64
FC Nords,40,3,15,6,9,77,51,26,51
Copenhagen,40,4,14,5,11,55,43,12,47
AaB,40,5,8,12,10,40,44,-4,36
AC Horsens,40,6,6,14,10,33,51,-18,32
Sonderjyske,40,7,8,6,10,28,29,-1,30
Randers FC,40,8,6,6,12,25,40,-15,24
Silkeborg IF,40,9,6,3,13,29,46,-17,21
Lyngby,40,10,3,9,12,27,46,-19,18
AGF Aarhus,40,11,4,6,12,18,40,-22,18
Brondby,41,1,21,6,3,68,31,37,69
FC Midtjylla,41,2,20,5,5,69,37,32,65
Copenhagen,41,3,14,6,10,58,43,15,48
FC Nords,41,4,13,8,9,72,52,20,47
AaB,41,5,7,13,10,34,43,-9,34
Sonderjyske,41,6,8,6,10,28,29,-1,30
AC Horsens,41,7,5,14,11,36,57,-21,29
Randers FC,41,8,6,6,12,25,40,-15,24
Silkeborg IF,41,9,6,3,13,26,44,-18,21
Lyngby,41,10,3,9,12,27,46,-19,18
AGF Aarhus,41,11,4,6,12,16,37,-21,18
Brondby,42,1,19,8,3,69,36,33,65
FC Midtjylla,42,2,18,7,5,62,37,25,61
FC Nords,42,3,15,7,8,75,46,29,52
Copenhagen,42,4,12,5,13,55,49,6,41
AC Horsens,42,5,8,13,9,38,52,-14,37
AaB,42,6,8,12,10,36,41,-5,36
Sonderjyske,42,7,8,6,10,28,29,-1,30
Randers FC,42,8,5,7,12,25,41,-16,22
AGF Aarhus,42,9,5,6,11,17,36,-19,21
Lyngby,42,10,3,10,11,28,46,-18,19
Silkeborg IF,42,11,5,3,14,25,45,-20,18
Brondby,43,1,21,5,4,77,36,41,68
FC Midtjylla,43,2,21,4,5,67,36,31,67
Copenhagen,43,3,15,4,11,61,47,14,49
FC Nords,43,4,13,7,10,73,58,15,46
AaB,43,5,8,12,10,38,42,-4,36
Sonderjyske,43,6,8,6,10,28,29,-1,30
AC Horsens,43,7,6,12,12,33,56,-23,30
Randers FC,43,8,5,7,12,26,42,-16,22
Silkeborg IF,43,9,6,3,13,27,45,-18,21
Lyngby,43,10,3,10,11,29,47,-18,19
AGF Aarhus,43,11,4,6,12,17,38,-21,18
FC Midtjylla,44,1,21,4,5,67,40,27,67
Brondby,44,2,20,6,4,72,36,36,66
FC Nords,44,3,15,7,8,77,46,31,52
Copenhagen,44,4,14,5,11,63,46,17,47
AaB,44,5,7,12,11,37,51,-14,33
Sonderjyske,44,6,8,6,10,28,29,-1,30
AC Horsens,44,7,5,14,11,33,56,-23,29
Randers FC,44,8,6,6,12,27,41,-14,24
Silkeborg IF,44,9,5,4,13,27,46,-19,19
AGF Aarhus,44,10,4,7,11,18,38,-20,19
Lyngby,44,11,3,9,12,28,48,-20,18
FC Midtjylla,45,1,21,4,5,67,38,29,67
Brondby,45,2,20,5,5,71,35,36,65
FC Nords,45,3,15,7,8,77,52,25,52
Copenhagen,45,4,16,4,10,57,42,15,52
Sonderjyske,45,5,8,6,10,28,29,-1,30
AaB,45,6,6,12,12,37,48,-11,30
AC Horsens,45,7,6,12,12,35,55,-20,30
Lyngby,45,8,4,9,11,30,44,-14,21
Silkeborg IF,45,9,6,3,13,29,45,-16,21
Randers FC,45,10,5,6,13,23,43,-20,21
AGF Aarhus,45,11,4,6,12,17,40,-23,18
Brondby,46,1,22,6,2,73,29,44,72
FC Midtjylla,46,2,18,6,6,62,39,23,60
Copenhagen,46,3,14,5,11,55,45,10,47
FC Nords,46,4,12,6,12,67,57,10,42
AaB,46,5,9,12,9,40,38,2,39
AC Horsens,46,6,7,13,10,34,49,-15,34
Sonderjyske,46,7,8,6,10,28,29,-1,30
Randers FC,46,8,5,7,12,25,41,-16,22
AGF Aarhus,46,9,5,6,11,19,37,-18,21
Lyngby,46,10,3,10,11,28,46,-18,19
Silkeborg IF,46,11,5,3,14,26,47,-21,18
Brondby,47,1,21,6,3,70,29,41,69
FC Midtjylla,47,2,21,5,4,66,35,31,68
FC Nords,47,3,13,6,11,69,55,14,45
Copenhagen,47,4,13,6,11,56,46,10,45
AaB,47,5,7,13,10,37,44,-7,34
AC Horsens,47,6,7,12,11,37,52,-15,33
Sonderjyske,47,7,8,6,10,28,29,-1,30
Randers FC,47,8,5,7,12,24,40,-16,22
Lyngby,47,9,3,10,11,27,45,-18,19
Silkeborg IF,47,10,5,4,13,26,45,-19,19
AGF Aarhus,47,11,4,7,11,17,37,-20,19
FC Midtjylla,48,1,21,4,5,70,40,30,67
Brondby,48,2,20,6,4,71,35,36,66
FC Nords,48,3,15,7,8,72,49,23,52
Copenhagen,48,4,14,7,9,57,39,18,49
Sonderjyske,48,5,8,6,10,28,29,-1,30
AaB,48,6,6,12,12,35,46,-11,30
AC Horsens,48,7,6,12,12,34,56,-22,30
Randers FC,48,8,6,6,12,25,40,-15,24
Silkeborg IF,48,9,5,4,13,27,46,-19,19
AGF Aarhus,48,10,4,7,11,18,38,-20,19
Lyngby,48,11,3,9,12,27,46,-19,18
FC Midtjylla,49,1,19,5,6,69,42,27,62
Brondby,49,2,18,6,6,66,35,31,60
FC Nords,49,3,16,6,8,78,50,28,54
Copenhagen,49,4,15,4,11,58,47,11,49
AaB,49,5,9,12,9,40,42,-2,39
AC Horsens,49,6,6,13,11,37,58,-21,31
Sonderjyske,49,7,8,6,10,28,29,-1,30
