team,n,rank,w,d,l,gf,ga,gd,pts
Loko Moscow,5,1,12,5,3,30,12,18,41
CSKA Moscow,5,2,11,4,5,29,20,9,37
Spart Moscow,5,3,10,6,4,37,27,10,36
Krasnodar,5,4,9,4,7,28,26,2,31
Zenit,5,5,7,8,5,22,16,6,29
Terek Grozny,5,6,8,5,7,22,24,-2,29
FK Rubin,5,7,7,5,8,26,19,7,26
Din Moscow,5,8,5,7,8,20,25,-5,22
Amkar,5,9,5,4,11,11,24,-13,19
Rostov,5,10,4,6,10,11,19,-8,18
Anzhi,5,11,2,6,12,16,40,-24,12
Loko Moscow,6,1,12,6,2,32,13,19,42
CSKA Moscow,6,2,11,3,6,27,20,7,36
Spart Moscow,6,3,10,5,5,40,28,12,35
Zenit,6,4,8,9,3,24,14,10,33
Krasnodar,6,5,8,5,7,28,26,2,29
Terek Grozny,6,6,8,5,7,22,23,-1,29
Din Moscow,6,7,6,7,7,21,24,-3,25
FK Rubin,6,8,5,7,8,22,18,4,22
Amkar,6,9,5,4,11,10,25,-15,19
Rostov,6,10,4,6,10,10,19,-9,18
Anzhi,6,11,2,5,13,15,41,-26,11
Loko Moscow,7,1,13,5,2,33,13,20,44
CSKA Moscow,7,2,12,3,5,31,20,11,39
Spart Moscow,7,3,9,5,6,38,31,7,32
Krasnodar,7,4,9,4,7,30,26,4,31
Zenit,7,5,7,8,5,23,17,6,29
Terek Grozny,7,6,7,6,7,21,25,-4,27
Din Moscow,7,7,6,6,8,20,24,-4,24
FK Rubin,7,8,6,5,9,22,19,3,23
Amkar,7,9,5,5,10,11,23,-12,20
Rostov,7,10,4,6,10,12,20,-8,18
Anzhi,7,11,3,5,12,18,41,-23,14
Loko Moscow,8,1,13,5,2,33,11,22,44
CSKA Moscow,8,2,12,3,5,29,17,12,39
Spart Moscow,8,3,11,5,4,43,28,15,38
Krasnodar,8,4,9,4,7,29,27,2,31
Zenit,8,5,7,8,5,21,16,5,29
Terek Grozny,8,6,7,6,7,21,24,-3,27
Din Moscow,8,7,6,6,8,19,24,-5,24
FK Rubin,8,8,5,5,10,22,20,2,20
Rostov,8,9,4,6,10,11,22,-11,18
Amkar,8,10,4,5,11,10,24,-14,17
Anzhi,8,11,3,5,12,16,41,-25,14
Loko Moscow,9,1,13,5,2,34,14,20,44
CSKA Moscow,9,2,12,3,5,33,19,14,39
Spart Moscow,9,3,10,6,4,40,27,13,36
Zenit,9,4,7,8,5,22,17,5,29
Krasnodar,9,5,8,5,7,30,28,2,29
Terek Grozny,9,6,8,5,7,22,24,-2,29
Din Moscow,9,7,6,7,7,23,22,1,25
FK Rubin,9,8,5,6,9,21,22,-1,21
Amkar,9,9,5,4,11,12,27,-15,19
Rostov,9,10,4,6,10,10,18,-8,18
Anzhi,9,11,2,5,13,15,44,-29,11
Loko Moscow,10,1,12,6,2,31,12,19,42
CSKA Moscow,10,2,11,3,6,27,19,8,36
Spart Moscow,10,3,10,5,5,40,30,10,35
Zenit,10,4,8,9,3,23,14,9,33
Terek Grozny,10,5,9,5,6,22,22,0,32
Krasnodar,10,6,8,5,7,27,25,2,29
FK Rubin,10,7,6,6,8,24,17,7,24
Din Moscow,10,8,6,6,8,19,25,-6,24
Rostov,10,9,4,6,10,12,20,-8,18
Amkar,10,10,4,4,12,10,26,-16,16
Anzhi,10,11,2,5,13,15,40,-25,11
Loko Moscow,11,1,12,5,3,33,15,18,41
CSKA Moscow,11,2,10,5,5,29,21,8,35
Spart Moscow,11,3,9,6,5,39,30,9,33
Zenit,11,4,8,9,3,24,15,9,33
Terek Grozny,11,5,8,5,7,22,24,-2,29
Krasnodar,11,6,8,4,8,29,28,1,28
Din Moscow,11,7,6,7,7,20,23,-3,25
FK Rubin,11,8,6,5,9,22,18,4,23
Amkar,11,9,6,4,10,13,24,-11,22
Rostov,11,10,4,6,10,11,20,-9,18
Anzhi,11,11,2,6,12,17,41,-24,12
Loko Moscow,12,1,12,5,3,31,14,17,41
Spart Moscow,12,2,10,6,4,41,27,14,36
CSKA Moscow,12,3,10,4,6,28,21,7,34
Krasnodar,12,4,10,4,6,32,26,6,34
Zenit,12,5,8,8,4,23,15,8,32
Terek Grozny,12,6,7,5,8,21,25,-4,26
FK Rubin,12,7,6,5,9,24,19,5,23
Din Moscow,12,8,5,6,9,17,25,-8,21
Rostov,12,9,4,7,9,12,19,-7,19
Amkar,12,10,5,4,11,11,27,-16,19
Anzhi,12,11,3,6,11,17,39,-22,15
Loko Moscow,13,1,12,5,3,32,15,17,41
CSKA Moscow,13,2,11,3,6,28,18,10,36
Zenit,13,3,9,8,3,25,14,11,35
Spart Moscow,13,4,10,5,5,38,29,9,35
Krasnodar,13,5,9,4,7,30,27,3,31
Terek Grozny,13,6,8,6,6,23,23,0,30
Din Moscow,13,7,6,6,8,18,23,-5,24
FK Rubin,13,8,5,5,10,22,20,2,20
Amkar,13,9,5,5,10,13,23,-10,20
Rostov,13,10,4,6,10,10,19,-9,18
Anzhi,13,11,2,5,13,15,43,-28,11
Loko Moscow,14,1,11,6,3,29,12,17,39
CSKA Moscow,14,2,12,3,5,31,17,14,39
Spart Moscow,14,3,9,6,5,35,27,8,33
Krasnodar,14,4,9,4,7,28,25,3,31
Zenit,14,5,7,9,4,21,16,5,30
Terek Grozny,14,6,7,6,7,21,27,-6,27
Din Moscow,14,7,6,7,7,19,22,-3,25
FK Rubin,14,8,6,5,9,23,19,4,23
Amkar,14,9,5,5,10,12,23,-11,20
Rostov,14,10,4,6,10,10,19,-9,18
Anzhi,14,11,3,5,12,18,40,-22,14
Loko Moscow,15,1,11,6,3,30,13,17,39
CSKA Moscow,15,2,11,3,6,30,20,10,36
Spart Moscow,15,3,9,7,4,35,26,9,34
Krasnodar,15,4,10,4,6,31,26,5,34
Zenit,15,5,8,9,3,23,14,9,33
Terek Grozny,15,6,7,6,7,20,23,-3,27
FK Rubin,15,7,6,5,9,24,20,4,23
Din Moscow,15,8,5,7,8,19,24,-5,22
Rostov,15,9,4,6,10,10,18,-8,18
Amkar,15,10,4,6,10,9,22,-13,18
Anzhi,15,11,3,5,12,16,41,-25,14
Loko Moscow,16,1,12,6,2,31,12,19,42
CSKA Moscow,16,2,10,4,6,28,21,7,34
Zenit,16,3,8,9,3,23,14,9,33
Spart Moscow,16,4,9,6,5,38,30,8,33
Krasnodar,16,5,8,5,7,30,28,2,29
Terek Grozny,16,6,7,5,8,20,24,-4,26
FK Rubin,16,7,6,6,8,24,19,5,24
Din Moscow,16,8,5,7,8,19,24,-5,22
Amkar,16,9,6,4,10,12,23,-11,22
Rostov,16,10,4,6,10,11,19,-8,18
Anzhi,16,11,3,6,11,17,39,-22,15
Loko Moscow,17,1,12,5,3,33,15,18,41
Zenit,17,2,9,8,3,26,15,11,35
CSKA Moscow,17,3,10,4,6,26,20,6,34
Terek Grozny,17,4,9,5,6,23,23,0,32
Spart Moscow,17,5,8,7,5,34,27,7,31
Krasnodar,17,6,8,5,7,29,27,2,29
FK Rubin,17,7,6,6,8,24,19,5,24
Din Moscow,17,8,5,7,8,19,24,-5,22
Rostov,17,9,4,7,9,10,17,-7,19
Amkar,17,10,5,4,11,10,23,-13,19
Anzhi,17,11,2,6,12,16,40,-24,12
Loko Moscow,18,1,11,6,3,31,16,15,39
Spart Moscow,18,2,10,6,4,39,26,13,36
Zenit,18,3,8,9,3,26,17,9,33
CSKA Moscow,18,4,10,3,7,29,23,6,33
Krasnodar,18,5,9,5,6,30,24,6,32
Terek Grozny,18,6,8,5,7,22,24,-2,29
FK Rubin,18,7,5,7,8,22,18,4,22
Din Moscow,18,8,5,7,8,18,23,-5,22
Rostov,18,9,4,6,10,10,21,-11,18
Amkar,18,10,4,5,11,11,25,-14,17
Anzhi,18,11,4,5,11,18,39,-21,17
Loko Moscow,19,1,11,5,4,29,14,15,38
Spart Moscow,19,2,11,5,4,41,27,14,38
CSKA Moscow,19,3,11,3,6,27,19,8,36
Zenit,19,4,9,8,3,24,13,11,35
Krasnodar,19,5,10,4,6,31,24,7,34
Terek Grozny,19,6,7,6,7,22,26,-4,27
Din Moscow,19,7,6,6,8,20,25,-5,24
FK Rubin,19,8,5,5,10,22,21,1,20
Amkar,19,9,5,4,11,12,24,-12,19
Rostov,19,10,4,6,10,10,20,-10,18
Anzhi,19,11,2,6,12,16,41,-25,12
Loko Moscow,20,1,12,6,2,31,12,19,42
CSKA Moscow,20,2,11,4,5,29,17,12,37
Spart Moscow,20,3,10,5,5,35,27,8,35
Zenit,20,4,7,10,3,22,14,8,31
Krasnodar,20,5,9,4,7,31,27,4,31
Terek Grozny,20,6,7,7,6,22,24,-2,28
Din Moscow,20,7,7,6,7,20,21,-1,27
FK Rubin,20,8,5,5,10,23,22,1,20
Rostov,20,9,4,6,10,10,18,-8,18
Amkar,20,10,4,5,11,10,24,-14,17
Anzhi,20,11,2,6,12,15,42,-27,12
Loko Moscow,21,1,11,5,4,31,18,13,38
CSKA Moscow,21,2,11,3,6,29,20,9,36
Zenit,21,3,9,8,3,27,15,12,35
Spart Moscow,21,4,9,6,5,38,32,6,33
Terek Grozny,21,5,9,5,6,26,23,3,32
Krasnodar,21,6,9,4,7,31,27,4,31
FK Rubin,21,7,7,5,8,24,18,6,26
Din Moscow,21,8,5,7,8,19,24,-5,22
Rostov,21,9,5,6,9,14,18,-4,21
Amkar,21,10,4,4,12,10,26,-16,16
Anzhi,21,11,2,5,13,16,44,-28,11
Loko Moscow,22,1,11,7,2,30,12,18,40
Spart Moscow,22,2,11,5,4,41,26,15,38
CSKA Moscow,22,3,11,3,6,27,19,8,36
Zenit,22,4,7,9,4,21,14,7,30
Krasnodar,22,5,8,6,6,30,27,3,30
Terek Grozny,22,6,7,6,7,21,24,-3,27
FK Rubin,22,7,6,6,8,25,19,6,24
Din Moscow,22,8,5,6,9,17,25,-8,21
Amkar,22,9,5,4,11,10,25,-15,19
Rostov,22,10,4,6,10,11,20,-9,18
Anzhi,22,11,3,6,11,17,39,-22,15
Loko Moscow,23,1,13,5,2,32,12,20,44
Spart Moscow,23,2,11,5,4,39,26,13,38
CSKA Moscow,23,3,11,3,6,29,21,8,36
Zenit,23,4,8,8,4,25,17,8,32
Krasnodar,23,5,9,4,7,29,26,3,31
Terek Grozny,23,6,8,5,7,23,25,-2,29
Din Moscow,23,7,6,6,8,19,24,-5,24
FK Rubin,23,8,5,5,10,22,20,2,20
Amkar,23,9,5,4,11,12,25,-13,19
Rostov,23,10,4,6,10,10,19,-9,18
Anzhi,23,11,2,5,13,15,40,-25,11
Loko Moscow,24,1,12,5,3,33,13,20,41
CSKA Moscow,24,2,12,3,5,30,17,13,39
Krasnodar,24,3,10,4,6,30,25,5,34
Spart Moscow,24,4,9,6,5,36,27,9,33
Terek Grozny,24,5,8,6,6,25,24,1,30
Zenit,24,6,7,8,5,21,18,3,29
FK Rubin,24,7,6,5,9,24,20,4,23
Din Moscow,24,8,5,6,9,19,26,-7,21
Amkar,24,9,5,5,10,11,23,-12,20
Rostov,24,10,4,7,9,11,18,-7,19
Anzhi,24,11,2,5,13,15,44,-29,11
Loko Moscow,25,1,12,5,3,33,12,21,41
CSKA Moscow,25,2,11,4,5,28,18,10,37
Spart Moscow,25,3,9,6,5,39,31,8,33
Krasnodar,25,4,9,4,7,29,30,-1,31
Terek Grozny,25,5,8,6,6,23,24,-1,30
Zenit,25,6,7,8,5,22,20,2,29
FK Rubin,25,7,6,6,8,29,20,9,24
Din Moscow,25,8,5,7,8,20,25,-5,22
Rostov,25,9,5,6,9,12,18,-6,21
Amkar,25,10,4,6,10,12,25,-13,18
Anzhi,25,11,2,6,12,16,40,-24,12
Loko Moscow,26,1,11,7,2,30,12,18,40
CSKA Moscow,26,2,11,4,5,27,17,10,37
Spart Moscow,26,3,10,5,5,37,29,8,35
Krasnodar,26,4,9,5,6,32,25,7,32
Zenit,26,5,7,10,3,21,13,8,31
Terek Grozny,26,6,8,6,6,23,23,0,30
Din Moscow,26,7,6,6,8,20,25,-5,24
FK Rubin,26,8,6,5,9,24,21,3,23
Rostov,26,9,4,6,10,11,19,-8,18
Amkar,26,10,4,4,12,9,25,-16,16
Anzhi,26,11,2,6,12,15,40,-25,12
Loko Moscow,27,1,11,6,3,30,13,17,39
CSKA Moscow,27,2,11,4,5,27,18,9,37
Spart Moscow,27,3,10,6,4,41,28,13,36
Terek Grozny,27,4,9,5,6,26,24,2,32
Zenit,27,5,7,10,3,22,14,8,31
Krasnodar,27,6,9,4,7,29,26,3,31
FK Rubin,27,7,7,5,8,25,18,7,26
Din Moscow,27,8,5,6,9,18,27,-9,21
Rostov,27,9,4,6,10,12,21,-9,18
Amkar,27,10,4,5,11,10,26,-16,17
Anzhi,27,11,2,5,13,16,41,-25,11
Loko Moscow,28,1,12,5,3,31,13,18,41
CSKA Moscow,28,2,11,4,5,27,18,9,37
Zenit,28,3,8,8,4,22,14,8,32
Spart Moscow,28,4,9,5,6,35,28,7,32
Krasnodar,28,5,8,4,8,28,28,0,28
Terek Grozny,28,6,7,7,6,22,24,-2,28
FK Rubin,28,7,7,5,8,26,18,8,26
Din Moscow,28,8,6,6,8,19,24,-5,24
Rostov,28,9,5,6,9,11,17,-6,21
Amkar,28,10,4,5,11,10,24,-14,17
Anzhi,28,11,2,7,11,17,40,-23,13
Loko Moscow,29,1,12,6,2,32,11,21,42
Spart Moscow,29,2,9,7,4,38,29,9,34
CSKA Moscow,29,3,10,4,6,27,23,4,34
Zenit,29,4,8,8,4,25,16,9,32
Terek Grozny,29,5,9,5,6,23,22,1,32
Krasnodar,29,6,8,5,7,28,26,2,29
FK Rubin,29,7,6,6,8,24,19,5,24
Din Moscow,29,8,5,7,8,19,24,-5,22
Rostov,29,9,4,7,9,11,18,-7,19
Amkar,29,10,4,5,11,11,25,-14,17
Anzhi,29,11,2,6,12,16,41,-25,12
CSKA Moscow,30,1,12,3,5,30,18,12,39
Loko Moscow,30,2,11,5,4,29,13,16,38
Krasnodar,30,3,10,4,6,31,24,7,34
Zenit,30,4,8,8,4,22,14,8,32
Spart Moscow,30,5,9,5,6,38,31,7,32
Terek Grozny,30,6,7,5,8,21,29,-8,26
FK Rubin,30,7,6,5,9,22,20,2,23
Amkar,30,8,6,4,10,15,22,-7,22
Rostov,30,9,5,6,9,13,19,-6,21
Din Moscow,30,10,5,6,9,18,25,-7,21
Anzhi,30,11,3,5,12,18,42,-24,14
Loko Moscow,31,1,12,5,3,32,15,17,41
CSKA Moscow,31,2,10,5,5,27,19,8,35
Spart Moscow,31,3,9,7,4,38,28,10,34
Krasnodar,31,4,9,4,7,31,27,4,31
Zenit,31,5,7,9,4,23,16,7,30
Terek Grozny,31,6,7,6,7,24,27,-3,27
Din Moscow,31,7,6,6,8,20,24,-4,24
FK Rubin,31,8,6,5,9,23,20,3,23
Amkar,31,9,5,5,10,15,27,-12,20
Rostov,31,10,4,7,9,10,17,-7,19
Anzhi,31,11,2,7,11,16,39,-23,13
Loko Moscow,32,1,11,7,2,30,12,18,40
CSKA Moscow,32,2,11,4,5,27,17,10,37
Spart Moscow,32,3,9,7,4,40,31,9,34
Krasnodar,32,4,9,5,6,29,25,4,32
Zenit,32,5,7,10,3,21,13,8,31
Terek Grozny,32,6,8,5,7,25,24,1,29
Din Moscow,32,7,6,7,7,21,24,-3,25
FK Rubin,32,8,5,5,10,22,20,2,20
Rostov,32,9,4,7,9,13,20,-7,19
Amkar,32,10,5,4,11,12,24,-12,19
Anzhi,32,11,2,5,13,14,44,-30,11
Loko Moscow,33,1,12,6,2,33,13,20,42
CSKA Moscow,33,2,11,4,5,30,20,10,37
Spart Moscow,33,3,9,5,6,34,27,7,32
Zenit,33,4,7,9,4,24,18,6,30
Krasnodar,33,5,8,5,7,28,26,2,29
Terek Grozny,33,6,7,7,6,21,23,-2,28
Din Moscow,33,7,6,7,7,19,22,-3,25
FK Rubin,33,8,6,6,8,23,18,5,24
Amkar,33,9,5,5,10,10,22,-12,20
Rostov,33,10,4,6,10,10,18,-8,18
Anzhi,33,11,2,6,12,16,41,-25,12
Loko Moscow,34,1,11,7,2,30,12,18,40
Spart Moscow,34,2,11,5,4,38,27,11,38
CSKA Moscow,34,3,11,4,5,27,17,10,37
Krasnodar,34,4,9,5,6,30,25,5,32
Zenit,34,5,7,10,3,22,14,8,31
Terek Grozny,34,6,8,5,7,25,27,-2,29
Din Moscow,34,7,5,7,8,19,24,-5,22
FK Rubin,34,8,5,6,9,23,21,2,21
Amkar,34,9,5,4,11,13,26,-13,19
Rostov,34,10,4,6,10,10,18,-8,18
Anzhi,34,11,2,5,13,16,42,-26,11
Loko Moscow,35,1,12,5,3,30,12,18,41
CSKA Moscow,35,2,11,4,5,29,19,10,37
Spart Moscow,35,3,10,5,5,38,29,9,35
Krasnodar,35,4,9,4,7,30,27,3,31
Zenit,35,5,7,8,5,21,16,5,29
Terek Grozny,35,6,8,5,7,22,24,-2,29
FK Rubin,35,7,7,5,8,26,19,7,26
Amkar,35,8,6,4,10,13,22,-9,22
Din Moscow,35,9,5,6,9,17,24,-7,21
Rostov,35,10,4,6,10,11,21,-10,18
Anzhi,35,11,2,6,12,17,41,-24,12
Loko Moscow,36,1,11,6,3,31,14,17,39
CSKA Moscow,36,2,11,3,6,28,20,8,36
Krasnodar,36,3,10,4,6,33,26,7,34
Zenit,36,4,8,9,3,24,15,9,33
Spart Moscow,36,5,9,5,6,36,29,7,32
Terek Grozny,36,6,7,6,7,22,25,-3,27
Din Moscow,36,7,5,7,8,19,24,-5,22
FK Rubin,36,8,5,6,9,22,21,1,21
Rostov,36,9,5,6,9,11,17,-6,21
Amkar,36,10,5,5,10,11,23,-12,20
Anzhi,36,11,3,5,12,17,40,-23,14
Loko Moscow,37,1,12,6,2,31,12,19,42
Spart Moscow,37,2,10,6,4,40,27,13,36
CSKA Moscow,37,3,10,4,6,27,21,6,34
Zenit,37,4,8,9,3,25,15,10,33
Krasnodar,37,5,9,4,7,31,26,5,31
Terek Grozny,37,6,7,6,7,20,24,-4,27
Din Moscow,37,7,5,7,8,18,26,-8,22
FK Rubin,37,8,5,6,9,23,22,1,21
Rostov,37,9,4,7,9,12,19,-7,19
Amkar,37,10,4,5,11,9,23,-14,17
Anzhi,37,11,3,6,11,17,38,-21,15
Loko Moscow,38,1,12,6,2,31,11,20,42
Spart Moscow,38,2,9,6,5,35,28,7,33
CSKA Moscow,38,3,10,3,7,26,22,4,33
Zenit,38,4,8,8,4,25,16,9,32
Krasnodar,38,5,8,5,7,27,25,2,29
Terek Grozny,38,6,7,6,7,21,24,-3,27
Din Moscow,38,7,6,6,8,19,22,-3,24
FK Rubin,38,8,6,5,9,22,19,3,23
Amkar,38,9,6,4,10,12,22,-10,22
Rostov,38,10,4,7,9,11,18,-7,19
Anzhi,38,11,3,6,11,16,38,-22,15
Loko Moscow,39,1,12,6,2,32,13,19,42
CSKA Moscow,39,2,11,3,6,29,20,9,36
Zenit,39,3,8,9,3,24,14,10,33
Spart Moscow,39,4,9,5,6,39,30,9,32
Krasnodar,39,5,9,4,7,31,27,4,31
Terek Grozny,39,6,8,5,7,23,25,-2,29
Din Moscow,39,7,7,6,7,21,23,-2,27
Amkar,39,8,6,4,10,14,25,-11,22
FK Rubin,39,9,5,5,10,23,22,1,20
Rostov,39,10,4,6,10,10,20,-10,18
Anzhi,39,11,2,5,13,16,43,-27,11
Loko Moscow,40,1,12,6,2,31,12,19,42
CSKA Moscow,40,2,12,3,5,31,20,11,39
Spart Moscow,40,3,9,5,6,34,28,6,32
Krasnodar,40,4,8,6,6,29,26,3,30
Zenit,40,5,7,8,5,22,16,6,29
Terek Grozny,40,6,7,6,7,22,25,-3,27
FK Rubin,40,7,5,7,8,23,19,4,22
Din Moscow,40,8,5,7,8,18,23,-5,22
Amkar,40,9,6,4,10,12,22,-10,22
Rostov,40,10,5,6,9,11,17,-6,21
Anzhi,40,11,2,6,12,18,43,-25,12
Loko Moscow,41,1,12,5,3,32,13,19,41
Spart Moscow,41,2,10,5,5,40,31,9,35
CSKA Moscow,41,3,10,5,5,29,21,8,35
Zenit,41,4,8,9,3,23,14,9,33
Terek Grozny,41,5,8,5,7,24,25,-1,29
Krasnodar,41,6,8,4,8,30,31,-1,28
FK Rubin,41,7,7,5,8,26,19,7,26
Amkar,41,8,6,4,10,15,24,-9,22
Din Moscow,41,9,5,6,9,18,25,-7,21
Rostov,41,10,4,6,10,11,20,-9,18
Anzhi,41,11,2,6,12,18,43,-25,12
Loko Moscow,42,1,13,5,2,31,11,20,44
Spart Moscow,42,2,11,5,4,42,26,16,38
CSKA Moscow,42,3,11,4,5,30,17,13,37
Krasnodar,42,4,9,4,7,31,26,5,31
Zenit,42,5,7,9,4,21,14,7,30
Terek Grozny,42,6,8,6,6,21,22,-1,30
FK Rubin,42,7,6,5,9,23,21,2,23
Din Moscow,42,8,5,6,9,18,25,-7,21
Rostov,42,9,4,6,10,10,21,-11,18
Amkar,42,10,4,5,11,9,24,-15,17
Anzhi,42,11,2,5,13,14,43,-29,11
Loko Moscow,43,1,12,6,2,32,13,19,42
CSKA Moscow,43,2,12,3,5,29,17,12,39
Spart Moscow,43,3,10,5,5,38,27,11,35
Krasnodar,43,4,9,5,6,30,26,4,32
Zenit,43,5,7,8,5,21,15,6,29
Terek Grozny,43,6,7,5,8,20,24,-4,26
Din Moscow,43,7,6,6,8,19,25,-6,24
Amkar,43,8,6,4,10,11,22,-11,22
FK Rubin,43,9,5,5,10,22,20,2,20
Rostov,43,10,4,6,10,11,19,-8,18
Anzhi,43,11,3,5,12,15,40,-25,14
Loko Moscow,44,1,12,5,3,30,12,18,41
Spart Moscow,44,2,10,6,4,40,26,14,36
CSKA Moscow,44,3,11,3,6,26,20,6,36
Krasnodar,44,4,10,4,6,30,25,5,34
Zenit,44,5,8,8,4,24,14,10,32
Terek Grozny,44,6,7,6,7,21,24,-3,27
Din Moscow,44,7,6,6,8,20,26,-6,24
FK Rubin,44,8,5,5,10,23,21,2,20
Rostov,44,9,4,6,10,10,20,-10,18
Amkar,44,10,4,6,10,9,22,-13,18
Anzhi,44,11,3,5,12,16,39,-23,14
Loko Moscow,45,1,11,7,2,30,12,18,40
Spart Moscow,45,2,11,5,4,40,26,14,38
CSKA Moscow,45,3,11,3,6,28,20,8,36
Zenit,45,4,8,9,3,22,13,9,33
Krasnodar,45,5,9,5,6,29,25,4,32
Terek Grozny,45,6,7,6,7,22,26,-4,27
Din Moscow,45,7,6,6,8,20,24,-4,24
FK Rubin,45,8,5,5,10,21,20,1,20
Rostov,45,9,4,6,10,10,19,-9,18
Amkar,45,10,4,5,11,9,24,-15,17
Anzhi,45,11,3,5,12,20,42,-22,14
Loko Moscow,46,1,12,5,3,30,12,18,41
Zenit,46,2,9,8,3,23,13,10,35
Spart Moscow,46,3,9,6,5,37,29,8,33
CSKA Moscow,46,4,10,3,7,26,20,6,33
Krasnodar,46,5,9,4,7,29,25,4,31
Terek Grozny,46,6,8,6,6,22,23,-1,30
Din Moscow,46,7,7,6,7,21,21,0,27
FK Rubin,46,8,5,5,10,21,22,-1,20
Rostov,46,9,4,6,10,11,19,-8,18
Amkar,46,10,4,6,10,12,25,-13,18
Anzhi,46,11,3,5,12,16,39,-23,14
Loko Moscow,47,1,13,5,2,34,12,22,44
CSKA Moscow,47,2,11,3,6,27,20,7,36
Zenit,47,3,8,8,4,25,16,9,32
Krasnodar,47,4,9,4,7,30,28,2,31
Spart Moscow,47,5,8,6,6,38,33,5,30
Terek Grozny,47,6,8,5,7,23,24,-1,29
Din Moscow,47,7,5,8,7,18,22,-4,23
FK Rubin,47,8,5,6,9,23,20,3,21
Rostov,47,9,5,6,9,14,20,-6,21
Amkar,47,10,5,4,11,12,25,-13,19
Anzhi,47,11,3,5,12,16,40,-24,14
Loko Moscow,48,1,11,6,3,30,13,17,39
CSKA Moscow,48,2,11,3,6,27,19,8,36
Spart Moscow,48,3,9,6,5,37,28,9,33
Zenit,48,4,8,8,4,22,14,8,32
Krasnodar,48,5,9,5,6,30,25,5,32
Terek Grozny,48,6,8,5,7,22,26,-4,29
FK Rubin,48,7,6,5,9,23,20,3,23
Amkar,48,8,6,4,10,14,22,-8,22
Din Moscow,48,9,5,6,9,18,26,-8,21
Rostov,48,10,4,7,9,11,18,-7,19
Anzhi,48,11,3,5,12,17,40,-23,14
Loko Moscow,49,1,11,6,3,31,14,17,39
CSKA Moscow,49,2,10,5,5,26,18,8,35
Spart Moscow,49,3,9,7,4,38,29,9,34
Zenit,49,4,8,9,3,22,13,9,33
Krasnodar,49,5,8,6,6,29,26,3,30
Terek Grozny,49,6,7,6,7,20,26,-6,27
FK Rubin,49,7,5,7,8,21,17,4,22
Din Moscow,49,8,5,7,8,18,23,-5,22
Rostov,49,9,4,7,9,12,19,-7,19
Amkar,49,10,4,6,10,10,23,-13,18
Anzhi,49,11,3,6,11,19,38,-19,15
Loko Moscow,50,1,12,6,2,33,13,20,42
Spart Moscow,50,2,11,5,4,39,27,12,38
