team,n,rank,w,d,l,gf,ga,gd,pts
Adelaide Utd,21,5,11,6,11,37,40,-3,39
Brisbane,21,6,10,5,13,33,42,-9,35
Western Sydn,21,7,8,9,10,38,47,-9,33
Perth Glory,21,8,10,2,15,37,50,-13,32
Wellington P,21,9,5,6,16,31,55,-24,21
CC Mariners,21,10,4,8,15,28,49,-21,20
Sydney FC,22,1,21,4,3,67,23,44,67
N'castle Jet,22,2,16,5,7,63,38,25,53
Melbourne C,22,3,14,4,11,44,39,5,46
Melbourne V,22,4,13,5,11,46,41,5,44
Adelaide Utd,22,5,11,6,11,37,40,-3,39
Brisbane,22,6,10,5,13,33,42,-9,35
Western Sydn,22,7,8,9,10,38,47,-9,33
Perth Glory,22,8,10,2,15,37,50,-13,32
Wellington P,22,9,5,6,16,31,55,-24,21
CC Mariners,22,10,4,8,15,28,49,-21,20
Sydney FC,23,1,21,4,3,68,23,45,67
N'castle Jet,23,2,15,6,7,58,38,20,51
Melbourne C,23,3,14,5,10,44,34,10,47
Melbourne V,23,4,13,5,11,46,42,4,44
Adelaide Utd,23,5,11,6,11,37,40,-3,39
Brisbane,23,6,10,5,13,33,42,-9,35
Western Sydn,23,7,8,9,10,38,47,-9,33
Perth Glory,23,8,10,2,15,37,50,-13,32
Wellington P,23,9,5,6,16,31,55,-24,21
CC Mariners,23,10,4,8,15,28,49,-21,20
Sydney FC,24,1,20,4,4,64,23,41,64
N'castle Jet,24,2,16,5,7,59,38,21,53
Melbourne V,24,3,14,5,10,46,38,8,47
Melbourne C,24,4,14,4,11,44,35,9,46
Adelaide Utd,24,5,11,6,11,37,40,-3,39
Brisbane,24,6,10,5,13,33,42,-9,35
Western Sydn,24,7,8,9,10,38,47,-9,33
Perth Glory,24,8,10,2,15,37,50,-13,32
Wellington P,24,9,5,6,16,31,55,-24,21
CC Mariners,24,10,4,8,15,28,49,-21,20
Sydney FC,25,1,21,4,3,66,23,43,67
N'castle Jet,25,2,16,5,7,60,39,21,53
Melbourne C,25,3,14,4,11,45,36,9,46
Melbourne V,25,4,13,5,11,46,40,6,44
Adelaide Utd,25,5,11,6,11,37,40,-3,39
Brisbane,25,6,10,5,13,33,42,-9,35
Western Sydn,25,7,8,9,10,38,47,-9,33
Perth Glory,25,8,10,2,15,37,50,-13,32
Wellington P,25,9,5,6,16,31,55,-24,21
CC Mariners,25,10,4,8,15,28,49,-21,20
Sydney FC,26,1,21,4,3,67,23,44,67
N'castle Jet,26,2,15,6,7,58,38,20,51
Melbourne C,26,3,14,5,10,44,34,10,47
Melbourne V,26,4,13,5,11,46,41,5,44
Adelaide Utd,26,5,11,6,11,37,40,-3,39
Brisbane,26,6,10,5,13,33,42,-9,35
Western Sydn,26,7,8,9,10,38,47,-9,33
Perth Glory,26,8,10,2,15,37,50,-13,32
Wellington P,26,9,5,6,16,31,55,-24,21
CC Mariners,26,10,4,8,15,28,49,-21,20
Sydney FC,27,1,21,4,3,67,22,45,67
N'castle Jet,27,2,16,5,7,60,37,23,53
Melbourne C,27,3,14,4,11,43,36,7,46
Melbourne V,27,4,13,5,11,45,41,4,44
Adelaide Utd,27,5,11,6,11,37,40,-3,39
Brisbane,27,6,10,5,13,33,42,-9,35
Western Sydn,27,7,8,9,10,38,47,-9,33
Perth Glory,27,8,10,2,15,37,50,-13,32
Wellington P,27,9,5,6,16,31,55,-24,21
CC Mariners,27,10,4,8,15,28,49,-21,20
Sydney FC,28,1,20,5,3,65,23,42,65
N'castle Jet,28,2,16,5,7,60,39,21,53
Melbourne C,28,3,14,4,11,45,36,9,46
Melbourne V,28,4,13,6,10,46,39,7,45
Adelaide Utd,28,5,11,6,11,37,40,-3,39
Brisbane,28,6,10,5,13,33,42,-9,35
Western Sydn,28,7,8,9,10,38,47,-9,33
Perth Glory,28,8,10,2,15,37,50,-13,32
Wellington P,28,9,5,6,16,31,55,-24,21
CC Mariners,28,10,4,8,15,28,49,-21,20
Sydney FC,29,1,20,4,4,65,25,40,64
N'castle Jet,29,2,16,5,7,58,37,21,53
Melbourne V,29,3,14,5,10,48,39,9,47
Melbourne C,29,4,14,4,11,43,34,9,46
Adelaide Utd,29,5,11,6,11,37,40,-3,39
Brisbane,29,6,10,5,13,33,42,-9,35
Western Sydn,29,7,8,9,10,38,47,-9,33
Perth Glory,29,8,10,2,15,37,50,-13,32
Wellington P,29,9,5,6,16,31,55,-24,21
CC Mariners,29,10,4,8,15,28,49,-21,20
Sydney FC,30,1,20,5,3,64,22,42,65
N'castle Jet,30,2,15,5,8,57,38,19,50
Melbourne C,30,3,15,4,10,44,33,11,49
Melbourne V,30,4,13,6,10,45,38,7,45
Adelaide Utd,30,5,11,6,11,37,40,-3,39
Brisbane,30,6,10,5,13,33,42,-9,35
Western Sydn,30,7,8,9,10,38,47,-9,33
Perth Glory,30,8,10,2,15,37,50,-13,32
Wellington P,30,9,5,6,16,31,55,-24,21
CC Mariners,30,10,4,8,15,28,49,-21,20
Sydney FC,31,1,21,4,3,65,22,43,67
N'castle Jet,31,2,15,5,8,57,38,19,50
Melbourne C,31,3,15,4,10,44,33,11,49
Melbourne V,31,4,13,5,11,45,39,6,44
Adelaide Utd,31,5,11,6,11,37,40,-3,39
Brisbane,31,6,10,5,13,33,42,-9,35
Western Sydn,31,7,8,9,10,38,47,-9,33
Perth Glory,31,8,10,2,15,37,50,-13,32
Wellington P,31,9,5,6,16,31,55,-24,21
CC Mariners,31,10,4,8,15,28,49,-21,20
Sydney FC,32,1,21,4,3,66,22,44,67
N'castle Jet,32,2,15,5,8,59,40,19,50
Melbourne C,32,3,15,4,10,46,35,11,49
Melbourne V,32,4,13,5,11,45,40,5,44
Adelaide Utd,32,5,11,6,11,37,40,-3,39
Brisbane,32,6,10,5,13,33,42,-9,35
Western Sydn,32,7,8,9,10,38,47,-9,33
Perth Glory,32,8,10,2,15,37,50,-13,32
Wellington P,32,9,5,6,16,31,55,-24,21
CC Mariners,32,10,4,8,15,28,49,-21,20
Sydney FC,33,1,21,4,3,71,24,47,67
N'castle Jet,33,2,16,5,7,62,38,24,53
Melbourne C,33,3,14,4,11,44,38,6,46
Melbourne V,33,4,13,5,11,47,45,2,44
Adelaide Utd,33,5,11,6,11,37,40,-3,39
Brisbane,33,6,10,5,13,33,42,-9,35
Western Sydn,33,7,8,9,10,38,47,-9,33
Perth Glory,33,8,10,2,15,37,50,-13,32
Wellington P,33,9,5,6,16,31,55,-24,21
CC Mariners,33,10,4,8,15,28,49,-21,20
Sydney FC,34,1,21,4,3,68,24,44,67
N'castle Jet,34,2,15,6,7,60,40,20,51
Melbourne C,34,3,14,5,10,46,36,10,47
Melbourne V,34,4,13,5,11,47,42,5,44
Adelaide Utd,34,5,11,6,11,37,40,-3,39
Brisbane,34,6,10,5,13,33,42,-9,35
Western Sydn,34,7,8,9,10,38,47,-9,33
Perth Glory,34,8,10,2,15,37,50,-13,32
Wellington P,34,9,5,6,16,31,55,-24,21
CC Mariners,34,10,4,8,15,28,49,-21,20
Sydney FC,35,1,21,4,3,66,23,43,67
N'castle Jet,35,2,16,5,7,59,38,21,53
Melbourne C,35,3,14,4,11,44,35,9,46
Melbourne V,35,4,13,5,11,46,40,6,44
Adelaide Utd,35,5,11,6,11,37,40,-3,39
Brisbane,35,6,10,5,13,33,42,-9,35
Western Sydn,35,7,8,9,10,38,47,-9,33
Perth Glory,35,8,10,2,15,37,50,-13,32
Wellington P,35,9,5,6,16,31,55,-24,21
CC Mariners,35,10,4,8,15,28,49,-21,20
Sydney FC,36,1,20,4,4,65,25,40,64
N'castle Jet,36,2,15,5,8,61,42,19,50
Melbourne C,36,3,15,4,10,48,37,11,49
Melbourne V,36,4,14,5,10,48,39,9,47
Adelaide Utd,36,5,11,6,11,37,40,-3,39
Brisbane,36,6,10,5,13,33,42,-9,35
Western Sydn,36,7,8,9,10,38,47,-9,33
Perth Glory,36,8,10,2,15,37,50,-13,32
Wellington P,36,9,5,6,16,31,55,-24,21
CC Mariners,36,10,4,8,15,28,49,-21,20
Sydney FC,37,1,21,4,3,66,23,43,67
N'castle Jet,37,2,16,5,7,62,40,22,53
Melbourne C,37,3,14,4,11,46,38,8,46
Melbourne V,37,4,13,5,11,46,40,6,44
Adelaide Utd,37,5,11,6,11,37,40,-3,39
Brisbane,37,6,10,5,13,33,42,-9,35
Western Sydn,37,7,8,9,10,38,47,-9,33
Perth Glory,37,8,10,2,15,37,50,-13,32
Wellington P,37,9,5,6,16,31,55,-24,21
CC Mariners,37,10,4,8,15,28,49,-21,20
Sydney FC,38,1,20,4,4,64,23,41,64
N'castle Jet,38,2,16,5,7,59,37,22,53
Melbourne V,38,3,14,5,10,46,38,8,47
Melbourne C,38,4,14,4,11,43,35,8,46
Adelaide Utd,38,5,11,6,11,37,40,-3,39
Brisbane,38,6,10,5,13,33,42,-9,35
Western Sydn,38,7,8,9,10,38,47,-9,33
Perth Glory,38,8,10,2,15,37,50,-13,32
Wellington P,38,9,5,6,16,31,55,-24,21
CC Mariners,38,10,4,8,15,28,49,-21,20
Sydney FC,39,1,21,4,3,67,23,44,67
N'castle Jet,39,2,15,6,7,58,38,20,51
Melbourne C,39,3,14,5,10,44,34,10,47
Melbourne V,39,4,13,5,11,46,41,5,44
Adelaide Utd,39,5,11,6,11,37,40,-3,39
Brisbane,39,6,10,5,13,33,42,-9,35
Western Sydn,39,7,8,9,10,38,47,-9,33
Perth Glory,39,8,10,2,15,37,50,-13,32
Wellington P,39,9,5,6,16,31,55,-24,21
CC Mariners,39,10,4,8,15,28,49,-21,20
Sydney FC,40,1,21,4,3,66,23,43,67
N'castle Jet,40,2,15,6,7,59,39,20,51
Melbourne C,40,3,14,5,10,45,35,10,47
Melbourne V,40,4,13,5,11,46,40,6,44
Adelaide Utd,40,5,11,6,11,37,40,-3,39
Brisbane,40,6,10,5,13,33,42,-9,35
Western Sydn,40,7,8,9,10,38,47,-9,33
Perth Glory,40,8,10,2,15,37,50,-13,32
Wellington P,40,9,5,6,16,31,55,-24,21
CC Mariners,40,10,4,8,15,28,49,-21,20
Sydney FC,41,1,21,4,3,66,23,43,67
N'castle Jet,41,2,16,5,7,59,38,21,53
Melbourne C,41,3,14,4,11,44,35,9,46
Melbourne V,41,4,13,5,11,46,40,6,44
Adelaide Utd,41,5,11,6,11,37,40,-3,39
Brisbane,41,6,10,5,13,33,42,-9,35
Western Sydn,41,7,8,9,10,38,47,-9,33
Perth Glory,41,8,10,2,15,37,50,-13,32
Wellington P,41,9,5,6,16,31,55,-24,21
CC Mariners,41,10,4,8,15,28,49,-21,20
Sydney FC,42,1,21,4,3,67,24,43,67
N'castle Jet,42,2,16,5,7,58,37,21,53
Melbourne C,42,3,14,4,11,43,34,9,46
Melbourne V,42,4,13,5,11,47,41,6,44
Adelaide Utd,42,5,11,6,11,37,40,-3,39
Brisbane,42,6,10,5,13,33,42,-9,35
Western Sydn,42,7,8,9,10,38,47,-9,33
Perth Glory,42,8,10,2,15,37,50,-13,32
Wellington P,42,9,5,6,16,31,55,-24,21
CC Mariners,42,10,4,8,15,28,49,-21,20
Sydney FC,43,1,21,4,3,67,23,44,67
N'castle Jet,43,2,16,5,7,58,37,21,53
Melbourne C,43,3,14,4,11,43,34,9,46
Melbourne V,43,4,13,5,11,46,41,5,44
Adelaide Utd,43,5,11,6,11,37,40,-3,39
Brisbane,43,6,10,5,13,33,42,-9,35
Western Sydn,43,7,8,9,10,38,47,-9,33
Perth Glory,43,8,10,2,15,37,50,-13,32
Wellington P,43,9,5,6,16,31,55,-24,21
CC Mariners,43,10,4,8,15,28,49,-21,20
Sydney FC,44,1,21,4,3,66,23,43,67
N'castle Jet,44,2,16,5,7,62,37,25,53
Melbourne C,44,3,14,4,11,43,38,5,46
Melbourne V,44,4,13,5,11,46,40,6,44
Adelaide Utd,44,5,11,6,11,37,40,-3,39
Brisbane,44,6,10,5,13,33,42,-9,35
Western Sydn,44,7,8,9,10,38,47,-9,33
Perth Glory,44,8,10,2,15,37,50,-13,32
Wellington P,44,9,5,6,16,31,55,-24,21
CC Mariners,44,10,4,8,15,28,49,-21,20
Sydney FC,45,1,21,4,3,65,22,43,67
N'castle Jet,45,2,16,5,7,59,37,22,53
Melbourne C,45,3,14,4,11,43,35,8,46
Melbourne V,45,4,13,5,11,45,39,6,44
Adelaide Utd,45,5,11,6,11,37,40,-3,39
Brisbane,45,6,10,5,13,33,42,-9,35
Western Sydn,45,7,8,9,10,38,47,-9,33
Perth Glory,45,8,10,2,15,37,50,-13,32
Wellington P,45,9,5,6,16,31,55,-24,21
CC Mariners,45,10,4,8,15,28,49,-21,20
Sydney FC,46,1,21,4,3,67,22,45,67
N'castle Jet,46,2,16,5,7,59,38,21,53
Melbourne C,46,3,14,4,11,44,35,9,46
Melbourne V,46,4,13,5,11,45,41,4,44
Adelaide Utd,46,5,11,6,11,37,40,-3,39
Brisbane,46,6,10,5,13,33,42,-9,35
Western Sydn,46,7,8,9,10,38,47,-9,33
Perth Glory,46,8,10,2,15,37,50,-13,32
Wellington P,46,9,5,6,16,31,55,-24,21
CC Mariners,46,10,4,8,15,28,49,-21,20
Sydney FC,47,1,21,4,3,66,23,43,67
N'castle Jet,47,2,15,5,8,57,38,19,50
Melbourne C,47,3,15,4,10,44,33,11,49
Melbourne V,47,4,13,5,11,46,40,6,44
Adelaide Utd,47,5,11,6,11,37,40,-3,39
Brisbane,47,6,10,5,13,33,42,-9,35
Western Sydn,47,7,8,9,10,38,47,-9,33
Perth Glory,47,8,10,2,15,37,50,-13,32
Wellington P,47,9,5,6,16,31,55,-24,21
CC Mariners,47,10,4,8,15,28,49,-21,20
Sydney FC,48,1,20,5,3,66,24,42,65
N'castle Jet,48,2,15,6,7,59,39,20,51
Melbourne C,48,3,14,5,10,45,35,10,47
Melbourne V,48,4,13,6,10,47,40,7,45
Adelaide Utd,48,5,11,6,11,37,40,-3,39
Brisbane,48,6,10,5,13,33,42,-9,35
Western Sydn,48,7,8,9,10,38,47,-9,33
Perth Glory,48,8,10,2,15,37,50,-13,32
Wellington P,48,9,5,6,16,31,55,-24,21
CC Mariners,48,10,4,8,15,28,49,-21,20
Sydney FC,49,1,21,4,3,67,23,44,67
N'castle Jet,49,2,16,5,7,58,37,21,53
Melbourne C,49,3,14,4,11,43,34,9,46
Melbourne V,49,4,13,5,11,46,41,5,44
Adelaide Utd,49,5,11,6,11,37,40,-3,39
Brisbane,49,6,10,5,13,33,42,-9,35
Western Sydn,49,7,8,9,10,38,47,-9,33
Perth Glory,49,8,10,2,15,37,50,-13,32
Wellington P,49,9,5,6,16,31,55,-24,21
CC Mariners,49,10,4,8,15,28,49,-21,20
Sydney FC,50,1,20,4,4,65,25,40,64
N'castle Jet,50,2,16,5,7,58,37,21,53
Melbourne V,50,3,14,5,10,48,39,9,47
Melbourne C,50,4,14,4,11,43,34,9,46
Adelaide Utd,50,5,11,6,11,37,40,-3,39
Brisbane,50,6,10,5,13,33,42,-9,35
Western Sydn,50,7,8,9,10,38,47,-9,33
Perth Glory,50,8,10,2,15,37,50,-13,32
Wellington P,50,9,5,6,16,31,55,-24,21
CC Mariners,50,10,4,8,15,28,49,-21,20
Sydney FC,51,1,21,4,3,66,23,43,67
N'castle Jet,51,2,16,5,7,59,37,22,53
Melbourne C,51,3,14,4,11,43,35,8,46
Melbourne V,51,4,13,5,11,46,40,6,44
Adelaide Utd,51,5,11,6,11,37,40,-3,39
Brisbane,51,6,10,5,13,33,42,-9,35
Western Sydn,51,7,8,9,10,38,47,-9,33
Perth Glory,51,8,10,2,15,37,50,-13,32
Wellington P,51,9,5,6,16,31,55,-24,21
CC Mariners,51,10,4,8,15,28,49,-21,20
Sydney FC,52,1,21,4,3,67,24,43,67
N'castle Jet,52,2,15,6,7,58,38,20,51
Melbourne C,52,3,14,5,10,44,34,10,47
Melbourne V,52,4,13,5,11,47,41,6,44
Adelaide Utd,52,5,11,6,11,37,40,-3,39
Brisbane,52,6,10,5,13,33,42,-9,35
Western Sydn,52,7,8,9,10,38,47,-9,33
Perth Glory,52,8,10,2,15,37,50,-13,32
Wellington P,52,9,5,6,16,31,55,-24,21
CC Mariners,52,10,4,8,15,28,49,-21,20
Sydney FC,53,1,21,4,3,65,22,43,67
N'castle Jet,53,2,15,6,7,58,38,20,51
Melbourne C,53,3,14,5,10,44,34,10,47
Melbourne V,53,4,13,5,11,45,39,6,44
Adelaide Utd,53,5,11,6,11,37,40,-3,39
Brisbane,53,6,10,5,13,33,42,-9,35
Western Sydn,53,7,8,9,10,38,47,-9,33
Perth Glory,53,8,10,2,15,37,50,-13,32
Wellington P,53,9,5,6,16,31,55,-24,21
CC Mariners,53,10,4,8,15,28,49,-21,20
Sydney FC,54,1,21,4,3,66,22,44,67
N'castle Jet,54,2,15,6,7,58,38,20,51
