         team         | rank |   n   
 Everton              |   15 |  1455
 Chelsea              |   15 |  1190
 Stoke City           |   15 |   725
 Southampton          |   15 |   690
 Liverpool            |   15 |   637
 West Ham United      |   15 |    17
 Aston Villa          |   15 |     6
 Manchester United    |   15 |     3
 Swansea City         |   16 | 27887
 AFC Bournemouth      |   16 | 18546
 Crystal Palace       |   16 | 13884
 Norwich City         |   16 | 10796
 Newcastle United     |   16 |  9432
 Sunderland           |   16 |  8598
 West Bromwich Albion |   16 |  6157
 Watford              |   16 |  3306
 Everton              |   16 |   436
 Chelsea              |   16 |   367
 Southampton          |   16 |   170
 Stoke City           |   16 |   164
 Liverpool            |   16 |   161
 Aston Villa          |   16 |    79
 West Ham United      |   16 |     1
 Norwich City         |   17 | 24131
 Sunderland           |   17 | 22347
 Newcastle United     |   17 | 21162
 Swansea City         |   17 | 15739
 AFC Bournemouth      |   17 |  7993
 Crystal Palace       |   17 |  5593
 West Bromwich Albion |   17 |  1695
 Watford              |   17 |   692
 Aston Villa          |   17 |   525
 Everton              |   17 |    51
 Chelsea              |   17 |    42
 Southampton          |   17 |    14
 Stoke City           |   17 |    10
 Liverpool            |   17 |    10
 Sunderland           |   18 | 29464
 Newcastle United     |   18 | 28356
 Norwich City         |   18 | 27957
 Swansea City         |   18 |  7378
 AFC Bournemouth      |   18 |  2583
 Aston Villa          |   18 |  2166
 Crystal Palace       |   18 |  1671
 West Bromwich Albion |   18 |   329
 Watford              |   18 |    87
 Everton              |   18 |     7
 Stoke City           |   18 |     1
 Chelsea              |   18 |     1
 Sunderland           |   19 | 31405
 Newcastle United     |   19 | 30274
 Norwich City         |   19 | 26315
 Aston Villa          |   19 |  8775
 Swansea City         |   19 |  2339
 AFC Bournemouth      |   19 |   517
 Crystal Palace       |   19 |   312
 West Bromwich Albion |   19 |    37
 Watford              |   19 |    10
 Aston Villa          |   20 | 88446
 Newcastle United     |   20 |  4745
 Sunderland           |   20 |  3594
 Norwich City         |   20 |  3077
 Swansea City         |   20 |   102
 AFC Bournemouth      |   20 |    14
 Crystal Palace       |   20 |     3
(286 rows)

COPY 286
