Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,2019-10-06,14:00 (08:00),Celta Vigo,1.7,1–0,0.2,Athletic Club,19690,Estadio de Balaídos,David Medié,Match Report,
8,Sun,2019-10-06,16:00 (10:00),Valladolid,1.1,0–0,0.9,Atlético Madrid,23650,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
8,Sun,2019-10-06,18:30 (12:30),Real Sociedad,1.0,1–2,0.9,Getafe,30153,Estadio Municipal de Anoeta,Pablo González,Match Report,
8,Sun,2019-10-06,21:00 (15:00),Barcelona,2.0,4–0,1.8,Sevilla,81331,Camp Nou,Antonio Matéu Lahoz,Match Report,
9,Fri,2019-10-18,21:00 (15:00),Granada,0.4,1–0,0.9,Osasuna,16986,Estadio Nuevo Los Cármenes,Javier Estrada,Match Report,
9,Sat,2019-10-19,13:00 (07:00),Eibar,0.4,0–3,2.1,Barcelona,7295,Estadio Municipal de Ipurúa,Mario Melero,Match Report,
9,Sat,2019-10-19,16:00 (10:00),Atlético Madrid,1.7,1–1,0.6,Valencia,61603,Estadio Wanda Metropolitano,Adrián Cordero,Match Report,
9,Sat,2019-10-19,18:30 (12:30),Getafe,1.0,2–0,0.4,Leganés,13,Coliseum Alfonso Pérez,Juan Martínez,Match Report,
9,Sat,2019-10-19,21:00 (15:00),Mallorca,0.2,1–0,0.9,Real Madrid,20275,Iberostar Estadi,Alberola Rojas,Match Report,
9,Sun,2019-10-20,12:00 (06:00),Alavés,1.8,2–0,1.0,Celta Vigo,16584,Estadio de Mendizorroza,José González,Match Report,
9,Sun,2019-10-20,14:00 (08:00),Real Sociedad,1.4,3–1,0.9,Betis,28032,Estadio Municipal de Anoeta,César Soto,Match Report,
9,Sun,2019-10-20,16:00 (10:00),Espanyol,0.9,0–1,1.3,Villarreal,20653,RCDE Stadium,Carlos del Cerro,Match Report,
9,Sun,2019-10-20,18:30 (12:30),Athletic Club,1.2,1–1,0.8,Valladolid,37107,San Mamés,Jesús Gil,Match Report,
9,Sun,2019-10-20,21:00 (15:00),Sevilla,2.3,1–0,0.5,Levante,34612,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,Match Report,
10,Fri,2019-10-25,21:00 (15:00),Villarreal,2.7,4–1,0.7,Alavés,16049,Estadio de la Cerámica,David Medié,Match Report,
10,Sat,2019-10-26,16:00 (10:00),Leganés,1.6,1–0,0.6,Mallorca,10058,Estadio Municipal de Butarque,Eduardo Prieto,Match Report,
10,Sat,2019-10-26,18:30 (12:30),Valladolid,1.9,2–0,0.5,Eibar,20036,Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
10,Sat,2019-10-26,21:00 (15:00),Atlético Madrid,1.7,2–0,0.4,Athletic Club,59211,Estadio Wanda Metropolitano,Alejandro Hernández,Match Report,
10,Sun,2019-10-27,12:00 (07:00),Celta Vigo,0.6,0–1,0.7,Real Sociedad,18002,Estadio de Balaídos,Valentín Pizarro,Match Report,
10,Sun,2019-10-27,14:00 (09:00),Granada,1.8,1–0,0.7,Betis,18985,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz,Match Report,
10,Sun,2019-10-27,16:00 (11:00),Levante,0.4,0–1,1.0,Espanyol,18934,Estadio Ciudad de Valencia,Pablo González,Match Report,
10,Sun,2019-10-27,18:30 (13:30),Sevilla,2.0,2–0,0.8,Getafe,38181,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
10,Sun,2019-10-27,21:00 (16:00),Osasuna,2.7,3–1,0.9,Valencia,14976,Estadio El Sadar,Santiago Jaime,Match Report,
11,Tue,2019-10-29,19:00 (14:00),Alavés,0.7,1–1,1.3,Atlético Madrid,17235,Estadio de Mendizorroza,Javier Estrada,Match Report,
